company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Đồ Chơi Trẻ Em Phú Thái - Công Ty TNHH MTV Đầu Tư Và DV TM Phú Thái,"Số 08 (Lô R1) Thuộc Tòa Nhà Vạn Đạt Tại Lô II,1, Đường Số 8, P. Tây Thạnh, Q. Tân Phú,","An Toàn Sông Nước - Phao, áo phao,..__Thiết Bị Mầm Non - Đồ Chơi, Đồ Dùng, Thiết Bị Giáo Dục Mầm Non__Đồ Chơi Trẻ Em  - Sản Xuất và Phân Phối Đồ Chơi Trẻ Em__áo Phao",www.dochoitreemphuthai.bizz.vn,'0904632989',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187891799/do-choi-tre-em-phu-thai-cong-ty-tnhh-mtv-dau-tu-va-dv-tm-phu-thai.html
Lapro - Công Ty Cổ Phần Thương Mại Và Bảo Hộ Lao Động,"24 Yết Kiêu, P. Cửa Nam, Q. Hoàn Kiếm,","An Toàn Sông Nước - Phao, áo phao,..__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Dây Đai An Toàn__Bình Chữa Cháy (CO2, Bột, Foam)__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Quần áo Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.baoholaodonghn.com__www.laprosafety.com,'02438229584__0913225387',Bà Lê Thị Kim Oanh,,,,ctybhld@gmail.com,https://www.yellowpages.vn/lgs/1187835216/lapro-cong-ty-co-phan-thuong-mai-va-bao-ho-lao-dong.html
"Khăn quàng học sinh, cờ tổ quốc - Cơ Sở Sản xuất Và Dịch Vụ Thương Mại May Mặc Đông Đô","Cầu Cốc, Thanh Tùng, Thanh Miện,","An Toàn Sông Nước - Phao, áo phao,..__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.thanhphuong.bizz.vn__www.khanquanghocsinh.bizz.vn,'0388505032__0973042084',Bà Nguyễn Thị Phượng,,,,xuongmaythanhphuong@gmail.com,https://www.yellowpages.vn/lgs/1187824566/khan-quang-hoc-sinh-co-to-quoc-co-so-san-xuat-va-dich-vu-thuong-mai-may-mac-dong-do.html
Đồ Bơm Hơi INTEX - Công Ty TNHH Sản Phẩm Bơm Hơi INTEX Việt Nam,"Số 158, Đường Thanh Bình, P. Mộ Lao, Q. Hà Đông,","An Toàn Sông Nước - Phao, áo phao,..__Cổng Hơi, Rối Hơi, Nhà Hơi - Sản Xuất Và Kinh Doanh__Gối Hơi - Sản Xuất Và Bán Buôn__Đồ Chơi Trẻ Em  - Sản Xuất và Phân Phối Đồ Chơi Trẻ Em",www.intexvietnam.vn,'0936323066',Ms. Thảo,,female,,info.intexvietnam@gmail.com,https://www.yellowpages.vn/lgs/1187715687/do-bom-hoi-intex-cong-ty-tnhh-san-pham-bom-hoi-intex-viet-nam.html
Công Ty TNHH Nam Thăng Long,"Cụm CN - TTCN Nhật Tân, Kim Bảng,","An Toàn Sông Nước - Phao, áo phao,..__Balo, Túi Xách, Cặp, Giỏ, Vali -  Công Ty May và Sản Xuất Balo, Túi Xách__Cặp Laptop__Ba Lô Học Sinh, Cặp Học Sinh - Sản Xuất Và Kinh Doanh__Cặp Học Sinh__áo Phao",www.capphaocuusinh.vn__www.namthanglonghn.com,'02263520072__0915040306',Hotline,X,,,capphaocuusinh@gmail.com,https://www.yellowpages.vn/lgs/1187725881/cong-ty-tnhh-nam-thang-long.html
Công Ty TNHH Trang Thiết Bị Bảo Hộ Lao Động Đại An,"Số 5 Yết Kiêu, P. Nguyễn Du, Q. Hai Bà Trưng,","An Toàn Sông Nước - Phao, áo phao,..__Găng Tay Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Quần áo Bảo Hộ Lao Động__May Đồng Phục - Công Ty May Đồng Phục__Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động",www.baoholaodongdaian.com__www.baoholaodongdaian.vn,'0913503822__02439422653',Bà Nguyễn Thu Hà,,,,habaoho@gmail.com,https://www.yellowpages.vn/lgs/721092/cong-ty-tnhh-trang-thiet-bi-bao-ho-lao-dong-dai-an.html
Bảo Hộ Nam Bình - Công Ty Cổ Phần NBC ECOM Việt Nam,"Số 15, Ngách 99/3 Phố Nguyễn Chí Thanh, P. Láng Hạ, Q. Đống Đa,","An Toàn Sông Nước - Phao, áo phao,..__Găng Tay Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Thảm Cách Điện__Khẩu Trang Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Biển Báo An Toàn__Dây Đai An Toàn__Kính Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__ủng Cách Điện__Thiết Bị An Toàn Ngành Điện__Bút Thử Điện__Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động",www.baohonambinh.vn,'0963666848__02439995658',Nguyễn Thị Thủy,,,Kinh doanh,sales@baohonambinh.com,https://www.yellowpages.vn/lgs/1187761941/bao-ho-nam-binh-cong-ty-co-phan-nbc-ecom-viet-nam.html
Thiết Bị Hàng Hải Việt Chính - Công Ty TNHH Việt Chính,"Số 12 Phạm Hồng Thái, P. Phan Bội Châu, Q. Hồng Bàng,","Hàng Hải - Thiết Bị Hàng Hải__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__An Toàn Sông Nước - Phao, áo phao,..__Tàu Thuyền - Trang Thiết Bị",www.vietchinh.com.vn,'0936757536__02253838100',Hotline,X,,,vietchinhqm@yahoo.com,https://www.yellowpages.vn/lgs/1187873697/thiet-bi-hang-hai-viet-chinh-cong-ty-tnhh-viet-chinh.html
Bảo Hộ Lao Động Việt - Công Ty TNHH Bảo Hộ Việt,"Số 79 Nguyễn Xiển, Thanh Xuân,","An Toàn Sông Nước - Phao, áo phao,..__Bịt Tai Chống ồn, Nút Tai Chống ồn__Găng Tay Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Biển Báo An Toàn__Dây Đai An Toàn__Kính Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Thiết Bị An Toàn Ngành Điện__Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động",www.vietbaoho.com,'0943067299__02462950101',Bà Đặng Thị Khuyên,,,,baohoviet12@gmail.com,https://www.yellowpages.vn/lgs/1187762466/bao-ho-lao-dong-viet-cong-ty-tnhh-bao-ho-viet.html
Bảo Hộ Lao Động Vĩnh Xuyên - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Vĩnh Xuyên,"Thôn Phương Chử Đông, X. Trường Thành, H. An Lão,","An Toàn Sông Nước - Phao, áo phao,..__Găng Tay Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Biển Báo An Toàn__Dây Đai An Toàn__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Thiết Bị An Toàn Ngành Điện__Bảo Hộ Công Trình__Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động",www.baoholaodongvinhxuyen.com,'02253911858__0905299814',Ông Đặng Đình Thiết,,male,,thietdd@vinhxuyen.vn,https://www.yellowpages.vn/lgs/1187703483/bao-ho-lao-dong-vinh-xuyen-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-vinh-xuyen.html
