company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Hệ Thống PCCC An Phát Vĩnh Phúc - Công Ty TNHH Xây Dựng Và Thương Mại An Phát Vĩnh Phúc,"Đường Lương Văn Can, Phường Liên Bảo, Tp. Vĩnh Yên,","Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.anphatvinhphuc.com,'0986277886',Ông Phan Tuấn Anh,,male,,anphatvinhphuc@gmail.com,https://www.yellowpages.vn/lgs/1187914233/he-thong-pccc-an-phat-vinh-phuc-cong-ty-tnhh-xay-dung-va-thuong-mai-an-phat-vinh-phuc.html
Phòng Cháy Chữa Cháy Toàn Cầu - Công Ty CP Khoa Học Công Nghệ Phòng Cháy Chữa Cháy Toàn Cầu,"Phòng 405, toà HH2 Bắc Hà, 15 Tố Hữu, Q. Nam Từ Liêm,","Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động",www.fstg.vn,'0904556114',Mr. Đỗ Đức Trường,,male,,truongd@fstg.vn,https://www.yellowpages.vn/lgs/1187913609/phong-chay-chua-chay-toan-cau-cong-ty-cp-khoa-hoc-cong-nghe-phong-chay-chua-chay-toan-cau.html
Phòng Cháy Chữa Cháy Hiệp An - Công Ty TNHH Thương Mại & Dịch Vụ Hiệp An,"231/71/9A  Bình Tiên, P. 8, Q. 6,","Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Trung Tâm Báo Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Chuông Báo Cháy, Còi Báo Cháy__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)",www.hiepan.com.vn__www.thietbiantoanpccc.vn,'0984614114__02838541307__0903819991',Hotline,X,,,info@hiepan.com.vn,https://www.yellowpages.vn/lgs/1062498/phong-chay-chua-chay-hiep-an-cong-ty-tnhh-thuong-mai---dich-vu-hiep-an.html
Công Ty TNHH Kỹ Thuật Cơ Điện Khôi Việt Phát,"5T/10M KP. Bình Thuận 2, P. Thuận Giao, TX. Thuận An,","Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Thiết Bị Chống Sét và Hệ Thống Chống Sét",www.codienbinhduong.com__www.codienkhoivietphat.com,'0934620879',Hotline,X,,,khoivietphat@gmail.com,https://www.yellowpages.vn/lgs/1187796864/cong-ty-tnhh-ky-thuat-co-dien-khoi-viet-phat.html
Thi Công Lắp Đặt Hệ Thống PCCC - Công Ty TNHH Thương Mại Xây Dựng Hồng Tú,"Số 53 Âu Cơ, P. Bùi Thị Xuân, TP Quy Nhơn,","Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.pccchongtu.com,'0905873377__0931945677',Mrs Hằng,,,,xdhongtu@gmail.com,https://www.yellowpages.vn/lgs/1187764458/thi-cong-lap-dat-he-thong-pccc-cong-ty-tnhh-thuong-mai-xay-dung-hong-tu.html
Phòng Cháy Chữa Cháy A.D.H - Công Ty TNHH A.D.H,"Số Nhà 1E Đường 318 Phạm Hùng, P. 5, Q. 8,","Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.adh.bizz.vn,'02838505289__0903808117',Ông Lê Anh Dũng,,male,Giám Đốc,dhcompany36@gmail.com,https://www.yellowpages.vn/lgs/1029672/phong-chay-chua-chay-a.d.h-cong-ty-tnhh-a.d.h.html
Thi Công PCCC Hà Nội - Công Ty Cổ Phần Cơ Điện Và Xây Dựng Hà Nội,"Số 16, Ngõ 281/20, Đường Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai,","Đèn Báo Cháy__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Hệ Thống Báo Cháy, Hệ Thống Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)__Kim Thu Sét__Thiết Bị Chống Sét và Hệ Thống Chống Sét",www.hacoelec.vn,'0976268611__0975333114__02466725744',Ông Đào Quang Long,,male,,hacoelec114@gmail.com,https://www.yellowpages.vn/lgs/1187690355/thi-cong-pccc-ha-noi-cong-ty-co-phan-co-dien-va-xay-dung-ha-noi.html
PCCC Việt Trường Thọ - Công Ty TNHH Việt Trường Thọ,"Số 574/13 Lê Hồng Phong, P. Phú Hòa, TP. Thủ Dầu Một,","Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Hệ Thống Báo Cháy, Hệ Thống Chữa Cháy Tự Động__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Hệ Thống Báo Cháy Địa Chỉ",www.viettruongtho.com,'0915755866__0986504776__02743844180',Mr. Trường,,male,,duytruongvtt@gmail.com,https://www.yellowpages.vn/lgs/1187825136/pccc-viet-truong-tho-cong-ty-tnhh-viet-truong-tho.html
Phòng Cháy Chữa Cháy Lộc An - Công Ty Cổ Phần Xây Dựng Và Thương Mại Lộc An,"Số 1, Ngõ 20/41, Đường Phú Minh, P. Minh Khai, Q. Bắc Từ Liêm,","Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.nguyennhanpccc.bizz.vn,'0913128991',Hotline,X,,,huunhan36@gmail.com,https://www.yellowpages.vn/lgs/1187864535/phong-chay-chua-chay-loc-an-cong-ty-co-phan-xay-dung-va-thuong-mai-loc-an.html
Công Ty TNHH Cơ Điện Lạnh Và Phòng Cháy Chữa Cháy Bách Khoa,"83 Hà Huy Tập, TP. Đồng Hới,","Điều Hòa Không Khí - Kinh Doanh và Phân Phối__Mặt Bích - Mặt Bích Thép, Mặt Bích Inox__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)__ống Kim Loại (ống Kẽm, ống Gang,..Vật Tư Ngành Nước)__Thiết Bị Chống Sét và Hệ Thống Chống Sét",www.bachkhoapccc.bizz.vn__www.bachkhoaqb.com,'0888234114',Mr Phùng Đình Trung,,male,,dinhtrunghvac@gmail.com,https://www.yellowpages.vn/lgs/1187818998/cong-ty-tnhh-co-dien-lanh-va-phong-chay-chua-chay-bach-khoa.html
