company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Minh Khai - Công Ty Cổ Phần Khoá Minh Khai,"125D Minh Khai, Q. Hai Bà Trưng,",Khóa - Nhà Sản Xuất Khóa,www.khoaminhkhai.com.vn,'02438637275',,,,,,https://www.yellowpages.vn/lgs/730209/minh-khai-cong-ty-co-phan-khoa-minh-khai.html
Phụ Kiện Cửa Trung Dũng - Công Ty CP Quốc Tế Trung Dũng,"Số 1/476 Tổ 1, KP. Hòa Lân 2, P. Thuận Giao, TP. Thuận An,","Khóa - Nhà Sản Xuất Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)",www.trungdungco.com.vn,'02743710302__0919789633',Mr. Thạch,,male,GĐ điều hành,thachlnn@tdcorp.vn,https://www.yellowpages.vn/lgs/996309/phu-kien-cua-trung-dung-cong-ty-cp-quoc-te-trung-dung.html
Neolock - Công Ty TNHH Giải Pháp BTS,"168/16/15 Trần Văn Quang, P. 10, Q. tân Bình,",Khóa - Nhà Sản Xuất Khóa__Thiết Bị Điện Thông Minh,www.neolock.vn,'0902978179',Neolock Manager,,,,info@neolock.vn,https://www.yellowpages.vn/lgs/1187885346/neolock-cong-ty-tnhh-giai-phap-bts.html
Công Ty TNHH Bảo Việt Trasimex,"116 Chu Văn An, P. 26, Q. Bình Thạnh,","Khóa - Nhà Sản Xuất Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)",www.olympialock.vn,'02838997188__0913624411',Mr. Thiện,,male,,info@olympialock.vn,https://www.yellowpages.vn/lgs/1187718012/cong-ty-tnhh-bao-viet-trasimex.html
Công Ty TNHH R&T Locks Và Security (Việt Nam),"Xưởng A6, Lô A3, Đường N2, KCN Đại Đăng, P. Phú Tân, TP. Thủ Dầu Một,","Khóa - Nhà Sản Xuất Khóa__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp",www.reallock.com__www.reallock.com.vn,'__02743628047__0908313956',Ms. Từ Ngọc Thúy,,female,GĐ. kinh doanh,,https://www.yellowpages.vn/lgs/1187728320/cong-ty-tnhh-r-t-locks-va-security--viet-nam-.html
Khóa Việt Tiệp - Công Ty CP Khóa Việt Tiệp,"TT. Đông Anh, H. Đông Anh,","Khóa - Nhà Sản Xuất Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)",www.khoaviettiep.com.vn,'02438832442',Hotline,X,,,info@khoaviettiep.com.vn,https://www.yellowpages.vn/lgs/739701/khoa-viet-tiep-cong-ty-cp-khoa-viet-tiep.html
Công Ty TNHH Thương Mại N.T.P,"278 Tô Hiến Thành, P. 15, Q. 10,","Khóa - Nhà Sản Xuất Khóa__Vật Tư Ngành Nước, Phụ Kiện Ngành Nước__Van Công Nghiệp",www.masterlock.vn__www.ntp.com.vn,'02838631133__0909189491',Ms. Nông Thị Thu,,female,,info@ntp.com.vn,https://www.yellowpages.vn/lgs/709536/cong-ty-tnhh-thuong-mai-n.t.p.html
Bulong ốc Vít Cường Thịnh - Công ty TNHH Cường Thịnh,"A012 KCC Đồng An, KP. Đồng An 2, P. Bình Hoà, TP. Thuận An,","Khóa - Nhà Sản Xuất Khóa__ốc, Vít, Bù Loong__Kim Khí - Vật Tư Và Phụ Kiện__Thanh Ren, Ty Ren, Guzong__Khóa - Nhập Khẩu Và Phân Phối Khóa__Đai ốc, E Cu, Tán__Bulong Inox, ốc Inox, Vít Inox__Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại",www.kimkhicuongthinh.com,'0793617001',Hotline,X,,,cuongthinh.info9@gmail.com,https://www.yellowpages.vn/lgs/1187897061/bulong-oc-vit-cuong-thinh-cong-ty-tnhh-cuong-thinh.html
JEP - Công Ty Cổ Phần Nhật Bản,"Nhà 83, Lô D6, KĐT Mới Đại Kim, P. Đại Kim, Q. Hoàng Mai,","Sơn - Công Ty Sản Xuất và Cung Cấp Sơn__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa - Nhà Sản Xuất Khóa",www.jep.com.vn,'0918295885__02436402667__02436402666',Ms. Quỳnh,,female,,jepjsc@gmail.com,https://www.yellowpages.vn/lgs/1308879/jep-cong-ty-co-phan-nhat-ban.html
Khóa Ngũ Kim Reallocks - Công Ty TNHH SX XNK Ngũ Kim Reallocks,"397 Đường Hậu Giang, Phường 11, Quận 6,","Khóa - Nhà Sản Xuất Khóa__Khóa Điện Tử__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)",www.reallockvn.com__www.reallock.com.vn,'0282223828002822238058__0911849336__0908313956',Ms. Thúy,,female,,jessica@reallock.com,https://www.yellowpages.vn/lgs/1187889000/khoa-ngu-kim-reallocks-cong-ty-tnhh-sx-xnk-ngu-kim-reallocks.html
Công Ty TNHH R&T Locks & Security (Viet Nam),"Số 28, Đường Dân Chủ, KCN VSIP II, P.Hòa Phú, TP.Thủ Dầu Một,",Khóa - Nhà Sản Xuất Khóa,www.reallock.com,'0932785538__0274826048',Nguyễn Anh Dư,,,Nhân viên KD,nguyenanhdu.reallock@gmail.com,https://www.yellowpages.vn/lgs/1187709099/cong-ty-tnhh-r-t-locks---security--viet-nam-.html
Khóa Nguyên Đạt - Công Ty TNHH Vật Liệu Xây Dựng Nguyên Đạt,"Số 5 - 7 Trịnh Văn Cấn, Q. 1,","Khóa - Nhà Sản Xuất Khóa__Cửa - Nhà Sản Xuất và Kinh Doanh__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)",www.nguyendat.com__www.nguyendatlock.com,'02839142922',Hotline,X,,,info@nguyendatlock.com,https://www.yellowpages.vn/lgs/988833/khoa-nguyen-dat-cong-ty-tnhh-vat-lieu-xay-dung-nguyen-dat.html
Công Ty TNHH Cát Hưng,"76/6C Đường Xóm Đất, P. 8, Q. 11,",Khóa - Nhà Sản Xuất Khóa__Khóa - Nhập Khẩu Và Phân Phối Khóa,www.khoanhapkhau.net/home/,'0904804786',Ms. Thu,,female,,khoanhapkhau.net@gmail.com,https://www.yellowpages.vn/lgs/1187743845/cong-ty-tnhh-cat-hung.html
Công Ty TNHH Khóa Thông Minh Việt Nam,"Số 95 Cầu Giấy, P. Quan Hoa, Q. Cầu Giấy,","Khóa - Nhà Sản Xuất Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)",www.https://vnlock.com/,'02438398966__0912686966',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187914284/cong-ty-tnhh-khoa-thong-minh-viet-nam.html
"Dongguan Jingyu Industrial Co., Ltd","Số 27, Đường Xingshan, Khu công nghiệp Changfu, Làng Fushan, Thị trấn Liaobu, Thành phố Đông Quan,","Phụ Liệu May Mặc Nhựa (Dây Nhựa, Khóa Nhựa, Khoen Nhựa,.)__Khóa - Nhà Sản Xuất Khóa__Dây Khoá Kéo, Đầu Khóa Kéo - Sản Xuất và Bán Buôn__Vali Kéo - sản Xuất Và Kinh Doanh",www.jingyu-group.com,'8676983521112',Eileen Dai,,,Giám Đốc,eileen@dgjylock.com,https://www.yellowpages.vn/lgs/1187857731/dongguan-jingyu-industrial-co.-ltd.html
