company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH Kỹ Thuật Cơ Điện Khôi Việt Phát,"5T/10M KP. Bình Thuận 2, P. Thuận Giao, TX. Thuận An,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Thang Máng Cáp, Thang Cáp, Máng Cáp__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Tủ Bảng Điện",www.codienbinhduong.com__www.codienkhoivietphat.com,'0934620879',HOTLINE,,,,khoivietphat@gmail.com,https://www.yellowpages.vn/lgs/1187792253/cong-ty-tnhh-ky-thuat-co-dien-khoi-viet-phat.html
Nhà Thầu Cơ Điện Vina Power - Công Ty TNHH Xây Lắp Điện Và Thương Mại Vina Power,"Số 6A, KP 4C, Phường Trảng Dài, Thành Phố Biên Hoà,","Máy biến áp, Máy Biến Thế (1 Pha, 3 Pha, Kiểu Kín, Hở,.)__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện - Nhà Thầu Thi Công Điện",www.diendongnaivinapower.com,'0906332733',Mr. Trần Văn Phát,,male,Phó giám đốc,phatdql@gmail.com,https://www.yellowpages.vn/lgs/1187924607/nha-thau-co-dien-vina-power-cong-ty-tnhh-xay-lap-dien-va-thuong-mai-vina-power.html
Nhà Thầu Cơ Điện Thái Bình - Công Ty TNHH Thương Mại & Kỹ Thuật Thái Bình,"Số 9, đường 20, P. Linh Chiểu, Q. Thủ Đức,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp",www.thicongcodien.com.vn,'02838975767__0918078960',Ông Phạm Xuân Quốc,,male,,quoc@tbe.com.vn,https://www.yellowpages.vn/lgs/1032477/nha-thau-co-dien-thai-binh-cong-ty-tnhh-thuong-mai---ky-thuat-thai-binh.html
VITEQ Việt Nam - Công Ty Cổ Phần Công Nghệ VITEQ Việt Nam,"Số 1/41, Ngõ 12 (Ngõ 6 Mới), Phố Trần Quốc Hoàn, Q. Cầu Giấy,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Tủ Điện Hạ Thế__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Tủ Điện Trung Thế__Tủ Bảng Điện",www.viteqvn.com,'0981382266__02437930891',Mr. Nguyễn Hoàng Sơn,,male,Quản lý,,https://www.yellowpages.vn/lgs/1187835612/viteq-viet-nam-cong-ty-co-phan-cong-nghe-viteq-viet-nam.html
Nhà Thầu Cơ Điện M&E - Công Ty TNHH Ever Power,"Số 05, Tầng 24, Tòa Nhà Pearl Plaza, 561A Điện Biên Phủ, Phường 25, Q. Bình Thạnh,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Điện - Nhà Thầu Thi Công Điện__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Thang Máng Cáp, Thang Cáp, Máng Cáp__Hệ Thống Điều Hòa Trung Tâm__Điện Lạnh Công Nghiệp - Thiết Bị Và Hệ Thống Điện Lạnh Công Nghiệp__Tủ Tụ Bù__Tủ Bảng Điện",www.everpower.vn,'0836613663__0913613663',Mr. Phạm Quốc Trung,,male,,everpower999@gmail.com,https://www.yellowpages.vn/lgs/1187856417/nha-thau-co-dien-m-e-cong-ty-tnhh-ever-power.html
Nhà Thầu Cơ Điện Thái Bình Thịnh Vượng - Công Ty TNHH Đầu Tư Bất Động Sản Thái Bình Thịnh Vượng,"465/1/4 Tân Kỳ Tâm Quý, P. Tân Quý, Q. Tân Phú,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện - Các Công Ty__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Điện Năng Lượng Mặt Trời - Hệ Thống Và Thiết Bị",www.tbtv.com.vn,'0397877768',Mr. Hữu,,male,,huutran@tbtvland.com.vn,https://www.yellowpages.vn/lgs/1187899641/nha-thau-co-dien-thai-binh-thinh-vuong-cong-ty-tnhh-dau-tu-bat-dong-san-thai-binh-thinh-vuong.html
Công Ty CP Tư Vấn & Xây Lắp CDH Hà Nội,"VPGD : Tầng 5, Số 7A, Mạc Thị Bưởi, Q. Hai Bà Trưng,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điều Hòa Không Khí/ Máy Lạnh  - Nhà Thầu__Hệ Thống Điều Hòa Trung Tâm__ống Gió (Xoắn, Vuông, Tròn, Lạnh,.)__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Hệ Thống Thông Gió, Hệ Thống Làm Mát - Thiết Kế Và Thi Công__Điện Lạnh Công Nghiệp - Thiết Bị Và Hệ Thống Điện Lạnh Công Nghiệp__Van Gió (1 Chiều, Tạo áp Cầu Thang, Chặn Lửa, VCD,.)__Miệng Gió (2 Lớp, Tròn, Cấp, Hồi,..)__Ngành Lạnh - Vật Tư và Thiết Bị",www.onggiohanoi.com__www.codienlanhcdh.com,'0904260029__02462929404',Ông Phạm Văn Hùng,,male,Quản Lý Dự án,codiencdh@gmail.com,https://www.yellowpages.vn/lgs/1187716422/cong-ty-cp-tu-van---xay-lap-cdh-ha-noi.html
Nhà Thầu Cơ Điện Gia Quốc Anh - Công Ty TNHH MTV Xây Dựng Thương Mại Gia Quốc Anh,"347/23 Lê Văn Thọ, P. 9, Q. Gò Vấp,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Điều Hòa Không Khí/ Máy Lạnh  - Nhà Thầu__Nước - Thầu Cấp, Thoát Nước",www.giaquocanh.bizz.vn__www.giaquocanh.com,'0908204375__02822679797',Ông Nguyễn Văn Hinh,,male,,giaquocanh@gmail.com,https://www.yellowpages.vn/lgs/1187821143/nha-thau-co-dien-gia-quoc-anh-cong-ty-tnhh-mtv-xay-dung-thuong-mai-gia-quoc-anh.html
Cơ Điện Tân Tiến - Công Ty TNHH Kỹ Thuật Dịch Vụ Tân Tiến,"Số 286 Nguyễn Trãi, P. Võ Cường, Tp. Bắc Ninh,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Điện - Nhà Thầu Thi Công Điện__Thiết Bị Âm Thanh, Hệ Thống Âm Thanh__Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt__Điều Hòa Không Khí/ Máy Lạnh  - Nhà Thầu__Hệ Thống Thông Gió, Hệ Thống Làm Mát - Thiết Kế Và Thi Công__Thiết Bị Văn Phòng__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.tatico.com.vn,'0913259199__0961259199__02223812345',Mr. Ngô Anh Tuấn,,male,,tantien.bnh@gmail.com,https://www.yellowpages.vn/lgs/1187906499/co-dien-tan-tien-cong-ty-tnhh-ky-thuat-dich-vu-tan-tien.html
Nhà Thầu Cơ Điện VSE - Công Ty TNHH Cơ Điện VSE,"23 Mẹ Thứ, P. Hòa Xuân, Q. Cẩm Lệ ,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Tủ Điện Hạ Thế__Tủ Điện Trung Thế__Thiết Bị Điện Công Nghiệp__Tủ Điện ATS__Tủ Tụ Bù__Tủ Bảng Điện",www.facebook.com/thietbidien01,'0901131161__0901131176',Ông Nguyễn Cao Kỳ,,male,,kyncvse@gmail.com,https://www.yellowpages.vn/lgs/1187786022/nha-thau-co-dien-vse-cong-ty-tnhh-co-dien-vse.html
