company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
PCCC Nguyễn Hồ - Công Ty Cổ Phần Nguyễn Hồ,"218B Võ Thành Trang, P. 11, Q. Tân Bình,","Đèn Báo Cháy__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Dây Thoát Hiểm, Thang Dây Thoát Hiểm__Bình Chữa Cháy (CO2, Bột, Foam)",www.nguyenhojsc.com,'02838427708__0903931149',Ông Nguyễn Văn Thao,,male,,info@nguyenhojsc.com,https://www.yellowpages.vn/lgs/1187779020/pccc-nguyen-ho-cong-ty-co-phan-nguyen-ho.html
Phòng Cháy Chữa Cháy VIETSAFE - Công Ty Cổ Phần Công Nghệ An Toàn Việt Nam," Tầng 7, Tòa Nhà 169, Đường Nguyễn Ngọc Vũ, Q. Cầu Giấy,","Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Chuông Báo Cháy, Còi Báo Cháy__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.vietsafe.com.vn__www.isafe.com.vn,'0902836044__02437931355',Ms. Nguyễn Lệ Mỹ,,female,Sales & Marketing Online,my.nguyen@vietsafe.com.vn,https://www.yellowpages.vn/lgs/1187715408/phong-chay-chua-chay-vietsafe-cong-ty-co-phan-cong-nghe-an-toan-viet-nam.html
Thiết Bị PCCC Hoàng Khang Phúc - Công Ty TNHH Thương Mại Dịch Vụ Hoàng Khang Phúc,"Lô 18 - V2 KDC Tân Bình, KP Tân Thắng, P. Tân Bình, TX. Dĩ An,","Điện Lạnh Công Nghiệp - Dịch Vụ Bảo Trì, Sửa Chữa__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Điện Lạnh Dân Dụng - Nhà Cung Cấp__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)__Kim Thu Sét",www.pccchoangkhangphuc.com,'0934537679__02743775890',Ông Nguyễn Văn Hùng,,male,,manhhungpccc09@gmail.com,https://www.yellowpages.vn/lgs/1187731014/thiet-bi-pccc-hoang-khang-phuc-cong-ty-tnhh-thuong-mai-dich-vu-hoang-khang-phuc.html
Thiết Bị PCCC Đức Thịnh - Công Ty TNHH Thương Mại Xuất Nhập Khẩu Tấn Đức Thịnh,"Số 9A, Đường 1A, KCN Biên Hòa 2, P. An Bình, TP. Biên Hòa,","Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.tanducthinh.com,'0908169000__02513893875',Bà Nguyễn Thị Thanh Thủy,,,,tanducthinhphongchay@gmail.com,https://www.yellowpages.vn/lgs/1187744571/thiet-bi-pccc-duc-thinh-cong-ty-tnhh-thuong-mai-xuat-nhap-khau-tan-duc-thinh.html
Thiết Bị PCCC Phú Khang - Công Ty TNHH Thiết Bị Phòng Cháy Chữa Cháy Phú Khang,"9/4 Đường ĐT 743, Khu Phố Bình Quới B, P. Bình Chuẩn, TX. Thuận An,","Trụ Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Trung Tâm Báo Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Hệ Thống Báo Cháy, Hệ Thống Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.phukhangpccc.com,'0909986456__02743798926',Hotline,X,,,sale@phukhangpccc.com,https://www.yellowpages.vn/lgs/1187757246/thiet-bi-pccc-phu-khang-cong-ty-tnhh-thiet-bi-phong-chay-chua-chay-phu-khang.html
Thiết Bị PCCC Phong Lan - Cơ Sở Trang Thiết Bị PCCC Phong Lan,"37/3 Ấp Thanh Hóa, X. Hố Nai 3, H. Trảng Bom,","Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.phonglan.znn.vn__www.phonglan.bizz.vn,'02513674125__0913728760',Bà Phạm Thị Lang,,,Chủ Cơ Sở,pcccphonglan140175@yahoo.com.vn,https://www.yellowpages.vn/lgs/3779496/thiet-bi-pccc-phong-lan-co-so-trang-thiet-bi-pccc-phong-lan.html
Thiết Bị Phòng Cháy Chữa Cháy Đạt Phát - Công Ty TNHH Thiết Bị Bảo Hộ Lao Động & Thương Mại Đạt Phát,": Số 281 Lê Duẩn, Q. Hai Bà Trưng,","Đèn Báo Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Chuông Báo Cháy, Còi Báo Cháy__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.thietbibhlddatphat.com,'02439411035__0386360417',Bà Nguyễn Thị Hoa,,,,baoholaodongdatphat@gmail.com,https://www.yellowpages.vn/lgs/1187906001/thiet-bi-phong-chay-chua-chay-dat-phat-cong-ty-tnhh-thiet-bi-bao-ho-lao-dong---thuong-mai-dat-phat.html
PCCC Phú Bình - Công Ty TNHH Kỹ Thuật Phòng Cháy Chữa Cháy Phú Bình,"598 - 600 Trường Chinh, P. Tân Hưng Thuận, Q. 12,","Trung Tâm Báo Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.phubinhpccc.vn,'02862564670__0907019019',Mr. Trương Thế Anh,,male,,phubinhpccc@gmail.com,https://www.yellowpages.vn/lgs/1187729874/pccc-phu-binh-cong-ty-tnhh-ky-thuat-phong-chay-chua-chay-phu-binh.html
PCCC Kiến Hưng - Công Ty TNHH Đầu Tư Thương Mại & Dịch Vụ Kiến Hưng,"Số 95, Tổ 5 Đa Sỹ, P. Kiến Hưng, Q. Hà Đông,","Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Cho Thuê Xe Ô Tô, Cho Thuê Xe Tháng, Xe Tự Lái,..__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Quần áo Chữa Cháy Và Giày, ủng, Găng Tay,. Chống, Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Bình Chữa Cháy (CO2, Bột, Foam)",www.muabanpccc.com__www.sieuthithietbipccc.com,'0902060114',Mr. Tuân,,male,,tuan.tt@ceotech.vn,https://www.yellowpages.vn/lgs/1187825571/pccc-kien-hung-cong-ty-tnhh-dau-tu-thuong-mai---dich-vu-kien-hung.html
Hệ Thống PCCC Nhân Danh - Công Ty TNHH Lắp Đặt Hệ Thống PCCC Nhân Danh,"Số 25, Quang Trung, KP. 2, P. Hiệp Phú, Q. 9,","Đèn Báo Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Trung Tâm Báo Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Lăng Chữa Cháy__Quần áo Chữa Cháy Và Giày, ủng, Găng Tay,. Chống, Chữa Cháy__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Chuông Báo Cháy, Còi Báo Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Nút Nhấn Khẩn Cấp, Nút ấn Báo Cháy__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera",www.pcccnhandanh.vn,'0972104779__02866884666',Mr. Cương,,male,,nhandanh114@gmail.com,https://www.yellowpages.vn/lgs/1187838492/he-thong-pccc-nhan-danh-cong-ty-tnhh-lap-dat-he-thong-pccc-nhan-danh.html
