company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Tủ Sắt Trường Phát - Công Ty CP Cửa Thép Trường Phát,"Cụm Công Nghiệp Hoàng Xá, X. Hoàng Xá, H. Thanh Thủy,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Tủ Văn Phòng__Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh",www.truongphatjsc.com,'0973040496__0963040495__0982444666',Ms. Nguyễn Hải Yến,,female,Trưởng phòng kinh doanh,truongphatjsc17@gmail.com,https://www.yellowpages.vn/lgs/1187913624/tu-sat-truong-phat-cong-ty-cp-cua-thep-truong-phat.html
Tủ Văn Phòng Real Trading - Công Ty TNHH Real Trading Việt Nam,"Số 85/18A Phạm Viết Chánh, Phường 19, Quận Bình Thạnh,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Khóa - Nhập Khẩu Và Phân Phối Khóa__Tủ Văn Phòng__Đồ Nội Thất Văn Phòng",www.realtrading.vn,'0903688183',Ms. Đinh Thị Ngọc,,female,,ruby@realtrading.vn,https://www.yellowpages.vn/lgs/1187933385/tu-van-phong-real-trading-cong-ty-tnhh-real-trading-viet-nam.html
Tủ Sắt Thành Đạt - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Lam Tùng," 46/7b, KP. 2, P. Quyết Thắng, TP. Biên Hoà,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.xuongtusat.com,'0912453534__0397567879',Hotline,X,,,lamtungdongnai@gmail.com,https://www.yellowpages.vn/lgs/1187899743/tu-sat-thanh-dat-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-lam-tung.html
Nội Thất Sắt VHS - Công Ty TNHH Công Nghiệp VHS Việt Nam,"Số 9/97, Phố Triều Khúc, P. Thanh Xuân Nam, Q. Thanh Xuân,","Kệ Sách, Kệ Hồ Sơ__Tủ Văn Phòng__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Bàn Ghế Học Sinh, Trường Học__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)",www.tusatsieure.com,'0967166638__0903941668__0386281318__02439985316',Hotline,X,,,tusatsieure@gmail.com,https://www.yellowpages.vn/lgs/1187745000/noi-that-sat-vhs-cong-ty-tnhh-cong-nghiep-vhs-viet-nam.html
Công Ty TNHH Sản Xuất Và Thương Mại Nội Thất Bảo Lộc,"Xóm Trại, Đại Tự, Kim Chung, Hoài Đức,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Kệ Sách, Kệ Hồ Sơ__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)",www.tusatgiasach.bizz.vn,'0982222613__0936061686',Ông Đinh Văn Dũng,,male,,noithatbaoloc2008@gmail.com,https://www.yellowpages.vn/lgs/1187773740/cong-ty-tnhh-san-xuat-va-thuong-mai-noi-that-bao-loc.html
Tủ Sắt Delta - Công Ty TNHH T&T Plus Vina,"Thôn Lai Xá, Xã Kim Chung, Huyện Hoài Đức,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Kệ Sách, Kệ Hồ Sơ__Tủ Văn Phòng__Đồ Nội Thất Văn Phòng",www.tusat-delta.com,'02433639905__0394808080',Mr. Nguyên,,male,,tusat.delta@gmail.com,https://www.yellowpages.vn/lgs/1187807034/tu-sat-delta-cong-ty-tnhh-t-t-plus-vina.html
Tủ Sắt Trung Hưng - Công Ty TNHH Sản Xuất Thương Mại Đào Trung Hưng,"259 Võ Văn Tần, P. 5, Q. 3,","Sắt Mỹ Thuật, Sắt Mỹ Nghệ (Cổng, Cửa, Bàn Ghế, Sắt Uốn Mỹ Thuật)__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Võng Xếp, Ghế Xếp, Giường Xếp - Sản Xuất và Kinh Doanh",www.daotrunghung.com__www.daotrunghung.vn,'02838395894__02838300420__02837660199',Hotline,X,,,daotrunghung@daotrunghung.vn,https://www.yellowpages.vn/lgs/695124/tu-sat-trung-hung-cong-ty-tnhh-san-xuat-thuong-mai-dao-trung-hung.html
Công Ty Cổ Phần Thiết Bị Vật Tư Ngân Hàng Và An Toàn Kho Quỹ Việt Nam,"Thôn Lập Thành, X. Đông Xuân, H. Quốc Oai,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh",www.ketsatcaocap.vn,'02433705382__0982770404',Hotline,X,,,ketsatchongchay@gmail.com,https://www.yellowpages.vn/lgs/119316534/cong-ty-co-phan-thiet-bi-vat-tu-ngan-hang-va-an-toan-kho-quy-viet-nam.html
Két Sắt Gia Định - Công ty TNHH Nội Thất Phú Gia An,"100 Phan Đăng Lưu, Phường 3, Quận Phú Nhuận,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Ngân Hàng - Trang Thiết Bị__Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh",www.ketsatgiadinh.vn,'0948020788__0933481979__02839953386',Ông Nguyễn Đình Lăng,,male,,ketgiadinh@gmail.com,https://www.yellowpages.vn/lgs/1187766300/ket-sat-gia-dinh-cong-ty-tnhh-noi-that-phu-gia-an.html
Nội Thất Xuân Hòa - Công Ty CP Xuân Hòa Việt Nam,"Đường Nguyễn Văn Linh, P. Xuân Hòa, TP. Phúc Yên,","Nội Thất Trường Học - Sản Xuất Và Kinh Doanh__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Đồ Nội Thất Gia Đình__Đồ Nội Thất Văn Phòng__Đồ Nội Thất - Thiết Kế Và Sản Xuất, Lắp Đặt Đồ Nội Thất",www.xuanhoa.vn__www.noithatxuanhoa.vn,'02113863244',Ông: Lê Duy Anh,,male,Tổng Giám Đốc,noithatxuanhoa@xuanhoa.vn,https://www.yellowpages.vn/lgs/741261/noi-that-xuan-hoa-cong-ty-cp-xuan-hoa-viet-nam.html
