company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thiết Bị An Ninh - An Toàn NB Thịnh Vượng - Công Ty Cổ Phần NB Thịnh Vượng,"Số 107, Tổ 4, TT. Đông Anh, H. Đông Anh,","Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Chuông Cửa Có Hình__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.nbthinhvuong.bizz.vn,'02438399777__0383680639__0914568368',Ms Nguyễn Thị Bích,,female,Kinh Doanh,prosnb.jsc@gmail.com,https://www.yellowpages.vn/lgs/1187816478/thiet-bi-an-ninh-an-toan-nb-thinh-vuong-cong-ty-co-phan-nb-thinh-vuong.html
Thiết Bị An Ninh An Toàn Hồng Việt Cường - Công Ty TNHH MTV Hồng Việt Cường,"24 ngô chân lưu, p. Hòa minh, q. Liên chiểu, TP Đà Nẵng","Camera Analog__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Nhà Thông Minh - Hệ Thống Và Thiết Bị__Camera Hikvision__Camera IP__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.hongvietcuongdng.com,'0905960505',Mr. Nguyễn Công Việt,,male,Phó Giám Đốc,hongvietcuong.dng@gmail.com,https://www.yellowpages.vn/lgs/1187876040/thiet-bi-an-ninh-an-toan-hong-viet-cuong-cong-ty-tnhh-mtv-hong-viet-cuong.html
Thiết Bị An Ninh O Sung Caps - Công Ty TNHH Một Thành Viên Thương Mại - Dịch Vụ O Sung Caps,"454/2 Tổ 3, Khu 8, Phường Phú Hòa, Thành Phố Thủ Dầu Một,","Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Máy Chấm Công__Bảo Vệ - Công Ty Bảo Vệ, Dịch Vụ Bảo Vệ (chuyên nghiệp, uy tín)__Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.osungcapscamera.bizz.vn,'0933061118__02743822573__02743822574',Mr. Phạm Thanh Hiệp,,male,Giám Đốc,hiepp2012@gmail.com,https://www.yellowpages.vn/lgs/1187828073/thiet-bi-an-ninh-o-sung-caps-cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-o-sung-caps.html
Công Nghệ Khánh Linh - Công Ty TNHH Giải Pháp Công Nghệ Khánh Linh,"Tầng Lửng Tại Tầng 1, Tòa Nhà An Phú Plaza, 117-119 Lý Chính Thắng, P. 07, Q. 3,","Máy Định Vị GPS, Thiết Bị Định Vị GPS__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Camera Hành Trình__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.camerakhanhlinh.vn__www.kltech.vn,'0975445432__0394300700',Mr. Nguyễn Như ý,,male,,yinguyen700@gmail.com,https://www.yellowpages.vn/lgs/1187896680/cong-nghe-khanh-linh-cong-ty-tnhh-giai-phap-cong-nghe-khanh-linh.html
Nhà Thông Minh TAANCO - Công Ty TNHH Đầu Tư Phát Triển Công Nghệ Tâm An,"141/58 Đường Số 28, P. 6, Q. Gò Vấp,","Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị__Nhà Thông Minh - Hệ Thống Và Thiết Bị__Cửa, Cổng Tự Động__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.tudongthongminh.com__www.taanco.com,'0938958246',Mr. Nguyễn Đặng Trường,,male,,info@taanco.com,https://www.yellowpages.vn/lgs/1187782845/nha-thong-minh-taanco-cong-ty-tnhh-dau-tu-phat-trien-cong-nghe-tam-an.html
Thiết Bị Chống Sét Bình Phú - Công Ty Cổ Phần Kỹ Thuật Bình Phú,"1128/1 Trường Sa, P. 13, Q. Phú Nhuận,","Máy Bơm, Máy Bơm Nước - Công Ty Sản Xuất và Phân Phối__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Đầu Ghi Hình Camera__Chống Sét Lan Truyền__Thiết Bị Chống Sét và Hệ Thống Chống Sét__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.binhphucorp.com,'02802839976994__0918232337__02839976995',Công Ty  Bình Phú,,,,truong@binhphucorp.com,https://www.yellowpages.vn/lgs/1187680524/thiet-bi-chong-set-binh-phu-cong-ty-co-phan-ky-thuat-binh-phu.html
Thiết Bị An Ninh Hồng Thủy - Công Ty TNHH Thương Mại Và Kỹ Thuật Hồng Thủy,"Tầng 2, Tòa Nhà HH1 Meco Complex, Ngõ 102 Trường Chinh, P. Phương Mai, Q. Đống Đa,","Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn__Thiết Bị Điện Thông Minh__Cảm Biến - Thiết Bị Cảm Biến",,'02439428100__0918945098',Hotline,X,,,kd@hongthuy.com.vn,https://www.yellowpages.vn/lgs/1187852127/thiet-bi-an-ninh-hong-thuy-cong-ty-tnhh-thuong-mai-va-ky-thuat-hong-thuy.html
Camera Kiến Hưng - Công Ty TNHH TM & DV Công Nghệ Kiến Hưng,"VP Miền Bắc: Số 31, Ngõ 44, P. Mai Dịch, Q. Cầu Giấy,","Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Chuông Cửa Có Hình__Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị__Đèn Năng Lượng Mặt Trời__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.camerakynguyen.com__www.kingwo.vn,'0971768865__0868796078',Mr. Hà Tiến Trọng,,male,Quản lý,hatientrong886@gmail.com,https://www.yellowpages.vn/lgs/1187831451/camera-kien-hung-cong-ty-tnhh-tm---dv-cong-nghe-kien-hung.html
Camera Việt Mỹ - Công Ty TNHH Dịch Vụ Giám Sát An Ninh Việt Mỹ,"131 Khuông Việt, Phường Phú Trung, Quận Tân Phú,","Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn__Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt",www.cameravietmy.com,'0987889924__0939118895',Mr. Toàn,,male,Giám Đốc,ctycameravietmy@gmail.com,https://www.yellowpages.vn/lgs/1187903700/camera-viet-my-cong-ty-tnhh-dich-vu-giam-sat-an-ninh-viet-my.html
Công Ty TNHH Ấn Lĩnh,"Số 4 Hồng Chương, P. An Đông, TP. Huế","Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.alicohue.com,'02343502882',Ông Hoàng Viết Thắng,,male,,alicohue@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187695209/cong-ty-tnhh-an-linh.html
