company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Quần áo Bảo Hộ Lao Động Phú Quý - Công Ty CP Sản Xuất Thương Mại May Phú Quý,"Trụ sở: Toàn Nhà An Phú Plaza, 117-119 Lý Chính Thắng, P. 7, Q. 3,",May Đồng Phục - Công Ty May Đồng Phục__Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động,www.dongphucphuquy.com,'02838666576__0903019622',Hotline,X,,,dongphucphuquy@gmail.com,https://www.yellowpages.vn/lgs/1187928267/quan-ao-bao-ho-lao-dong-phu-quy-cong-ty-cp-san-xuat-thuong-mai-may-phu-quy.html
Bảo Hộ Lao Động An Bảo - Công Ty Cổ Phần Sản Xuất Thương Mại Dịch Vụ An Bảo,"365-367 Tôn Đức Thắng, Q. Liên Chiểu,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Thiết Bị An Toàn Ngành Điện__Khẩu Trang Bảo Hộ Lao Động",www.anbaoco.com.vn,'02363738595__02363739944__0905303488',Ms. Phan Thị Hà Nam,,female,Phó Giám Đốc,anbao@anbaoco.com.vn,https://www.yellowpages.vn/lgs/119289591/bao-ho-lao-dong-an-bao-cong-ty-co-phan-san-xuat-thuong-mai-dich-vu-an-bao.html
Bảo Hộ Lao Động Phú Mỹ Tâm - Công Ty TNHH Thương Mại Và Dịch Vụ Phú Mỹ Tâm,"KP. Mỹ Thạnh, P. Mỹ Xuân, TX. Phú Mỹ,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động",www.phumytam.com__www.phumytamvungtau.com,'0982526134__02543931339__0914226134',Ông Nguyễn Thi Sĩ,,male,,phumytam@gmail.com,https://www.yellowpages.vn/lgs/1187704533/bao-ho-lao-dong-phu-my-tam-cong-ty-tnhh-thuong-mai-va-dich-vu-phu-my-tam.html
Bảo Hộ Lao Động Đạt Phát - Công Ty TNHH Thiết Bị Bảo Hộ Lao Động & Thương Mại Đạt Phát,": Số 281 Lê Duẩn, Q. Hai Bà Trưng,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động",www.thietbibhlddatphat.com,'0904500183__02439411035',Bà Nguyễn Thị Hoa,,female,,thangbhld@gmail.com,https://www.yellowpages.vn/lgs/1187719611/bao-ho-lao-dong-dat-phat-cong-ty-tnhh-thiet-bi-bao-ho-lao-dong---thuong-mai-dat-phat.html
BHLĐ Phương Ngọc - Công Ty TNHH Bảo Hộ Lao Động Phương Ngọc,": Lô 9, Đường  D5, Cụm Công Nghiệp An Xá, X. Lộc An, TP. Nam Định,","Dây Cẩu Hàng, Dây Cáp Vải Cẩu Hàng__Bảo Hộ Lao Động__Bình Chữa Cháy (CO2, Bột, Foam)__Quần áo Bảo Hộ Lao Động__Dây Đai An Toàn__Dây Thoát Hiểm, Thang Dây Thoát Hiểm",www.baoholaodongphuongngoc.com__www.baoholaodonghoabinh.com,'02283671465__0942430183__0946348998__0918696466',Ms. Thanh,,female,,bhldphuongngoc@gmail.com,https://www.yellowpages.vn/lgs/1187795883/bhld-phuong-ngoc-cong-ty-tnhh-bao-ho-lao-dong-phuong-ngoc.html
Bảo Hộ Lao Động TBC - Công Ty TNHH Sản Xuất Thương Mại Xuất Nhập Khẩu TBC,"Biệt Thự 22, Lô 16-B1 Làng Việt Kiều Châu Âu, Hà Đông,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động",www.baohotbc.com,'0911377997',Hotline,X,,,tbcimex@gmail.com,https://www.yellowpages.vn/lgs/1187837790/bao-ho-lao-dong-tbc-cong-ty-tnhh-san-xuat-thuong-mai-xuat-nhap-khau-tbc.html
Công Ty TNHH Nhật Minh Hương,"Thửa 1472, Tờ Bản Đồ Số 39, KP. Khánh Lộc, P. Khánh Bình, TX. Tân Uyên,","áo Đồng Phục__Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Khăn Bông - Sản Xuất và Bán Buôn Khăn Bông__Bịt Tai Chống ồn, Nút Tai Chống ồn__May Đồng Phục - Công Ty May Đồng Phục__Kính Bảo Hộ Lao Động__Đồng Phục Bảo Vệ (Quần áo Bảo Vệ, áo Bảo Vệ, Quần áo Bảo Vệ May Sẵn)__Găng Tay Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__Khẩu Trang Bảo Hộ Lao Động",www.nhatminhhuong.com__www.maydongphuc.pro.vn,'02746286468__0979429729__0906801551',Ms. Lê Thị Thu Hương,,female,,lethuhuong107@gmail.com,https://www.yellowpages.vn/lgs/1187682069/cong-ty-tnhh-nhat-minh-huong.html
Thiết Bị Bảo Hộ Lao Động Đông Á - Công Ty TNHH Thương Mại Thiết Bị Bảo Hộ Lao Động Đông Á,"66 Lê Tuấn Mậu, P. 13, Q. 6,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Dây Đai An Toàn__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động",www.dongasafety.com.vn__www.dongasafe.com,'02862980668__0983088438__0909329638',Bà Nguyễn Thị Tuyết Phương,,female,Giám đốc,dongasafety@gmail.com,https://www.yellowpages.vn/lgs/1145223/thiet-bi-bao-ho-lao-dong-dong-a-cong-ty-tnhh-thuong-mai-thiet-bi-bao-ho-lao-dong-dong-a.html
Bảo Hộ Lao Động Việt Nam SafeViet - Công Ty Cổ Phần Khoa Học Kỹ Thuật Bảo Hộ Lao Động Việt Nam,"Số 30 Phố Cầu Bây, Phường Sài Đồng, Quận Long Biên,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động",www.safeviet.com,'0913740466__0903254388__02436419962',Ông Hoàng Vũ,,male,Giám Đốc,vietnam@bhld.com.vn,https://www.yellowpages.vn/lgs/119297469/bao-ho-lao-dong-viet-nam-safeviet-cong-ty-co-phan-khoa-hoc-ky-thuat-bao-ho-lao-dong-viet-nam.html
Bảo Hộ Lao Động DHA - Công Ty CP Bảo Hộ Lao Động DHA Việt Nam,"Số 518D6, Ngõ 223 Tân Mai, Hoàng Mai,","Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Găng Tay Cách Điện__Kính Bảo Hộ Lao Động__Găng Tay Chống Tĩnh Điện__Dây Đai An Toàn__An Toàn Giao Thông - Trang Thiết bị An Toàn Giao Thông__Găng Tay Bảo Hộ Lao Động__Thiết Bị An Toàn Ngành Điện__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động",www.baoholaodonggiare.vn,'0985791729__02462978653',Hotline,X,,,baoholaodongdha@gmail.com,https://www.yellowpages.vn/lgs/1187720244/bao-ho-lao-dong-dha-cong-ty-cp-bao-ho-lao-dong-dha-viet-nam.html
