company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Biển Đẹp - Công Ty TNHH Sửa Chữa Tàu & Cứu Hộ Hàng Hải Biển Đẹp,"114B Khu Phố 3,Lý Phục Man, P. Bình Thuận, Q. 7,",Tàu Biển - Công Ty Sửa Chữa Tàu Biển__Cứu Hộ Giao Thông và Hàng Hải,www.nicesea.com.vn,'02837732883',,,,,,https://www.yellowpages.vn/lgs/1037190/bien-dep-cong-ty-tnhh-sua-chua-tau---cuu-ho-hang-hai-bien-dep.html
Công Ty TNHH Thương Mại & Dịch Vụ Giao Thông Miền Bắc,"Phòng 506, A12 Khu Tập Thể Khương Thượng,Trung Tự, Q. Đống Đa,",Cứu Hộ Giao Thông và Hàng Hải,,'02438687488',,,,,,https://www.yellowpages.vn/lgs/1301346/cong-ty-tnhh-thuong-mai---dich-vu-giao-thong-mien-bac.html
Cứu Hộ Giao Thông - Công Ty TNHH Đầu Tư & Xây Lắp An Đạt,"05 Tân Thái 3, P. Mân Thái, Q. Sơn Trà.","Sửa Chữa Ô Tô, Xe Tải - Dịch Vụ__Ô Tô Cũ, Xe Hơi Cũ - Mua Bán__Cứu Hộ Giao Thông và Hàng Hải",www.mayphatmaynen.com,'0943927878__0903530223',Mr. Phan Hải,,male,Giám đốc,: andat.generator@gmail.com,https://www.yellowpages.vn/lgs/1187922495/cuu-ho-giao-thong-cong-ty-tnhh-dau-tu---xay-lap-an-dat.html
Công ty TNHH TM & DV Sửa Chữa Ô Tô Ngọc Thắng/Gara Trường Thành,"Số 4, Lô 3B Lê Hồng Phong, Đông Khê, Ngô Quyền,			","Sửa Chữa Ô Tô, Xe Tải - Dịch Vụ__Cứu Hộ Giao Thông và Hàng Hải",,'0936854698__0934888333',Bùi Kim Ngọc,,,,buingocoto@gmail.com,https://www.yellowpages.vn/lgs/1187805015/cong-ty-tnhh-tm---dv-sua-chua-o-to-ngoc-thang-gara-truong-thanh.html
Công Ty CP Đóng Tàu Thiên Hậu Phước,"Thôn An hoà, X. Tam giang, H. Núi thành,",Tàu Thuyền - Dịch Vụ__Cứu Hộ Giao Thông và Hàng Hải,,'0903506565',Mr Vinh,,male,,marinebaoduy@gmail.com,https://www.yellowpages.vn/lgs/1187728296/cong-ty-cp-dong-tau-thien-hau-phuoc.html
Cứu Hộ Giao Thông Quảng Bình,"161 Lý Thánh Tông, Đồng Hới,",Cứu Hộ Giao Thông và Hàng Hải,www.xecauquangbinh.com,'0937577555',Ông Nguyễn Hữu Linh,,male,,nguyenhuulinh10c4b@gmail.com,https://www.yellowpages.vn/lgs/1187780484/cuu-ho-giao-thong-quang-binh.html
Công Ty Cổ Phần Vinaecrabike,"Số 62A6, Phường Bình Khánh, Tp. Long Xuyên,",Cứu Hộ Giao Thông và Hàng Hải,www.vncrabike.com,'1900599899',Mr. Hồ Quốc Việt,,male,,ceo.quocviet@gmail.com,https://www.yellowpages.vn/lgs/1187811768/cong-ty-co-phan-vinaecrabike.html
Cứu Hộ 24h,"157A Quốc Lộ 13, P. Hiệp Bình Chánh, Q. Thủ Đức,","Sửa Chữa Ô Tô, Xe Tải - Dịch Vụ__Cứu Hộ Giao Thông và Hàng Hải",www.cuuho24h.net__www.otovui.net,'__0903871909__0798901219',Mr. Đàm Quang Vinh,,male,,cuuho24h.net@gmail.com,https://www.yellowpages.vn/lgs/1187878080/cuu-ho-24h.html
ắc Quy Đức Vạn - Công Ty TNHH MTV Đức Vạn,"858 Ngô Quyền, Quận Sơn Trà,","ắc Quy - Nhà Cung Cấp ắc Quy__ắc Quy GS__ắc Quy Globe__ắc Quy Đồng Nai__ắc Quy Ô Tô__ắc Quy - Phụ Kiện và Phụ Tùng__Sửa Chữa Ô Tô, Xe Tải - Dịch Vụ__ắc Quy Xe Máy__ắc Quy Xe Đạp Điện__ắc Quy - Phục Chế và Sửa Chữa__ắc Quy Viễn Thông__Cứu Hộ Giao Thông và Hàng Hải",www.acquyducvan.com,'0774450294__0899856458',Ông Lại Tấn Phước,,male,,37k17laitanphuoc@gmail.com,https://www.yellowpages.vn/lgs/1187819619/ac-quy-duc-van-cong-ty-tnhh-mtv-duc-van.html
Sửa Chữa Ô Tô Thời Đại - Gara ÔTÔ Thời Đại,"Đường Phạm Bạch Hổ, Hiến Nam,","Sửa Chữa Ô Tô, Xe Tải - Dịch Vụ__Cứu Hộ Giao Thông và Hàng Hải",www.otothoidai.bizz.vn,'0935154898',Mr.  Hồ Đại,,male,Giám Đốc,thoidaioto@gmail.com,https://www.yellowpages.vn/lgs/1187762049/sua-chua-o-to-thoi-dai-gara-oto-thoi-dai.html
Doanh Nghiệp Tư Nhân Cứu Hộ Giao Thông Hà Nội,"Số 56/176 Nguyễn Sơn, P. Bồ Đề, Q. Long Biên,",Cứu Hộ Giao Thông và Hàng Hải,www.cuuhohanoi.com.vn,'0903262278',Hotline,X,,Điều hành,cvtc.hoangchau@gmail.com,https://www.yellowpages.vn/lgs/1187929041/doanh-nghiep-tu-nhan-cuu-ho-giao-thong-ha-noi.html
Công Ty TNHH Thiết Bị Công Nghệ Tổng Hợp,"87 Lê Văn Lộc,P. 7, Tp. Vũng Tàu,",Dầu Khí - Các Công Ty Dầu Khí__Cứu Hộ Giao Thông và Hàng Hải,,'02543839727',,,,,,https://www.yellowpages.vn/lgs/994965/cong-ty-tnhh-thiet-bi-cong-nghe-tong-hop.html
Cửa Hàng An Toàn-Cty TNHH Thương Mại Dịch Vụ Hàng Hải An Toàn,"56 Lê Hồng Phong, P. 4, Tp. Vũng Tàu,",Hàng Hải - Thiết Bị Hàng Hải__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Cứu Hộ Giao Thông và Hàng Hải,,'02543583750',,,,,,https://www.yellowpages.vn/lgs/1136373/cua-hang-an-toan-cty-tnhh-thuong-mai-dich-vu-hang-hai-an-toan.html
