company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Khóa Việt Tiệp - Công Ty CP Khóa Việt Tiệp,"TT. Đông Anh, H. Đông Anh,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa - Nhà Sản Xuất Khóa",www.khoaviettiep.com.vn,'02438832442',Hotline,X,,,info@khoaviettiep.com.vn,https://www.yellowpages.vn/lgs/739701/khoa-viet-tiep-cong-ty-cp-khoa-viet-tiep.html
Công Ty TNHH Cát Hưng,"76/6C Đường Xóm Đất, P. 8, Q. 11,",Khóa - Nhập Khẩu Và Phân Phối Khóa__Khóa - Nhà Sản Xuất Khóa,www.khoanhapkhau.net/home/,'0904804786',Ms. Thu,,female,,khoanhapkhau.net@gmail.com,https://www.yellowpages.vn/lgs/1187743845/cong-ty-tnhh-cat-hung.html
Minh Khai - Công Ty Cổ Phần Khoá Minh Khai,"125D Minh Khai, Q. Hai Bà Trưng,",Khóa - Nhà Sản Xuất Khóa,www.khoaminhkhai.com.vn,'02438637275',,,,,,https://www.yellowpages.vn/lgs/730209/minh-khai-cong-ty-co-phan-khoa-minh-khai.html
Khóa Ngũ Kim Reallocks - Công Ty TNHH SX XNK Ngũ Kim Reallocks,"397 Đường Hậu Giang, Phường 11, Quận 6,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa Điện Tử__Khóa - Nhà Sản Xuất Khóa",www.reallock.com.vn__www.reallockvn.com,'0908313956__0282223828002822238058__0911849336',Ms. Thúy,,female,,jessica@reallock.com,https://www.yellowpages.vn/lgs/1187889000/khoa-ngu-kim-reallocks-cong-ty-tnhh-sx-xnk-ngu-kim-reallocks.html
JEP - Công Ty Cổ Phần Nhật Bản,"Nhà 83, Lô D6, KĐT Mới Đại Kim, P. Đại Kim, Q. Hoàng Mai,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Sơn - Công Ty Sản Xuất và Cung Cấp Sơn__Khóa - Nhà Sản Xuất Khóa",www.jep.com.vn,'02436402667__0918295885__02436402666',Ms. Quỳnh,,female,,jepjsc@gmail.com,https://www.yellowpages.vn/lgs/1308879/jep-cong-ty-co-phan-nhat-ban.html
Phụ Kiện Cửa Trung Dũng - Công Ty CP Quốc Tế Trung Dũng,"Số 1/476 Tổ 1, KP. Hòa Lân 2, P. Thuận Giao, TP. Thuận An,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa - Nhà Sản Xuất Khóa",www.trungdungco.com.vn,'0919789633__02743710302',Mr. Thạch,,male,GĐ điều hành,thachlnn@tdcorp.vn,https://www.yellowpages.vn/lgs/996309/phu-kien-cua-trung-dung-cong-ty-cp-quoc-te-trung-dung.html
Công Ty TNHH R&T Locks Và Security (Việt Nam),"Xưởng A6, Lô A3, Đường N2, KCN Đại Đăng, P. Phú Tân, TP. Thủ Dầu Một,","Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Khóa - Nhà Sản Xuất Khóa",www.reallock.com.vn__www.reallock.com,'__02743628047__0908313956',Ms. Từ Ngọc Thúy,,female,GĐ. kinh doanh,,https://www.yellowpages.vn/lgs/1187728320/cong-ty-tnhh-r-t-locks-va-security--viet-nam-.html
Công Ty TNHH Thương Mại N.T.P,"278 Tô Hiến Thành, P. 15, Q. 10,","Vật Tư Ngành Nước, Phụ Kiện Ngành Nước__Van Công Nghiệp__Khóa - Nhà Sản Xuất Khóa",www.ntp.com.vn__www.masterlock.vn,'02838631133__0909189491',Ms. Nông Thị Thu,,female,,info@ntp.com.vn,https://www.yellowpages.vn/lgs/709536/cong-ty-tnhh-thuong-mai-n.t.p.html
Bulong ốc Vít Cường Thịnh - Công ty TNHH Cường Thịnh,"A012 KCC Đồng An, KP. Đồng An 2, P. Bình Hoà, TP. Thuận An,","Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Khóa - Nhà Sản Xuất Khóa__Đai ốc, E Cu, Tán__Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Khóa - Nhập Khẩu Và Phân Phối Khóa__Thanh Ren, Ty Ren, Guzong__Kim Khí - Vật Tư Và Phụ Kiện",www.kimkhicuongthinh.com,'0793617001',Hotline,X,,,cuongthinh.info9@gmail.com,https://www.yellowpages.vn/lgs/1187897061/bulong-oc-vit-cuong-thinh-cong-ty-tnhh-cuong-thinh.html
Công Ty TNHH Bảo Việt Trasimex,"116 Chu Văn An, P. 26, Q. Bình Thạnh,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa - Nhà Sản Xuất Khóa",www.olympialock.vn,'0913624411__02838997188',Mr. Thiện,,male,,info@olympialock.vn,https://www.yellowpages.vn/lgs/1187718012/cong-ty-tnhh-bao-viet-trasimex.html
