company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Nhà Thầu Cơ Điện Gia Quốc Anh - Công Ty TNHH MTV Xây Dựng Thương Mại Gia Quốc Anh,"347/23 Lê Văn Thọ, P. 9, Q. Gò Vấp,","Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Điều Hòa Không Khí/ Máy Lạnh  - Nhà Thầu__Nước - Thầu Cấp, Thoát Nước__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.giaquocanh.bizz.vn__www.giaquocanh.com,'0908204375__02822679797',Ông Nguyễn Văn Hinh,,male,,giaquocanh@gmail.com,https://www.yellowpages.vn/lgs/1187821143/nha-thau-co-dien-gia-quoc-anh-cong-ty-tnhh-mtv-xay-dung-thuong-mai-gia-quoc-anh.html
Nhà Thầu Cơ Điện Vina Power - Công Ty TNHH Xây Lắp Điện Và Thương Mại Vina Power,"Số 6A, KP 4C, Phường Trảng Dài, Thành Phố Biên Hoà,","Điện - Nhà Thầu Thi Công Điện__Máy biến áp, Máy Biến Thế (1 Pha, 3 Pha, Kiểu Kín, Hở,.)__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.diendongnaivinapower.com,'0906332733',Mr. Trần Văn Phát,,male,Phó giám đốc,phatdql@gmail.com,https://www.yellowpages.vn/lgs/1187924607/nha-thau-co-dien-vina-power-cong-ty-tnhh-xay-lap-dien-va-thuong-mai-vina-power.html
Công Ty TNHH Kỹ Thuật Cơ Điện Khôi Việt Phát,"5T/10M KP. Bình Thuận 2, P. Thuận Giao, TX. Thuận An,","Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Tủ Bảng Điện__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Thang Máng Cáp, Thang Cáp, Máng Cáp__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.codienkhoivietphat.com__www.codienbinhduong.com,'0934620879',HOTLINE,X,,,khoivietphat@gmail.com,https://www.yellowpages.vn/lgs/1187792253/cong-ty-tnhh-ky-thuat-co-dien-khoi-viet-phat.html
VITEQ Việt Nam - Công Ty Cổ Phần Công Nghệ VITEQ Việt Nam,"Số 1/41, Ngõ 12 (Ngõ 6 Mới), Phố Trần Quốc Hoàn, Q. Cầu Giấy,","Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Tủ Điện Trung Thế__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Tủ Bảng Điện__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Tủ Điện Hạ Thế",www.viteqvn.com,'02437930891__0981382266',Mr. Nguyễn Hoàng Sơn,,male,Quản lý,,https://www.yellowpages.vn/lgs/1187835612/viteq-viet-nam-cong-ty-co-phan-cong-nghe-viteq-viet-nam.html
Nhà Thầu Cơ Điện Thái Bình - Công Ty TNHH Thương Mại & Kỹ Thuật Thái Bình,"Số 9, đường 20, P. Linh Chiểu, Q. Thủ Đức,","Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước",www.thicongcodien.com.vn,'0918078960__02838975767',Ông Phạm Xuân Quốc,,male,,quoc@tbe.com.vn,https://www.yellowpages.vn/lgs/1032477/nha-thau-co-dien-thai-binh-cong-ty-tnhh-thuong-mai---ky-thuat-thai-binh.html
Cơ Điện OMETCO - Công Ty TNHH Kỹ Thuật Cơ Điện Đại Dương,"Số 43/10/1 Đường 42, Khu Phố 8, Phường Hiệp Bình Chánh, Quận Thủ Đức,","Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Tự Động Hóa - Hệ Thống và Thiết Bị Tự Động Hóa__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Tủ Bảng Điện__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Năng Lượng Mặt Trời - Hệ Thống Và Thiết Bị",www.omet.vn,'0988719827__0902444024__02836200798',Hotline,X,,,thangtruong.ometco@gmail.com,https://www.yellowpages.vn/lgs/1187896248/co-dien-ometco-cong-ty-tnhh-ky-thuat-co-dien-dai-duong.html
Công Ty CP Tư Vấn & Xây Lắp CDH Hà Nội,"VPGD : Tầng 5, Số 7A, Mạc Thị Bưởi, Q. Hai Bà Trưng,","Hệ Thống Điều Hòa Trung Tâm__Điều Hòa Không Khí/ Máy Lạnh  - Nhà Thầu__ống Gió (Xoắn, Vuông, Tròn, Lạnh,.)__Miệng Gió (2 Lớp, Tròn, Cấp, Hồi,..)__Điện Nước - Thầu Thi Công, Sửa Chữa, Bảo Trì Hệ Thống Điện Nước__Hệ Thống Thông Gió, Hệ Thống Làm Mát - Thiết Kế Và Thi Công__Ngành Lạnh - Vật Tư và Thiết Bị__Van Gió (1 Chiều, Tạo áp Cầu Thang, Chặn Lửa, VCD,.)__Điện Lạnh Công Nghiệp - Thiết Bị Và Hệ Thống Điện Lạnh Công Nghiệp__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.onggiohanoi.com__www.codienlanhcdh.com,'0904260029__02462929404',Ông Phạm Văn Hùng,,male,Quản Lý Dự án,codiencdh@gmail.com,https://www.yellowpages.vn/lgs/1187716422/cong-ty-cp-tu-van---xay-lap-cdh-ha-noi.html
Tổng Thầu Cơ Điện TST - Công Ty Cổ Phần Kỹ Thuật TST,"P904 Tầng 9, Tòa Nhà Gelex Tower, Số 52 Lê Đại Hành, P. Lê Đại Hành, Q. Hai Bà Trưng, Hà Nội","Điện - Nhà Thầu Thi Công Điện__Thông Gió, Làm Mát - Thiết Bị Thông Gió, Làm Mát__Hệ Thống Thông Gió, Hệ Thống Làm Mát - Thiết Kế Và Thi Công__Nước - Thầu Cấp, Thoát Nước__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.codientst.com__www.phongsachtst.com,'0977207668__02466665563',Ms. Tuyết Dung,,female,Kinh Doanh,tuyetdung@xaydungtst.com,https://www.yellowpages.vn/lgs/1187682627/tong-thau-co-dien-tst-cong-ty-co-phan-ky-thuat-tst.html
Nhà Thầu Cơ Điện M&E - Công Ty TNHH Ever Power,"Số 05, Tầng 24, Tòa Nhà Pearl Plaza, 561A Điện Biên Phủ, Phường 25, Q. Bình Thạnh,","Điện - Nhà Thầu Thi Công Điện__Hệ Thống Điều Hòa Trung Tâm__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Tủ Tụ Bù__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Tủ Bảng Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Điện Lạnh Công Nghiệp - Thiết Bị Và Hệ Thống Điện Lạnh Công Nghiệp__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.everpower.vn,'0913613663__0836613663',Mr. Phạm Quốc Trung,,male,,everpower999@gmail.com,https://www.yellowpages.vn/lgs/1187856417/nha-thau-co-dien-m-e-cong-ty-tnhh-ever-power.html
Nhà Thầu Cơ Điện VSE - Công Ty TNHH Cơ Điện VSE,"23 Mẹ Thứ, P. Hòa Xuân, Q. Cẩm Lệ ,","Thiết Bị Điện Công Nghiệp__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Tủ Điện Trung Thế__Tủ Điện ATS__Tủ Tụ Bù__Tủ Bảng Điện__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Tủ Điện Hạ Thế",www.facebook.com/thietbidien01,'0901131176__0901131161',Ông Nguyễn Cao Kỳ,,male,,kyncvse@gmail.com,https://www.yellowpages.vn/lgs/1187786022/nha-thau-co-dien-vse-cong-ty-tnhh-co-dien-vse.html
