company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thiết Bị Phòng Cháy Chữa Cháy Đạt Phát - Công Ty TNHH Thiết Bị Bảo Hộ Lao Động & Thương Mại Đạt Phát,": Số 281 Lê Duẩn, Q. Hai Bà Trưng,","Chuông Báo Cháy, Còi Báo Cháy__Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Đèn Báo Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)",www.thietbibhlddatphat.com,'0386360417__02439411035',Bà Nguyễn Thị Hoa,,female,,baoholaodongdatphat@gmail.com,https://www.yellowpages.vn/lgs/1187906001/thiet-bi-phong-chay-chua-chay-dat-phat-cong-ty-tnhh-thiet-bi-bao-ho-lao-dong---thuong-mai-dat-phat.html
Phòng Cháy Chữa Cháy VIETSAFE - Công Ty Cổ Phần Công Nghệ An Toàn Việt Nam," Tầng 7, Tòa Nhà 169, Đường Nguyễn Ngọc Vũ, Q. Cầu Giấy,","Chuông Báo Cháy, Còi Báo Cháy__Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn",www.isafe.com.vn__www.vietsafe.com.vn,'0902836044__02437931355',Ms. Nguyễn Lệ Mỹ,,female,Sales & Marketing Online,my.nguyen@vietsafe.com.vn,https://www.yellowpages.vn/lgs/1187715408/phong-chay-chua-chay-vietsafe-cong-ty-co-phan-cong-nghe-an-toan-viet-nam.html
PCCC Nguyễn Hồ - Công Ty Cổ Phần Nguyễn Hồ,"218B Võ Thành Trang, P. 11, Q. Tân Bình,","Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Dây Thoát Hiểm, Thang Dây Thoát Hiểm__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Đèn Báo Cháy__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Nhà Thầu Cơ Điện, Cơ Điện Công Trình",www.nguyenhojsc.com,'02838427708__0903931149',Ông Nguyễn Văn Thao,,male,,info@nguyenhojsc.com,https://www.yellowpages.vn/lgs/1187779020/pccc-nguyen-ho-cong-ty-co-phan-nguyen-ho.html
Thiết Bị PCCC Phú Khang - Công Ty TNHH Thiết Bị Phòng Cháy Chữa Cháy Phú Khang,"9/4 Đường ĐT 743, Khu Phố Bình Quới B, P. Bình Chuẩn, TX. Thuận An,","Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Hệ Thống Báo Cháy, Hệ Thống Chữa Cháy Tự Động__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Trụ Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Trung Tâm Báo Cháy",www.phukhangpccc.com,'02743798926__0909986456',Hotline,X,,,sale@phukhangpccc.com,https://www.yellowpages.vn/lgs/1187757246/thiet-bi-pccc-phu-khang-cong-ty-tnhh-thiet-bi-phong-chay-chua-chay-phu-khang.html
Thiết Bị PCCC Phong Lan - Cơ Sở Trang Thiết Bị PCCC Phong Lan,"37/3 Ấp Thanh Hóa, X. Hố Nai 3, H. Trảng Bom,","Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)",www.phonglan.bizz.vn__www.phonglan.znn.vn,'02513674125__0913728760',Bà Phạm Thị Lang,,female,Chủ Cơ Sở,pcccphonglan140175@yahoo.com.vn,https://www.yellowpages.vn/lgs/3779496/thiet-bi-pccc-phong-lan-co-so-trang-thiet-bi-pccc-phong-lan.html
Thiết Bị PCCC Hoàng Khang Phúc - Công Ty TNHH Thương Mại Dịch Vụ Hoàng Khang Phúc,"Lô 18 - V2 KDC Tân Bình, KP Tân Thắng, P. Tân Bình, TX. Dĩ An,","Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Kim Thu Sét__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Điện Lạnh Dân Dụng - Nhà Cung Cấp__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Điện Lạnh Công Nghiệp - Dịch Vụ Bảo Trì, Sửa Chữa",www.pccchoangkhangphuc.com,'0934537679__02743775890',Ông Nguyễn Văn Hùng,,male,,manhhungpccc09@gmail.com,https://www.yellowpages.vn/lgs/1187731014/thiet-bi-pccc-hoang-khang-phuc-cong-ty-tnhh-thuong-mai-dich-vu-hoang-khang-phuc.html
PCCC Kiến Hưng - Công Ty TNHH Đầu Tư Thương Mại & Dịch Vụ Kiến Hưng,"Số 95, Tổ 5 Đa Sỹ, P. Kiến Hưng, Q. Hà Đông,","Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Quần áo Chữa Cháy Và Giày, ủng, Găng Tay,. Chống, Chữa Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Cho Thuê Xe Ô Tô, Cho Thuê Xe Tháng, Xe Tự Lái,..",www.sieuthithietbipccc.com__www.muabanpccc.com,'0902060114',Mr. Tuân,,male,,tuan.tt@ceotech.vn,https://www.yellowpages.vn/lgs/1187825571/pccc-kien-hung-cong-ty-tnhh-dau-tu-thuong-mai---dich-vu-kien-hung.html
Thiết Bị PCCC Đức Thịnh - Công Ty TNHH Thương Mại Xuất Nhập Khẩu Tấn Đức Thịnh,"Số 9A, Đường 1A, KCN Biên Hòa 2, P. An Bình, TP. Biên Hòa,","Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)",www.tanducthinh.com,'02513893875__0908169000',Bà Nguyễn Thị Thanh Thủy,,female,,tanducthinhphongchay@gmail.com,https://www.yellowpages.vn/lgs/1187744571/thiet-bi-pccc-duc-thinh-cong-ty-tnhh-thuong-mai-xuat-nhap-khau-tan-duc-thinh.html
Hệ Thống PCCC Nhân Danh - Công Ty TNHH Lắp Đặt Hệ Thống PCCC Nhân Danh,"Số 25, Quang Trung, KP. 2, P. Hiệp Phú, Q. 9,","Chuông Báo Cháy, Còi Báo Cháy__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Thiết Bị Chữa Cháy (Tủ, Cuộn, Vòi, Van, Lăng, Trụ, Họng Chữa Cháy)__Nút Nhấn Khẩn Cấp, Nút ấn Báo Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Lăng Chữa Cháy__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Quần áo Chữa Cháy Và Giày, ủng, Găng Tay,. Chống, Chữa Cháy__Đèn Báo Cháy__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Máy Bơm Chữa Cháy, Cứu Hỏa (Diesel, Xăng,..Pentax, Tohatsu, Ebara,.)__Trung Tâm Báo Cháy",www.pcccnhandanh.vn,'02866884666__0972104779',Mr. Cương,,male,,nhandanh114@gmail.com,https://www.yellowpages.vn/lgs/1187838492/he-thong-pccc-nhan-danh-cong-ty-tnhh-lap-dat-he-thong-pccc-nhan-danh.html
PCCC Phú Bình - Công Ty TNHH Kỹ Thuật Phòng Cháy Chữa Cháy Phú Bình,"598 - 600 Trường Chinh, P. Tân Hưng Thuận, Q. 12,","Bình Chữa Cháy (CO2, Bột, Foam)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Trung Tâm Báo Cháy",www.phubinhpccc.vn,'02862564670__0907019019',Mr. Trương Thế Anh,,male,,phubinhpccc@gmail.com,https://www.yellowpages.vn/lgs/1187729874/pccc-phu-binh-cong-ty-tnhh-ky-thuat-phong-chay-chua-chay-phu-binh.html
