company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thiết Bị Chống Sét Mỹ Phúc - Công Ty TNHH Thương Mại & Kỹ Thuật Mỹ Phúc,"92 Tôn Thất Hiệp, P. 13, Q. 11,","Kim Thu Sét__Chống Sét Lan Truyền__Cọc Tiếp Địa, Cọc Chống Sét__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Công Nghiệp - Máy Móc Và Thiết Bị Công Nghiệp",www.mfco.com.vn,'02839650712__0913668423',Mr. Hùng,,male,,sales@mfco.com.vn,https://www.yellowpages.vn/lgs/1003500/thiet-bi-chong-set-my-phuc-cong-ty-tnhh-thuong-mai---ky-thuat-my-phuc.html
Thiết Bị Chống Sét AMB - Công Ty TNHH Khoa Học ứng Dụng AMB Việt Nam,"Lô 70, Khu Đất Dịch Vụ Xa La, Tổ Dân Phố 11, Phường Phúc La, Quận Hà Đông,","Thiết Bị Chống Sét và Hệ Thống Chống Sét__Chống Sét Lan Truyền__Kim Thu Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.ambvietnam.vn,'0975008163__0977059755',Ms. Nguyễn Thị Huyền,,female,Giám Đốc,congtyambvietnam@gmail.com,https://www.yellowpages.vn/lgs/1187911908/thiet-bi-chong-set-amb-cong-ty-tnhh-khoa-hoc-ung-dung-amb-viet-nam.html
Thiết Bị Hoàn Mỹ - Công Ty TNHH MTV Thiết Bị Hoàn Mỹ,"Ô 23B, Lô NP6, Tổ 8, Khu phố 3, P. Mỹ Phước, TX. Bến Cát,","Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ__Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt__Kim Thu Sét__Camera Vantech__Camera Dahua__Cọc Tiếp Địa, Cọc Chống Sét__Camera Questek__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị__Thiết Bị Báo Cháy (Đầu Báo Cháy, Còi, Đèn, Chuông, Nút Nhấn,. Trung Tâm Báo Cháy)__Thiết Bị Điện Thông Minh",www.hoanmyltd.com__www.hoanmyltd.net,'0898639117__02746561068__0947152500',Ông Trần Viết Doanh,,male,,binhduongboss@gmail.com,https://www.yellowpages.vn/lgs/1187750646/thiet-bi-hoan-my-cong-ty-tnhh-mtv-thiet-bi-hoan-my.html
Thiết Bị Chống Sét Bảo Uyên - Công Ty TNHH Đầu Tư Thương Mại Bảo Uyên,"Số 6A, Tổ dân phố 2, P. Phú La, Q. Hà Đông,","Thiết Bị Chống Sét và Hệ Thống Chống Sét__Chống Sét Lan Truyền__Kim Thu Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.chongsetthudo.com__www.chongsetbaouyen.com,'0944485361__0988354757__02462929829',Hotline,X,,,doanhai7681@gmail.com,https://www.yellowpages.vn/lgs/1187786931/thiet-bi-chong-set-bao-uyen-cong-ty-tnhh-dau-tu-thuong-mai-bao-uyen.html
Chống Sét Nhất Phát - Công Ty TNHH Kỹ Thuật Công Nghệ Và Thương Mại Nhất Phát,"Số 31/68 Đường Hoàng Công Chất, Phường Phú Diễn, Quận Bắc Từ Liêm,","Thiết Bị Chống Sét và Hệ Thống Chống Sét__Chống Sét Lan Truyền__Kim Thu Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.chongsethiendai.com,'0918266818',Ông Đoàn Văn Lương,,male,,chongsethiendai@gmail.com,https://www.yellowpages.vn/lgs/1187758560/chong-set-nhat-phat-cong-ty-tnhh-ky-thuat-cong-nghe-va-thuong-mai-nhat-phat.html
Chống Sét Gia Anh - Công Ty Cổ Phần Chống Sét Gia Anh,"184B2, Tân Mai, Q. Hoàng Mai,","Thiết Bị Chống Sét và Hệ Thống Chống Sét__Chống Sét Lan Truyền__Kim Thu Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.chongsethanoi.com,'02436611999__0914377611',Mr. Trà,,male,Giám Đốc Dự Án,trathanh@gmail.com,https://www.yellowpages.vn/lgs/1187686827/chong-set-gia-anh-cong-ty-co-phan-chong-set-gia-anh.html
Hệ Thống Thiết Bị Chống Sét Song Thái Tùng - Công Ty TNHH Song Thái Tùng,"Số 4/21 Hoà Lân 1, P. Thuận Giao, Tp. Thuận An,","Camera Hành Trình__Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera__Máy Chấm Công__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Kim Thu Sét__Camera Vantech__Chống Sét Lan Truyền__Cọc Tiếp Địa, Cọc Chống Sét__Camera Questek__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị",www.thietbiphongchay.org,'0988488818__02743814142',Mr. Mai Văn Thái,,male,,mvthai.ktt@gmail.com,https://www.yellowpages.vn/lgs/1187769429/he-thong-thiet-bi-chong-set-song-thai-tung-cong-ty-tnhh-song-thai-tung.html
Thiết Bị Chống Sét Quang Hưng - Công Ty Cổ Phần Tập Đoàn Xây Dựng Quang Hưng,"19 Ngõ 41/27 Phố Vọng, P. Đồng Tâm, Q. Hai Bà Trưng,","Thiết Bị Chống Sét và Hệ Thống Chống Sét__Chống Sét Lan Truyền__Kim Thu Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.congtyquanghung.com.vn,'02439334555__0989091727',Ms. Vũ Thị Thuận,,female,Giám Đốc,quanghung.cse@gmail.com,https://www.yellowpages.vn/lgs/1187696262/thiet-bi-chong-set-quang-hung-cong-ty-co-phan-tap-doan-xay-dung-quang-hung.html
Chống Sét Hải Tiến - Công Ty TNHH Đầu Tư Thương Mại Hải Tiến,"Số 56, Ngõ 179/90 Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai,","Thiết Bị Chống Sét và Hệ Thống Chống Sét__Chống Sét Lan Truyền__Kim Thu Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.chongsethaitien.com,'0823326333__0907556616',Mr. Chiển,X,male,Hotline,sale.chongset@gmail.com,https://www.yellowpages.vn/lgs/1187855100/chong-set-hai-tien-cong-ty-tnhh-dau-tu-thuong-mai-hai-tien.html
Chống Sét Đồng Nai - Công Ty Cổ Phần Chống Sét Đồng Nai,"Số 26/90, KP. 13, P. Hố Nai, TP. Biên Hòa,","Kim Thu Sét__Chống Sét Lan Truyền__Thiết Bị Chống Sét và Hệ Thống Chống Sét__Cọc Tiếp Địa, Cọc Chống Sét",www.chongsetdongnai.com,'0903484147__0904442947',Hotline,X,,,chongsetdongnai2018@gmail.com,https://www.yellowpages.vn/lgs/1187818962/chong-set-dong-nai-cong-ty-co-phan-chong-set-dong-nai.html
