company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Trục Bung Hơi Airshaft - Công Ty TNHH SX & TM & DV Bác Sĩ Trục Hơi,"428/17/5 Đường Chiến Lược, Khu Phố 8, Phường Bình Trị Đông A, Quận Bình Tân,",Bao Bì - Máy Móc và Thiết Bị__Bao Bì Carton - Máy Móc Và Thiết Bị__Bao Bì Nhựa - Máy Móc Và Thiết Bị,www.airshaftvn.com,'02862836285__0969984675__0334748288__0962776261',Mr. Kwon Jun Mo,,male,Giám Đốc,drshaftvn@gmail.com,https://www.yellowpages.vn/lgs/1187918157/truc-bung-hoi-airshaft-cong-ty-tnhh-sx---tm---dv-bac-si-truc-hoi.html
Máy Móc Bao Bì PTS - Công Ty TNHH Công Nghiệp PTS,"Số 25 đường số 1, KDC Cityland, Phường 10, Quận Gò Vấp","Thùng Carton, Thùng Giấy__Máy Tạo Sóng__Bao Bì - Máy Móc và Thiết Bị__In ấn - Máy Móc và Thiết Bị In ấn__Máy Chia Cuộn__Máy In Flexo__Máy Gấp Giấy__In ấn - Vật Tư Ngành In ấn__Dao Bế__Máy Cắt Giấy__Bản In Polymer, Bản In Cao Su__Bao Bì Carton - Máy Móc Và Thiết Bị__Máy Dán Thùng Carton__Máy Bế Hộp Giấy",www.pts-vietnam.com,'0905675566__02822215666__0975699884',Bùi Thanh Hùng,,,Nhân Viên Kinh doanh,admin@pts-vietnam.com,https://www.yellowpages.vn/lgs/1187723895/may-moc-bao-bi-pts-cong-ty-tnhh-cong-nghiep-pts.html
Công Ty TNHH HSIEH HSU MACHINERY (Việt Nam),"Số 18, Vsip II-A, Đường Số 26, KCN Việt Nam-Singapore II-A, P. Vĩnh Tân, TX. Tân Uyên,",Máy Tạo Sóng__Bao Bì - Máy Móc và Thiết Bị__Máy Gấp Giấy__Bao Bì Carton - Máy Móc Và Thiết Bị__Máy Bế Hộp Giấy,www.hsiehhsu.com.vn,'0909965070__0274222621',Mr. Minh,,male,,cokhi.hsiehhsu@gmail.com,https://www.yellowpages.vn/lgs/1187923668/cong-ty-tnhh-hsieh-hsu-machinery--viet-nam-.html
Công Ty TNHH Dịch Vụ Và Thương Mại Thanh Thanh Bình,"Số 8 Đường Trần Nguyên Hãn, Thanh Lâm, Mê Linh,",Máy Tạo Sóng__Bao Bì - Máy Móc và Thiết Bị__In ấn - Máy Móc và Thiết Bị In ấn__Máy Cán Màng__Máy Chia Cuộn__Máy In Flexo__Máy Gấp Giấy__Bao Bì Nhựa - Máy Móc Và Thiết Bị__Máy Cắt Giấy__Máy May Bao__Bao Bì Carton - Máy Móc Và Thiết Bị__Máy Dán Thùng Carton__Máy Bế Hộp Giấy,www.maybaobidailoan.vn__www.maybaobitaiwan.vn,'0902246883',Ông Phạm Ngọc Bình,,male,,maybaobidailoan@gmail.com,https://www.yellowpages.vn/lgs/1187723199/cong-ty-tnhh-dich-vu-va-thuong-mai-thanh-thanh-binh.html
Cơ Khí Đài Bắc - Công Ty TNHH MTV Thương Mại Dịch Vụ Đài Bắc,"31 Ấp Bàu Sim, Đường Số 6, X. Tân Thông Hội, H. Củ Chi,",Máy Tạo Sóng__Bao Bì - Máy Móc và Thiết Bị__Máy Cán Màng__Máy Chia Cuộn__Máy In Flexo__Máy Cắt Giấy__Bao Bì Carton - Máy Móc Và Thiết Bị__Máy Dán Thùng Carton__Máy Bế Hộp Giấy,www.daibac.net,'0903930852__02838922691',Văn Phòng,,,,cokhi.daibac@gmail.com,https://www.yellowpages.vn/lgs/1023912/co-khi-dai-bac-cong-ty-tnhh-mtv-thuong-mai-dich-vu-dai-bac.html
Trung Mỹ á - Công Ty TNHH Trung Mỹ á,"64 Đường Lý Thánh Tông, P. Hiệp Tân, Q. Tân Phú,",Máy Tạo Sóng__Bao Bì - Máy Móc và Thiết Bị__Máy Cán Màng__Máy In Flexo__Máy In Offset__Bao Bì Nhựa - Máy Móc Và Thiết Bị__Máy Cắt Giấy__Màng BOPP__Máy Thổi Màng__Máy In ống Đồng__Bao Bì Carton - Máy Móc Và Thiết Bị__Máy Bế Hộp Giấy,www.maybaobigiay.com,'0908147844__02822432032',Ông Nguyễn Hữu Trung,,male,Giám Đốc,trungmya@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187694783/trung-my-a-cong-ty-tnhh-trung-my-a.html
Máy Móc In Bao Bì Khải Việt - Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất & In Bao Bì Khải Việt,"Số 31, Đường 26, Ấp Trung, X. Tân Thông Hội, H. Củ Chi,",Máy Tạo Sóng__Máy Dán Màng Nhôm__Bao Bì - Máy Móc và Thiết Bị__Máy Cán Màng__Máy Chia Cuộn__Máy In Flexo__Máy Cắt Giấy__Bao Bì Carton - Máy Móc Và Thiết Bị__Máy Dán Thùng Carton__Máy Bế Hộp Giấy,www.khaivietco.com,'0937735118__02838920063',Lâm Doanh Quân,,,,khaivietco@gmail.com,https://www.yellowpages.vn/lgs/967824/may-moc-in-bao-bi-khai-viet-cong-ty-tnhh-thuong-mai-dich-vu-san-xuat---in-bao-bi-khai-viet.html
Máy Móc Thiết Bị Bao Bì Vân Anh - Công Ty TNHH MTV Vân Anh - Doanh Nghiệp Tư Nhân Vy Thông,"50/38E Trần Hoàng Na, P. Hưng Lợi, Q. Ninh Kiều,","Thiết Bị Đo Độ ẩm, Máy Đo Độ ẩm (Nông Sản, Ngũ Cốc, Giấy, Gỗ,..)__Vải Vụn, Giẻ Lau Máy__Bao Bì - Máy Móc và Thiết Bị__Cân Điện Tử__Nông Nghiệp - Máy Móc và Thiết Bị Nông Nghiệp__Chỉ May Bao Bì, Chỉ Khâu Bao Bì__Máy May Bao__Cao Su - Sản Phẩm Cao Su__Cân - Nhà Sản Xuất",www.vananhco.com,'02923738855__0918304284',Ông Nguyễn Anh Tú,,male,Giám đốc,vananhco.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187701314/may-moc-thiet-bi-bao-bi-van-anh-cong-ty-tnhh-mtv-van-anh-doanh-nghiep-tu-nhan-vy-thong.html
Máy Móc Ngành Nhựa Nam Khánh Phong - Công Ty TNHH Thương Mại Nam Khánh Phong,"Số 39/ 243 Cột Còi, Lãm Hà, Kiến An,","Bao Bì - Máy Móc và Thiết Bị__Máy Chia Cuộn__Máy In Offset__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa - Máy Móc Và Thiết Bị__In ấn - Vật Tư Ngành In ấn__Nhựa - Máy Móc và Thiết Bị Ngành Nhựa",www.namkhanhphongco.com,'0902236158__02252809888',Mr. Dũng,,male,,namkhanhphongco@gmail.com,https://www.yellowpages.vn/lgs/1187830260/may-moc-nganh-nhua-nam-khanh-phong-cong-ty-tnhh-thuong-mai-nam-khanh-phong.html
Máy Móc Đóng Gói Công Nghệ Sản Xuất Việt Nam - Công Ty TNHH Công Nghệ Sản Xuất Việt Nam,"Số 26 Ngõ 16, Văn Phú, Phường Phú La, Quận Hà Đông,",Keo Dán và Chất Dính__Máy Đóng Gói__Bao Bì - Máy Móc và Thiết Bị,www.mayphunkeo.net,'0911375115',Ông Nguyễn Văn Bon,,male,,Bonnv.cnsxvn@gmail.com,https://www.yellowpages.vn/lgs/1187851182/may-moc-dong-goi-cong-nghe-san-xuat-viet-nam-cong-ty-tnhh-cong-nghe-san-xuat-viet-nam.html
