company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì PGS Việt Nhật - Công Ty TNHH Bao Bì Và In PGS Việt Nhật,"Xóm 6, Xã Đông Sơn, Huyện Thủy Nguyên,","Thùng Carton, Thùng Giấy__Bao Bì Hộp__Bao Bì Giấy__Bao Bì Thực Phẩm__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)__Bao Bì Carton",www.baobicartonhaiphong.com__www.baobivainpgsvietnhat.com,'0983228646__0936549797__02252688488',Hotline,X,,,baobivainpgsvietnhat@gmail.com,https://www.yellowpages.vn/lgs/1187919072/bao-bi-pgs-viet-nhat-cong-ty-tnhh-bao-bi-va-in-pgs-viet-nhat.html
Bao Bì Khang Nguyễn - Công Ty TNHH MTV Bao Bì Khang Nguyễn,"Thửa Đất Số 905, TBĐS 8, KP. Khánh Hòa, P. Tân Phước Khánh, TX. Tân Uyên,","Thùng Carton 7 Lớp__Thùng Carton, Thùng Giấy__Thùng Carton 5 Lớp__Bao Bì Giấy__Tấm Carton, Bìa Carton__Thùng Carton 3 Lớp__Giấy Tổ Ong__Pallet Giấy__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Thanh Nẹp Giấy, Nẹp Góc__Bao Bì Carton",www.baobikhangnguyen.com,'0982950363__02742216555__0909710192',Hotline,X,,,baobikhangnguyen@gmail.com,https://www.yellowpages.vn/lgs/1187699409/bao-bi-khang-nguyen-cong-ty-tnhh-mtv-bao-bi-khang-nguyen.html
Bao Bì Carton Khải Lợi - Công Ty TNHH Sản Xuất Thương Mại Khải Lợi,"Ấp Bình Hữu 1, X. Đức Hòa Thượng, H. Đức Hòa,","Thùng Carton 7 Lớp__Thùng Carton 5 Lớp__Thùng Carton In Offset__Tấm Carton, Bìa Carton__Thùng Carton 3 Lớp__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Bao Bì Carton",www.khailoicarton.com,'02723817066__0903987819__0903987882',Phòng Kinh Doanh,,,,khailoicarton@gmail.com,https://www.yellowpages.vn/lgs/1187752626/bao-bi-carton-khai-loi-cong-ty-tnhh-san-xuat-thuong-mai-khai-loi.html
Bao Bì Carton Bắc Trường Sơn - Công Ty Cổ Phần Đầu Tư Và Thương Mại Bắc Trường Sơn,"Cụm Công Nghiệp Lai Cách, Thị Trấn Lai Cách, H. Cẩm Giàng,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Thùng Carton 5 Lớp__Thùng Carton In Offset__Tấm Carton, Bìa Carton__Giấy -  Sản Phẩm Giấy__Thùng Carton 3 Lớp__Bao Bì Carton",www.bactruongson.com.vn,'0918136768__02203786678',Hotline,X,,,bactruongson@gmail.com,https://www.yellowpages.vn/lgs/1187717919/bao-bi-carton-bac-truong-son-cong-ty-co-phan-dau-tu-va-thuong-mai-bac-truong-son.html
Bao Bì Tân Minh Long - Công Ty TNHH Bao Bì Tân Minh Long,"Số 13, Đường D2, KDC Phát Triển Đô Thị Tân Bình, Khu Phố Tân Phước, Phường Tân Bình, Thành Phố Dĩ An,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Hộp__Thùng Carton Cũ__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Thùng Carton 5 Lớp__Bao Bì Giấy__Thùng Carton 3 Lớp__Thùng Bế, Hộp Bế__Bao Bì Carton",www.baobitanminhlong.com,'0977273779__02742461027',Hotline,X,,,vietcarton@gmail.com,https://www.yellowpages.vn/lgs/1187752602/bao-bi-tan-minh-long-cong-ty-tnhh-bao-bi-tan-minh-long.html
Bao Bì Đại Phát - Công Ty TNHH Sản Xuất Bao Bì Và Dịch Vụ Đại Phát,"Khu 1, X. Đại Thịnh, H. Mê Linh,","Thùng Carton, Thùng Giấy__Bao Bì Carton__Thùng Carton 5 Lớp__Thùng Carton 3 Lớp__Thanh Nẹp Giấy, Nẹp Góc",www.baobidaiphat.com,'0973078785__02463273364',Ông Nguyễn Mạnh Hùng,,male,,daiphattnhh@gmail.com,https://www.yellowpages.vn/lgs/1187761722/bao-bi-dai-phat-cong-ty-tnhh-san-xuat-bao-bi-va-dich-vu-dai-phat.html
Bao Bì Thuần Việt Phát - Công Ty TNHH Sản Xuất Thương Mại In ấn Thuần Việt Phát,"66B, Tổ 2, Khu 1, Ấp 1, P. An Hòa, Tp. Biên Hòa,","Thùng Carton 7 Lớp__Thùng Carton, Thùng Giấy__Thùng Carton 5 Lớp__Thùng Carton In Offset__Thùng Carton 3 Lớp__Bao Bì Carton",www.baobithuanvietphat.com__www.congtythuanvietphat.com,'0933698089__02516513658__0901554598',Mr. Nguyễn Huỳnh Hòa,X,male,Hotline,thuanvietphatlabel@gmail.com,https://www.yellowpages.vn/lgs/1187770656/bao-bi-thuan-viet-phat-cong-ty-tnhh-san-xuat-thuong-mai-in-an-thuan-viet-phat.html
Bao Bì Cửu Long Việt Nam - Công Ty Cổ Phần Bao Bì Cửu Long Việt Nam,": Số 51C/1, KP. 1, P. An Phú, TX. Thuận An,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Carton 2 Lớp (Thùng, Giấy,..Carton 2 Lớp)__Thùng Carton 5 Lớp__Thùng Carton In Offset__Giấy -  Sản Phẩm Giấy__Thùng Carton 3 Lớp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Carton",www.baobicuulong.bizz.vn,'0982490786',Mr. Dương,,male,Quản Lý Kinh Doanh,baobicuulong.vn@gmail.com,https://www.yellowpages.vn/lgs/1187749941/bao-bi-cuu-long-viet-nam-cong-ty-co-phan-bao-bi-cuu-long-viet-nam.html
Bao Bì Carton HLT Vina - Công Ty Cổ Phần Đầu Tư HLT Vina,"Thôn Giữa, Lạc Đạo, H. Văn Lâm,","Thùng Carton 7 Lớp__Thùng Carton 5 Lớp__Tấm Carton, Bìa Carton__Thùng Carton 3 Lớp__Bao Bì Carton",www.hltvina.com,'0972645186__0365581256',Mr. Lê Văn Trường,,male,Phòng Kinh Doanh,letruonghltvina@gmail.com,https://www.yellowpages.vn/lgs/1187821047/bao-bi-carton-hlt-vina-cong-ty-co-phan-dau-tu-hlt-vina.html
Công Ty TNHH Bao Bì Huy Hiếu,"TĐ Số 1032, TBĐ Số 10, KP. Khánh Lộc, P. Tân Phước Khánh, TX. Tân Uyên,","Thùng Carton 7 Lớp__Thùng Carton 5 Lớp__Thùng Carton In Offset__Thùng Carton 3 Lớp__Thùng Bế, Hộp Bế__Bao Bì Carton",www.baobihuyhieu.com,'0962024318__0909507318',Ms. Hạnh,,female,Nhân Viên Kinh Doanh,hanh.hh@baobihuyhieu.com,https://www.yellowpages.vn/lgs/1187712738/cong-ty-tnhh-bao-bi-huy-hieu.html
