company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH SX Và XNK Bao Bì Hà Nội (HANOPACO),"Lô TTCN1, KCN Phú Nghĩa, X. Phú Nghĩa,  H. Chương Mỹ,","Bao Bì Dược Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Bao Bì Giấy__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.hanopaco.com.vn,'0902225469',Hotline,X,,,info.hanopaco@gmail.com,https://www.yellowpages.vn/lgs/1187910624/cong-ty-tnhh-sx-va-xnk-bao-bi-ha-noi--hanopaco-.html
Chai PET Sáng Tâm - Công Ty TNHH Sản Xuất Và Thương Mại Sáng Tâm,"841 Quốc Lộ 1A, Phường Bình Hưng Hòa A, Quận Tân Bình,","Nắp Chai, Nút Chai - Sản Xuất Và Cung Cấp__Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Chai Pet, Phôi Pet__Bao Bì Thực Phẩm",www.nhuasangtam.vn,'0906668049',Ông Trần Trung Chí,,male,,trantrungchi1990@gmail.com,https://www.yellowpages.vn/lgs/1187805618/chai-pet-sang-tam-cong-ty-tnhh-san-xuat-va-thuong-mai-sang-tam.html
Bao Bì Nam Tiến - Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì Nam Tiến,"565 Tân Kỳ Tân Quý, P. Tân Quý, Q. Tân Phú,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Dược Phẩm__Hộp Rượu__Bao Bì Mỹ Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Thùng Carton 5 Lớp__Thùng Carton In Offset__Bao Bì Giấy__Thùng Carton 3 Lớp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__Bao Bì Xuất Khẩu__Hộp Mỹ Phẩm__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Bao Bì Carton",www.cungcapbaobi.com__www.sanxuatbaobi.com.vn,'__0965252345__02866579555',Mr. Thư,,male,,,https://www.yellowpages.vn/lgs/1187740065/bao-bi-nam-tien-cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-nam-tien.html
Bao Bì Đoàn Kết - Công Ty TNHH Thương Mại Và Sản Xuất Bao Bì Đoàn Kết,"KCN An Khánh, KM 8, Đại Lộ Thăng Long, X. An Khánh, H. Hoài Đức,","Thùng Carton, Thùng Giấy__Bao Bì Dược Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__Bao Bì Giấy__ống Hút Giấy - Sản Xuất và Bán Buôn__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.doanketco.vn,'02433658975__0973147988__0913208143',Bà Hoàng Thị Thu Hương,,female,,doanketco@gmail.com,https://www.yellowpages.vn/lgs/1187697618/bao-bi-doan-ket-cong-ty-tnhh-thuong-mai-va-san-xuat-bao-bi-doan-ket.html
Bao Bì Tân Phong - Công Ty Cổ Phần Xuất Nhập Khẩu Và Thương Mại Tân Phong,"Số 1, Ngõ 85, Đường Xuân Thủy, Quận Cầu Giấy,","Chai Lọ Mỹ Phẩm, Hũ Mỹ Phẩm__Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Chai Thủy Tinh, Lọ Thủy Tinh__Bao Bì Thủy Tinh__Nắp Nhựa, Nút Nhựa",www.tanphongjsc.com,'0923888840__0936398635',Ông Lê Tuấn Nghĩa,,male,Giám Đốc,tanphong.jsc01@gmail.com,https://www.yellowpages.vn/lgs/1187701548/bao-bi-tan-phong-cong-ty-co-phan-xuat-nhap-khau-va-thuong-mai-tan-phong.html
Bao Bì Nhựa Vinson - Công Ty TNHH Nhựa Vinson,"Thôn Bá Khê, Xã Tân Tiến, Huyện Văn Giang,","Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__Khuôn Nhựa, Khuôn Nhựa Công Nghiệp",www.vinsonpackaging.com.vn__www.vinsonplastic.com.vn,'0904255969__0936913089__0904666837',Mr. Tô Thanh Tùng,,male,,tungtothanh@gmail.com,https://www.yellowpages.vn/lgs/1187856315/bao-bi-nhua-vinson-cong-ty-tnhh-nhua-vinson.html
Nhựa Cường Phát - Công Ty TNHH Sản Xuất Thương Mại Nhựa Cường Phát Long An,": Ấp Hóc Thơm 1, X. Hòa Khánh Tây, H. Đức Hoà,","Bao Bì Dược Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa",www.cpplastic.com,'0913713963__02723819538',Ông Trần Kiến Hòa,,male,P. Kinh doanh,nhuacuongphat@gmail.com,https://www.yellowpages.vn/lgs/1187800824/nhua-cuong-phat-cong-ty-tnhh-san-xuat-thuong-mai-nhua-cuong-phat-long-an.html
Bao Bì Đức Tấn Sài Gòn - Công Ty TNHH Đức Tấn Sài Gòn,"Km 12, Đường Ngọc Hồi, H. Thanh Trì,","Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Nắp Nhựa, Nút Nhựa__Bao Bì Nhựa__Bao Bì Thực Phẩm",www.ductansaigon.com,'0916008686__02436874170',Mr. Trần Anh Tuấn,,male,Phó Giám Đốc,tuan.tran@ductansaigon.com,https://www.yellowpages.vn/lgs/1304517/bao-bi-duc-tan-sai-gon-cong-ty-tnhh-duc-tan-sai-gon.html
Bao Bì Nhựa TRANSPHAR - Công Ty Cổ Phần Thương Mại Và Xuất Nhập Khẩu TRANSPHAR,"Cụm 3, Thôn Thượng Hiệp, X. Tam Hiệp, H. Phúc Thọ,","Bao Bì Dược Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Chai Thủy Tinh, Lọ Thủy Tinh__Bao Bì Thủy Tinh__Hũ Thủy Tinh__Nắp Nhựa, Nút Nhựa",www.transphar.com__www.chailotransphar.vn,'0904510587__02433745888__0987439949',Mr. Quang,,male,TPKD,transpharjsc@gmail.com,https://www.yellowpages.vn/lgs/1187707884/bao-bi-nhua-transphar-cong-ty-co-phan-thuong-mai-va-xuat-nhap-khau-transphar.html
Bao Bì Lê Ánh Hoa - Công Ty Cổ Phần Thương Mại Dịch Vụ Lê Ánh Hoa,"42 Hàng Chiếu, P. Đồng Xuân, Q. Hoàn Kiếm,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Dược Phẩm__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Bao Bì Thực Phẩm",www.anhhoaplastic.bizz.vn,'02439282534__0988717917',Bà Phan Lệ Quyên,,female,Giám Đốc,anhhoaplastic@yahoo.com,https://www.yellowpages.vn/lgs/119292972/bao-bi-le-anh-hoa-cong-ty-co-phan-thuong-mai-dich-vu-le-anh-hoa.html
