company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Nhựa Hoàng Nguyên - Công Ty TNHH Sản Xuất Hoàng Nguyên,"301 Bình Long, P. Bình Hưng Hòa A, Q. Bình Tân,","Bao Bì Thực Phẩm__Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)",www.hoangnguyenplastic.com,'02837500357__0945210633',Ms. Lưu Hương,,female,,hoangnguyenpte@yahoo.com.vn,https://www.yellowpages.vn/lgs/1304055/bao-bi-nhua-hoang-nguyen-cong-ty-tnhh-san-xuat-hoang-nguyen.html
Bao Bì Nhựa Thành Phong - Công ty TNHH Sản Xuất Thương Mại Dịch Vụ Nhựa Thành Phong,"67 Lâm Hoành, P. An Lạc, Q. Bình Tân,","Can Nhựa 20l, Can Nhựa 30l,..- Sản Xuất Và Kinh Doanh__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)",www.thanhphongplastic.com.vn__www.thanhphongplastic.bizz.vn,'02838759190__0913992232__0903682226__09033822210913992232__0903382221',Ông Trần Ngọc Thành,,male,,thanhphongplastic@gmail.com,https://www.yellowpages.vn/lgs/1021962/bao-bi-nhua-thanh-phong-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-nhua-thanh-phong.html
Nhựa Trần Gia Phát - Công Ty TNHH Sản Xuất Thương Mại Nhựa Trần Gia Phát,"Số 3 Đường Số 8, Phường Bình Hưng Hòa, Quận Bình Tân,","Bao Bì Dược Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Mỹ Phẩm__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)",www.tgpplastic.bizz.vn,'0906897123',Hotline,X,,,tgpplastic@gmail.com,https://www.yellowpages.vn/lgs/1187856681/nhua-tran-gia-phat-cong-ty-tnhh-san-xuat-thuong-mai-nhua-tran-gia-phat.html
Bao Bì Nhựa Hoàng Nguyên - Chi Nhánh Công Ty TNHH Sản Xuất Hoàng Nguyên,"Đường N1 - 3, KCN. Đại Đồng, X. Hoàn Sơn, H. Tiên Du,","Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)__Tube Nhựa, Tuýp Nhựa__Bao Bì Thực Phẩm",www.hoangnguyenplastic.com,'02223847999__0945210633',Ms. Lưu Hương,,female,,hoangnguyenpte@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187701431/bao-bi-nhua-hoang-nguyen-chi-nhanh-cong-ty-tnhh-san-xuat-hoang-nguyen.html
Bao Bì Kim Loại Thái Thông Hưng Yên - Công Ty TNHH Thái Thông Hưng Yên,"CCN Xã Tân Tiến, Huyện Văn Giang,","Bao Bì Kim Loại, Hộp Kim Loại__Bao Bì Thực Phẩm__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)",www.baobikimloai.bizz.vn,'0903207911__02213727767',Hotline,X,,,congtythaithong@gmail.com,https://www.yellowpages.vn/lgs/1187815491/bao-bi-kim-loai-thai-thong-hung-yen-cong-ty-tnhh-thai-thong-hung-yen.html
Nhựa Vĩnh Thành - Công Ty TNHH Nhựa Vĩnh Thành,"220/5 Đường Âu Cơ, P. 9, Q. Tân Bình,","Đồ Gia Dụng - Sản Xuất và Bán Buôn__Nhựa Công Nghiệp - Gia Công Linh Kiện, Chi Tiết, Phụ Tùng..__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)__Nhựa Công Nghiệp - Thùng Nhựa, Khay Nhựa, Sóng Nhựa, Sọt Nhựa__Can Nhựa 20l, Can Nhựa 30l,..- Sản Xuất Và Kinh Doanh__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__Chai Nhựa HDPE (Can, Chai, Lọ Nhựa HDPE)__Khuôn Nhựa, Khuôn Nhựa Công Nghiệp__Nhựa Gia Dụng - Sản Xuất và Bán Buôn Đồ Nhựa Gia Dụng",www.vinhthanhplastic.com,'0913888836__0918042293__02838600057',Hotline,X,,,info@vinhthanhplastic.com,https://www.yellowpages.vn/lgs/1187889645/nhua-vinh-thanh-cong-ty-tnhh-nhua-vinh-thanh.html
Bao Bì Nhựa Phú Tuyền - Công Ty TNHH Hóa Nhựa Mỹ Phẩm Thực Phẩm Phú Tuyền,"C12/5A Quốc Lộ 1A, Ấp 3, X. Tân Kiên, H. Bình Chánh,","Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)",www.phutuyenplastics.bizz.vn,'02837560847__02837562287',Phòng Kinh Doanh,,,,phutuyen8127@gmail.com,https://www.yellowpages.vn/lgs/713292/bao-bi-nhua-phu-tuyen-cong-ty-tnhh-hoa-nhua-my-pham-thuc-pham-phu-tuyen.html
Công Ty TNHH Nice Garden Việt Nam,"168 Đường Phạm Văn Bạch, P. 15, Q. Tân Bình,","Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)__Xe Nâng Hàng__Bàn Ghế - Nhà Sản Xuất Và Cung Cấp__Xe Nâng Tay__Xe Nâng Điện__Pallet - Nhà Sản Xuất và Cung Cấp Pallet",www.nicegarden.vn__www.vuaxenang.com,'0901650899__0982524899__0908534899',Mr. Phạm Hồng Khoa,,male,Quản lí Kinh doanh,sales@nicegarden.vn,https://www.yellowpages.vn/lgs/1187830047/cong-ty-tnhh-nice-garden-viet-nam.html
Bao Bì Kim Loại Huy Lập - Công Ty TNHH Sản Xuất Và Thương Mại Dịch Vụ Bao Bì Kim Loại Huy Lập,"Số 38/96C Lãnh Binh Thăng, P. 13, Q. 11,","Bao Bì Kim Loại, Hộp Kim Loại__Bao Bì Thực Phẩm__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)",www.baobikimloai.com.vn,'0902351207__02862874851',Ông Trần Văn Long,,male,,londunghoachat@gmail.com,https://www.yellowpages.vn/lgs/1187764002/bao-bi-kim-loai-huy-lap-cong-ty-tnhh-san-xuat-va-thuong-mai-dich-vu-bao-bi-kim-loai-huy-lap.html
Bao Bì Nhựa Heaven - Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất Heaven,"185 Nguyễn Thị Tú, P. Bình Hưng Hòa B, Q. Bình Tân,","Chai Lọ Mỹ Phẩm, Hũ Mỹ Phẩm__Bao Bì Dược Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Hóa Chất (Thùng Đựng Hóa Chất, Can Đựng Hóa Chất)__Bao Bì Mỹ Phẩm__Gia Công ép Nhựa, Gia Công ép Nhựa Theo Yêu Cầu__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__POSM Quảng Cáo (Wobbler, Booth, Hanger Quảng Cáo,.)__Chai Nhựa HDPE (Can, Chai, Lọ Nhựa HDPE)__Khuôn Nhựa, Khuôn Nhựa Công Nghiệp__Nhựa Gia Dụng - Sản Xuất và Bán Buôn Đồ Nhựa Gia Dụng",www.congtyheaven.com,'0934232636__0968546939',Mr. Thanh,,male,,heaven.phuthanh@gmail.com,https://www.yellowpages.vn/lgs/1187828151/bao-bi-nhua-heaven-cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-heaven.html
