company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH In Bao Bì - Hộp Quà Tặng Sài Gòn,"433/23 Lê Đức Thọ, P. 17, Q. Gò Vấp,","Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Hộp Cứng Cao Cấp__Hộp Mỹ Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__Hộp Rượu",www.hopcaocapsaigon.vn,'0903685345__0973224904__0902845788',Bà Đồng Thị Liên,,female,,hopquatangsaigon@gmail.com,https://www.yellowpages.vn/lgs/1187889741/cong-ty-tnhh-in-bao-bi-hop-qua-tang-sai-gon.html
Bao Bì Phúc Minh - Công Ty TNHH In Và Bao Bì Phúc Minh,"Số 03, Tổ 29, Ngách 37/27, P. Dịch Vọng, Q. Cầu Giấy,","Bao Bì Hộp__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại",www.inbaobidep.com.vn,'0364989999__02438685222__0983536988',Mr. Nguyễn Hải Phong,,male,Giám Đốc,inphucminh.kehoach@gmail.com,https://www.yellowpages.vn/lgs/1187913126/bao-bi-phuc-minh-cong-ty-tnhh-in-va-bao-bi-phuc-minh.html
Bao Bì Giấy Nguyên Phát - Công Ty Bao Bì Giấy Nguyên Phát,"223/3 Nguyễn Tiểu La, P. 8, Q. 10,","Thùng Carton, Thùng Giấy__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Bao Bì Giấy__Hộp Cứng Cao Cấp__Túi Giấy, Túi Giấy Kraft__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)__Hộp Rượu",www.baobinguyenphat.com__www.hopquanguyenphat.com,'02838557366__0909140579__0908653387',Ông Phùng Vĩ Hào,,male,,nguyenphatcompany@gmail.com,https://www.yellowpages.vn/lgs/706887/bao-bi-giay-nguyen-phat-cong-ty-bao-bi-giay-nguyen-phat.html
Nhãn Mác T.T.L - Công Ty TNHH MTV Nhãn Mác T.T.L,"Số 802, T17, Khu 4, Ấp 1, X. An Hòa, TP. Biên Hòa,","Mác Dệt, Nhãn Dệt__Nhãn Mác Quần áo, Nhãn Mác May Mặc__Thẻ Bài, Nhãn Treo__In Tem Nhãn, Nhãn Mác, Label__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__May Mặc - Nguyên, Phụ Liệu May Mặc",www.ttllabels.com,'0919456839__0916326060',Mr. Trang Thanh Long,,male,,ttllabel@gmail.com,https://www.yellowpages.vn/lgs/1187810337/nhan-mac-t.t.l-cong-ty-tnhh-mtv-nhan-mac-t.t.l.html
Bao Bì Hà Gia Phát - Công Ty TNHH Bao Bì Hà Gia Phát,"Nhị Châu, Liên Ninh, Thanh Trì,","Thùng Carton, Thùng Giấy__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Bao Bì Nhựa__Túi Vải Không Dệt__Hộp Cứng Cao Cấp__Găng Tay Nilon, Găng Tay Xốp - Sản Xuất và Kinh Doanh__Túi Giấy, Túi Giấy Kraft__Carton Lạnh (Hộp, Giấy, Bao Bì,..) - Sản Xuất và Kinh Doanh__Màng Co PE, LDPE, PVC, POF,.__Hộp Mỹ Phẩm__Hộp Rượu",www.sieuthibaobi.vn,'0989909003__0977048003',Ms. Duyên,,female,Kinh Doanh,duyendo4789@gmail.com,https://www.yellowpages.vn/lgs/1187792676/bao-bi-ha-gia-phat-cong-ty-tnhh-bao-bi-ha-gia-phat.html
Bao Bì Minh Tiến - Công Ty TNHH Thiết Kế Và In ấn Bao Bì Minh Tiến,"17/1/4 Đường Ụ Ghe, KP. 2, P. Tam Phú, Q. Thủ Đức,","Hộp Âm Dương__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Bao Bì Giấy__Hộp Cứng Cao Cấp__Túi Giấy, Túi Giấy Kraft__Hộp Rượu",www.inminhtien.com__www.minhtienprinting.com,'02822181960__0913740743',Ông Đỗ Văn Bảy,,male,,info@inminhtien.com,https://www.yellowpages.vn/lgs/1187756016/bao-bi-minh-tien-cong-ty-tnhh-thiet-ke-va-in-an-bao-bi-minh-tien.html
Bao Bì Cao Việt - Công Ty TNHH MTV SX-TM Cao Việt,"200A Đường TL15, P. Thạnh Lộc, Q. 12,","Hộp Duplex__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__Hộp Mỹ Phẩm",www.inancaoviet.com,'0987401117__02873095568',Bà Trần Thị Bình,,female,,caovietprinting@gmail.com,https://www.yellowpages.vn/lgs/1187890674/bao-bi-cao-viet-cong-ty-tnhh-mtv-sx-tm-cao-viet.html
Bao Bì Nhựa SPK - Công Ty TNHH SPK Packaging,"Số 63/3 Đường Vĩnh Phú 30, Khu Phố Tây, Phường Vĩnh Phú, Thành Phố Thuận An,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__Bao Bì Hộp__Thẻ Bài, Nhãn Treo__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Nhựa - Các Công Ty Nhựa__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.spk.com.vn__www.khaynhuadinhhinh.com,'0869198413',Mr. Chề A Sủi,,male,Giám Đốc,asui@spk.com.vn,https://www.yellowpages.vn/lgs/1187775039/bao-bi-nhua-spk-cong-ty-tnhh-spk-packaging.html
Bao Bì In Sài Gòn - Công Ty TNHH Thương Mại In Sài Gòn,"Lầu A1-03, Chung Cư Sơn Kỳ 1, Phường Sơn Kỳ, , Quận Tân Phú","Bao Bì Dược Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Hộp Cứng Cao Cấp__Túi Giấy, Túi Giấy Kraft__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Hộp Rượu",www.baobisaigon.vn__www.insg.vn,'0923303032__0977303032__02862721700',Mr. Lê Văn Như,,male,,kinhdoanh@baobisaigon.vn,https://www.yellowpages.vn/lgs/1187826105/bao-bi-in-sai-gon-cong-ty-tnhh-thuong-mai-in-sai-gon.html
Bao Bì Nam Tiến - Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì Nam Tiến,"565 Tân Kỳ Tân Quý, P. Tân Quý, Q. Tân Phú,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Dược Phẩm__Hộp Rượu__Bao Bì Mỹ Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Thùng Carton 5 Lớp__Thùng Carton In Offset__Bao Bì Giấy__Thùng Carton 3 Lớp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Xuất Khẩu__Túi Giấy, Túi Giấy Kraft__Bao Bì Thực Phẩm__Hộp Mỹ Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Bao Bì Carton",www.cungcapbaobi.com__www.sanxuatbaobi.com.vn,'__0965252345__02866579555',Mr. Thư,,male,,,https://www.yellowpages.vn/lgs/1187740065/bao-bi-nam-tien-cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-nam-tien.html
