company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Mỹ Phẩm Vân Chính - Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất Bao Bì Vân Chính,"50A Ấp Chiến Lược, P. Bình Hưng Hòa A, Q. Bình Tân,","Chai Lọ Mỹ Phẩm, Hũ Mỹ Phẩm__Bao Bì Mỹ Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Mỹ Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.baobivanchinh.com__www.bom.to/4Clleq45WzeRO,'0902938195__0764006341',Ms. Võ Thị Thùy Vân,,female,,thuyvan6341@gmail.com,https://www.yellowpages.vn/lgs/1187901921/bao-bi-my-pham-van-chinh-cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-bao-bi-van-chinh.html
Max Value Tubes - Công Ty CP Sản Xuất Thương Mại Xuất Nhập Khẩu Max Value,"161 Đường Thạnh Lộc 16, Phường Thạnh Lộc, Quận 12,","Bao Bì Dược Phẩm__Tube Nhựa, Tuýp Nhựa__Bao Bì Mỹ Phẩm__Bao Bì Nhựa",www.maxvalue.com.vn,'0909788287__0703686883',Hotline,X,,,tuyen.tr.sv@gmail.com,https://www.yellowpages.vn/lgs/1187881983/max-value-tubes-cong-ty-cp-san-xuat-thuong-mai-xuat-nhap-khau-max-value.html
Nhựa Cường Phát - Công Ty TNHH Sản Xuất Thương Mại Nhựa Cường Phát Long An - Chi Nhánh tại HCM,": 349 Bình Trị Đông, P. Bình Trị Đông A, Q. Bình Tân,","Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Nắp Nhựa, Nút Nhựa__Bao Bì Thực Phẩm",www.cpplastic.com,'0913713963__02837624893',Ông Trần Kiến Hòa,,male,P. Kinh Doanh,nhuacuongphat@gmail.com,https://www.yellowpages.vn/lgs/692727/nhua-cuong-phat-cong-ty-tnhh-san-xuat-thuong-mai-nhua-cuong-phat-long-an-chi-nhanh-tai-hcm.html
Bao Bì Nam Tiến - Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì Nam Tiến,"565 Tân Kỳ Tân Quý, P. Tân Quý, Q. Tân Phú,","Thùng Carton, Thùng Giấy__Bao Bì Dược Phẩm__Bao Bì Carton__Thùng Carton 7 Lớp__Bao Bì Mỹ Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Thùng Carton 5 Lớp__Thùng Carton In Offset__Bao Bì Giấy__Thùng Carton 3 Lớp__Túi Giấy, Túi Giấy Kraft__Bao Bì Xuất Khẩu__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Thực Phẩm__Hộp Mỹ Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Hộp Rượu",www.cungcapbaobi.com__www.sanxuatbaobi.com.vn,'__0965252345__02866579555',Mr. Thư,,male,,,https://www.yellowpages.vn/lgs/1187740065/bao-bi-nam-tien-cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-nam-tien.html
Bao Bì Nhựa Vân Nga - Công Ty TNHH Vân Nga,"Lô H31, Đường 1, KCN Lê Minh Xuân, X. Lê Minh Xuân, H. Bình Chánh,","Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Bao Bì Nhựa__Tube Nhựa, Tuýp Nhựa__Bao Bì Thực Phẩm",www.vanngaplastic.com,'0915657167__02837662982',Hotline,X,,,vanngaplastic@vnn.vn,https://www.yellowpages.vn/lgs/1045017/bao-bi-nhua-van-nga-cong-ty-tnhh-van-nga.html
Hộp Cứng Tân Phát - Xưởng In Và Sản Xuất Bao Bì Tân Phát,"41/157 Pháo Đài Láng, Đống Đa,","Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Bao Bì Hộp__Hộp Quà Tặng__Hộp Cứng Cao Cấp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì",www.hopcungtanphat.vn,'0964409789',Mr. Hoàng Văn Triều,,male,,hopcungtanphat@gmail.com,https://www.yellowpages.vn/lgs/1187858343/hop-cung-tan-phat-xuong-in-va-san-xuat-bao-bi-tan-phat.html
In Rạng Đông - Công Ty TNHH In Thiết Kế Quảng Cáo Rạng Đông,"512/1/1 Trường Chinh, P. 13, Q. Tân Bình,","Chai Lọ Mỹ Phẩm, Hũ Mỹ Phẩm__Bao Bì Mỹ Phẩm__In Tem Nhãn, Nhãn Mác, Label__In Thiệp, In Bưu Thiếp__Bao Thư - In Bao Thư, In Phong Bì Thư__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__In Thẻ Cào__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Hộp Mỹ Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inrangdong.com,'0913218638__0911411638__02838124274',Mr/Ms. Lê Thụy Ngọc Duy,,male,,inrangdong512@gmail.com,https://www.yellowpages.vn/lgs/1092189/in-rang-dong-cong-ty-tnhh-in-thiet-ke-quang-cao-rang-dong.html
Bao Bì Mỹ Phẩm POLYCO - Công Ty TNHH Nhựa POLYCO,"77A Đường Số 8, Bình Hưng Hòa, Q. Bình Tân,","Chai Lọ Mỹ Phẩm, Hũ Mỹ Phẩm__Bao Bì Mỹ Phẩm__Chai Thủy Tinh, Lọ Thủy Tinh__Tube Nhựa, Tuýp Nhựa__Hộp Mỹ Phẩm",www.nhuapolyco.com__www.nhuapolyco.vn,'0963536153',Ông Trần Văn Chung,,male,Giám Đốc,chung.khtn.hcm@gmail.com,https://www.yellowpages.vn/lgs/1187865636/bao-bi-my-pham-polyco-cong-ty-tnhh-nhua-polyco.html
Nhựa Tấn Phát Thành - Công Ty TNHH Nhựa Tấn Phát Thành,"Số 879/20/10/98/1, Hương Lộ 2, Khu Phố 8, P. Bình Trị Đông A, Q. Bình Tân,","Bao Bì Mỹ Phẩm__Bàn Ghế Nhựa__Chai Pet, Phôi Pet__Chậu Nhựa, Thau Nhựa, Xô Nhựa__Nắp Nhựa, Nút Nhựa__Nhựa - Các Công Ty Nhựa__Rổ Nhựa, Rá Nhựa__Ca Nhựa, Cốc Nhựa, Bình Nhựa__Nhựa Gia Dụng - Sản Xuất và Bán Buôn Đồ Nhựa Gia Dụng",www.nhuatanphatthanh.com,'0909103661__02854260619__0903811224',Mr. Phát,,male,,,https://www.yellowpages.vn/lgs/660939/nhua-tan-phat-thanh-cong-ty-tnhh-nhua-tan-phat-thanh.html
Nhựa Nhiệt Đới - Công Ty Cổ Phần Nhựa Nhiệt Đới,"Số 46 Đường Nhuệ Giang, P. Tây Mỗ, Q. Nam Từ Liêm,","Bao Bì Dược Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Bao Bì Mỹ Phẩm__Nhựa - Các Công Ty Nhựa",www.troplast.vn,'0989801000__02433637236',Hotline,X,,,sonha@troplast.vn,https://www.yellowpages.vn/lgs/1187703033/nhua-nhiet-doi-cong-ty-co-phan-nhua-nhiet-doi.html
