company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Nhựa Nhân Hằng - Công Ty TNHH Nhân Hằng,"Cụm Công Nghiệp Ba Hàng, X. Nam Đồng, TP. Hải Dương,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Thực Phẩm",www.baobinhanhang.bizz.vn__www.baobinhanhang.znn.vn,'02203751229',Ms Xuân Hằng,,female,Thường trực văn phòng,nhanhang.plastic@gmail.com,https://www.yellowpages.vn/lgs/1187690127/bao-bi-nhua-nhan-hang-cong-ty-tnhh-nhan-hang.html
Bao Bì Nhựa Kiến Xương - Công Ty TNHH Kiến Xương,": Lô B07, Đường Số 3, KCN Đức Hòa 1, Ấp 5, X. Đức Hòa Đông, H. Đức Hòa,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử__Bao Bì Nhựa",www.kxpackaging.com,'0985013039__02723751321',Ms. Viên,,female,,vien_kx@yahoo.com,https://www.yellowpages.vn/lgs/1155096/bao-bi-nhua-kien-xuong-cong-ty-tnhh-kien-xuong.html
Bao Bì Nhựa Tân Bắc Hải - Công Ty TNHH Sản Xuất Thương Mại Tân Bắc Hải,"J1B Đường Số 6, KCN Lê Minh Xuân, Xã Lê Minh Xuân, Huyện Bình Chánh,","Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.tanbachai.com,'02836027350__0902871983',Ông Trang Hùng Xương,,male,Phòng Kinh Doanh,tanbachai88@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187699886/bao-bi-nhua-tan-bac-hai-cong-ty-tnhh-san-xuat-thuong-mai-tan-bac-hai.html
Bao Bì Nhựa Tân Thái Gia - Công Ty Cổ Phần Sản Xuất Thương Mại Xuất Nhập Khẩu Tân Thái Gia,"Cụm CN Dương Liễu, Hoài Đức,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",,'0916889466',Ông Nguyễn Xuân Đại,,male,,xuandai2014@gmail.com,https://www.yellowpages.vn/lgs/1187785308/bao-bi-nhua-tan-thai-gia-cong-ty-co-phan-san-xuat-thuong-mai-xuat-nhap-khau-tan-thai-gia.html
Công Ty TNHH Một Thành Viên Sản Xuất - Thương Mại - Dịch Vụ Khởi Thịnh,": Số 202, Ấp Nhơn Hòa 1, X. Đức Hòa Thượng, H. Đức Hòa,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.khoithinhplastic.com,'0936586199__0904026236__0906163545__02723777562',Ms Yến,,female,Kinh doanh,yenbui87kt@gmail.com,https://www.yellowpages.vn/lgs/1187741316/cong-ty-tnhh-mot-thanh-vien-san-xuat-thuong-mai-dich-vu-khoi-thinh.html
Khay Nhựa RVC - Công Ty TNHH RVC,"11 Đường Số 7, P. Hiệp Bình Chánh, Q. Thủ Đức,","Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.rvc.com.vn__www.rvc.vn,'02837261790__0975663984',Ông Lê Văn Tài,,male,,info@rvc.vn,https://www.yellowpages.vn/lgs/1187776233/khay-nhua-rvc-cong-ty-tnhh-rvc.html
Nhựa Khải Tường - Công Ty Cổ Phần Thương Mại Sản Xuất Nhựa Khải Tường,"Số 285A, Tỉnh lộ 2, ấp 3, Xã Phước Vĩnh An, Huyện Củ Chi,","Túi Nhựa PVC__Bao Bì Nhựa - Máy Móc Và Thiết Bị__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Khuôn Nhựa Định Hình, Khuôn Hút Chân Không",www.khaituong.vn__www.nhuakhaituong.bizz.vn,'0909800243__02835920378__0908101243',Ông Vũ Quang Vinh,,male,,vinh.v@khaituong.vn,https://www.yellowpages.vn/lgs/1187751420/nhua-khai-tuong-cong-ty-co-phan-thuong-mai-san-xuat-nhua-khai-tuong.html
Bao Bì Nhựa Cường Phát - Công Ty TNHH MTV TM & SX Bao Bì Nhựa Cường Phát,"59 Đường 36, KP. 2, P. Bình Trị Đông B, Q. Bình Tân,","Khuôn ép Nhựa__Khuôn Nhựa, Khuôn Nhựa Công Nghiệp__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Khuôn Nhựa Gia Dụng__Khuôn Thổi, Khuôn Thổi Nhựa__Khuôn Nhựa Định Hình, Khuôn Hút Chân Không",www.baobinhua.vn,'0909339287__0913844024__02837628381',Hotline,X,,,cuongphat125@yahoo.com,https://www.yellowpages.vn/lgs/1187732382/bao-bi-nhua-cuong-phat-cong-ty-tnhh-mtv-tm---sx-bao-bi-nhua-cuong-phat.html
Nhựa Tân Hiệp Hưng - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Nhựa Tân Hiệp Hưng,"909 Đường 3 Tháng 2, P. 7, Q. 11,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__Muỗng Nhựa, Dĩa Nhựa, Thìa Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Nhựa - Các Công Ty Nhựa__Ca Nhựa, Cốc Nhựa, Bình Nhựa__Nhựa Gia Dụng - Sản Xuất và Bán Buôn Đồ Nhựa Gia Dụng",www.tanhiephung.com,'02838552794__0913198844',Ms. Trúc,,female,,info@tanhiephung.com,https://www.yellowpages.vn/lgs/989340/nhua-tan-hiep-hung-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-nhua-tan-hiep-hung.html
Bao Bì Nhựa Tuấn Trang - Công Ty TNHH Sản Xuất Bao Bì Nhựa Tuấn Trang,"Số 55/13/2P, Đường 18B, KP. 1, P. Bình Hưng Hòa A, Q. Bình Tân,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS",www.baobituantrang.znn.vn__www.tuantrangplastic.com,'0903883105',Ông Phạm Minh Tuấn,,male,Giám Đốc,tuanminhpham77@gmail.com,https://www.yellowpages.vn/lgs/1187734950/bao-bi-nhua-tuan-trang-cong-ty-tnhh-san-xuat-bao-bi-nhua-tuan-trang.html
Bao Bì Nhựa Định Hình Napaco Việt Nam - Công Ty TNHH Napaco Việt Nam,"Số 5, Lô 3, Khu Đô Thị Đền Lừ 1, Hoàng Văn Thụ, Hoàng Mai,","Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.napaco.com.vn,'0971563668__02439953266',Hotline,X,,,sales@napaco.com.vn,https://www.yellowpages.vn/lgs/1187862867/bao-bi-nhua-dinh-hinh-napaco-viet-nam-cong-ty-tnhh-napaco-viet-nam.html
Nhựa Việt Trung - Công Ty TNHH Công Nghệ Môi Trường Việt Trung,"Thôn Minh Khai, Thị Trấn Như Quỳnh, H. Văn Lâm,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS",www.moitruongviettrung.bizz.vn__www.mangnhua.com,'0912340285__0393183333',Mr. Tùng,,male,,moitruongviettrungetc@gmail.com,https://www.yellowpages.vn/lgs/1187737053/nhua-viet-trung-cong-ty-tnhh-cong-nghe-moi-truong-viet-trung.html
Bao Bì Nhựa Định Hình Mỹ Toàn - Công Ty TNHH Sản Xuất Thương Mại Mỹ Toàn,"Văn Phòng: 103 Phạm Đình Hổ, P. 6, Q. 6, TPHCM","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS",www.nhuadinhhinh.vn,'0903636004',Ông Quách Kiến Quốc,,male,Tp. Kinh doanh,mytoan2008@yahoo.com.vn,https://www.yellowpages.vn/lgs/692622/bao-bi-nhua-dinh-hinh-my-toan-cong-ty-tnhh-san-xuat-thuong-mai-my-toan.html
Bao Bì Nhựa Song Ân - Công Ty TNHH Bao Bì Nhựa Song Ân,"Số Nhà 25, Ngõ 2, Tổ 57, TT. Đông Anh, H. Đông Anh,","Tấm Nhựa Danpla, Thùng Nhựa Danpla__Chai Pet, Phôi Pet__Bobbin Nhựa, Lõi Nhựa, ống Chỉ Nhựa__Bao Bì Nhựa__Vách Ngăn - Cung Cấp Và Thi Công__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Nhựa - Các Công Ty Nhựa",www.songan.com.vn,'0972468616__02439656183',Mr Đoàn Kiên,,male,Phó GĐ,sales01@songan.com.vn,https://www.yellowpages.vn/lgs/1187681046/bao-bi-nhua-song-an-cong-ty-tnhh-bao-bi-nhua-song-an.html
Bao Bì Nhựa Định Hình An Việt Phát - Công Ty TNHH Bao Bì An Việt Phát,"60/3B, Bùi Hữu Nghĩa, Ấp Bình Hóa, X. Hòa An, Tp. Biên Hòa,","Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.avpack.com.vn,'02513954037__0937492898',Ông Trần Văn Thế,,male,,the.tran@avpack.com.vn,https://www.yellowpages.vn/lgs/1187765862/bao-bi-nhua-dinh-hinh-an-viet-phat-cong-ty-tnhh-bao-bi-an-viet-phat.html
Bao Bì Nhựa Định Hình Tiền Gia - Công Ty TNHH Tiền Gia,"2D Đường Dương Tự Quán, Khu Phố 4, Phường An Lạc A, Quận Bình Tân,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Đồ Điện Tử",www.tiengiapacks.com,'0909902061__02822127448',Hotline,X,,,tiengiapacks@gmail.com,https://www.yellowpages.vn/lgs/1187873541/bao-bi-nhua-dinh-hinh-tien-gia-cong-ty-tnhh-tien-gia.html
Taipei Packing - Công Ty TNHH Taipei Packing,"Lô E, KCN Bình Xuyên, TT. Hương Canh, H. Bình Xuyên,","Khuôn Nhựa Định Hình, Khuôn Hút Chân Không__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.taipeipacking.vn,'02113815556__0981188602',Mr. Le Quang Ha,,male,Bussiness Chief,hale01kd@taipeipacking.vn,https://www.yellowpages.vn/lgs/1187863599/taipei-packing-cong-ty-tnhh-taipei-packing.html
Bao Bì TVHK Việt Nam - Công Ty Cổ Phần TVHK Việt Nam,"Cụm CN Ô Tô Nguyên Khê, Thôn Nguyên Khê, X. Nguyên Khê, H. Đông Anh,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Thực Phẩm",www.tvhkgroup.com,'0335442356',Hotline,X,,,hoangminh.tvhk@gmail.com,https://www.yellowpages.vn/lgs/1187842869/bao-bi-tvhk-viet-nam-cong-ty-co-phan-tvhk-viet-nam.html
Chi Nhánh Bình Dương - Công Ty TNHH Tiền Gia,"Thành Phố Thủ Dầu Một,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Đồ Điện Tử",www.tiengiapacks.com,'0909902061__02822127448',Hotline,X,,,tiengiapacks@gmail.com,https://www.yellowpages.vn/lgs/1187873553/chi-nhanh-binh-duong-cong-ty-tnhh-tien-gia.html
Bao Bì Nhựa Định Hình Fuja Việt Nam - Công Ty TNHH Fuja Việt Nam,"Số 6, Ngách 663/178, Phố Trương Định, P. Thịnh Liệt, Q. Hoàng Mai,","Khuôn Nhựa Định Hình, Khuôn Hút Chân Không__Khuôn Dập (Dập Nóng, Lạnh, Vuốt, Liên Hoàn)__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Đồ Gá (Đồ Gá Lắp Ráp, Kiểm Tra, Vạn Năng,..)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu",www.fujavietnam.com,'0982250168__02466841480__0966696927',Hotline,X,,,doanxuanphu@fujavietnam.com,https://www.yellowpages.vn/lgs/1187723577/bao-bi-nhua-dinh-hinh-fuja-viet-nam-cong-ty-tnhh-fuja-viet-nam.html
Khay Nhựa Hiệp Tân Hà Nam - Công Ty TNHH Hiệp Tân Hà Nam,"Tổ Dân Phố Ngô Gia Khảm, P. Châu Sơn, TP. Phủ Lý,","Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.hieptanhanam.vn,'0909599168',Hotline,X,,Nhân viên kinh doanh,sale01.hieptan@gmail.com,https://www.yellowpages.vn/lgs/1187826765/khay-nhua-hiep-tan-ha-nam-cong-ty-tnhh-hiep-tan-ha-nam.html
Bao Bì Nhựa SSAMM - Công Ty TNHH SSAMM,"Lô E5-2, KCN Minh Hưng - Hàn Quốc, X. Minh Hưng, H. Chơn Thành,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Máy Đóng Gói__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng Bọc Thực Phẩm__Bao Bì Thực Phẩm",www.ssammpack.com,'02862700516__0937699907__0865603664',Ms. Nguyễn Huỳnh Nhi,,female,Quản lý,huynhnhi@ssammpack.com,https://www.yellowpages.vn/lgs/1187881458/bao-bi-nhua-ssamm-cong-ty-tnhh-ssamm.html
Bao Bì Mekong - Công Ty TNHH In Mekong,"KV 4, Cái Sơn Hàng Bàng, Q. Ninh Kiều,","Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Muỗng Nhựa, Dĩa Nhựa, Thìa Nhựa",www.mekongpp.com.vn,'0939896808__02923913388__0908400111',Ms. Tăng Thị Đan Tâm,,female,Trợ lý Tổng giám đốc,tamttd.vna@gmail.com,https://www.yellowpages.vn/lgs/1155081/bao-bi-mekong-cong-ty-tnhh-in-mekong.html
Bao Bì Nhựa Định Hình - Công Ty TNHH Minh Ngọc Bình Dương,"Số 16/ 5A5, Đường N3, KP. Bình Đáng , P. Bình Hòa , TX. Thuận An ,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.minhngocbinhduong.com,'0907876575__0933430320',Mr. Trần Quốc Huân,,male,,t.minhngoc883@gmail.com,https://www.yellowpages.vn/lgs/1187827242/bao-bi-nhua-dinh-hinh-cong-ty-tnhh-minh-ngoc-binh-duong.html
Bao Bì Nhựa Định Hình Quảng Đức Phong - Công Ty TNHH Quảng Đức Phong,"Yên Lịch, Dân Tiến, Khoái Châu,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS__Nhựa - Các Công Ty Nhựa",www.https://www.facebook.com/quangducphongxnk/,'02213714389__0369786618',Ms. Hồ Kim Xuân,,female,,quangducphong.xnk@gmail.com,https://www.yellowpages.vn/lgs/1187882877/bao-bi-nhua-dinh-hinh-quang-duc-phong-cong-ty-tnhh-quang-duc-phong.html
Công Ty TNHH SI YUAN TECH,"Lô G3, Đường N5, KCN Châu Sơn, P. Châu Sơn, Tp. Phủ Lý,","Linh Kiện Điện Tử__Bao Bì Đồ Điện Tử__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.siyuanvn.com,'0812396336__0979895792',Mr. Viên,,male,Phụ trách,kinhdoanh1@hieptanhanam.vn,https://www.yellowpages.vn/lgs/1187901249/cong-ty-tnhh-si-yuan-tech.html
Bao Bì Nhựa SPK - Công Ty TNHH SPK Packaging,"Số 63/3 Đường Vĩnh Phú 30, Khu Phố Tây, Phường Vĩnh Phú, Thành Phố Thuận An,","Thẻ Bài, Nhãn Treo__Màng PVC, PET, PP, PS, HIPS__Bao Bì Hộp__Bao Bì Đồ Điện Tử__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Nhựa - Các Công Ty Nhựa__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.spk.com.vn__www.khaynhuadinhhinh.com,'0869198413',Mr. Chề A Sủi,,male,Giám Đốc,asui@spk.com.vn,https://www.yellowpages.vn/lgs/1187775039/bao-bi-nhua-spk-cong-ty-tnhh-spk-packaging.html
Bao Bì Nhựa Việt FILM - Công Ty TNHH Sản Xuất Thương Mại Nguyên Liệu Bao Bì Nhựa Việt FILM,"Lô 2 Khu Công Nghiệp La Phù, Xã La Phù, H. Hoài Đức,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Ca Nhựa, Cốc Nhựa, Bình Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS",www.nhuavietfilm.bizz.vn,'0906961899__02433654565',Ông Nguyễn Duy Hồng,,male,Phó Giám Đốc,vietfilmplastic@gmail.com,https://www.yellowpages.vn/lgs/1187713074/bao-bi-nhua-viet-film-cong-ty-tnhh-san-xuat-thuong-mai-nguyen-lieu-bao-bi-nhua-viet-film.html
Bao Bì Nhựa Huy Lợi - Cơ Sở Sản Xuất Gia Công Bao Bì Nhựa Huy Lợi,"306/9 Tân Hoà Đông, P. Bình Trị Đông, Q. Bình Tân,","Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.huyloiplastic.com,'0906752332__0903824745',Mr. Lợi,,male,,huyloiplastic@gmail.com,https://www.yellowpages.vn/lgs/1187794443/bao-bi-nhua-huy-loi-co-so-san-xuat-gia-cong-bao-bi-nhua-huy-loi.html
Bao Bì Nhựa Y.G.L - Công Ty TNHH Y.G.L Việt Nam,"Lô E, Đường 2B, KCN Đồng An, P. Bình Hòa, TP. Thuận An,","Xốp Hơi, Màng Xốp Hơi__Bao Bì Nhựa__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Khuôn Mẫu__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.ygl.com.vn,'02743782065__0903881009',Bà Nguyễn Thị Thanh,,female,,thanh-nguyen@ygl.com.vn,https://www.yellowpages.vn/lgs/1202157/bao-bi-nhua-y.g.l-cong-ty-tnhh-y.g.l-viet-nam.html
