company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Phú An Phát - Công Ty TNHH Sản Xuất & Thương Mại Phú An Phát,"Khu Công Nghiệp An Ninh, H. Hoài Đức,","Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Tấm Nhựa Danpla, Thùng Nhựa Danpla__Bao Bì Nhựa",www.phuanphatplastic.com,'0909683316__0903421699',Hotline,X,,,phuanphatplastic666@gmail.com,https://www.yellowpages.vn/lgs/1187816115/bao-bi-phu-an-phat-cong-ty-tnhh-san-xuat---thuong-mai-phu-an-phat.html
Bao Bì Nhựa Nhân Hằng - Công Ty TNHH Nhân Hằng,"Cụm Công Nghiệp Ba Hàng, X. Nam Đồng, TP. Hải Dương,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Thực Phẩm",www.baobinhanhang.bizz.vn__www.baobinhanhang.znn.vn,'02203751229',Ms Xuân Hằng,,female,Thường trực văn phòng,nhanhang.plastic@gmail.com,https://www.yellowpages.vn/lgs/1187690127/bao-bi-nhua-nhan-hang-cong-ty-tnhh-nhan-hang.html
Bao Bì Tâm Thành - Công Ty Cổ Phần Công Nghiệp Tâm Thành," Đường Cổ Loa, Xóm Bãi Uy Nỗ, H. Đông Anh, Hà Nội","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc__Bao Bì Thực Phẩm__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)__Bao Container, Bao Jumbo, Bao Bigbag",www.tamthanh.com.vn,'0904592386',Hotline,X,,,tamthanhbaobi@gmail.com,https://www.yellowpages.vn/lgs/1187783826/bao-bi-tam-thanh-cong-ty-co-phan-cong-nghiep-tam-thanh.html
Bao Bì Đại Dương Xanh - Công Ty TNHH Sản Xuất Và Thương Mại Bao Bì Đại Dương Xanh,"Số 45, Ngõ 164/41, Phố Vương Thừa Vũ, Khương Trung, Thanh Xuân,","Màng Co PE, LDPE, PVC, POF,.__Bao Bì Nông Nghiệp__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Bao PP Dệt__Màng PE, Màng Chít - Nhà Sản Xuất",www.baobidaiduongxanh.com.vn,'0358116979__0968745285__0975523285',Hotline,X,,,oceanbluepacking@gmail.com,https://www.yellowpages.vn/lgs/1187752314/bao-bi-dai-duong-xanh-cong-ty-tnhh-san-xuat-va-thuong-mai-bao-bi-dai-duong-xanh.html
Bao Bì Nhựa Ký Thành - Công Ty TNHH Bao Bì Ký Thành,"Trụ Sở: C78A, Tổ 17, KP.Bình_Phước, P. Bình Nhâm, TX. Thuận An,","Bao Bì - Máy Móc và Thiết Bị__Màng PVC, PET, PP, PS, HIPS__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Túi OPP__Băng Keo Dán Miệng Túi",www.baobikythanh.com,'0901363338__02743723608__0903852506__0965477309',HOTLINE,X,,,vinhthanhplastic145@gmail.com,https://www.yellowpages.vn/lgs/1187703903/bao-bi-nhua-ky-thanh-cong-ty-tnhh-bao-bi-ky-thanh.html
Bao Bì Nhựa SPK - Công Ty TNHH SPK Packaging,"Số 63/3 Đường Vĩnh Phú 30, Khu Phố Tây, Phường Vĩnh Phú, Thành Phố Thuận An,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__Bao Bì Hộp__Thẻ Bài, Nhãn Treo__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Nhựa - Các Công Ty Nhựa__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.spk.com.vn__www.khaynhuadinhhinh.com,'0869198413',Mr. Chề A Sủi,,male,Giám Đốc,asui@spk.com.vn,https://www.yellowpages.vn/lgs/1187775039/bao-bi-nhua-spk-cong-ty-tnhh-spk-packaging.html
Bao Bì Nhựa Thiện Nhân - Công Ty TNHH Sản Xuất Bao Bì Nhựa Thiện Nhân," 24/ 5C Đường Thới Tam Thôn 14, Ấp Tam Đông , X. Thới Tam Thôn, H. Hóc Môn,","Túi PE Khổ Lớn__Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Túi Phân Hủy Sinh Học__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa",www.baobithiennhan.bizz.vn__www.baobithiennhan.com.vn,'02836209272__0944139139',Mr. Nguyễn Quang Vinh,,male,,baobithiennhan@gmail.com,https://www.yellowpages.vn/lgs/1187831241/bao-bi-nhua-thien-nhan-cong-ty-tnhh-san-xuat-bao-bi-nhua-thien-nhan.html
Doanh Nghiệp Tư Nhân Khánh Việt,"63B Đường Số 61, P. 14, Q. Gò Vấp,","Băng Keo OPP (Trong, Đục và Màu), Băng Keo Dán Thùng__Băng Keo Giấy, Băng Dính Giấy__Băng Keo, Băng Dính__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Băng Keo Hai Mặt, Băng Dính Xốp__Túi OPP__Băng keo In Logo, Băng Dính in chữ",www.bangkeokhanhviet.bizz.vn,'02839168324__0908444574',Ông Nguyễn Huệ,,male,Chủ Doanh Nghiệp,nguyenhue15021979@gmail.com,https://www.yellowpages.vn/lgs/1113720/doanh-nghiep-tu-nhan-khanh-viet.html
Bao Bì Nhựa Khang Phát - Công Ty TNHH Bao Bì Nhựa Khang Phát,"90-92 Đường 53C, P. Tân Tạo, Q. Bình Tân,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Nông Nghiệp__Bao Bì Mỹ Phẩm__Bao Bì Nhựa__Túi OPP__Màng BOPP__Bao Bì Thực Phẩm",www.khangphatplastic.com,'0916883743__0916614050__02838933076',Ông Nguyễn Phát,,male,,khangphata52@yahoo.com.vn,https://www.yellowpages.vn/lgs/1020741/bao-bi-nhua-khang-phat-cong-ty-tnhh-bao-bi-nhua-khang-phat.html
Bao Bì Nhựa Sơn Hà - Công Ty TNHH Sản Xuất Thương Mại Xuất Nhập Khẩu Sơn Hà,"29/1 Lê Tấn Quốc, P. 13, Q. Tân Bình,","Bao Bì Nông Nghiệp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Túi, Bao Zipper, Ziplock",www.baobisonha.com,'0984212926__0902558971__02866769644',Mr. Siêu,,male,Giám Đốc,sonhaplasticpackaging@gmail.com,https://www.yellowpages.vn/lgs/1187757912/bao-bi-nhua-son-ha-cong-ty-tnhh-san-xuat-thuong-mai-xuat-nhap-khau-son-ha.html
