company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Công Nghiệp Toàn Cầu - Công Ty Cổ Phần Sản Xuất Bao Bì Công Nghiệp Toàn Cầu,"547/60 Khu Phố 1, P. Long Bình, TP. Biên Hoà,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Nông Nghiệp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Bao Bì Nhựa__Bao PP Dệt__Bao Bì Thực Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__Bao Container, Bao Jumbo, Bao Bigbag",www.glopaco.vn,'0911628999__02513886969',HOTLINE,X,,,chinh.pham@glopaco.vn,https://www.yellowpages.vn/lgs/1187689479/bao-bi-cong-nghiep-toan-cau-cong-ty-co-phan-san-xuat-bao-bi-cong-nghiep-toan-cau.html
TDC Packaging - Công Ty TNHH Bao Bì Lương Thực Trung Điệp,"Lô 3, Đường D, KCN Tân Tạo, P. Tân Tạo, Q. Bình Tân,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Nông Nghiệp__Bao Bì Nhựa__Bao PP Dệt__Bao Bì Xuất Khẩu__Bao Bì Thực Phẩm",www.tdpackage.com,'02866573339__0915699769',Ông Nguyễn Tấn Nghĩa,,male,P. Kinh doanh,sales@tdpackage.com,https://www.yellowpages.vn/lgs/1187866428/tdc-packaging-cong-ty-tnhh-bao-bi-luong-thuc-trung-diep.html
Bao Bì Kiều Thảo - Công Ty TNHH Kiều Thảo,"Số 95, Lê Niệm, P.Phú Thạnh Q. Tân Phú,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Dược Phẩm__Túi Hút Chân Không__In Túi Nilon, In Túi Xốp__Bao Bì Nông Nghiệp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Túi, Bao Zipper, Ziplock__Bao PP Dệt__Bao Bì Thực Phẩm",www.baobikieuthao.com,'0937990939',Mr. Quang Tâm,,male,TP Kinh Doanh,baobikieuthao@gmail.com,https://www.yellowpages.vn/lgs/1187767722/bao-bi-kieu-thao-cong-ty-tnhh-kieu-thao.html
In Bao Bì Toàn Cầu - Công Ty TNHH Kỹ Thuật Bao Bì Toàn Cầu,"Số 45A Huỳnh Tịnh Của, P. 8, Q. 3,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Nông Nghiệp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Thực Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì",www.globalpack.com.vn,'0918674352__0908155567__0908155576',Mr. Bùi Trung Hậu,,male,Trưởng Phòng Kinh Doanh,hau.bui@globalpack.com.vn,https://www.yellowpages.vn/lgs/1187806995/in-bao-bi-toan-cau-cong-ty-tnhh-ky-thuat-bao-bi-toan-cau.html
Bao Bì Toàn Phát - Công Ty TNHH Toàn Phát,"Số 74A KP Hòa Long, P. Lái Thiêu, TX. Thuận An,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Túi PP Dệt__Bao Bì Nông Nghiệp__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao PP Dệt",www.baobitoanphat.com.vn,'0938515051__02743755360__0909236925',Ms. Trần Thị Bích Thuận,,female,,baobitoanphatbd@gmail.com,https://www.yellowpages.vn/lgs/710238/bao-bi-toan-phat-cong-ty-tnhh-toan-phat.html
Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì ánh Sáng,"31A Đường 17, KP. 3, P. Hiệp Bình Phước, Q. Thủ Đức,",Vật Liệu Đóng Gói__Bao Bì Nông Nghiệp__Bao Bì Xuất Khẩu,www.baobianhsang.vn,'0868644466',Hotline,X,,,lienhe@baobianhsang.vn,https://www.yellowpages.vn/lgs/1187785857/cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-anh-sang.html
Bao PP Cường Thịnh - Công Ty TNHH Sản Xuất Thương Mại Nhựa Cường Thịnh,"Số 298/39 Tân Hòa Đông, P. Bình Trị Đông, Q. Bình Tân,",Bao Bì - Nhà Sản Xuất và Kinh Doanh__Bao PP Dệt__Bao Bì Nông Nghiệp,www.cuongthinhbaopp.bizz.vn,'0902729699__02836360357',Ông Nguyễn Kim Cường,,male,,cuongthinhplastic@gmail.com,https://www.yellowpages.vn/lgs/1187772801/bao-pp-cuong-thinh-cong-ty-tnhh-san-xuat-thuong-mai-nhua-cuong-thinh.html
Công Ty Bao Bì Nhật Thái," Thôn Đông Ngàn, xã Đông Hội, huyện Đông Anh,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Túi Hút Chân Không__Túi Nhôm__Bao Bì Nông Nghiệp__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Bao Bì Nhựa__Túi OPP__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.facebook.com/inanbaobinhatthai__www.baobinhatthai.com,'0977107199__0975107568__0988472668',Mr. Thuận,,male,Kinh Doanh,thuan.nhatthai@gmail.com,https://www.yellowpages.vn/lgs/1187779464/cong-ty-bao-bi-nhat-thai.html
Bao Bì Vạn Phát - Công Ty TNHH SX TM Bao Bì Vạn Phát,"C4/5B34 Bùi Thanh Khiết, KP. 3, TT. Tân Túc, H. Bình Chánh,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Mỹ Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__Bao Bì Nông Nghiệp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Túi OPP__Bao PP Dệt__Màng Co PE, LDPE, PVC, POF,.__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.baobivanphat.com,'0941201949',Bà Doãn Thị Tường Lam,,female,Giám Đốc,congtyvanphat9999@gmail.com,https://www.yellowpages.vn/lgs/1187814771/bao-bi-van-phat-cong-ty-tnhh-sx-tm-bao-bi-van-phat.html
Bao Bì Nhựa Khang Phát - Công Ty TNHH Bao Bì Nhựa Khang Phát,"90-92 Đường 53C, P. Tân Tạo, Q. Bình Tân,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Nông Nghiệp__Bao Bì Mỹ Phẩm__Bao Bì Nhựa__Túi OPP__Màng BOPP__Bao Bì Thực Phẩm",www.khangphatplastic.com,'0916883743__0916614050__02838933076',Ông Nguyễn Phát,,male,,khangphata52@yahoo.com.vn,https://www.yellowpages.vn/lgs/1020741/bao-bi-nhua-khang-phat-cong-ty-tnhh-bao-bi-nhua-khang-phat.html
Bao Bì Nhựa Sơn Hà - Công Ty TNHH Sản Xuất Thương Mại Xuất Nhập Khẩu Sơn Hà,"29/1 Lê Tấn Quốc, P. 13, Q. Tân Bình,","Bao Bì Nông Nghiệp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Túi, Bao Zipper, Ziplock",www.baobisonha.com,'0984212926__0902558971__02866769644',Mr. Siêu,,male,Giám Đốc,sonhaplasticpackaging@gmail.com,https://www.yellowpages.vn/lgs/1187757912/bao-bi-nhua-son-ha-cong-ty-tnhh-san-xuat-thuong-mai-xuat-nhap-khau-son-ha.html
Bao Bì Thảo Đạt - Công Ty TNHH Sản Xuất Và Thương Mại Thảo Đạt,"135/28 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân,","Vật Liệu Đóng Gói__Bao Bì Nông Nghiệp__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa__Màng PE Quấn Pallet__Bao PP Dệt__Màng PE, Màng Chít - Nhà Sản Xuất__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.thaodat.vn__www.thaodat.bizz.vn,'0813637771__02839616909',Mr. Xuyên,,male,,thaodatplastic@gmail.com,https://www.yellowpages.vn/lgs/119290662/bao-bi-thao-dat-cong-ty-tnhh-san-xuat-va-thuong-mai-thao-dat.html
Nhựa Hữu Yến - Công Ty TNHH Sản Xuất Thương Mại Hữu Yến,"747B Bến Bình Đông, P. 13, Q. 8,","Bao Bì Dược Phẩm__Nắp Chai, Nút Chai - Sản Xuất Và Cung Cấp__Bao Bì Nông Nghiệp__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Nắp Nhựa, Nút Nhựa__Nhựa - Các Công Ty Nhựa__Bao Bì Thực Phẩm__Chai Nhựa HDPE (Can, Chai, Lọ Nhựa HDPE)",www.huuyen.vn,'02838556046__0903807279',Anh Hữu Sang,,,,huuyenplastics@gmail.com,https://www.yellowpages.vn/lgs/1008834/nhua-huu-yen-cong-ty-tnhh-san-xuat-thuong-mai-huu-yen.html
Bao Bì Nhựa Di Đại Hưng - Công Ty TNHH Di Đại Hưng,": 462 & 466 Hồng Bàng, P. 16, Q. 11,","Bao Bì Nông Nghiệp__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.tashing.com.vn,'0914713418__02839605800',Mr. Vinh,,male,Phụ trách kinh doanh,vinh.khuu@tashing.com.vn,https://www.yellowpages.vn/lgs/703767/bao-bi-nhua-di-dai-hung-cong-ty-tnhh-di-dai-hung.html
Nhựa Phú Hưng Cường - Công Ty TNHH Sản Xuất Thương Mại Phú Hưng Cường,"66/09 Xuân Thới Đông 1, X. Xuân Thới Đông, H. Hóc Môn","Màng Co PE, LDPE, PVC, POF,.__Màng Phủ Nông Nghiệp, Ngư Nghiệp__Bao Bì Nông Nghiệp__Bao Bì Nhựa",www.phcplastic.vn,'02854283668__0908096368',Mr. Dũng,,male,,dungnguyen@phcplastic.vn,https://www.yellowpages.vn/lgs/1187687127/nhua-phu-hung-cuong-cong-ty-tnhh-san-xuat-thuong-mai-phu-hung-cuong.html
Bao PP Dệt Tuấn Long - Công Ty TNHH Sản Xuất Kinh Doanh Tuấn Long,"Số 3 Đường N15, Khu Phố Đông Thành, Phường Tân Đông Hiệp, Thành Phố Dĩ An,",Bao PP Dệt__Bao Bì Nông Nghiệp__Bao Tải Dứa,www.baobituanlong.com.vn,'0908858386',Mr. Minh Long,,male,Phòng kinh doanh,tuanlong1516@gmail.com,https://www.yellowpages.vn/lgs/1187819334/bao-pp-det-tuan-long-cong-ty-tnhh-san-xuat-kinh-doanh-tuan-long.html
Bao Bì Thiên Ngọc Minh - Công Ty TNHH Một Thành Viên Thiên Ngọc Minh,"Số 12, Tầng 12A, The Pegasus Plaza, 53 - 55 Đường Võ Thị Sáu, Phường Quyết Thắng, Thành Phố Biên Hoà,",Bao PP Dệt__Bao Bì Nông Nghiệp__Bao Tải Dứa,www.thienngocminh.bizz.vn,'0907282579__0913089948__02513918143',Bà Vũ Ánh Ngọc,,female,Giám Đốc,thienngocminh@gmail.com,https://www.yellowpages.vn/lgs/1187931456/bao-bi-thien-ngoc-minh-cong-ty-tnhh-mot-thanh-vien-thien-ngoc-minh.html
Bao Bì Thiên Lộc Phát - Công Ty TNHH Sản Xuất Bao Bì Thiên Lộc Phát,"40/17/9 Đường số 7, KP 12, P. Bình Hưng Hòa, Q. Bình Tân,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Thực Phẩm__Bao PP Dệt__Bao Bì Nông Nghiệp",www.baobithienlocphat.com,'0357201868__0398666147__0396310979__0911366909',Hotline,X,,,thienlocphatpp@gmail.com,https://www.yellowpages.vn/lgs/1187933073/bao-bi-thien-loc-phat-cong-ty-tnhh-san-xuat-bao-bi-thien-loc-phat.html
Bao Bì Tiên Sơn - Công Ty Cổ Phần Bao Bì Tiên Sơn,"Nhà máy: Thôn Cổ Miếu, Xã Phật Tích, H. Tiên Du,",Bao Big Bag Cũ__Bao Bì Nông Nghiệp__Bao Tải Dứa__Bao PP Dệt__Bao Bì - Nhà Sản Xuất và Kinh Doanh,www.baobitienson.vn,'0961668369__0989661000__02223725979',Ông Lê Song Toàn,,male,,info@baobitienson.vn,https://www.yellowpages.vn/lgs/1187797308/bao-bi-tien-son-cong-ty-co-phan-bao-bi-tien-son.html
