company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Nhựa á Châu  - Công Ty Cổ Phần Bao Bì Nhựa á Châu,"55/5 Bùi Thị Xuân, P. 5, Q. Tân Bình,","Hạt Nhựa, Hạt Nhựa Nguyên Sinh__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)",www.baobiachau.com,'0931489929__0903057220__02822289534',Hotline,X,,,asiaplastic.minh3@gmail.com,https://www.yellowpages.vn/lgs/1187715900/bao-bi-nhua-a-chau--cong-ty-co-phan-bao-bi-nhua-a-chau.html
Bao Bì Nhựa Dương An Kỳ - Công Ty TNHH Dương An Kỳ,"67/8J Đường Tân Hiệp 4, Ấp Thới Tây 2, X. Tân hiệp, H. Hóc Môn,","In Túi Nilon, In Túi Xốp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Túi, Bao Zipper, Ziplock",www.baobiduonganky.bizz.vn,'0909240848',Ms An,,female,Kinh Doanh,baobiduonganky@gmail.com,https://www.yellowpages.vn/lgs/1187858526/bao-bi-nhua-duong-an-ky-cong-ty-tnhh-duong-an-ky.html
Bao Bì Vạn ánh Dương - Công Ty TNHH MTV Thương Mại Vạn Ánh Dương,"808/5/3/1 Khu Phố 4, Quốc Lộ 13, P. Hiệp Bình Phước, Q. Thủ Đức","Túi Phân Hủy Sinh Học__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Túi, Bao Zipper, Ziplock__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.vananhduong.com.vn,'02873026161__0829345656__0909345656',Ms. Trang Đài,,female,,vananhduongco.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187794851/bao-bi-van-anh-duong-cong-ty-tnhh-mtv-thuong-mai-van-anh-duong.html
Bao Bì Đại Dương Xanh - Công Ty TNHH Sản Xuất Và Thương Mại Bao Bì Đại Dương Xanh,"Số 45, Ngõ 164/41, Phố Vương Thừa Vũ, Khương Trung, Thanh Xuân,","Màng Co PE, LDPE, PVC, POF,.__Bao Bì Nông Nghiệp__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Bao PP Dệt__Màng PE, Màng Chít - Nhà Sản Xuất",www.baobidaiduongxanh.com.vn,'0358116979__0968745285__0975523285',Hotline,X,,,oceanbluepacking@gmail.com,https://www.yellowpages.vn/lgs/1187752314/bao-bi-dai-duong-xanh-cong-ty-tnhh-san-xuat-va-thuong-mai-bao-bi-dai-duong-xanh.html
Bao Bì Nhựa Cao Dương - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Cao Dương,"24/6D Nguyễn Thị Thử, Ấp 3, X. Xuân Thới Sơn, H. Hóc Môn,","Túi Phân Hủy Sinh Học__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Túi OPP__Túi, Bao Zipper, Ziplock__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)__Túi Đựng Thực Phẩm, Túi Cuộn Đựng Thực Phẩm",www.baobicaoduong.bizz.vn__www.baobinhuacaoduong.com,'02837135791__0913675001',Hotline,X,,,caoduong02@gmail.com,https://www.yellowpages.vn/lgs/1187741883/bao-bi-nhua-cao-duong-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-cao-duong.html
Bao Bì Nhựa Di Đại Hưng - Công Ty TNHH Di Đại Hưng,": 462 & 466 Hồng Bàng, P. 16, Q. 11,","Bao Bì Nông Nghiệp__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.tashing.com.vn,'0914713418__02839605800',Mr. Vinh,,male,Phụ trách kinh doanh,vinh.khuu@tashing.com.vn,https://www.yellowpages.vn/lgs/703767/bao-bi-nhua-di-dai-hung-cong-ty-tnhh-di-dai-hung.html
Bao Bì Nilon Kiệt Thành - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Kiệt Thành,"351/1 An Dương Vương, P. 10, Q. 6,","Màng Phủ Nông Nghiệp, Ngư Nghiệp__In Túi Nilon, In Túi Xốp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.kietthanh.com__www.baobinhuakietthanh.com,'0982086833__02862616910',Mr U Khải Huy,,male,PGĐ Kinh Doanh,xuanthanh.linkedin@gmail.com,https://www.yellowpages.vn/lgs/1187728941/bao-bi-nilon-kiet-thanh-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-kiet-thanh.html
Màng PE Foam Đức Thuận Phát - Công Ty TNHH Sản Xuất Và Thương Mại Đức Thuận Phát,"Khu Cửa Đồng, TT. Hương Canh, H. Bình Xuyên,","Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Túi, Bao Zipper, Ziplock__Màng PE, Màng Chít - Nhà Sản Xuất",www.sanxuatbaobinilon.com,'0866404464__0968623038',Mr. Nguyễn Đức Điều,,male,Giám Đốc,thuanphat2019.vp@gmail.com,https://www.yellowpages.vn/lgs/1187910771/mang-pe-foam-duc-thuan-phat-cong-ty-tnhh-san-xuat-va-thuong-mai-duc-thuan-phat.html
Bao Bì Vinh - Công Ty CP Nhựa Bao Bì Vinh,"Số 18, Phong Định Cảng, Khối 8, P. Bến Thủy, TP. Vinh,","Bao Xi Măng__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Jumbo__Túi OPP__Hạt Nhựa - Nguyên Liệu__Bao Container, Bao Jumbo, Bao Bigbag",www.nhuabaobivinh.com,'02383855524__0965977707__0983838888__0986684433',Mr. Hiếu,,male,,nhuabaobivinh@gmail.com,https://www.yellowpages.vn/lgs/1187707245/bao-bi-vinh-cong-ty-cp-nhua-bao-bi-vinh.html
Bao Bì Nhựa Pridevn Packaging - Công Ty TNHH Pridevn Packaging,"317/5L Ấp Tam Đông 2, Xã Thới Tam Thôn, Huyện Hóc Môn,","Màng Phủ Nông Nghiệp, Ngư Nghiệp__Màng PVC, PET, PP, PS, HIPS__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Màng Chống Thấm, Màng Chống Thấm HDPE__Màng PE, Màng Chít - Nhà Sản Xuất__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Túi Đựng Thực Phẩm, Túi Cuộn Đựng Thực Phẩm",www.pridevnpackaging.com,'0934629999__02835960168__0944589369',Ông Nguyễn Văn Thông,,male,P. Kinh doanh,pridevn@pridevnpackaging.com,https://www.yellowpages.vn/lgs/1187721273/bao-bi-nhua-pridevn-packaging-cong-ty-tnhh-pridevn-packaging.html
Bao Bì Nhựa Vinh Phát - Công Ty TNHH Sản Xuất Bao Bì Nhựa Vinh Phát,"Số 69/37A Đường Số 16, P. Bình Hưng Hòa A, Q. Bình Tân,","Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Túi OPP__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.nhuavinhphat.com,'0947854848',Ông Khải Dũng,,male,,khaidung79@gmail.com,https://www.yellowpages.vn/lgs/1187804379/bao-bi-nhua-vinh-phat-cong-ty-tnhh-san-xuat-bao-bi-nhua-vinh-phat.html
Bao Bì Atlantic - Công Ty TNHH Bao Bì Atlantic,"Khu Phố Kếu, X. Đạo Đức, H. Bình Xuyên,","In Túi Nilon, In Túi Xốp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Màng PE, Màng Chít - Nhà Sản Xuất__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.baobiatlantic.com,'0988564998',Ms. Nguyễn Thị Vân Anh,,female,,atlantic2017.ad@gmail.com,https://www.yellowpages.vn/lgs/1187831865/bao-bi-atlantic-cong-ty-tnhh-bao-bi-atlantic.html
Bao Bì Thanh Ngân - Công Ty TNHH Thanh Ngân,"Lô 16, Đường N2, Cụm CN An Xá, Xã Lộc An, TP. Nam Định,","In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Túi OPP__Bao Bì May Mặc__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.thanhngan.pro.vn,'0915300700__035032211148',Ms Ngân,,female,Giám đốc,buitrongquan95@gmail.com,https://www.yellowpages.vn/lgs/1187805360/bao-bi-thanh-ngan-cong-ty-tnhh-thanh-ngan.html
Bao Bì Tân Kim Long - Công Ty TNHH Bao Bì Tân Kim Long,"239/60 Khuông Việt, P. Phú Trung, Q. Tân Phú,","In Túi Nilon, In Túi Xốp__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Băng Keo, Băng Dính__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Túi, Bao Zipper, Ziplock__Màng PE, Màng Chít - Nhà Sản Xuất__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.baobikimlong.com,'02838615757__02838619245',Ms. Hoàng Vũ Hoài Phương,,female,Giám Đốc,kimlongbaobinhua@gmail.com,https://www.yellowpages.vn/lgs/1187892183/bao-bi-tan-kim-long-cong-ty-tnhh-bao-bi-tan-kim-long.html
