company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công ty TNHH Đóng Gói Dongguan,"Số 35, Đường Jinda, Làng Juqi, Thị Trấn Humen","Bao Bì Quà Tặng, Bao Bì Khuyến Mại",www.creativepacking.net,'8676989031929',Vinny Chen,,,,sales@creativepacking.net,https://www.yellowpages.vn/lgs/1187904336/cong-ty-tnhh-dong-goi-dongguan.html
In Thịnh Thảo - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Thịnh Thảo,"123/4 Cao Lỗ, Phường 4, Quận 8,","Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inanthinhthao.com,'0938689288',Mr. Nguyễn Hữu Toàn,,male,,huutoanoffset@gmail.com,https://www.yellowpages.vn/lgs/1187925744/in-thinh-thao-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-thinh-thao.html
Hộp Quà Sắc Hoa - Công Ty TNHH MTV Thương Mại Dịch Vụ Sắc Hoa,"413/22 Nguyễn Kiệm, P. 9, Q. Phú Nhuận,","Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì Giấy__Hộp Cứng Cao Cấp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)__Hộp Rượu",www.inhopgiaysachoa.com__www.hopquasachoa.com,'0914555151__0935757573__02866704555',Bà Trần Ngọc Thảo Nguyên,,female,,baogia.sachoa@gmail.com,https://www.yellowpages.vn/lgs/1187701137/hop-qua-sac-hoa-cong-ty-tnhh-mtv-thuong-mai-dich-vu-sac-hoa.html
Bao Bì Quốc Thái - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Quốc Thái,"44/11 Đường 8B, P. Bình Hưng Hòa A, Q. Bình Tân,","In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Giấy__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì May Mặc__Bao Bì Thực Phẩm__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)__Bao Bì Carton",www.baobiquocthai.com.vn,'0912013017__0903933541__02836007962',Ông Nguyễn Văn Việt,,male,Giám Đốc,baobiquocthai@yahoo.com.vn,https://www.yellowpages.vn/lgs/1080150/bao-bi-quoc-thai-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-quoc-thai.html
Hộp Cứng Nguyên Phúc - Công Ty TNHH Sản Xuất Bao Bì Hộp Cứng Nguyên Phúc,"Xưởng In: Thôn Lộc Hà, X. Mai Lâm, H. Đông Anh,","Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Hộp Âm Dương__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Hộp Quà Tặng__Hộp Cứng Cao Cấp__Hộp Mỹ Phẩm__Hộp Rượu",www.baobinguyenphuc.com,'0985927293',Hotline/Zalo,,,,,https://www.yellowpages.vn/lgs/1187902650/hop-cung-nguyen-phuc-cong-ty-tnhh-san-xuat-bao-bi-hop-cung-nguyen-phuc.html
Bao Bì Nhựa SPK - Công Ty TNHH SPK Packaging,"Số 63/3 Đường Vĩnh Phú 30, Khu Phố Tây, Phường Vĩnh Phú, Thành Phố Thuận An,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__Bao Bì Hộp__Thẻ Bài, Nhãn Treo__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Nhựa - Các Công Ty Nhựa__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.spk.com.vn__www.khaynhuadinhhinh.com,'0869198413',Mr. Chề A Sủi,,male,Giám Đốc,asui@spk.com.vn,https://www.yellowpages.vn/lgs/1187775039/bao-bi-nhua-spk-cong-ty-tnhh-spk-packaging.html
Chi Nhánh - Công Ty TNHH Sản Xuất Túi Nhựa PVC Biển Đông,"P. Long Bình Tân, TP. Biên Hòa,","Túi Nhựa PVC__Bao Bì Quà Tặng, Bao Bì Khuyến Mại",www.tuinhuapvcgiare.com,'0909399951__0937775467',Hotline,X,,,nguyenduc12233@gmail.com,https://www.yellowpages.vn/lgs/1187894247/chi-nhanh-cong-ty-tnhh-san-xuat-tui-nhua-pvc-bien-dong.html
Công Ty TNHH Túi Quảng Cáo 365,"964 Tân Kỳ Tân Quý, P. Bình Hưng Hòa, Q. Bình Tân,","Túi Nhựa PVC__Bao Bì Quà Tặng, Bao Bì Khuyến Mại",www.tuinhuapvc.com,'0909102365',Mr. Đạt,,male,Chủ DN,datgiacongsauin@gmail.com,https://www.yellowpages.vn/lgs/1187883075/cong-ty-tnhh-tui-quang-cao-365.html
Túi Nhựa Pefso - Công Ty TNHH Pefso,"71/43 Phố Chùa Bộc, P. Khương Thượng, Q. Đống Đa,","Móc áo, Móc Treo Quần áo Và Các Phụ Kiện,.. - Sản Xuất Và Kinh Doanh__Bao Bì Mỹ Phẩm__Màng PVC, PET, PP, PS, HIPS__Túi Nhựa PVC__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì May Mặc__Bao Bì Thực Phẩm",www.baobipps.com,'0978800566__02462920360__0986283861__0978936166',Mr. Mai Quang Thắng,,male,,pps@pefso.com,https://www.yellowpages.vn/lgs/119311281/tui-nhua-pefso-cong-ty-tnhh-pefso.html
Công Ty TNHH Gia Khánh,"217/70/45 Bùi Đình Túy, P. 24, Q. Bình Thạnh,","Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Túi Giấy, Túi Giấy Kraft__Túi Vải Không Dệt",,'02866737035__01267897339',Thúy Vy,,,,thuyvy149@gmail.com,https://www.yellowpages.vn/lgs/1187700360/cong-ty-tnhh-gia-khanh.html
