company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Nhựa Huy Minh - Công Ty TNHH SX  Chai Lọ Nhựa Huy Minh,"41-43 Bình Thới, P. 11, Q. 11,","Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Chai Pet, Phôi Pet__Bao Bì Thủy Tinh__Nắp Nhựa, Nút Nhựa__Bao Bì Nhựa",www.nhuahuyminh.com__www.huyminhplastic.com,'02839629884__0903836661',Mr. Khương,,male,,huyminh45b@gmail.com,https://www.yellowpages.vn/lgs/1187731524/bao-bi-nhua-huy-minh-cong-ty-tnhh-sx--chai-lo-nhua-huy-minh.html
Bao Bì Thủy Tinh - Công Ty TNHH Xuất Nhập Khẩu T & H GLASS 8,"Số 213 Nguyễn Khang, P. Yên Hòa, Q. Cầu Giấy,","Chai Thủy Tinh, Lọ Thủy Tinh__Ly, Cốc Thủy Tinh__Bao Bì Thủy Tinh__Hũ Thủy Tinh",www.baobithuytinh.com,'0965388386__0977035508__0868825868',Mr. Thịnh,,male,,vuachailo@gmail.com,https://www.yellowpages.vn/lgs/1187929239/bao-bi-thuy-tinh-cong-ty-tnhh-xuat-nhap-khau-t---h-glass-8.html
Bao Bì Tân Phong - Công Ty Cổ Phần Xuất Nhập Khẩu Và Thương Mại Tân Phong,"Số 1, Ngõ 85, Đường Xuân Thủy, Quận Cầu Giấy,","Chai Lọ Mỹ Phẩm, Hũ Mỹ Phẩm__Bao Bì Dược Phẩm__Bao Bì Mỹ Phẩm__Chai Thủy Tinh, Lọ Thủy Tinh__Bao Bì Thủy Tinh__Nắp Nhựa, Nút Nhựa",www.tanphongjsc.com,'0923888840__0936398635',Ông Lê Tuấn Nghĩa,,male,Giám Đốc,tanphong.jsc01@gmail.com,https://www.yellowpages.vn/lgs/1187701548/bao-bi-tan-phong-cong-ty-co-phan-xuat-nhap-khau-va-thuong-mai-tan-phong.html
Thủy Tinh Cẩm Đạt - Công Ty TNHH Sản Xuất Và Thương Mại Cẩm Đạt,"Số 38/33C Lãng Binh Thăng, P. 13, Q. 11,","Ly, Cốc Thủy Tinh__Bao Bì Thủy Tinh__Hũ Thủy Tinh",www.camdaglassco.com__www.camdaglassco.com.vn,'0938576645__02839752853',Mr. Huỳnh Tuấn Nguyên,,male,Giám Đốc Kinh Doanh,nguyen9234571@gmail.com,https://www.yellowpages.vn/lgs/1187677320/thuy-tinh-cam-dat-cong-ty-tnhh-san-xuat-va-thuong-mai-cam-dat.html
Bao Bì Nhựa TRANSPHAR - Công Ty Cổ Phần Thương Mại Và Xuất Nhập Khẩu TRANSPHAR,"Cụm 3, Thôn Thượng Hiệp, X. Tam Hiệp, H. Phúc Thọ,","Bao Bì Dược Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Chai Thủy Tinh, Lọ Thủy Tinh__Bao Bì Thủy Tinh__Nắp Nhựa, Nút Nhựa__Hũ Thủy Tinh",www.transphar.com__www.chailotransphar.vn,'0904510587__02433745888__0987439949',Mr. Quang,,male,TPKD,transpharjsc@gmail.com,https://www.yellowpages.vn/lgs/1187707884/bao-bi-nhua-transphar-cong-ty-co-phan-thuong-mai-va-xuat-nhap-khau-transphar.html
Chai Lọ Thủy Tinh Phước Lợi - Cơ Sở Thủy Tinh Phước Lợi,"Số 345 Bình Trị Đông, P. Bình Trị Đông A, Q. Bình Tân,","Chai Thủy Tinh, Lọ Thủy Tinh__Thủy Tinh - Nhà Sản Xuất và Kinh Doanh__Bao Bì Thủy Tinh",www.thuytinhphuocloi.bizz.vn,'0938787168__02862661338__0923332338',Bà Triệu Cẩm Hà,,female,,,https://www.yellowpages.vn/lgs/1187803884/chai-lo-thuy-tinh-phuoc-loi-co-so-thuy-tinh-phuoc-loi.html
Bao Bì Thủy Tinh - Công Ty TNHH Xuất Nhập Khẩu 68 Việt Nam,": SB23-323 Vinhomes OceanPark, X. Dương Xá, H.Gia Lâm, TP. Hà Nội","Nắp Chai, Nút Chai - Sản Xuất Và Cung Cấp__Bao Bì Dược Phẩm__Chai Thủy Tinh, Lọ Thủy Tinh__Bao Bì Thủy Tinh__Hũ Thủy Tinh__In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__Thủy Tinh - Nhà Sản Xuất và Kinh Doanh",www.baobi68vietnam.com,'0966695990__0966265586',P. Kinh Doanh,,,,congty68vietnam@gmail.com,https://www.yellowpages.vn/lgs/1187788797/bao-bi-thuy-tinh-cong-ty-tnhh-xuat-nhap-khau-68-viet-nam.html
Công Ty Cổ Phần Sản Xuất Nắp Nút Việt Nam (VINACAP),"C14/27A Huỳnh Bá Chánh, X.Tân Kiên, H.Bình Chánh","Thùng Phuy - Sản Xuất và Kinh Doanh__Quà Tặng Thủy Tinh, Pha Lê (Lọ Hoa, Ly, Cốc,.)__Nắp Chai, Nút Chai - Sản Xuất Và Cung Cấp__Thiết Bị Niêm Phong (Kìm Kẹp Chì, Nắp, Seal Niêm Phong)__Chai Thủy Tinh, Lọ Thủy Tinh__Bao Bì Thủy Tinh__Dây Rút Nhựa, Dây Thít Nhựa__Thủy Tinh - Nhà Sản Xuất và Kinh Doanh",www.vinacap.net.vn,'02836201048__0961111248__0966644432__0862574857',Ông Phan Quang Vinh,,male,Giám Đốc Điều Hành,,https://www.yellowpages.vn/lgs/1187750970/cong-ty-co-phan-san-xuat-nap-nut-viet-nam--vinacap-.html
Vua Chai Lọ - Công Ty TNHH Xuất Nhập Khẩu T & H GLASS 8,"Số 213 Nguyễn Khang, P. Yên Hòa, Q. Cầu Giấy,","Bao Bì Dược Phẩm__Nắp Chai, Nút Chai - Sản Xuất Và Cung Cấp__Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Chai Thủy Tinh, Lọ Thủy Tinh__Bình Nước Thủy Tinh__Thủy Tinh, Thủy Tinh Gia Dụng - Nhập Khẩu & Phân Phối__Bao Bì Thủy Tinh__Hũ Thủy Tinh__Thủy Tinh - Nhà Sản Xuất và Kinh Doanh",www.baobitonghop.com__www.vuachailo.vn,'0965388386__0977035508__0868825868',Mr. Thịnh,,male,,vuachailo@gmail.com,https://www.yellowpages.vn/lgs/1187799600/vua-chai-lo-cong-ty-tnhh-xuat-nhap-khau-t---h-glass-8.html
Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ XNK Trường Vinh - Sản Xuất Chai Lọ Thủy Tinh,"Lô A5/II - A6/II, Đường 2B, KCN Vĩnh Lộc, Q. Bình Tân,","ống Nghiệm, ống Thủy Tinh Thí Nghiệm__Chai Thủy Tinh, Lọ Thủy Tinh__Bình Nước Thủy Tinh__Thủy Tinh, Thủy Tinh Gia Dụng - Nhập Khẩu & Phân Phối__Bao Bì Thủy Tinh__Hũ Thủy Tinh__Thủy Tinh - Nhà Sản Xuất và Kinh Doanh__Ly, Cốc Thủy Tinh__Tô Thủy Tinh__Bát, Đĩa, Chén Thủy Tinh",,'0908197195__0961988999',Ông Dương Chí Phong,,male,Quản Lý,fongyang1668@gmail.com,https://www.yellowpages.vn/lgs/998976/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xnk-truong-vinh-san-xuat-chai-lo-thuy-tinh.html
