company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
TDC Packaging - Công Ty TNHH Bao Bì Lương Thực Trung Điệp,"Lô 3, Đường D, KCN Tân Tạo, P. Tân Tạo, Q. Bình Tân,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Bao Bì Nông Nghiệp__Bao Bì Nhựa__Bao PP Dệt__Bao Bì Xuất Khẩu__Bao Bì Thực Phẩm",www.tdpackage.com,'02866573339__0915699769',Ông Nguyễn Tấn Nghĩa,,male,P. Kinh doanh,sales@tdpackage.com,https://www.yellowpages.vn/lgs/1187866428/tdc-packaging-cong-ty-tnhh-bao-bi-luong-thuc-trung-diep.html
Công Ty Bao Bì Nhật Thái,": Thôn Bến, Xã Phụng Công, Huyện Văn Giang,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Túi Hút Chân Không__Túi Nhôm__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Bao Bì Nhựa__Túi OPP__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Bao Bì Thực Phẩm",www.baobinhatthai.com,'0977107199__0975107568__0988472668',Mr. Thuận,,male,Kinh doanh,thuan.nhatthai@gmail.com,https://www.yellowpages.vn/lgs/1187930535/cong-ty-bao-bi-nhat-thai.html
Bao Bì Xuất Khẩu và Thương Mại Vạn Thành,"km 1930, Quốc Lộ 1A , xã Long Hiệp , Huyện Bến Lức,",Bao Bì Xuất Khẩu,www.vanthanhpack.com.vn,'02723890888',,,,,,https://www.yellowpages.vn/lgs/1187707164/bao-bi-xuat-khau-va-thuong-mai-van-thanh.html
Công Ty TNHH VN PLASTIC,"Kien thiet zone, So dau, Hong Bang Dist,",Bao Bì Xuất Khẩu__Bao Bì Nhựa,,'02253529994',,,,,,https://www.yellowpages.vn/lgs/1187707221/cong-ty-tnhh-vn-plastic.html
Công Ty Bao Bì Nhật Thái," Thôn Đông Ngàn, xã Đông Hội, huyện Đông Anh,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Túi Hút Chân Không__Túi Nhôm__Bao Bì Nông Nghiệp__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Bao Bì Nhựa__Túi OPP__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.facebook.com/inanbaobinhatthai__www.baobinhatthai.com,'0977107199__0975107568__0988472668',Mr. Thuận,,male,Kinh Doanh,thuan.nhatthai@gmail.com,https://www.yellowpages.vn/lgs/1187779464/cong-ty-bao-bi-nhat-thai.html
Bao Bì Bảo Uyên - Công Ty TNHH MTV Bảo Uyên,"10/45 Khu Phố 3, P. Tam Hòa, TP. Biên Hòa,","Thùng Carton, Thùng Giấy__Vật Liệu Đóng Gói__Dây Đai Nhựa__Băng Keo, Băng Dính__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Thùng Bế, Hộp Bế__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Màng PE, Màng Chít - Nhà Sản Xuất__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.baobibaouyen.com.vn,'02518823259__0937001901',Ông Mai Văn Điệp,,male,Trưởng Phòng Kinh Doanh,baouyen291209@gmail.com,https://www.yellowpages.vn/lgs/1187681796/bao-bi-bao-uyen-cong-ty-tnhh-mtv-bao-uyen.html
Bao Bì Nam Tiến - Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì Nam Tiến,"565 Tân Kỳ Tân Quý, P. Tân Quý, Q. Tân Phú,","Thùng Carton, Thùng Giấy__Bao Bì Dược Phẩm__Thùng Carton 7 Lớp__Bao Bì Carton__Bao Bì Mỹ Phẩm__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Thùng Carton 5 Lớp__Thùng Carton In Offset__Bao Bì Giấy__Thùng Carton 3 Lớp__Túi Giấy, Túi Giấy Kraft__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Xuất Khẩu__Hộp Mỹ Phẩm__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Hộp Rượu",www.cungcapbaobi.com__www.sanxuatbaobi.com.vn,'__0965252345__02866579555',Mr. Thư,,male,,,https://www.yellowpages.vn/lgs/1187740065/bao-bi-nam-tien-cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-nam-tien.html
Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì ánh Sáng,"31A Đường 17, KP. 3, P. Hiệp Bình Phước, Q. Thủ Đức,",Vật Liệu Đóng Gói__Bao Bì Nông Nghiệp__Bao Bì Xuất Khẩu,www.baobianhsang.vn,'0868644466',Hotline,X,,,lienhe@baobianhsang.vn,https://www.yellowpages.vn/lgs/1187785857/cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-anh-sang.html
In Hòa Phát - Công Ty Cổ Phần Thương Mại Và Dịch Vụ In Hòa Phát,"Số 71 Nguyễn Tuân, Quận Thanh Xuân,","In Tem Nhãn, Nhãn Mác, Label__Bao Thư - In Bao Thư, In Phong Bì Thư__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Xuất Khẩu__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.hoaphatprinting.com,'0934568638',Mrs. Vũ Cúc,,,Phòng Kinh Doanh,vucuc.xuongin@gmail.com,https://www.yellowpages.vn/lgs/1187895840/in-hoa-phat-cong-ty-co-phan-thuong-mai-va-dich-vu-in-hoa-phat.html
Bao Bì Nhựa Di Đại Hưng - Công Ty TNHH Di Đại Hưng,": 462 & 466 Hồng Bàng, P. 16, Q. 11,","Bao Bì Nông Nghiệp__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.tashing.com.vn,'0914713418__02839605800',Mr. Vinh,,male,Phụ trách kinh doanh,vinh.khuu@tashing.com.vn,https://www.yellowpages.vn/lgs/703767/bao-bi-nhua-di-dai-hung-cong-ty-tnhh-di-dai-hung.html
