company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH SI YUAN TECH,"Lô G3, Đường N5, KCN Châu Sơn, P. Châu Sơn, Tp. Phủ Lý,","Linh Kiện Điện Tử__Bao Bì Đồ Điện Tử__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình",www.siyuanvn.com,'0812396336__0979895792',Mr. Viên,,male,Phụ trách,kinhdoanh1@hieptanhanam.vn,https://www.yellowpages.vn/lgs/1187901249/cong-ty-tnhh-si-yuan-tech.html
Mút Xốp KBC - Công Ty TNHH Bao Bì KBC,"DX 058, P. Phú Mỹ, TP. Thủ Dầu Một,","Xốp Hơi, Màng Xốp Hơi__Bao Bì Đồ Điện Tử__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Hạt Nhựa - Nguyên Liệu",www.baobikbc.com,'0916157786',Ms. Thương,,female,,baobikbc@gmail.com,https://www.yellowpages.vn/lgs/1187905908/mut-xop-kbc-cong-ty-tnhh-bao-bi-kbc.html
Bao Bì Việt Đức - Công Ty TNHH Công Nghệ In & Bao Bì Việt Đức,"Số 1A, Phố Phùng Chí Kiên, P. Nghĩa Đô, Q. Cầu Giấy,","Bao Bì Dược Phẩm__Hộp Rượu__Bao Bì Mỹ Phẩm__Bao Bì Đồ Điện Tử__Bao Bì Hộp__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Hộp Quà Tặng__Bao Bì Giấy__Hộp Cứng Cao Cấp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Thực Phẩm__Bao Bì May Mặc__Hộp Mỹ Phẩm__Bao Bì Carton",www.baobivietduc.com.vn,'02439954471__0904167287',Ông Lê Văn Cường,,male,Phó giám Đốc,lehoexpress@yahoo.com,https://www.yellowpages.vn/lgs/119352240/bao-bi-viet-duc-cong-ty-tnhh-cong-nghe-in---bao-bi-viet-duc.html
Bao Bì Nhựa Nhân Hằng - Công Ty TNHH Nhân Hằng,"Cụm Công Nghiệp Ba Hàng, X. Nam Đồng, TP. Hải Dương,","Bao Bì Đồ Điện Tử__Màng PVC, PET, PP, PS, HIPS__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Thực Phẩm",www.baobinhanhang.bizz.vn__www.baobinhanhang.znn.vn,'02203751229',Ms Xuân Hằng,,female,Thường trực văn phòng,nhanhang.plastic@gmail.com,https://www.yellowpages.vn/lgs/1187690127/bao-bi-nhua-nhan-hang-cong-ty-tnhh-nhan-hang.html
Bao Bì Định Hình Quốc Tế Đa Tri - Công Ty TNHH Quốc Tế Đa Tri,"26/4G Mỹ Huề 4, Ấp Mỹ Huề, X. Trung Chánh, H. Hóc Môn,","In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.baobidatri.com,'0916999640__02836203244__0907799244',Mr. Trần Tiến Thành,,male,Giám Đốc,baobidatri@gmail.com,https://www.yellowpages.vn/lgs/1187820093/bao-bi-dinh-hinh-quoc-te-da-tri-cong-ty-tnhh-quoc-te-da-tri.html
Bao Bì Giấy Bảo Tín - Công Ty TNHH Sản Xuất Thương Mại Bao Bì Bảo Tín,"621/109 Đường Trần Thị Hè, Tổ 45, KP. 4, P. Hiệp Thành, Q. 12,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Đồ Điện Tử__Thùng Carton 5 Lớp__Thùng Carton In Offset__ống Giấy, Lõi Giấy__Giấy -  Sản Phẩm Giấy__Thùng Carton 3 Lớp__Bao Bì May Mặc__Bao Bì Thực Phẩm__Thanh Nẹp Giấy, Nẹp Góc__Bao Bì Carton",www.baobibaotin.bizz.vn,'0977307761__02862700378',Hotline,X,,,btn.baotin@gmail.com,https://www.yellowpages.vn/lgs/1187842929/bao-bi-giay-bao-tin-cong-ty-tnhh-san-xuat-thuong-mai-bao-bi-bao-tin.html
Bao Bì Nhựa Tân Bắc Hải - Công Ty TNHH Sản Xuất Thương Mại Tân Bắc Hải,"J1B Đường Số 6, KCN Lê Minh Xuân, Xã Lê Minh Xuân, Huyện Bình Chánh,","Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.tanbachai.com,'02836027350__0902871983',Ông Trang Hùng Xương,,male,Phòng Kinh Doanh,tanbachai88@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187699886/bao-bi-nhua-tan-bac-hai-cong-ty-tnhh-san-xuat-thuong-mai-tan-bac-hai.html
Bao Bì Nhựa SPK - Công Ty TNHH SPK Packaging,"Số 63/3 Đường Vĩnh Phú 30, Khu Phố Tây, Phường Vĩnh Phú, Thành Phố Thuận An,","Thẻ Bài, Nhãn Treo__Màng PVC, PET, PP, PS, HIPS__Bao Bì Hộp__Bao Bì Đồ Điện Tử__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì Nhựa__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Nhựa - Các Công Ty Nhựa__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.spk.com.vn__www.khaynhuadinhhinh.com,'0869198413',Mr. Chề A Sủi,,male,Giám Đốc,asui@spk.com.vn,https://www.yellowpages.vn/lgs/1187775039/bao-bi-nhua-spk-cong-ty-tnhh-spk-packaging.html
Bao Bì Bình Minh - Công Ty TNHH SX TM DV Bao Bì Bình Minh,"A19 Phan Huy Ích, P. 15, Q. Tân Bình,","Túi PE Khổ Lớn__Túi Phân Hủy Sinh Học__Bao Bì Đồ Điện Tử__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì May Mặc__Túi Đựng Thực Phẩm, Túi Cuộn Đựng Thực Phẩm",www.baobibinhminh.bizz.vn__www.binhminhpackaging.com,'02838153585__0934040899__0834553987',Ms. Lê Hà,,female,,Habinhminh052016@gmail.com,https://www.yellowpages.vn/lgs/1187855919/bao-bi-binh-minh-cong-ty-tnhh-sx-tm-dv-bao-bi-binh-minh.html
Taipei Packing - Công Ty TNHH Taipei Packing,"Lô E, KCN Bình Xuyên, TT. Hương Canh, H. Bình Xuyên,","Khuôn Nhựa Định Hình, Khuôn Hút Chân Không__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Đồ Điện Tử",www.taipeipacking.vn,'02113815556__0981188602',Mr. Le Quang Ha,,male,Bussiness Chief,hale01kd@taipeipacking.vn,https://www.yellowpages.vn/lgs/1187863599/taipei-packing-cong-ty-tnhh-taipei-packing.html
