company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Minh Phương - Cơ Sở Sản Xuất Bao Bì Minh Phương,"Cụm 2, Thôn Tây, Phụng Thượng, Phúc Thọ,","Bao Jumbo__Bao Đay, Túi Vải Đay, Vải Đay, Sợi Đay,..__Bao PP Dệt__Bao Container, Bao Jumbo, Bao Bigbag",www.baobiminhphuong.com,'0984819688__0916590638',Mr. Hoàng Tiến Như,,male,Giám Đốc,Congtybaobihoangminh@gmail.com,https://www.yellowpages.vn/lgs/1187794638/bao-bi-minh-phuong-co-so-san-xuat-bao-bi-minh-phuong.html
Bao Bì Jumbo Tú Phương - Nhà Máy Sản Xuất Bao Bì Jumbo Tú Phương,"Thôn Dương Đanh, Xã Dương Xá, Huyện Gia Lâm,","Bao Jumbo__Bao Container, Bao Jumbo, Bao Bigbag",www.tuphuongjumbobag.com.vn,'0987869796__02436789569__0925887999',Ông Trần Huy Nhật,,male,Giám Đốc Nhà Máy,gd@tuphuongjumbobag.com.vn,https://www.yellowpages.vn/lgs/1187786757/bao-bi-jumbo-tu-phuong-nha-may-san-xuat-bao-bi-jumbo-tu-phuong.html
Bao Bì Mạnh Duy - Công Ty TNHH Bao Bì Mạnh Duy,"5A/99 Khu Phố 10, P. Hố Nai, Biên Hòa,","Bao Jumbo__Bao PP Dệt__Bao Container, Bao Jumbo, Bao Bigbag",www.baobimanhduy.com,'0905091346',Ông Đoàn Mạnh Duy,,male,,baobimanhduy@gmail.com,https://www.yellowpages.vn/lgs/1187794401/bao-bi-manh-duy-cong-ty-tnhh-bao-bi-manh-duy.html
Bao Bì Jumbo - Công Ty TNHH Sản Xuất Thương Mại Bao Bì Hoàng Sơn,"Tổ 2, Khu Phố Hương Phước, Phường Phước Tân, Thành Phố Biên Hoà,","Bao Jumbo__Bao Container, Bao Jumbo, Bao Bigbag",www.tuijumbo.com,'0967786737',Ông Hoàng Thanh Sơn,,male,,baobihoangson@gmail.com,https://www.yellowpages.vn/lgs/1187920578/bao-bi-jumbo-cong-ty-tnhh-san-xuat-thuong-mai-bao-bi-hoang-son.html
Bao Jumbo DHT - Công Ty TNHH MTV Bao Bì DHT,"Số 607, Đường Trường Chinh, P. Đồng Xuân, TP. Phúc Yên,","Bao Jumbo__Bao Big Bag Cũ__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Bao Container, Bao Jumbo, Bao Bigbag",www.dhtpackaging.com,'02113512663__0944634358',Ông Nguyễn Xuân Hoàng Điệp,,male,Phó Giám Đốc,hoangdiep.dht@gmail.com,https://www.yellowpages.vn/lgs/1187696529/bao-jumbo-dht-cong-ty-tnhh-mtv-bao-bi-dht.html
Bao Jumbo Thiên Niên Kỷ Tuấn Anh - Công Ty TNHH Thiên Niên Kỷ Tuấn Anh,"Xóm Tân Thái, X. Hóa Thượng, H. Đồng Hỷ,","Bao PP Dệt__Bao Container, Bao Jumbo, Bao Bigbag",www.baobithiennienky.com,'0986034545__02083937868',Ông Nguyễn Đình Hiệp,,male,Giám Đốc,thiennienkytuananh@gmail.com,https://www.yellowpages.vn/lgs/1187711955/bao-jumbo-thien-nien-ky-tuan-anh-cong-ty-tnhh-thien-nien-ky-tuan-anh.html
Công Ty TNHH Sản Xuất - Thương Mại Dịch Vụ - Xuất Nhập Khẩu ĐTH,"Số 79 Đường 2/9, KP. 2, P. Mỹ Phước, TX. Bến Cát,","Bao Jumbo__Bao PP Dệt__Bao Container, Bao Jumbo, Bao Bigbag",www.sanxuatbaojumbo.bizz.vn,'0979628953__0972569356',Hotline,X,,,leanhduc20@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187875548/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xuat-nhap-khau-dth.html
Bao Bì Vinh - Công Ty CP Nhựa Bao Bì Vinh,"Số 18, Phong Định Cảng, Khối 8, P. Bến Thủy, TP. Vinh,","Bao Xi Măng__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Jumbo__Túi OPP__Hạt Nhựa - Nguyên Liệu__Bao Container, Bao Jumbo, Bao Bigbag",www.nhuabaobivinh.com,'02383855524__0965977707__0983838888__0986684433',Mr. Hiếu,,male,,nhuabaobivinh@gmail.com,https://www.yellowpages.vn/lgs/1187707245/bao-bi-vinh-cong-ty-cp-nhua-bao-bi-vinh.html
Bao Bì EPP Việt Nam - Công Ty TNHH EPP Việt Nam,"Đường 179, Thôn Hạ, X. Cửu Cao, H. Văn Giang,","Bao Jumbo__Bao Container, Bao Jumbo, Bao Bigbag",www.epp.vn__www.eppvietnam.trustpass.alibaba.com,'0865355885__0986002888__0982318233',Mr. Phí Văn Hào,,male,,sales@epp.vn,https://www.yellowpages.vn/lgs/1187829597/bao-bi-epp-viet-nam-cong-ty-tnhh-epp-viet-nam.html
Bao Jumbo BD Vina - Công Ty TNNH Jumbo BD Vina,"Thửa Đất Số 5153, Tờ Bản Đồ Số 51, KĐT Mỹ Phước 2, P. Mỹ Phước, TX. Bến Cát,","Bao Container, Bao Jumbo, Bao Bigbag",www.jumbobdvina.bizz.vn,'0968020585',Mr. Nguyễn Thế Thùy,,male,,baojumbobdvina@gmail.com,https://www.yellowpages.vn/lgs/1187931057/bao-jumbo-bd-vina-cong-ty-tnnh-jumbo-bd-vina.html
Bao Jumbo Fukunaga - Công Ty TNHH Việt Nam Fukunaga Engineering,": Tầng 12, Tòa Nhà Licogi 13, Số 164 Khuất Duy Tiến, P. Nhân Chính, Q, Thanh Xuân,","Túi PE Khổ Lớn__Túi PP Dệt__Bao Bì Nhựa__Bao Jumbo__Bao Container, Bao Jumbo, Bao Bigbag",www.fukunaga-vn.com,'0912322281__02473097198',Phạm Thị Thương,,,Quản Lý,p-thuong@ecosoft.co.jp,https://www.yellowpages.vn/lgs/1187843031/bao-jumbo-fukunaga-cong-ty-tnhh-viet-nam-fukunaga-engineering.html
Bao Jumbo CPP - Công Ty TNHH Bao Bì Công Nghiệp CPP,"Lô 1 ~ Lô 50 KCN Singapo, P. Hòa Phú, TP Thủ Dầu Một,","Bao Jumbo__Bao Big Bag Cũ__Túi PE Khổ Lớn__Bao Container, Bao Jumbo, Bao Bigbag",www.hsintan.com,'0917321834',Mr GOU,,male,Phòng chăm sóc khách hàng,nlx.jumbo@gmail.com,https://www.yellowpages.vn/lgs/1187844399/bao-jumbo-cpp-cong-ty-tnhh-bao-bi-cong-nghiep-cpp.html
