company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Giấy HOKO - Công Ty CP Đầu Tư SX TM DV Hồng Kông,"Số 33A Đường 5 Mới, P. Hùng Vương, Q. Hồng Bàng,","Bao Bì - Máy Móc và Thiết Bị__Bao Bì Giấy__Túi Giấy, Túi Giấy Kraft__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Giấy Duplex",www.facebook.com/giayximangnhapkhau/__www.hokohp.com,'02253522504__0904418885',Mr. Lê Hồng Quang,,male,,infohongkonghp@gmail.com,https://www.yellowpages.vn/lgs/1187907675/bao-bi-giay-hoko-cong-ty-cp-dau-tu-sx-tm-dv-hong-kong.html
Bao Bì Vipack - Công Ty TNHH Giấy & Bao Bì Vipack,"Lô CL-29, 04-05, KĐT Dương Nội, Hà Đông,","Giấy - Công Ty Sản Xuất Giấy Và Phân Phối Giấy__Bao Bì Giấy__Túi Giấy, Túi Giấy Kraft__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Dây Quai Túi Giấy (Dây giấy, dây tết, dây xoắn thừng,.)",www.tuigiaydungqua.com__www.giaykraft.com,'02437894562__0919226992',Lê Văn Kiên,,,,kienlv68@gmail.com,https://www.yellowpages.vn/lgs/1187746107/bao-bi-vipack-cong-ty-tnhh-giay---bao-bi-vipack.html
Giấy Bao Bì Trung Anh Đào - Công Ty TNHH Trung Anh Đào,"76/28/20 Đường Lê Văn Phan, P. Phú Thọ Hòa, Q. Tân Phú, ( Đi vào cuối hẻm 53 Vườn Lài)","Giấy Công Nghiệp (Giấy Ivory, Bristol, Couche,..)__Giấy Couche__Văn Phòng Phẩm - Công Ty Văn Phòng Phẩm__Giấy Bristol__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Giấy Ford, Giấy Fort__Giấy Duplex",www.trunganhdao.bizz.vn,'02838632156__0903134360__0901632366',Ms Mai,,female,Phòng Kinh Doanh,maianhdao0301@gmail.com,https://www.yellowpages.vn/lgs/1187684682/giay-bao-bi-trung-anh-dao-cong-ty-tnhh-trung-anh-dao.html
Giấy A.F.C - Công Ty TNHH Giấy A.F.C,"C6/4C Ấp 3, X. Vĩnh Lộc B, H. Bình Chánh,","Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Giấy - Công Ty Sản Xuất Giấy Và Phân Phối Giấy",www.giayafc.vn,'0913694541__0916694541',Ms. Phan Lê Thu Hồng,,female,Phó Giám Đốc,phanlethuhong@yahoo.com,https://www.yellowpages.vn/lgs/1009302/giay-a.f.c-cong-ty-tnhh-giay-a.f.c.html
Xuất Nhập Khẩu Thái Dương Duy - Công Ty Cổ Phần Xuất Nhập Khẩu Thái Dương Duy,"Số 27, Đường 49, KDC Tân Qui Đông, P. Tân Phong, Q. 7,","Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Giấy - Công Ty Sản Xuất Giấy Và Phân Phối Giấy__Bao Bì - Nguyên Vật Liệu Bao Bì__Bao Bì Giấy",www.thaiduongduy.bizz.vn,'02862754586__0903879676',Mr. Kiên Định,,male,,thaiduongduy@gmail.com,https://www.yellowpages.vn/lgs/1187674032/xuat-nhap-khau-thai-duong-duy-cong-ty-co-phan-xuat-nhap-khau-thai-duong-duy.html
Công Ty TNHH MTV In ấn Thịnh Hưng,"19/17B, Kp. 6A, P. Tam Hiệp, Tp. Biên Hòa,","Giấy Ngành May Mặc, Da Giày__Giấy Nhét Giày, Giấy Gói Giày__Bìa Lưng, Giấy Bìa Lưng__Giấy Sơ Đồ__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Sổ, Vở Viết - Sản Xuất Và Kinh Doanh__Giấy Duplex",www.thinhhungpaper.com,'0903728638__02518878206__0947003139',Hotline,X,,,thinhhungprinter@gmail.com,https://www.yellowpages.vn/lgs/1187769006/cong-ty-tnhh-mtv-in-an-thinh-hung.html
Bao Bì Giấy Sài Gòn - Công Ty TNHH Bao Bì Giấy Sài Gòn,"Số 11 Đường Tân Thới Nhất 20, Phường Tân Thới Nhất, Quận 12","Thùng Carton, Thùng Giấy__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Bao Bì Giấy__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Bao Bì Carton",www.baobigiaysaigon.com,'0903073699__0944933038',Hotline,X,,,baobigiaysaigon1@gmail.com,https://www.yellowpages.vn/lgs/1187725572/bao-bi-giay-sai-gon-cong-ty-tnhh-bao-bi-giay-sai-gon.html
Giấy Và Bao Bì HPC - Công Ty TNHH Giấy Và Bao Bì Hà Nội,"Khu Liền Kề KCN Quế Võ, X. Phương Liễu, H. Quế Võ,","Giấy Công Nghiệp (Giấy Ivory, Bristol, Couche,..)__Thùng Carton, Thùng Giấy__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__Giấy Ngành May Mặc, Da Giày__Bìa Lưng, Giấy Bìa Lưng__ống Giấy, Lõi Giấy__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Pallet Giấy__Phụ Liệu Đóng Gói May Mặc - Sản Xuất Và Cung Cấp__Bao Bì Carton__Giấy Duplex",www.giaybaobi.com,'0888527858__0903400672__02223634628',Hotline,X,,,sales.bbhn@giaybaobi.com,https://www.yellowpages.vn/lgs/1301568/giay-va-bao-bi-hpc-cong-ty-tnhh-giay-va-bao-bi-ha-noi.html
Tiệm Giấy Xanh Lá Cây,Khu Vực,"Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)",,'0976827610__0374041932',Ms. Võ Trần Như ý,,female,Thư kí,nhuyvotran49@gmail.com,https://www.yellowpages.vn/lgs/1187905110/tiem-giay-xanh-la-cay.html
Giấy Bao Bì Tân Gia Bình - Công Ty TNHH Tân Gia Bình,"Điểm CN, TTCN Phụng Châu, H. Chương Mỹ,","Giấy Couche__Bìa Lưng, Giấy Bìa Lưng__Giấy Ivory__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)__Giấy Duplex",www.tangiabinh.bizz.vn,'0904190226__02437854921',Bà Nguyễn Thị Kim Oanh,,female,,oanhtangiabinh1@gmail.com,https://www.yellowpages.vn/lgs/1307343/giay-bao-bi-tan-gia-binh-cong-ty-tnhh-tan-gia-binh.html
Giấy Ngành May Việt Hưng An - Công Ty TNHH Việt Hưng An,"Nhà liên kế F17, Khu dân cư IDICO, QL1K, P. Hóa An, TP. Biên Hoà,","Giấy Đục Lỗ__Giấy Pelure (Giấy Chống ẩm, Giấy Hút ẩm)__Giấy In Chữ ABC, Giấy Giác Mẫu__Giấy Ngành May Mặc, Da Giày__Giấy Sơ Đồ__Giấy Trải Vải, Giấy Lót Bàn Cắt__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Giấy Nhét Giày, Giấy Gói Giày__Giấy Cắt Rập, Giấy Dưỡng",www.vhapaper.bizz.vn__www.viethunganpaper.com,'0908526026__0933609568__0918020468__02513680622',Mr Hưng: 0933 609 568,,male,P. Kinh Doanh,viethunganpaper@gmail.com,https://www.yellowpages.vn/lgs/1187700438/giay-nganh-may-viet-hung-an-cong-ty-tnhh-viet-hung-an.html
Giấy Minh Cường Phát - Công Ty TNHH Giấy Minh Cường Phát,"Lô 500/1, Đường số 13, KCN Long Bình (Amata), Phường Long Bình, Thành phố Biên Hòa","Giấy Đục Lỗ__Giấy - Công Ty Sản Xuất Giấy Và Phân Phối Giấy__Giấy Ngành May Mặc, Da Giày__Giấy Sơ Đồ__Giấy Trải Vải, Giấy Lót Bàn Cắt__Giấy In, Giấy Photocopy, Giấy In Màu - Sản Xuât Và Kinh Doanh__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)",www.mcppaper.com,'0913654328__02512860075__0918308686',Mr. Nguyễn Trí Thông,,male,,nguyentrithong72@gmail.com,https://www.yellowpages.vn/lgs/712095/giay-minh-cuong-phat-cong-ty-tnhh-giay-minh-cuong-phat.html
