company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Hạt Nhựa Quốc Đạt - Công Ty TNHH Đầu Tư và Phát Triển Thương Mại Quốc Đạt,"Tầng 3, Số 32, Ngõ 102 Pháo Đài Láng, P. Láng Thượng, Q. Đống Đa,","Hạt Nhựa ABS__Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Hạt Nhựa PET__Hạt Nhựa LDPE__Hạt Nhựa EVA__Hạt Nhựa PP__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.nhuaquocdat.vn,'02437369988__0968028855',Mr. Trường,,male,Trưởng phòng kinh doanh,nhuaquocdat@gmail.com,https://www.yellowpages.vn/lgs/1187762286/hat-nhua-quoc-dat-cong-ty-tnhh-dau-tu-va-phat-trien-thuong-mai-quoc-dat.html
Hạt Nhựa Thuận Thắng - Công Ty TNHH Nhựa Thuận Thắng,"827 Đường 3/2, Phường 7, Quận 11,","Hạt Nhựa - Nguyên Liệu__Hạt Nhựa HDPE__Hạt Nhựa LDPE__Hạt Nhựa PP__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.nhuathuanthang.com__www.thuanthangplastic.com,'0909818118__02866533522',Mr. Thắng,,male,Bộ phận kinh doanh,thuanthangplastic@gmail.com,https://www.yellowpages.vn/lgs/1187747295/hat-nhua-thuan-thang-cong-ty-tnhh-nhua-thuan-thang.html
Hạt Nhựa An Thành BICSOL - Công Ty CP An Thành BICSOL,"Tầng 14, Tòa Nhà PV Oil, 148 Hoàng Quốc Việt, P. Nghĩa Tân, Q. Cầu Giấy,","Hạt Nhựa PE__Hạt Nhựa ABS__Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Hạt Nhựa PVC__Hạt Nhựa PP__Hạt Nhựa Tái Sinh, Tái Chế__Hạt Nhựa PET__Hạt Nhựa LDPE__Hạt Nhựa - Nguyên Liệu__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.anthanhbicsol.com,'0909119999',Ms. Đào Thị Bích,,female,Phó Tổng Giám Đốc,bichdt@anthanhbicsol.com,https://www.yellowpages.vn/lgs/1187827713/hat-nhua-an-thanh-bicsol-cong-ty-cp-an-thanh-bicsol.html
Hạt Nhựa Thượng Phẩm - Công Ty TNHH Thượng Phẩm,"66/3 Phạm Ngọc Thạch, P. 6, Q. 3,","Hạt Nhựa - Nguyên Liệu__Hạt Nhựa HDPE__Dung Môi Công Nghiệp (Toluen, Axeton,.Dung Môi Hữu Cơ)__Hạt Nhựa LDPE__Hạt Nhựa EVA__Hạt Nhựa PP__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.thuongpham.bizz.vn,'0914796808__02838200977',Mr. Thuấn,,male,,,https://www.yellowpages.vn/lgs/1056426/hat-nhua-thuong-pham-cong-ty-tnhh-thuong-pham.html
Hạt Nhựa Thiên Thành Phát - Công Ty TNHH Sản Xuất Thương Mại Xuất Nhập Khẩu Thiên Thành Phát,"68 Hoàng Diệu, P. 12, Q. 4,","Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Hạt Nhựa PET__Hạt Nhựa Kỹ Thuật (PA, PC, POM,..)__Hạt Nhựa LDPE__Hạt Nhựa EVA__Hạt Nhựa PP__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.thienthanhphatplastic.znn.vn__www.thienthanhphatplastic.vn,'0917393619__0914144768__02839433879',Bà Thái Thụy Kim Phương,,female,,tina.kimthai@gmail.com,https://www.yellowpages.vn/lgs/1187714532/hat-nhua-thien-thanh-phat-cong-ty-tnhh-san-xuat-thuong-mai-xuat-nhap-khau-thien-thanh-phat.html
Hạt Nhựa Thắng Vinh - Công Ty TNHH Thắng Vinh,"356/2 Lê Quang Sung, P. 6, Q. 6,","Hạt Nhựa ABS__Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Hạt Nhựa LDPE__Hạt Nhựa EVA__Hạt Nhựa PP__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.thangvinh.bizz.vn,'02839602764__02839698068',Ông Huỳnh Quốc Cường,,male,Giám Đốc,nhuathangvinh@gmail.com,https://www.yellowpages.vn/lgs/1163856/hat-nhua-thang-vinh-cong-ty-tnhh-thang-vinh.html
Hạt Nhựa Phát Hưng - Công Ty TNHH Sản Xuất Thương Mại Phát Hưng,"36 Đường Số 4, Khu Phố 2, P. An Lạc A, Q. Bình Tân,","Hạt Nhựa ABS__Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Màng PE Quấn Pallet__Hạt Nhựa Tái Sinh, Tái Chế__Màng PE, Màng Chít - Nhà Sản Xuất__Hạt Nhựa LDPE__Hạt Nhựa PP__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.phathungplastic.bizz.vn,'0902777222__02854071500__02862999777',Văn Phòng,,,,phathungplastic@yahoo.com,https://www.yellowpages.vn/lgs/1187706792/hat-nhua-phat-hung-cong-ty-tnhh-san-xuat-thuong-mai-phat-hung.html
Hạt Nhựa JINN HUNG - Công Ty TNHH Nhựa JINN HUNG,"Số 44/19, tổ 19, khu phố Bình Phước A - Phường Bình Chuẩn - TP Thuận An -","Hạt Nhựa Màu__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)__Hạt Nhựa Kỹ Thuật (PA, PC, POM,..)__Hạt Nhựa - Nguyên Liệu__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.jinnhung.com.tw,'02742461497__0896401995',HOTLINE,X,,,jinnhungvn2014@gmail.com,https://www.yellowpages.vn/lgs/1187762550/hat-nhua-jinn-hung-cong-ty-tnhh-nhua-jinn-hung.html
Hạt Nhựa Inabata - Công Ty TNHH Inabata Việt Nam,"P902B, Sun Red River Building, Số 23 Phan Chu Trinh, P. Phan Chu Trinh, Q. Hoàn Kiếm,","Hạt Nhựa ABS__Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Hạt Nhựa PP__Nhựa - Các Công Ty Nhựa__Hạt Nhựa Kỹ Thuật (PA, PC, POM,..)__Hạt Nhựa - Nguyên Liệu__Hạt Nhựa, Hạt Nhựa Nguyên Sinh__Hạt Nhựa Tự Hủy Sinh Học",www.inabata.vn,'02437725119172__0853055670__02437725119',Mr. Tâm Anh,,male,Marketing leader,chu.tamanh@inabata.com,https://www.yellowpages.vn/lgs/1187916675/hat-nhua-inabata-cong-ty-tnhh-inabata-viet-nam.html
Nhựa Minh Thư - Công Ty Cổ Phần Sản Xuất Và Xuất Nhập Khẩu Minh Thư,"Đội 1, Thôn Đồng Lệ, X. Hợp Đồng, H. Chương Mỹ,","Nhựa Công Nghiệp - Thùng Nhựa, Khay Nhựa, Sóng Nhựa, Sọt Nhựa__Hạt Nhựa ABS__Hạt Nhựa HDPE__Hạt Nhựa PS (HIPS, GPPS)__Nhựa - Các Công Ty Nhựa__Hạt Nhựa LDPE__Hạt Nhựa PP__Nhựa Gia Dụng - Sản Xuất và Bán Buôn Đồ Nhựa Gia Dụng__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",www.nhuaminhthu.com,'02433728858__0356226666',Mr. Nguyễn Văn Thường,,male,Giám Đốc,ketoan.xnkminhthu@gmail.com,https://www.yellowpages.vn/lgs/1187731674/nhua-minh-thu-cong-ty-co-phan-san-xuat-va-xuat-nhap-khau-minh-thu.html
