company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì ánh Sáng - Công Ty Cổ Phần Thương Mại Và Sản Xuất Bao Bì ánh Sáng,"31A Đường 17, KP. 3, P. Hiệp - Bình - Phước, Q. Thủ Đức,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Vật Liệu Đóng Gói__Bao Giấy Kraft__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Bao Bì Giấy__Bao Bì Nhựa__Bao PP Dệt__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__Bao Bì - Nhà Sản Xuất và Kinh Doanh__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.baobianhsang.vn,'0868644466',Hotline,X,,,lienhe@baobianhsang.vn,https://www.yellowpages.vn/lgs/712572/bao-bi-anh-sang-cong-ty-co-phan-thuong-mai-va-san-xuat-bao-bi-anh-sang.html
In Số 7 - Công Ty Cổ Phần In Số 7,"Lô 26 - 28 Đường Tân Tạo, Khu Công Nghiệp Tân Tạo, P. Tân Tạo, Q. Bình Tân,","In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Catalogue, Brochure, profile",www.in7.com.vn,'02837545839__0988353524',Ms. Phan Ngọc Điệp,,female,Nhân viên Sale Marketing,ngocdiep@in7.com.vn,https://www.yellowpages.vn/lgs/119343507/in-so-7-cong-ty-co-phan-in-so-7.html
In Sài Gòn - Công Ty TNHH Thương Mại In Sài Gòn,"Lầu A1-03, Chung Cư Sơn Kỳ 1, Phường Sơn Kỳ, , Quận Tân Phú","In Namecard, Thẻ Nhân Viên__In Tem Nhãn, Nhãn Mác, Label__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In ấn - Thiết kế và Chế bản (Sách, báo, niên giám)__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__Xây Dựng Thương Hiệu - Xây Dựng Và Tư Vấn Chiến Lược Thương Hiệu__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.baobisaigon.vn__www.insg.vn,'0923303032__0977303032__02862721700',Mr. Lê Văn Như,,male,,kinhdoanh@baobisaigon.vn,https://www.yellowpages.vn/lgs/1187807733/in-sai-gon-cong-ty-tnhh-thuong-mai-in-sai-gon.html
Bao Bì Minh Đức - Công Ty CP SX Và XNK Bao Bì Minh Đức,"Số 352 Đường Giải Phóng, P. Phương Liệt, Q. Thanh Xuân,","Hộp Quà Tặng__Bao Bì Giấy__Hộp Cứng Cao Cấp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì",www.baobiminhduc.com,'0906255502__02432181319',Hotline,X,,Mrs Hương Lan,xnkbbminhduc@gmail.com,https://www.yellowpages.vn/lgs/1187887008/bao-bi-minh-duc-cong-ty-cp-sx-va-xnk-bao-bi-minh-duc.html
Bao Bì Long Thiên - Công Ty Cổ Phần Long Thiên,": 206 Đường Liên Khu 4-5, KP. 4, P. Bình Hưng Hòa B, Q. Bình Tân,","In Tem Nhãn, Nhãn Mác, Label__Gia Công Sau In - Gia Công Cán Màng, ép Nhũ, Cắt, Cấn, Bế__In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì",www.longthien.com.vn,'0983450739__0908195558__02854340611',Ông Võ Công Bảy,X,male,Hotline,info.longthien@gmail.com,https://www.yellowpages.vn/lgs/1033548/bao-bi-long-thien-cong-ty-co-phan-long-thien.html
In ấn Ngày Mới - Công Ty TNHH Sản Xuất Thương Mại  Dịch Vụ In ấn Ngày Mới,"30/37 Đỗ Nhuận, P. Sơn Kỳ, Q. Tân Phú,","In Namecard, Thẻ Nhân Viên__In Thiệp, In Bưu Thiếp__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inngaymoi.com,'0968725346__02854273933__0936745728',Mr. Nguyễn Tấn Trang,,male,,inanngaymoi@gmail.com,https://www.yellowpages.vn/lgs/1187757051/in-an-ngay-moi-cong-ty-tnhh-san-xuat-thuong-mai--dich-vu-in-an-ngay-moi.html
In Bao Bì Kiện Năng - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Kiện Năng,"11 An Dương Vương, P. 16, Q. 8,","Giấy -  Sản Phẩm Giấy__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Túi Giấy, Túi Giấy Kraft__Bao Bì Thực Phẩm__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì",www.kiennang.com.vn,'02839809898',Đỗ Gia Năng,,,,ctykiennang@gmail.com,https://www.yellowpages.vn/lgs/1024542/in-bao-bi-kien-nang-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-kien-nang.html
In ấn Bao Bì Minh Tiến - Công Ty TNHH Thiết Kế Và In ấn Bao Bì Minh Tiến," 17/1/4 Đường Ụ Ghe, KP. 2, P. Tam Phú, Q .Thủ Đức,","In Tem Nhãn, Nhãn Mác, Label__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inminhtien.com__www.minhtienprinting.com,'02822181960__0913740743',Ông Đỗ Văn Bảy,,male,,info@inminhtien.com,https://www.yellowpages.vn/lgs/1187693037/in-an-bao-bi-minh-tien-cong-ty-tnhh-thiet-ke-va-in-an-bao-bi-minh-tien.html
In Tiến Phát - Công Ty TNHH Kinh Doanh Và Xuất Nhập Khẩu Tiến Phát,"Số 44/318 Đê La Thành, Q. Đống Đa,","In Namecard, Thẻ Nhân Viên__In Tem Nhãn, Nhãn Mác, Label__In Thiệp, In Bưu Thiếp__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In Nhanh  - Dịch Vụ In Nhanh__Thiết Kế Logo, Thiết Kế Nhận Diện Thương Hiệu__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__Hộp Quà Tặng__In Hóa Đơn Đỏ, In Hóa Đơn VAT__In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__In ấn - Thiết kế và Chế bản (Sách, báo, niên giám)__In Menu, Bao Đũa, Khăn Lạnh, Bao Bánh Mì,..Nhà Hàng, Khách Sạn__Quảng Cáo - Thiết Kế và In ấn Quảng Cáo (In Kỹ Thuật Số, Poster, Hiflex, Banner)__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.intienphat.vn,'02473067979__0965517799__0965451566',Mr. Nguyễn Hữu Tiến,,male,,intienphat2011@gmail.com,https://www.yellowpages.vn/lgs/1187781795/in-tien-phat-cong-ty-tnhh-kinh-doanh-va-xuat-nhap-khau-tien-phat.html
In Bao Bì Bình Minh - Công Ty TNHH Sản Xuất Thương Mại Bao Bì Bình Minh,"205/22 Phạm Đăng Giảng, P. Bình Hưng Hòa, Q. Bình Tân,","In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Tem Nhãn, Nhãn Mác, Label",www.baobibm.com,'02835926122__0903388356',Mr. Phương,,male,,"sunpackco@yahoo.com, nguyenphuong@baobibm.com",https://www.yellowpages.vn/lgs/980985/in-bao-bi-binh-minh-cong-ty-tnhh-san-xuat-thuong-mai-bao-bi-binh-minh.html
