company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
In Bao Bì Tam Sao - Công Ty TNHH In Bao Bì Tam Sao,"Số 17/1/9 Ụ Ghe, P. Tam Phú, Q. Thủ Đức,","In Tem Nhãn, Nhãn Mác, Label__Hộp Duplex__Bao Bì Hộp__In Catalogue, Brochure, profile__Hộp Giấy (Hộp Giấy Carton, Kraft,.)__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__Hộp Cứng Cao Cấp__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inbaobitamsao.com,'0909649701__02866826271',Hotline,X,,,intamsao@gmail.com,https://www.yellowpages.vn/lgs/1187777619/in-bao-bi-tam-sao-cong-ty-tnhh-in-bao-bi-tam-sao.html
In ấn Cao Việt - Công Ty TNHH MTV SX-TM Cao Việt,"200A, Đường TL15, P. Thạnh Lộc, Q. 12,","In Tem Nhãn, Nhãn Mác, Label__Gia Công Sau In - Gia Công Cán Màng, ép Nhũ, Cắt, Cấn, Bế__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In Tem Bảo Hành, In Tem Vỡ__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inancaoviet.com,'0987401117__02873095568',Bà Trần Thị Bình,,female,,caovietprinting@gmail.com,https://www.yellowpages.vn/lgs/740601/in-an-cao-viet-cong-ty-tnhh-mtv-sx-tm-cao-viet.html
In Tem Nhãn PVN - Công Ty TNHH Thương Mại Và Dịch Vụ PVN,"Thôn Vệ, X. Nam Hồng, H. Đông Anh,","In Tem Nhãn, Nhãn Mác, Label__In ấn - Máy Móc và Thiết Bị In ấn__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In Tem Bảo Hành, In Tem Vỡ__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In ấn - Vật Tư Ngành In ấn__Tem Chống Hàng Giả, Tem Hologram",www.intemnhanmac-pvn.com,'0989854090__02439580359',Ông Nguyễn Thế Giáp,,male,,nguyenthegiap.pvn@gmail.com,https://www.yellowpages.vn/lgs/1187738091/in-tem-nhan-pvn-cong-ty-tnhh-thuong-mai-va-dich-vu-pvn.html
In Tem Nhãn Thắng Lợi Long - Công Ty TNHH Sản Xuất Thương Mại Thắng Lợi Long,"78/29 Cống Lở, Phường 15, Quận Tân Bình,","Thiết Bị Mã Vạch (Máy In, Mực In, Đầu Đọc, Giấy In Mã Vạch)__Nhãn Mác Quần áo, Nhãn Mác May Mặc__Đầu Đọc Mã Vạch__In Tem Nhãn, Nhãn Mác, Label__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__Máy In Mã Vạch__Mực In Mã Vạch",www.thangloilong.com,'0988668027__02862968810',Bà Trần Thúy Linh,,female,TP. Kinh Doanh,tllinfo@thangloilong.com,https://www.yellowpages.vn/lgs/1187739405/in-tem-nhan-thang-loi-long-cong-ty-tnhh-san-xuat-thuong-mai-thang-loi-long.html
In Tiến Phát - Công Ty TNHH Kinh Doanh Và Xuất Nhập Khẩu Tiến Phát,"Số 44/318 Đê La Thành, Q. Đống Đa,","In Namecard, Thẻ Nhân Viên__In Tem Nhãn, Nhãn Mác, Label__In Thiệp, In Bưu Thiếp__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In Nhanh  - Dịch Vụ In Nhanh__In ấn - Thiết kế và Chế bản (Sách, báo, niên giám)__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Hóa Đơn Đỏ, In Hóa Đơn VAT__Thiết Kế Logo, Thiết Kế Nhận Diện Thương Hiệu__In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__Hộp Quà Tặng__In Menu, Bao Đũa, Khăn Lạnh, Bao Bánh Mì,..Nhà Hàng, Khách Sạn__Quảng Cáo - Thiết Kế và In ấn Quảng Cáo (In Kỹ Thuật Số, Poster, Hiflex, Banner)__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.intienphat.vn,'02473067979__0965517799__0965451566',Mr. Nguyễn Hữu Tiến,,male,,intienphat2011@gmail.com,https://www.yellowpages.vn/lgs/1187781795/in-tien-phat-cong-ty-tnhh-kinh-doanh-va-xuat-nhap-khau-tien-phat.html
Label Trường Thịnh - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Xuất Nhập Khẩu Label Trường Thịnh,"23/28/13 Đường 671, Tổ 5, KP. 6, P. Tân Phú, Q. 9,","Mác Dệt, Nhãn Dệt__Nhãn Mác Quần áo, Nhãn Mác May Mặc__Thẻ Bài, Nhãn Treo__In Tem Nhãn, Nhãn Mác, Label__In Logo, In Phù Hiệu Trên áo",www.labeltruongthinh.com.vn,'0909981518',Ông Lê Văn Giang,,male,Giám Đốc,truongthinhlabel@gmail.com,https://www.yellowpages.vn/lgs/1187701452/label-truong-thinh-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xuat-nhap-khau-label-truong-thinh.html
Công Ty Cổ Phần Giải Pháp Đóng Gói Hoàng Gia,"Số 34, Đường Nguyễn Chí Thanh, P. Ngọc Khánh, Q. Ba Đình,","Tem Chống Hàng Giả, Tem Hologram__In Tem Bảo Hành, In Tem Vỡ__In Tem Nhãn, Nhãn Mác, Label",www.hoanggiaps.com__www.sales6@hoanggiaps.com,'02439189888__0907415666',Ông Võ Phúc Đại,,male,,sales6@hoanggiaps.com,https://www.yellowpages.vn/lgs/1187796102/cong-ty-co-phan-giai-phap-dong-goi-hoang-gia.html
In Ấn Ban Sao - Công Ty In Ấn Tem Nhãn Mác Ban Sao,"161/1 Trần Quốc Toản, KP. 1, P. An Bình, Biên Hòa,","In Namecard, Thẻ Nhân Viên__In Tem Nhãn, Nhãn Mác, Label__In Thiệp, In Bưu Thiếp__In Catalogue, Brochure, profile__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Tờ Rơi, Tờ Gấp__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.inbienhoa.bizz.vn__www.bansao.com.vn,'02513839710__0938092728',Ông Vũ Đình Khoa,,male,,vdkhoa@bansao.com.vn,https://www.yellowpages.vn/lgs/1187755377/in-an-ban-sao-cong-ty-in-an-tem-nhan-mac-ban-sao.html
Nhãn Mác Phúc Thịnh - Công Ty TNHH MTV Sản Xuất Thương Mại Nhãn Mác Phúc Thịnh,"1/9 Ấp 5, X. Xuân Thới Thượng, H. Hóc Môn,","Mác Dệt, Nhãn Dệt__Nhãn Mác Quần áo, Nhãn Mác May Mặc__Thẻ Bài, Nhãn Treo__In Tem Nhãn, Nhãn Mác, Label__Thêu Logo - Dịch Vụ Thêu Logo",www.temnhanthoitrang.com,'0908104845',Ông Nguyễn Phan Chung,,male,,phamchung271@gmail.com,https://www.yellowpages.vn/lgs/1187785488/nhan-mac-phuc-thinh-cong-ty-tnhh-mtv-san-xuat-thuong-mai-nhan-mac-phuc-thinh.html
Tem Nhãn Hoàng Gia - Chi Nhánh Công Ty CP Giải Pháp Đóng Gói Hoàng Gia,"Tòa ACCI, 210 Lê Trọng Tấn, Thanh Xuân,","In Tem Nhãn, Nhãn Mác, Label",www.intemnhandecal.vn__www.hoanggiaps.com,'0984253666__02436617999__0944235888__09442358880984253666',Ms. Tuyết,,female,,kinhdoanh@hoanggiaps.com,https://www.yellowpages.vn/lgs/1187818875/tem-nhan-hoang-gia-chi-nhanh-cong-ty-cp-giai-phap-dong-goi-hoang-gia.html
In ấn Quốc Tế Hàn Việt - Công Ty Cổ Phần Đầu Tư Quốc Tế Hàn Việt,"137/56 Đường Gò Dầu, P. Tân Qúy, Q. Tân Phú, Tp. HCM","In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__In Tem Nhãn, Nhãn Mác, Label",www.innhanhanviet.com,'0983961679__02838158457__0912283688',Mr Thủy,,male,Giám đốc,philiphv3@gmail.com,https://www.yellowpages.vn/lgs/1187810253/in-an-quoc-te-han-viet-cong-ty-co-phan-dau-tu-quoc-te-han-viet.html
AP LABELS - Công Ty TNHH Giải Pháp Nhãn AP,"Số 211, Đường Số 9, Phường Phước Bình, Quận 9,","Thẻ Bài, Nhãn Treo__In Tem Nhãn, Nhãn Mác, Label__In ấn - Máy Móc và Thiết Bị In ấn__In Tem Bảo Hành, In Tem Vỡ__Tem Chống Hàng Giả, Tem Hologram__Giấy Đề Can, Decal, Giấy In Nhãn (Dạng Cuộn, Tờ,.)",www.temnhan247.com,'0913856789__02871001700__0938118309',Phòng Kinh Doanh,,,Phụ Trách Kinh Doanh,labels24h@gmail.com,https://www.yellowpages.vn/lgs/1187762508/ap-labels-cong-ty-tnhh-giai-phap-nhan-ap.html
In ấn Tem Nhãn Hoàng Minh Quốc - DNTN Hoàng Minh Quốc,"408/77/8 Trưng Nữ Vương, Hải Châu,","In Tem Bảo Hành, In Tem Vỡ__Thẻ Bài, Nhãn Treo__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)__In Tem Nhãn, Nhãn Mác, Label",www.intemnhandep.bizz.vn,'0905325663',Ông Cao Văn Tịnh,,male,Giám Đốc,dnhoangminhquoc@gmail.com,https://www.yellowpages.vn/lgs/1187764551/in-an-tem-nhan-hoang-minh-quoc-dntn-hoang-minh-quoc.html
In Bao Bì Nhất Tín - Công Ty TNHH Sản Xuất Bao Bì Nhất Tín,"Số 79, Đường Nguyễn Văn Tiên, Tổ 30, KP. 3, P. Trảng Dài, Tp. Biên Hòa,","In Namecard, Thẻ Nhân Viên__In Tem Nhãn, Nhãn Mác, Label__In Thiệp, In Bưu Thiếp__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__In Lịch, In Lịch Tết, Lịch Để Bàn__In ấn - Công ty In ấn Và Thiết Kế (In Offset, In Flexo)",www.baobinhattin.com__www.thungcartondongnai.com,'0899303139',Ms. Thắm,,female,,baobinhattin@gmail.com,https://www.yellowpages.vn/lgs/1187769819/in-bao-bi-nhat-tin-cong-ty-tnhh-san-xuat-bao-bi-nhat-tin.html
Tem Nhãn Hoàng Nam - Công Ty TNHH Sản Xuất Thương Mại Và Đầu Tư Phát Triển Hoàng Nam,"Số 8, Ngõ 2, Ngách 2/2 Cầu Đất, P. Chương Dương, Q. Hoàn Kiếm,","Nhãn Mác Quần áo, Nhãn Mác May Mặc__Thẻ Bài, Nhãn Treo__In Tem Nhãn, Nhãn Mác, Label__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Phụ Liệu Đóng Gói May Mặc - Sản Xuất Và Cung Cấp__May Mặc - Nguyên, Phụ Liệu May Mặc",www.hoangnampte.vn,'0985061994__02439322562',Mr. Nguyễn Hoàng Long,,male,Chuyên Viên Marketing,hnprivateinterprise@gmail.com,https://www.yellowpages.vn/lgs/1187676546/tem-nhan-hoang-nam-cong-ty-tnhh-san-xuat-thuong-mai-va-dau-tu-phat-trien-hoang-nam.html
In Bao Bì Hà Linh - Công Ty TNHH In Bao Bì Hà Linh,"Số 687 Trương Định, P. Giáp Bát, Q. Hoàng Mai,","In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__Nhãn Mác Quần áo, Nhãn Mác May Mặc__Thẻ Bài, Nhãn Treo__In Tem Nhãn, Nhãn Mác, Label",www.inhalinh.bizz.vn,'0912186801__02436617760',Ms. Lụa,,female,,dunglc09@gmail.com,https://www.yellowpages.vn/lgs/1187768853/in-bao-bi-ha-linh-cong-ty-tnhh-in-bao-bi-ha-linh.html
