company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH Thương Mại Dịch Vụ Cơ Điện Kim Mỹ,"119 Trần Trọng Cung, P. Tân Thuận Đông, Q. 7,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Bát Giấy, Đĩa Giấy__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Muỗng Nhựa, Dĩa Nhựa, Thìa Nhựa",www.kimmygroup.com,'0283873269137700266__0909036658__02838732691',Bà Nguyễn Huỳnh Ngọc Hân,,female,Phòng kinh doanh,p.kinhdoanh@kimmygroup.com,https://www.yellowpages.vn/lgs/1187704386/cong-ty-tnhh-thuong-mai-dich-vu-co-dien-kim-my.html
Ly Giấy An Phát Tín - Công Ty TNHH An Phát Tín,"101 Đường Số 19, P. 8, Q. Gò Vấp,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Bát Giấy, Đĩa Giấy__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh",www.lygiayapt.vn,'0934028679__02838945663',Hotline,X,,,lygiayapt@gmail.com,https://www.yellowpages.vn/lgs/1187817450/ly-giay-an-phat-tin-cong-ty-tnhh-an-phat-tin.html
Ly Tô Giấy Việt Hoa Mỹ - Công Ty TNHH Sản Xuất Thương Mại Việt Hoa Mỹ,"702/83/13 Lê Đức Thọ, P. 15, Q. Gò Vấp,","Nhựa - Máy Móc và Thiết Bị Ngành Nhựa__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh",www.viethoamy.com,'0888554545__02862762347__0949351133',Ms. Nguyễn Thị Thanh Xuân,,female,,thanhxuan@viethoamy.com,https://www.yellowpages.vn/lgs/1170918/ly-to-giay-viet-hoa-my-cong-ty-tnhh-san-xuat-thuong-mai-viet-hoa-my.html
Ly Cốc Giấy Minh Anh - Công Ty TNHH Phát Triển Sản Xuất Và Thương Mại Minh Anh,"Số 8, Đường ĐX4, Khu Đô Thị Đặng Xá, Xã Đặng Xá, Huyện Gia Lâm,","Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__Nắp Nhựa, Nút Nhựa",www.minhanhpapercups.com,'0839495989__0912894959',Mr Công Anh,,male,,congtyminhanh2018@gmail.com,https://www.yellowpages.vn/lgs/1187918601/ly-coc-giay-minh-anh-cong-ty-tnhh-phat-trien-san-xuat-va-thuong-mai-minh-anh.html
Ly Cốc Giấy Vy Vy - Công Ty TNHH Vy Vy,"Số 19 Đường Số 48B, P. Tân Tạo, Q. Bình Tân,","Bát Giấy, Đĩa Giấy__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh",www.lygiayvyvy.bizz.vn__www.lygiaycaocap.com,'0919823132__02835495484__0835495484',Mr. Minh Trí,,male,Giám Đốc Kinh Doanh,vyvypapercup@yahoo.com,https://www.yellowpages.vn/lgs/1187717340/ly-coc-giay-vy-vy-cong-ty-tnhh-vy-vy.html
Cốc Giấy Xuân Hoa - Công Ty TNHH Sản Xuất Và Phát Triển Thương Mại Xuân Hoa,"Số 11, Hẻm 119, Nghách 50, Ngõ 310, Nghi Tàm, P. Tứ Liên, Q. Tây Hồ,","Bát Giấy, Đĩa Giấy__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh",www.cocgiayxuanhoa.com,'02462886628__0989381243__0945456088',Bà Kiều Thị Kim Oanh,,female,TP Bán Hàng,cocgiayxuanhoa@gmail.com,https://www.yellowpages.vn/lgs/1187831853/coc-giay-xuan-hoa-cong-ty-tnhh-san-xuat-va-phat-trien-thuong-mai-xuan-hoa.html
Công Ty Cổ Phần Bao Bì APC (APC Pack),": P1601, Tầng 16, Tòa Nhà Daeha Business Center, Số 360, Kim Mã, P. Ngọc Khánh, Q. Ba Đình,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Bát Giấy, Đĩa Giấy__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__Bao Bì Giấy",www.apcpack.com,'02873006996__02473006996',Phòng Dịch vụ KH,,,,info@apc.com.vn,https://www.yellowpages.vn/lgs/1466571/cong-ty-co-phan-bao-bi-apc--apc-pack-.html
Ly Giấy Anh Thảo - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Anh Thảo,"913/19 Hà Huy Giáp, Khu Nam Long, P. Thạnh Lộc, Q. 12,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh",www.lygiaysaigon.com,'0937556885',Ms Thảo,,female,,lygiayanhthao@gmail.com,https://www.yellowpages.vn/lgs/1187904633/ly-giay-anh-thao-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-anh-thao.html
Ly Giấy Tô Giấy COGI - Công Ty TNHH COGI,"53/12 Nam Hoa, P. Phước Long A, TP. Thủ Đức,","Đồ Gia Dụng Tre, Gỗ (Thớt Gỗ, Đũa Tre, Tăm Tre, Muỗng Gỗ,..)__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__Giấy -  Sản Phẩm Giấy__In Bao Bì Giấy (In Túi Giấy, Thùng Giấy, Hộp Giấy)__Bao Bì Thực Phẩm",www.cogigroup.vn,'0387048009__0384964933',Ms. Trinh,,female,Customer Service,sale@cogigroup.vn,https://www.yellowpages.vn/lgs/1187910306/ly-giay-to-giay-cogi-cong-ty-tnhh-cogi.html
Ly Cốc Giấy Hưng Mỹ Phú - Công Ty TNHH Hưng Mỹ Phú,"Lô B1, Đường Ngang 1, KCN Phú An Thạnh, X. An Thạnh, H. Bến Lức,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Bát Giấy, Đĩa Giấy__Ly Giấy, Tô Giấy, Cốc Giấy - Sản Xuất và Kinh Doanh__In Trên Mọi Chất Liệu (Nhựa, Thủy Tinh, Kim Loại, Gỗ,..)__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu",www.hungmyphu.vn,'0906695013__02723643877',Bà Lương Minh Phụng,,female,Hành chính văn phòng,phung@hungmyphu.com,https://www.yellowpages.vn/lgs/1187829546/ly-coc-giay-hung-my-phu-cong-ty-tnhh-hung-my-phu.html
