company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Màng Co Kim Hoàng Phát - Công Ty TNHH Bao Bì Kim Hoàng Phát,"Số 190/9, Tổ 15, KP. Bình Giao, P. Thuận Giao, TX.Thuận An,","ống Giấy, Lõi Giấy__Màng Co PE, LDPE, PVC, POF,.__Túi OPP",www.kimhoangphat.bizz.vn,'0967299622',Hotline,X,,,baobikimhoangphat@gmail.com,https://www.yellowpages.vn/lgs/1187820114/mang-co-kim-hoang-phat-cong-ty-tnhh-bao-bi-kim-hoang-phat.html
Bao Bì Nhựa Cát Tường Vi - Công Ty TNHH Thương Mại Cát Tường Vi,"42/23 Nguyễn Đình Khơi, P. 4, Q. Tân Bình,","Màng Co PE, LDPE, PVC, POF,.__Chai Pet, Phôi Pet",www.baobinhuacattuongvi.com,'02837109839__0909375581',Bà Nguyễn Thị Trúc Vinh,,female,Giám Đốc,,https://www.yellowpages.vn/lgs/1187706387/bao-bi-nhua-cat-tuong-vi-cong-ty-tnhh-thuong-mai-cat-tuong-vi.html
Màng Co Hải Âu - Công Ty TNHH MTV Sản Xuất Thương Mại Và Dịch Vụ Hải Âu,"41-43 Trần Cao Vân, P. 6, Q. 3,","In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Màng Co PE, LDPE, PVC, POF,.",www.mangcohaiau.com,'0908890826__0932619105__0978497645',Lê Thị Thanh Thúy,,,Phó Giám Đốc,thuylephan1@gmail.com,https://www.yellowpages.vn/lgs/1187703474/mang-co-hai-au-cong-ty-tnhh-mtv-san-xuat-thuong-mai-va-dich-vu-hai-au.html
Bao Bì Đông á - Công Ty CP Đầu Tư Và Phát Triển Bao Bì Đông á,"12 Út Trà Ôn, KDC Gia Hòa, P. Phước Long B, TP. Thủ Đức,","Màng Phủ Nông Nghiệp, Ngư Nghiệp__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__Băng Keo Bảo Vệ Bề Mặt, Màng Bảo Vệ Bề Mặt__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Bao Bì Nhựa - Máy Móc Và Thiết Bị__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng Co PE, LDPE, PVC, POF,.__Bao Bì Thực Phẩm__Màng In Chuyển Nhiệt",www.inmangco.bizz.vn,'02822400432__0915900633',Ông Đàm Việt Trung,,male,TPKD,baobidonga2016@gmail.com,https://www.yellowpages.vn/lgs/1155390/bao-bi-dong-a-cong-ty-cp-dau-tu-va-phat-trien-bao-bi-dong-a.html
Phú An - Công Ty TNHH Sản Xuất Thương Mại Phú An,"164C/2 Khu phố 1B, Phường An Phú, Thành phố Thuận An,","Màng Co PE, LDPE, PVC, POF,.__Túi Nilon PE, Túi PP, Túi HDPE,.__Vải Không Dệt__Màng PE Quấn Pallet__Màng Bọc Thực Phẩm__Màng PE, Màng Chít - Nhà Sản Xuất",,'0902042727__0908649899__02743713972',Hotline,X,,,info@phuanpe.com,https://www.yellowpages.vn/lgs/3749499/phu-an-cong-ty-tnhh-san-xuat-thuong-mai-phu-an.html
Bao Bì An Phú - Công Ty TNHH Sản Xuất Bao Bì An Phú,"Số 149/2C Đường 45, P. Hiệp Bình Chánh, Q. Thủ Đức,","Màng PE, Màng Chít - Nhà Sản Xuất__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Bao Bì Nhựa__Màng PE Quấn Pallet__Túi, Bao Zipper, Ziplock__Bao PP Dệt__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__Màng Co PE, LDPE, PVC, POF,.__Túi Đựng Rác (Túi Đựng Rác y Tế, Công Nghiệp, Màu Đen, Dạng Cuộn)",www.baobianphu.bizz.vn,'0933335590__0903762562__0888989345__0332222000',Ông Đặng Văn Vũ,,male,,vudangvietnam@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187767740/bao-bi-an-phu-cong-ty-tnhh-san-xuat-bao-bi-an-phu.html
Vật Liệu Đóng Gói TND - Công Ty TNHH Sản Xuất Và Thương Mại TND,"Đường Bình Than, Khu Khả Lễ, Phường Võ Cường, Thành Phố Bắc Ninh,","Vật Liệu Đóng Gói__Màng PE, Màng Chít - Nhà Sản Xuất__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Màng Co PE, LDPE, PVC, POF,.",www.tuinilontnd.bizz.vn,'02222225777__0988661991__0963736810',Mr. Tú,,male,Giám đốc,m.duyphong@gmail.com,https://www.yellowpages.vn/lgs/1187816010/vat-lieu-dong-goi-tnd-cong-ty-tnhh-san-xuat-va-thuong-mai-tnd.html
"Công Ty Sản Xuất Màng Co PVC Thái Bình Dương SX Màng Co Cuộn, Màng Co Block, Cắt Theo Yêu Cầu, In ấn Tem Nhãn Mác","189B Đường TX25, Phường Thạnh Xuân, Quận 12,","In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Màng Co PE, LDPE, PVC, POF,.",www.mangcopvctbd.com,'0978165669__0978165699',Hotline,X,,,hungphat110476@gmail.com,https://www.yellowpages.vn/lgs/1187857023/cong-ty-san-xuat-mang-co-pvc-thai-binh-duong-sx-mang-co-cuon-mang-co-block-cat-theo-yeu-cau-in-an-tem-nhan-mac.html
In ấn Minh Tiến - Công Ty TNHH Sản Xuất In ấn Minh Tiến,"12/7 A Đường 109, KP. 5, Phước Long B, Q. 9,","In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Màng Co PE, LDPE, PVC, POF,.__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)",www.inanminhtien.com,'0868705089__0981886772',Mr. Thanh,X,male,Hotline,inanminhtien01@gmail.com,https://www.yellowpages.vn/lgs/1187807022/in-an-minh-tien-cong-ty-tnhh-san-xuat-in-an-minh-tien.html
Màng Co Vinh Khanh - Công Ty TNHH Đầu Tư Vinh Khanh,"Lô 5B, Đường Số 18, KCn Tân Đức, X. Hựu Thạnh, H Đức Hòa,","Màng Co PE, LDPE, PVC, POF,.__Màng PE Quấn Pallet__Màng PE, Màng Chít - Nhà Sản Xuất__Túi Nilon PE, Túi PP, Túi HDPE,.",www.vinhkhanhplastic.com__www.vinhkhanh.bizz.vn,'0948551188__02726299996__0916282232',Ông Đỗ Văn Mạnh,,male,Quản lý,vinhkhanhtaplastic@yahoo.com,https://www.yellowpages.vn/lgs/1187714085/mang-co-vinh-khanh-cong-ty-tnhh-dau-tu-vinh-khanh.html
Màng Co Minh Tiến  - Công Ty TNHH Sản Xuất In ấn Minh Tiến,"12/7 A Đường 109, KP. 5, Phước Long B, Q. 9,","In Bao Bì Nhựa, In Màng Co, Màng Ghép, In ống Đồng__Màng Co PE, LDPE, PVC, POF,.__In Decal (Giấy, Nhựa, PP, Trong, Lưới, tem decal..)__In Tem Nhãn, Nhãn Mác, Label",www.inmangcominhtien.bizz.vn,'0978165669',Mr. Hải,X,male,Hotline,hungphat110476@gmail.com,https://www.yellowpages.vn/lgs/1187921388/mang-co-minh-tien--cong-ty-tnhh-san-xuat-in-an-minh-tien.html
Công Ty TNHH MTV Hầu Thịnh,"Số 190A/4, Tổ 29A, KP. 3, Phường Bình Đa, Thành Phố Biên Hòa,","Màng Co PE, LDPE, PVC, POF,.__Màng PE, Màng Chít - Nhà Sản Xuất__Vật Liệu Đóng Gói__Máy Đóng Gói - Máy Móc và Thiết Bị Đóng Gói",www.hauthinh.bizz.vn,'0708962101',Lìu Cấm Phụng,,,,hauthinh8899@gmail.com,https://www.yellowpages.vn/lgs/1187856009/cong-ty-tnhh-mtv-hau-thinh.html
Màng Co Trường An - Công Ty Sản Xuất Bao Bì Trường An,"Số 8 Bát Khối, P. Long Biên, Q. Long Biên,","Màng Co PE, LDPE, PVC, POF,.",www.khaynhua.vn,'0906245039__0904664588__02466720338',Ông Huỳnh Đức Luận,,male,NV Kinh Doanh,baobitruongan@gmail.com,https://www.yellowpages.vn/lgs/1187911641/mang-co-truong-an-cong-ty-san-xuat-bao-bi-truong-an.html
Vật Liệu Đóng Gói Thọ Phát - Công Ty TNHH Sản Xuất Băng Keo Thọ Phát,"Thửa đất số 3058, Tờ bản đồ số 155, KP Bình Phước B, P. Bình Chuẩn, TP. Thuận An,","Màng Co PE, LDPE, PVC, POF,.__Vật Liệu Đóng Gói__Băng Keo, Băng Dính__Băng Keo Chịu Nhiệt, Chống Nước, Chống Tĩnh Điện,..__Băng Keo Cách Nhiệt__Màng PE, Màng Chít - Nhà Sản Xuất",www.bangkeothophat.bizz.vn,'02746511221__0964259641__0987882390',Hotline,X,,,minhducdn1989@gmail.com,https://www.yellowpages.vn/lgs/1187922423/vat-lieu-dong-goi-tho-phat-cong-ty-tnhh-san-xuat-bang-keo-tho-phat.html
Vật Liệu Đóng Gói An Gia Long - Công Ty TNHH An Gia Long,"Số 62/S2, KP. 12, P. An Bình, Tp. Biên Hòa,","Băng Keo, Băng Dính__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE Quấn Pallet__Màng Co PE, LDPE, PVC, POF,.",www.angialong.com,'02513673839__0937178478__0911137799',Bà Tôn Nữ Cẩm Nhung,,female,,angialong@yahoo.com,https://www.yellowpages.vn/lgs/967818/vat-lieu-dong-goi-an-gia-long-cong-ty-tnhh-an-gia-long.html
