company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Màng PE S.G - Công Ty TNHH Hóa Chất S.G,"Một Phần Lô CN17, Đường Số 8 Và Đường D1, KCN Sóng Thần 3, P. Phú Tân, TP. Thủ Dầu Một,","Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam__Xốp Hơi, Màng Xốp Hơi",www.vinalon.net__www.vinalon.trustpass.alibaba.com,'0799898006__02743717134',Hotline,X,,,sgcbm@vinalon.vn,https://www.yellowpages.vn/lgs/3749790/mang-pe-s.g-cong-ty-tnhh-hoa-chat-s.g.html
Mút Xốp Việt Phát - Công Ty TNHH Mút Xốp Việt Phát,"Số 11A14, KDC An Bình, KP. 1, P. An Bình, TP. Biên Hòa,","Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Túi Khí Chèn Hàng__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)",www.vietphatfoam.bizz.vn,'02512814218__0963627657',Nguyễn Đức Duy,,,Giám Đốc Marketing,duynguyenvpf@gmail.com,https://www.yellowpages.vn/lgs/1187807946/mut-xop-viet-phat-cong-ty-tnhh-mut-xop-viet-phat.html
Màng PE Minh Lâm - Công Ty TNHH MTV Sản Xuất Thương Mại Minh Lâm,"Thửa Đất Số 56, Tờ Bản Đồ Số 11, Tổ 2, Ấp 2, X. Hội Nghĩa, TX. Tân Uyên,","Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE, Màng Chít - Nhà Sản Xuất__Xốp Hơi, Màng Xốp Hơi",www.mangpefoam.com,'0979110426',Chị Phương,,,,phuongpham_tb@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187816451/mang-pe-minh-lam-cong-ty-tnhh-mtv-san-xuat-thuong-mai-minh-lam.html
"Màng Xốp Hơi, Màng Pe Foam Bình Dương - Công Ty TNHH Phát Triển TTP","TĐ Số 120, TBĐ Số 7, KP. Phước Hải, P. Thái Hoà, Tân Uyên,","Vật Liệu Đóng Gói__Xốp Hơi, Màng Xốp Hơi__Dây Đai Nhựa__Băng Keo, Băng Dính__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE, Màng Chít - Nhà Sản Xuất",www.nhamaygiay2lop.bizz.vn__www.foamttp.com,'0909316811__02743617686',Mr. Quỳnh,,male,,ctyttp.co@gmail.com,https://www.yellowpages.vn/lgs/1187777043/mang-xop-hoi-mang-pe-foam-binh-duong-cong-ty-tnhh-phat-trien-ttp.html
Màng Nhựa Đông Hưng - Công Ty Cổ Phần Thương Mại Kỹ Thuật Đông Hưng,"Số 30/8C, Đường Hai Bà Trưng, KP. Đông Tác, P. Tân Đông Hiệp, TX. Dĩ An,","Vật Liệu Đóng Gói__Xốp Hơi, Màng Xốp Hơi__Tấm PE Foam__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE, Màng Chít - Nhà Sản Xuất__Thanh Nẹp Giấy, Nẹp Góc",www.donghung.vn__www.mangfoam.bizz.vn,'0984022099__0933034768__02871007879',Ông Hà Xuân Nam,,male,,binhduongtinh@yahoo.com,https://www.yellowpages.vn/lgs/1187751234/mang-nhua-dong-hung-cong-ty-co-phan-thuong-mai-ky-thuat-dong-hung.html
Màng PE Foam Đức Thuận Phát - Công Ty TNHH Sản Xuất Và Thương Mại Đức Thuận Phát,"Khu Cửa Đồng, TT. Hương Canh, H. Bình Xuyên,","Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì PE, PP, HDPE, LDPE (Dạng Tấm, Cuộn, Túi)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Túi, Bao Zipper, Ziplock__Màng PE, Màng Chít - Nhà Sản Xuất",www.sanxuatbaobinilon.com,'0866404464__0968623038',Mr. Nguyễn Đức Điều,,male,Giám Đốc,thuanphat2019.vp@gmail.com,https://www.yellowpages.vn/lgs/1187910771/mang-pe-foam-duc-thuan-phat-cong-ty-tnhh-san-xuat-va-thuong-mai-duc-thuan-phat.html
Vật Liệu Đóng Gói Xuân Quỳnh - Cơ Sở Xuân Quỳnh,"293B/29 KP 2, P. Tam Hiệp, Tp. Biên Hòa,","Xốp Hơi, Màng Xốp Hơi__EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Hộp Duplex__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Giấy__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)",www.xuanquynh.com.vn,'0908632632__0908938595',Ông Bùi Mạnh Hùng,,male,,baobixuanquynh@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187753142/vat-lieu-dong-goi-xuan-quynh-co-so-xuan-quynh.html
Màng PE Foam Vân Thiên Phú - Công Ty TNHH Vân Thiên Phú,"25/27C, KP. 6, P. Hố Nai, TP. Biên Hoà,","Keo Sữa (Keo PVAc, Keo dán Polyvinyl axetat)__Tấm PE Foam__Màng PE, Màng Chít - Nhà Sản Xuất__Băng Keo, Băng Dính__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE Quấn Pallet__Keo 502 - Sản Xuất Và Cung Cấp",www.mangpedongnai.com__www.vanthienphu.vn,'0384604996__02517300899',Mr. Thiện,,male,,vanthienphudn@gmail.com,https://www.yellowpages.vn/lgs/1187831931/mang-pe-foam-van-thien-phu-cong-ty-tnhh-van-thien-phu.html
Vật Liệu Đóng Gói Phương Phương Trang - Công Ty TNHH MTV Phương Phương Trang,"D40 KP Bình Đức 1, P. Lái Thiêu, TX Thuận An,","Dây Đai Pet__Vật Liệu Đóng Gói__Dây Đai Nhựa__Lưới Đánh Cá__Màng PVC, PET, PP, PS, HIPS__Dây Nilon__Dây Rút Nhựa, Dây Thít Nhựa__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE Quấn Pallet__Lưới - Sản Xuất và Kinh Doanh__Bọ Sắt, Bọ Thép__Màng PE, Màng Chít - Nhà Sản Xuất",www.pecachnhiet.com,'0933318136__0918923999',Mr. Phương,X,male,Hotline,csanhquang@gmail.com,https://www.yellowpages.vn/lgs/1187813805/vat-lieu-dong-goi-phuong-phuong-trang-cong-ty-tnhh-mtv-phuong-phuong-trang.html
Vật Liệu Đóng Gói Bảo Tam - Công Ty TNHH Bảo Tam,"Thôn An Động, X. Lạc Vệ, H. Tiên Du,","Vật Liệu Đóng Gói__Xốp Hơi, Màng Xốp Hơi__Tấm Nhựa Danpla, Thùng Nhựa Danpla__Giấy Pelure (Giấy Chống ẩm, Giấy Hút ẩm)__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Túi Nilon PE, Túi PP, Túi HDPE,.__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE Quấn Pallet__Túi, Bao Zipper, Ziplock",www.baotambn.bizz.vn,'0976909994__0335298484',Nguyễn Văn Trọng,,,,kinhdoanhbt.vn@gmail.com,https://www.yellowpages.vn/lgs/1187824578/vat-lieu-dong-goi-bao-tam-cong-ty-tnhh-bao-tam.html
