company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Nhựa Việt Trung - Công Ty TNHH Công Nghệ Môi Trường Việt Trung,"Thôn Minh Khai, Thị Trấn Như Quỳnh, H. Văn Lâm,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Bao Bì Thực Phẩm__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS",www.moitruongviettrung.bizz.vn__www.mangnhua.com,'0912340285__0393183333',Mr. Tùng,,male,,moitruongviettrungetc@gmail.com,https://www.yellowpages.vn/lgs/1187737053/nhua-viet-trung-cong-ty-tnhh-cong-nghe-moi-truong-viet-trung.html
Màng Nhựa RVC - Công Ty TNHH RVC,"11 Đường Số 7, P. Hiệp Bình Chánh, Q. Thủ Đức,","Màn Nhựa PVC và Rèm Nhựa PVC__Màng PVC, PET, PP, PS, HIPS",www.rvc.vn,'02837261790__0975663984',Hotline,X,,,info@rvc.vn,https://www.yellowpages.vn/lgs/1187759460/mang-nhua-rvc-cong-ty-tnhh-rvc.html
Màng Công Nghiệp San Chao - Công Ty TNHH San Chao,"1A144/1 Ấp 1, X. Phạm Văn Hai, H. Bình Chánh,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Màng BOPP__Màng PVC, PET, PP, PS, HIPS",,'02836209828',Mr. Chen Ying Chih,,male,,sanchaoco@gmail.com,https://www.yellowpages.vn/lgs/1187804094/mang-cong-nghiep-san-chao-cong-ty-tnhh-san-chao.html
Công Ty TNHH Lực Quán (VN) Công Nghiệp Nhựa,"Lô 37, Đường Số 9, KCN Tam Phước, TP. Biên Hòa,","Vải May Balo (Vải May Túi Xách, Giày Dép, Sofa,..)__Vải Simili, Vải Giả Da PU, Vải Giả Da PVC__Màng PVC, PET, PP, PS, HIPS__Gia Công Dán Vải - Dịch Vụ Gia Công Cán, Dán, Bồi Vải__Bạt Nhựa, Bạt Che Nắng, Bạt Che Mưa__Màng Nhà Kính",www.lucquan.vn,'0913729868__02516280170__0908118936',Mr. Huỳnh Minh Hùng,,male,GĐ Kinh Doanh,hung-gdkd@lucquan.vn,https://www.yellowpages.vn/lgs/1187842878/cong-ty-tnhh-luc-quan--vn--cong-nghiep-nhua.html
Nhựa Hương Giang - Công Ty TNHH Nhựa Hương Giang,"269/15 Ấp Nhân Hòa, X. Tây Hòa, H. Trảng Bom,","Cốc Nhựa Dùng 1 Lần, Hộp Nhựa Dùng 1 Lần,..Các Loại Nhựa Dùng 1 Lần__Màng PVC, PET, PP, PS, HIPS__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Bao Bì Thực Phẩm",www.baobinhuadinhhinh.vn,'0984152107__0988135253',Mr. Tư,,male,,nhuahuonggiang@gmail.com,https://www.yellowpages.vn/lgs/1187885844/nhua-huong-giang-cong-ty-tnhh-nhua-huong-giang.html
Nhựa SUWON VINA - Công Ty Cổ Phần Xuất Nhập Khẩu SUWON VINA,"Thôn Ngọc Lịch, X. Trưng Trắc, H. Văn Lâm,","Hạt Nhựa, Hạt Nhựa Nguyên Sinh__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Hạt Nhựa Tái Sinh, Tái Chế__Màng PVC, PET, PP, PS, HIPS",www.suwon.com.vn__www.suwon.vn,'0974989639__0945031971__02213788213',Mr. Phùng Đức Thông,,male,,mien3563@gmail.com,https://www.yellowpages.vn/lgs/1187817684/nhua-suwon-vina-cong-ty-co-phan-xuat-nhap-khau-suwon-vina.html
"Màng Nhựa PP, PS - Công Ty TNHH Mega Plastics Việt Nam","Lô A-3J-CN, KCN Mỹ Phước 3, Phường Chánh Phú Hòa, Thị Xã Bến Cát,","Màng PVC, PET, PP, PS, HIPS",www.megaplastics.com.vn,'0933752418__02743553552',Mr. Hùng,,male,,hung@megaplastics.com.vn,https://www.yellowpages.vn/lgs/1187904105/mang-nhua-pp-ps-cong-ty-tnhh-mega-plastics-viet-nam.html
Bao Bì Nhựa Thái An - Công Ty Cổ Phần Bao Bì Nhựa Thái An,"Đường Nguyễn Văn Linh , Phường Dị Sử , Thị Xã Mỹ Hào","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Màng PVC, PET, PP, PS, HIPS",www.thaianplas.bizz.vn,'0903407107__02213766126',Mr. Nguyễn Đức Hà,,male,,nguyenduc_ha08@yahoo.com,https://www.yellowpages.vn/lgs/1187840811/bao-bi-nhua-thai-an-cong-ty-co-phan-bao-bi-nhua-thai-an.html
Vật Tư In ấn Huynh Đệ - Công Ty Brother Group,"Số 1041, Đ. Nguyễn Bỉnh Khiêm, P. Đông Hải, Q. Hải An,","Vật Liệu Đóng Gói__Màng PVC, PET, PP, PS, HIPS__In ấn - Máy Móc và Thiết Bị In ấn__Màng PE, Màng Chít - Nhà Sản Xuất__Băng Keo, Băng Dính__In ấn - Vật Tư Ngành In ấn__Bảo Hộ Lao Động__Bản In Polymer, Bản In Cao Su__PET/PVC/PS/PP Films__Màng In Chuyển Nhiệt__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm",www.xdrpet.com__www.xdapet.com,'02256507055__0386506673',Hotline,X,,,1945008982@qq.com,https://www.yellowpages.vn/lgs/1187815968/vat-tu-in-an-huynh-de-cong-ty-brother-group.html
Màng Nhựa Shun An - Công Ty TNHH Shun An Environment Technology,"Ấp 1, X. Nhựt Chánh, H. Bến Lức,","Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Nhựa Phế Liệu__Hạt Nhựa Tái Sinh, Tái Chế__Màng PVC, PET, PP, PS, HIPS",www.shunan.com.vn,'0915588913__02723655790',Hotline,X,,,shunantechvn@gmail.com,https://www.yellowpages.vn/lgs/1187716677/mang-nhua-shun-an-cong-ty-tnhh-shun-an-environment-technology.html
