company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Màng Seal Nhôm Sài Nam - Công Ty Cổ Phần Sài Nam,"318 Nguyễn Duy Dương, P. 9, Q. 10,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)",www.mangsealnhom.com,'0903876306__02838347899',Ông Liễu Thanh,,male,Giám đốc,lieuthanh318@yahoo.com.vn,https://www.yellowpages.vn/lgs/119308674/mang-seal-nhom-sai-nam-cong-ty-co-phan-sai-nam.html
Vật Liệu Cách Nhiệt Nhật Quang - Công Ty TNHH Một Thành Viên Vật Liệu Nhiệt Nhật Quang,"Khu Công Nghiệp Tân Quang, Văn Lâm,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Giấy Bạc Cách Nhiệt__Màng PVC, PET, PP, PS, HIPS__Vật Liệu Cách Nhiệt, Vật Liệu Bảo Ôn",www.nhatquangltd.com,'0983957585',Ông Đoàn Bảo Thạch,,male,Giám Đốc,nhatquangltd@gmail.com,https://www.yellowpages.vn/lgs/119299728/vat-lieu-cach-nhiet-nhat-quang-cong-ty-tnhh-mot-thanh-vien-vat-lieu-nhiet-nhat-quang.html
Bao Bì Kiến Việt - Công Ty TNHH Kiến Việt (KIVICO),"3/107 Thủ Khoa Huân, KP Bình Thuận 1,P. Thuận Giao, TP. Thuận An,","Bao Bì Dược Phẩm__Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__In Bao Bì - Công Ty Thiết Kế và In ấn Bao Bì__Màng PVC, PET, PP, PS, HIPS__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Giấy Đề Can, Decal, Giấy In Nhãn (Dạng Cuộn, Tờ,.)__Bao Bì Thực Phẩm",www.kivico.vn,'0972555544__02746265284285',Ông Lê Văn Liêm,,male,,levanliem@kivico.vn,https://www.yellowpages.vn/lgs/1187698614/bao-bi-kien-viet-cong-ty-tnhh-kien-viet--kivico-.html
Màng BOPP Hưng Tiến - Công Ty TNHH Đầu Tư  & Thương Mại Hưng Tiến,"Số 65 Tổ 13, P. Khương Trung, Q. Thanh Xuân,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Màng BOPP__Màng PVC, PET, PP, PS, HIPS",www.hungtienbopp.blogspot.com__www.mangbopp.bizz.vn,'0903437707__0965000436',Ms. Thu,,female,,mangmonghungtien@gmail.com,https://www.yellowpages.vn/lgs/1435851/mang-bopp-hung-tien-cong-ty-tnhh-dau-tu----thuong-mai-hung-tien.html
Màng Seal De Li Việt Nam - Công Ty TNHH Nguyên Liệu Đóng Gói De Li Việt Nam,"16B Đông Nhì, KP. Đông Nhì , P. Lái Thiêu, TX. Thuận An,","Vật Liệu Đóng Gói__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)",www.china-bodeli.com,'0931119223__02743990288',Hotline,X,,,delivn17@gmail.com,https://www.yellowpages.vn/lgs/1187836854/mang-seal-de-li-viet-nam-cong-ty-tnhh-nguyen-lieu-dong-goi-de-li-viet-nam.html
Màng Seal Nhôm Phước Hào - Công Ty TNHH Sản Xuất Thương Mại Phước Hào,"A4/172A Tổ 4, Ấp 1A, X. Vĩnh Lộc B, H. Bình Chánh,","Dây Đai Dệt (Phụ liệu may mặc, giày dép, balo..)__Máy ép Nhiệt, Máy ép Chuyển Nhiệt__Máy Dán Màng Nhôm__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Máy Đóng Gói - Máy Móc và Thiết Bị Đóng Gói",www.mangnhom.com,'0909672858',Hotline,X,,,sealconghuy@gmail.com,https://www.yellowpages.vn/lgs/1187836842/mang-seal-nhom-phuoc-hao-cong-ty-tnhh-san-xuat-thuong-mai-phuoc-hao.html
Bao Bì Ngọc Minh - Công Ty TNHH SX TM Bao Bì Ngọc Minh,"B4 Ấp Mỹ Hóa 4, X. Xuân Thời Đông, H. Hóc Môn,","Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Bao Bì Nhựa__Nắp Nhựa, Nút Nhựa__Chai Nhựa HDPE (Can, Chai, Lọ Nhựa HDPE)__Khuôn Nhựa, Khuôn Nhựa Công Nghiệp",www.baobingocminh.com,'02822530159__0902775207__0938910287',Hotline,X,,,baobingocminh@gmail.com,https://www.yellowpages.vn/lgs/1187788440/bao-bi-ngoc-minh-cong-ty-tnhh-sx-tm-bao-bi-ngoc-minh.html
Nhựa Cường Phát - Công Ty TNHH Sản Xuất Thương Mại Nhựa Cường Phát Long An - Chi Nhánh tại HCM,": 349 Bình Trị Đông, P. Bình Trị Đông A, Q. Bình Tân,","Bao Bì Mỹ Phẩm__Bao Bì Nhựa - Chai Nhựa, Lọ Nhựa, Hộp Nhựa, Can nhựa__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Nắp Nhựa, Nút Nhựa__Bao Bì Thực Phẩm",www.cpplastic.com,'0913713963__02837624893',Ông Trần Kiến Hòa,,male,P. Kinh Doanh,nhuacuongphat@gmail.com,https://www.yellowpages.vn/lgs/692727/nhua-cuong-phat-cong-ty-tnhh-san-xuat-thuong-mai-nhua-cuong-phat-long-an-chi-nhanh-tai-hcm.html
Màng Seal Sam Lan - Công Ty TNHH Sam Lan,"Thôn Châu Phong, X. Liên Hà,  H. Đông Anh,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Máy Dán Màng Nhôm__Hạt Chống ẩm, Túi Chống ẩm",www.mangseal.net__www.samlan.com.vn,'0934409424__0902217689__02438729757',Ms. Phạm Thị Tố Lan,,female,TP. Kinh Doanh,phamlan3012@gmail.com,https://www.yellowpages.vn/lgs/1187750364/mang-seal-sam-lan-cong-ty-tnhh-sam-lan.html
Màng Seal D&N - Cơ Sở Sản Xuất Kinh Doanh D&N,"KĐT Đầm Trấu, Hai Bà Trưng,","Máy Đóng Gói__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Máy In Công Nghiệp, Máy In Date__Máy Co Màng__Máy Hút Chân Không__Máy Đóng Gói - Máy Móc và Thiết Bị Đóng Gói",www.mangseal.com,'0935024688__0912507006',Mr. Nguyễn Tiến Dưỡng,,male,Giám đốc,duongnt04@gmail.com,https://www.yellowpages.vn/lgs/1187864145/mang-seal-d-n-co-so-san-xuat-kinh-doanh-d-n.html
Công Ty Bao Bì Nhật Thái," Thôn Đông Ngàn, xã Đông Hội, huyện Đông Anh,","Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp__Túi Hút Chân Không__Túi Nhôm__Bao Bì Nông Nghiệp__Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Bao Bì Nhựa__Túi OPP__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc__Bao Bì Xuất Khẩu__Bao Bì Thực Phẩm__Bao Bì - Nhà Sản Xuất và Kinh Doanh",www.facebook.com/inanbaobinhatthai__www.baobinhatthai.com,'0977107199__0975107568__0988472668',Mr. Thuận,,male,Kinh Doanh,thuan.nhatthai@gmail.com,https://www.yellowpages.vn/lgs/1187779464/cong-ty-bao-bi-nhat-thai.html
Màng Công Nghiệp San Chao - Công Ty TNHH San Chao,"1A144/1 Ấp 1, X. Phạm Văn Hai, H. Bình Chánh,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Màng BOPP__Màng PVC, PET, PP, PS, HIPS",,'02836209828',Mr. Chen Ying Chih,,male,,sanchaoco@gmail.com,https://www.yellowpages.vn/lgs/1187804094/mang-cong-nghiep-san-chao-cong-ty-tnhh-san-chao.html
Công Ty TNHH Giao Nhận Vận Tải Xuất Nhập Khẩu Viễn Đông,"192/8 Phạm Văn Chiêu, P. 9, Q. Gò Vấp,","Màng Seal Nhôm, Màng Nhôm (Lá Mỏng, Vỉ Bấm,.)__Thiết Bị Niêm Phong (Kìm Kẹp Chì, Nắp, Seal Niêm Phong)",www.viendongcompany.com,'0907121793__0903021793',Mr. Nguyễn Đức Thắng,,male,,thang.viendong.07@gmail.com,https://www.yellowpages.vn/lgs/1230207/cong-ty-tnhh-giao-nhan-van-tai-xuat-nhap-khau-vien-dong.html
