company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Quảng Cáo Hoàng Gia,"1001 Kha Vạn Cân, P. Linh Tây, Q. Thủ Đức,","Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.quangcaohoanggia95.com,'0280935482111',,,,,,https://www.yellowpages.vn/lgs/1187713923/quang-cao-hoang-gia.html
Công Ty TNHH Sản Xuất Và Thương Mại A Lộc,"780 Trần Hưng Đạo, P. Đống Đa, TP. Quy Nhơn,","Gioăng, Phớt__Nhãn Mác Kim Loại, Tem Nhãn Inox,.__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp",,'0913490237__0905308126__02563791436',Ms. Kim Thúy,,female,P. Giám Đốc,alocltdbd@gmail.com,https://www.yellowpages.vn/lgs/1173555/cong-ty-tnhh-san-xuat-va-thuong-mai-a-loc.html
Xi Mạ VP Components - Công Ty TNHH VP Components Việt Nam,"Lô 104/2-1, Đường Số 2, KCN Amata, P. Long Bình, Tp. Biên Hòa,","Đánh Bóng Inox, Đánh Bóng Kim Loại (Nhôm, Đồng,..)__Xi Mạ - Công Ty Xi Mạ__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.vpcomponentsvn.bizz.vn,'0345315538__02513936779',Mr. Diêu Thiệu Nam,,male,Phó GĐ Kinh doanh,kelvin_dieu@taizhan.com,https://www.yellowpages.vn/lgs/999465/xi-ma-vp-components-cong-ty-tnhh-vp-components-viet-nam.html
Công Ty TNHH Quảng Cáo Thanh Thịnh Phát,"62/1 Lữ Gia, P. 15, Q. 11,","Chữ Nổi, Biển Chữ Nổi__Nhựa Dẻo - Logo Nhựa Dẻo, Móc Khóa, Lót Ly,..Phụ Kiện Nhựa Dẻo__Nhãn Mác Kim Loại, Tem Nhãn Inox,.__Bảng Hiệu Quảng Cáo",www.thanhthinhphat.com,'02862788833__0968898622',Mr. Hậu,X,male,Hotline,phongkinhdoanh@thanhthinhphat.com,https://www.yellowpages.vn/lgs/1187785452/cong-ty-tnhh-quang-cao-thanh-thinh-phat.html
Công Ty TNHH VPNA,"Số 16, Ngõ 186, Phố Bắc Cầu, P. Ngọc Thụy, Q. Long Biên,","Cắt Laser, Cắt Khắc Laser__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.vpna.vn,'0934234129',Hotline,X,,,sales.vpna@gmail.com,https://www.yellowpages.vn/lgs/1187929620/cong-ty-tnhh-vpna.html
Công Ty TNHH Đầu Tư Và Thương Mại AAA Việt Nam,"Số 4, Ngõ 34, Văn Cao, Q. Ba Đình,","Nhựa Dẻo - Logo Nhựa Dẻo, Móc Khóa, Lót Ly,..Phụ Kiện Nhựa Dẻo__In Tem Nhãn, Nhãn Mác, Label__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.temnhan3a.vn__www.temnhan3a.com,'0932380168__0904572588__0936223118__02477788998',Mr. Thành,,male,,temnhan3a@gmail.com,https://www.yellowpages.vn/lgs/1187785446/cong-ty-tnhh-dau-tu-va-thuong-mai-aaa-viet-nam.html
Công Ty Cổ Phần LabelVina,"Số 49-50 KDC VSIP1, TX. Thuận An,","In Tem Nhãn, Nhãn Mác, Label__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.labelvina.com,'0902260808',Hà Bạch Dương,,,,duonghb@labelvina.com,https://www.yellowpages.vn/lgs/1187805777/cong-ty-co-phan-labelvina.html
Tem Nhãn Mác Hà Nội,"Số 3, Ngách 61, Ngõ 173 Hoàng Hoa Thám, Q. Ba Đình,","Nhãn ép Nhiệt, Nhãn ép Chuyển Nhiệt__Mác Da, Nhãn Da__Nhãn Mác Quần áo, Nhãn Mác May Mặc__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.temnhanmac.com.vn,'0913001314',Mr. Hà,,male,Chủ cơ sở sản xuất,hak70173@gmail.com,https://www.yellowpages.vn/lgs/1187932296/tem-nhan-mac-ha-noi.html
Công Ty TNHH Nội Thất Châu Âu Khánh Lâm,"Thôn Kỳ Sơn (tại nhà ông Phạm Văn Sơn), Xã Tân Trào, Huyện Kiến Thụy,","Đồ Nội Thất - Kinh Doanh Và Phân Phối__Thương Mại - Các Công Ty__Vận Tải - Công Ty Vận Tải và Đại Lý Vận Tải__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",,'0982303398',Phạm Văn Sơn,,,,sonpham1584@gmail.com,https://www.yellowpages.vn/lgs/1187840967/cong-ty-tnhh-noi-that-chau-au-khanh-lam.html
Xưởng Dệt Nhãn Mác Quần Áo Ken Company,"80 Nguyễn Công Hoan, P. 7, Q. Phú Nhuận,","Nhãn Mác Quần áo, Nhãn Mác May Mặc__Túi Giấy, Túi Giấy Kraft__Nhãn Mác Kim Loại, Tem Nhãn Inox,.",www.nhanmacaoquan.com,'0704472322',Phạm Ngọc Thạch,,,,purchasing@pggroup.asia,https://www.yellowpages.vn/lgs/1187861361/xuong-det-nhan-mac-quan-ao-ken-company.html
