company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Phụ Gia Nhựa - Công Ty Cổ Phần Phụ Gia Nhựa,"Thôn Minh Quyết, P. Khai Quang, TP. Vĩnh Yên,","Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Hạt Nhựa Màu__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)__Hạt Nhựa Tái Sinh, Tái Chế",www.pgn.com.vn,'0913202082__02113717108',Ông Trần Đặng Công,,male,,trandangcong2082@gmail.com,https://www.yellowpages.vn/lgs/1187722782/phu-gia-nhua-cong-ty-co-phan-phu-gia-nhua.html
Hạt Phụ Gia Nhựa Taical (Filler masterbatch) - Công Ty Cổ Phần Phụ Gia Nhựa MEGA PLAST,"Tầng 08, Tòa Nhà Hàn Việt, 203 Minh Khai, Hai Bà Trưng,","Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.megaplast.com.vn__www.nhathuygroup.com.vn,'0902267398',Ms. Thanh,,female,Marketing,info@nhathuygroup.com.vn,https://www.yellowpages.vn/lgs/1187925768/hat-phu-gia-nhua-taical--filler-masterbatch--cong-ty-co-phan-phu-gia-nhua-mega-plast.html
Công Ty TNHH Sunrise Colours Việt Nam,"Lô N3D, Khu Tái Định Cư X2B, P. Yên Sở, Q. Hoàng Mai,","Hạt Nhựa Màu__Bột Màu, Bột Màu Công Nghiệp__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.sunrisecolour.com,'02436452586__0902224088',Mr. Giang,,male,Kinh Doanh,sunrisecolor2015@gmail.com,https://www.yellowpages.vn/lgs/1187762898/cong-ty-tnhh-sunrise-colours-viet-nam.html
Phụ Gia Ngành Nhựa Trung á - Công Ty TNHH Trung á Việt Nam,"168A Chùa Dận, Phường Đình Bảng, Thị Xã Từ Sơn,","Màng PVC, PET, PP, PS, HIPS__Hóa Chất Ngành Nhựa, Cao Su__Nhựa - Máy Móc và Thiết Bị Ngành Nhựa__Khuôn Mẫu__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.trunga.net,'02226286669__0393351273__0969857825',Hotline,X,,,trunga24042019@gmail.com,https://www.yellowpages.vn/lgs/1187893251/phu-gia-nganh-nhua-trung-a-cong-ty-tnhh-trung-a-viet-nam.html
Phụ Gia Ngành Nhựa Vu Trân - Công Ty TNHH Sản Xuất Thương Mại Vu Trân,"473/3B Lê Văn Quới, Khu Phố 6, P. Bình Trị Đông A, Q. Bình Tân,","Lò Vi Sóng, Lò Nướng__Hạt Nhựa Màu__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)__Bột Đá, Bột Đá CaCO3",www.vutran.com.vn,'0903984419__02862962809',Bà Hứa Kim Thu,,female,Giám Đốc,vutranplastic@gmail.com,https://www.yellowpages.vn/lgs/1187786895/phu-gia-nganh-nhua-vu-tran-cong-ty-tnhh-san-xuat-thuong-mai-vu-tran.html
Phụ Gia Nhựa Hoàng Phát - Công Ty TNHH Phụ Gia Nhựa Hoàng Phát,"301 Phố Vĩnh Hưng, P. Vĩnh Hưng, Q. Hoàng Mai,","Hạt Nhựa Màu__Bột Màu, Bột Màu Công Nghiệp__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.phugianhuahoangphat.bizz.vn,'0395863894__0948645966',Ông Lương Thế Phát,,male,,phugianhuahp2@gmail.com,https://www.yellowpages.vn/lgs/1187764398/phu-gia-nhua-hoang-phat-cong-ty-tnhh-phu-gia-nhua-hoang-phat.html
Phụ Gia Ngành Nhựa Lập Quần - Công Ty TNHH Quốc Tế Lập Quần,"Số 6, Đường Số 1, Khu Cư Xá Phú Lâm C, Phường An Lạc A, Quận Bình Tân,","Túi Phân Hủy Sinh Học__Hạt Nhựa EVA__Bột Màu, Bột Màu Công Nghiệp__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.lapquan.com,'02822537628',Ms. Lan,,female,Đại diện kinh doanh,eirlys@liqun.com.vn,https://www.yellowpages.vn/lgs/1187789172/phu-gia-nganh-nhua-lap-quan-cong-ty-tnhh-quoc-te-lap-quan.html
Nhật Huy Group - Công Ty CP Đầu Tư Nhật Huy,"Tầng 08, Tòa Nhà Hàn Việt, 203 Minh Khai, Hai Bà Trưng,","Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.megaplast.com.vn__www.nhathuygroup.com.vn,'0902267398__0902232233',Ms. Thanh,,female,Marketing,info@nhathuygroup.com.vn,https://www.yellowpages.vn/lgs/1187900688/nhat-huy-group-cong-ty-cp-dau-tu-nhat-huy.html
Phụ Gia Ngành Nhựa Chempo - Công Ty Cổ Phần Chempo,"Số 10 CL4, Khu Dịch Vụ Đồng Đế, Phường Dương Nội, Quận Hà Đông,","Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Hạt Nhựa Màu__Bột Màu, Bột Màu Công Nghiệp__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)",www.chempo.bizz.vn,'0912678553',Ông Phạm Văn Tuấn,,male,,chempo15@gmail.com,https://www.yellowpages.vn/lgs/1187796999/phu-gia-nganh-nhua-chempo-cong-ty-co-phan-chempo.html
Hóa Chất Công Nghiệp TUANTSUKI - Công Ty TNHH TUANTSUKI Việt Nam,"Số nhà A24TT7- Khu đô thị Văn Quán, P. Phúc La, Q. Hà Đông,","Hóa Chất Ngành Sơn, Mực In, Keo (Phụ Gia Ngành Sơn, Nhựa Alkyd, Titan dioxit,..)__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Hóa Chất Ngành Nhựa, Cao Su__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)__Hóa Chất Công Nghiệp",www.tuantsuki.com,'02473002368__0975913868__0986969179',Mr. Cao Thanh Tuấn,,male,,ctt.tuantsuki@gmail.com,https://www.yellowpages.vn/lgs/1187713365/hoa-chat-cong-nghiep-tuantsuki-cong-ty-tnhh-tuantsuki-viet-nam.html
