company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bao Bì Sunrise - Công Ty TNHH In Và Bao Bì Sunrise,"Số 888 Tân Hà, P. Lãm Hà, Q. Kiến An,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Carton__Tấm Nhựa Danpla, Thùng Nhựa Danpla__Thùng Carton 5 Lớp__ống Giấy, Lõi Giấy__Thùng Carton 3 Lớp__Giấy Nhét Giày, Giấy Gói Giày__Bao Bì - Nhà Sản Xuất và Kinh Doanh__Vỉ Giấy, Khay Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.sunrisepp.com.vn,'02256292345',Hotline,X,,,sunrisehp.packaging@gmail.com,https://www.yellowpages.vn/lgs/1187861679/bao-bi-sunrise-cong-ty-tnhh-in-va-bao-bi-sunrise.html
Công Ty TNHH Quamico,"KCN Tân Đông Hiệp, P. Tân Đông Hiệp, TX. Dĩ An, Bình Dương","ống Giấy, Lõi Giấy__Thùng Carton, Thùng Giấy__Giấy Tổ Ong__Thanh Nẹp Giấy, Nẹp Góc",www.giaytoongquamico.com,'0973089878__02743775124',Ms. Hương,,female,Tp. Kinh doanh,sales@giaytoongquamico.com,https://www.yellowpages.vn/lgs/1187725134/cong-ty-tnhh-quamico.html
Bao Bì Xuân Hằng - Công Ty TNHH Bao Bì Xuân Hằng,"Thửa Đất Số 351, Tờ Bản Đồ Số 7, KP. Bình Hòa 1, P. Tân Phước Khánh, TX. Tân Uyên,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__In Tem Nhãn, Nhãn Mác, Label__Thùng Carton 5 Lớp__ống Giấy, Lõi Giấy__Thùng Carton 3 Lớp__Giấy Tổ Ong__Pallet Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.baobixuanhang.com,'0939903535__02747302535__0976482486',Mr. Biên,,male,,baobixuanhang@gmail.com,https://www.yellowpages.vn/lgs/1187829681/bao-bi-xuan-hang-cong-ty-tnhh-bao-bi-xuan-hang.html
Bao Bì Việt Tín Phát - Công Ty TNHH Bao Bì Việt Tín Phát,"Số 02, Đường H2, Lô CN6, KCN Kim Huy, Tp. Thủ Dầu Một,","Thùng Carton 7 Lớp__Thùng Carton, Thùng Giấy__Thùng Carton 5 Lớp__Thùng Carton In Offset__Thùng Carton 3 Lớp__Giấy Tổ Ong__Pallet Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.vtppack.com,'0937353479__02743857379',Mr. Tuấn,,male,,info@vtppack.com,https://www.yellowpages.vn/lgs/1187787657/bao-bi-viet-tin-phat-cong-ty-tnhh-bao-bi-viet-tin-phat.html
Ống Giấy Vĩnh Phú - Công Ty TNHH Thương Mại Sản Xuất Bao Bì Vĩnh Phú,"Số Nhà 100, Đường 107, ấp 11, Xã Tân Thạnh Đông, Huyện Củ Chi,","ống Giấy, Lõi Giấy__Giấy -  Sản Phẩm Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.onggiayvinhphu.com,'0937739625__0909546907__0906560619__02862727810',Hotline,X,,,333vinhphu@gmail.com,https://www.yellowpages.vn/lgs/1187783346/ong-giay-vinh-phu-cong-ty-tnhh-thuong-mai-san-xuat-bao-bi-vinh-phu.html
Thanh Nẹp Góc Cường Vĩnh Phát - Công Ty TNHH Sản Xuất Thương Mại Cường Vĩnh Phát,"Lô 399, Cụm Công Nghiệp Suối Sao, X. Hố Nai 3, H. Trảng Bom,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Carton__Túi Nilon PE, Túi PP, Túi HDPE,.__Thùng Carton 5 Lớp__Bao Bì Giấy__ống Giấy, Lõi Giấy__Thùng Carton 3 Lớp__Giấy Tổ Ong__Pallet Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.cuongvinhphat.com,'0948389399__02513680306__0613680316',Mr. Cường,,male,NV Kinh Doanh,cuongvinhphat@gmail.com,https://www.yellowpages.vn/lgs/1187684691/thanh-nep-goc-cuong-vinh-phat-cong-ty-tnhh-san-xuat-thuong-mai-cuong-vinh-phat.html
Công Ty Cổ Phần KARTA,"37 Nguyễn Bá Huân, P. Thảo Điền, Q. 2,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Thùng Carton 5 Lớp__Thùng Carton 3 Lớp__Giấy Tổ Ong__Túi Giấy, Túi Giấy Kraft__Pallet Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.karta.vn__www.giaytoong.vn,'0913049202__02837446686',HOTLINE,X,,,info@karta.vn,https://www.yellowpages.vn/lgs/1187760411/cong-ty-co-phan-karta.html
Bao Bì Nhân Gia Hào - Công Ty TNHH Nhân Gia Hào,"17/20 KP. Bình Phước A, P. Bình Chuẩn, TP. Thuận An,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Slip Sheets - Sản Xuất và Cung Cấp__Thùng Carton 5 Lớp__Tấm Carton, Bìa Carton__Thùng Carton 3 Lớp__Giấy Tổ Ong__Giấy Kraft, Giấy Bao Bì (Giấy Xeo, Xi Măng, Carton,.)__Pallet Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.nhangiahao.bizz.vn,'02743969672__0946178198',Ông Nguyễn Văn Cường,,male,,nhangiahao@gmail.com,https://www.yellowpages.vn/lgs/1187719485/bao-bi-nhan-gia-hao-cong-ty-tnhh-nhan-gia-hao.html
Sản xuất ống lõi giấy Hồ Chí Minh - Công Ty TNHH Sản Xuất Thương Mại Điệp Vũ,"500/44 Nguyễn Ảnh Thủ, P. Hiệp Thành, Q. 12,","Bao Bì - Máy Móc và Thiết Bị__Bobbin Nhựa, Lõi Nhựa, ống Chỉ Nhựa__ống Giấy, Lõi Giấy__Sợi - Sợi Polyester, Cotton, Nylon, PP, PE__Giấy -  Sản Phẩm Giấy__Thanh Nẹp Giấy, Nẹp Góc",www.papercone.bizz.vn,'0908806359__02835974402',Ông Tăng Tuấn Vũ,,male,,vutang79@gmail.com,https://www.yellowpages.vn/lgs/1054764/san-xuat-ong-loi-giay-ho-chi-minh-cong-ty-tnhh-san-xuat-thuong-mai-diep-vu.html
Bao Bì Giấy Bảo Tín - Công Ty TNHH Sản Xuất Thương Mại Bao Bì Bảo Tín,"621/109 Đường Trần Thị Hè, Tổ 45, KP. 4, P. Hiệp Thành, Q. 12,","Thùng Carton, Thùng Giấy__Thùng Carton 7 Lớp__Bao Bì Đồ Điện Tử__Thùng Carton 5 Lớp__Thùng Carton In Offset__ống Giấy, Lõi Giấy__Giấy -  Sản Phẩm Giấy__Thùng Carton 3 Lớp__Bao Bì May Mặc__Bao Bì Thực Phẩm__Thanh Nẹp Giấy, Nẹp Góc__Bao Bì Carton",www.baobibaotin.bizz.vn,'0977307761__02862700378',Hotline,X,,,btn.baotin@gmail.com,https://www.yellowpages.vn/lgs/1187842929/bao-bi-giay-bao-tin-cong-ty-tnhh-san-xuat-thuong-mai-bao-bi-bao-tin.html
Vật Tư Thiết Bị Công Nghiệp Lucky Sky - Công ty TNHH Thương Mại Lucky Sky,"Số 8/A, Tổ 4, Ấp An Lâm, Xã Long An, Huyện Long Thành,","Máy Khoan Cơ Khí__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp__Máy Chà Sàn__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..__Máy Đánh Bóng__Máy Mài__Thanh Nẹp Giấy, Nẹp Góc",www.luckysky.bizz.vn,'0908191968',Ms. Trương Thị Thùy Nhung,,female,Giám Đốc,luckyskylt@gmail.com,https://www.yellowpages.vn/lgs/1187912328/vat-tu-thiet-bi-cong-nghiep-lucky-sky-cong-ty-tnhh-thuong-mai-lucky-sky.html
