company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
áo Mưa Thế Giới - Công Ty TNHH áo Mưa Thế Giới,"D11/47R Đường Quách Điêu, Ấp 4, X. Vĩnh Lộc A, H. Bình Chánh,","áo Mưa Quảng Cáo, áo Mưa Quà Tặng - Sản Xuất Và Bán Buôn__áo Mưa Cánh Dơi - Sản Xuất Và Bán Buôn__áo Mưa Trẻ Em__Túi Nhựa PVC__áo Mưa Đôi__Túi Nilon PE, Túi PP, Túi HDPE,.__áo Mưa Măng Tô__Bao Bì Nhựa__Túi, Bao Zipper, Ziplock__áo Mưa - Công Ty áo Mưa, Sản Xuất và Bán Buôn",www.nhuapvc.bizz.vn,'0393971546__02862599324',Hotline,X,,,aomuathegioi@gmail.com,https://www.yellowpages.vn/lgs/1187757780/ao-mua-the-gioi-cong-ty-tnhh-ao-mua-the-gioi.html
Túi Nhựa Phúc Khang - Công Ty TNHH Sản Xuất Và Thương Mại Bao Bì Phúc Khang,"202 Nguyễn Hữu Tiến, P. Tây Thạnh, Q. Tân Phú,","Túi Nhựa PVC__Túi, Bao Zipper, Ziplock",www.pvcphuckhang.vn__www.baobipvc.vn,'0903929893__0908929893',Trương Quang Phước,,,,,https://www.yellowpages.vn/lgs/1187791269/tui-nhua-phuc-khang-cong-ty-tnhh-san-xuat-va-thuong-mai-bao-bi-phuc-khang.html
Thế Giới Túi Nhựa,"Tầng 20A Vincom Center, 72 Lê Thánh Tôn, Quận 1,","Túi Nhựa PVC__Gia Công ép Nhựa, Gia Công ép Nhựa Theo Yêu Cầu__Bao Bì Nhựa__áo Mưa - Công Ty áo Mưa, Sản Xuất và Bán Buôn__Nhựa - Các Công Ty Nhựa",www.facebook.com/thegioituinhua__www.thegioituinhua.com,'0918187481__0944818199',Mr. Bình,,male,,thegioituinhua@gmail.com,https://www.yellowpages.vn/lgs/1187794701/the-gioi-tui-nhua.html
Túi Nhựa PVC Đức Trung Nhật - Công Ty TNHH Đức Trung Nhật,"CCN Cẩm Thượng, Số 1 An Lạc, P. Cẩm Thượng, TP. Hải Dương,","Túi Nhựa PVC__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Túi Du Lịch, Balo Du Lịch - Sản Xuất Và Kinh Doanh__Ba lô Du Lịch__Balo, Túi Xách, Cặp, Giỏ, Vali -  Công Ty May và Sản Xuất Balo, Túi Xách",www.ductrungnhat.com__www.ductrungnhat.com.vn,'0906169164__0989263940',Ông Nguyễn Đức Quyền,,male,,ductrungnhat10@gmail.com,https://www.yellowpages.vn/lgs/1187722794/tui-nhua-pvc-duc-trung-nhat-cong-ty-tnhh-duc-trung-nhat.html
Túi Nhựa PVC An Tiến - Doanh Nghiệp Bao Bì An Tiến,"KDC Mật Sơn, P. Chí Minh, TP. Chí Linh,",Túi Nhựa PVC__Bao Bì Nhựa,www.baobiantien.com,'0382606123',Mr. Nguyễn Hữu Đạt,,male,Chủ Cơ Sở,baobiantien@gmail.com,https://www.yellowpages.vn/lgs/1187930772/tui-nhua-pvc-an-tien-doanh-nghiep-bao-bi-an-tien.html
Túi Nhựa Đức Hậu - Cơ Sở Sản Xuất Kinh Doanh Và Thương Mại Đức Hậu,"Đội 3 Thôn Kiêu Kỵ, X. Kiêu Kỵ, H. Gia Lâm,","Ba Lô Học Sinh, Cặp Học Sinh - Sản Xuất Và Kinh Doanh__Gia Công Sau In - Gia Công Cán Màng, ép Nhũ, Cắt, Cấn, Bế__Túi Nhựa PVC__In ấn - Catalogue, Tờ rơi, Brochure..Các Loại__Túi Vải Không Dệt__Balo, Túi Xách, Cặp, Giỏ, Vali -  Công Ty May và Sản Xuất Balo, Túi Xách",www.tuipvcvn.com,'02438276147__0973344205__0978747371',Mr. Hậu,,male,,inep1571@gmail.com,https://www.yellowpages.vn/lgs/1187804910/tui-nhua-duc-hau-co-so-san-xuat-kinh-doanh-va-thuong-mai-duc-hau.html
Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất Trúc Vinh,"79/2B Cây Cám, P. Bình Trị Đông B, Q. Bình Tân, Tp. Hồ Chí Minh","áo Mưa Quảng Cáo, áo Mưa Quà Tặng - Sản Xuất Và Bán Buôn__áo Mưa Cánh Dơi - Sản Xuất Và Bán Buôn__áo Mưa Trẻ Em__Túi Nhựa PVC__áo Mưa Bộ__áo Mưa - Công Ty áo Mưa, Sản Xuất và Bán Buôn",www.trucvinh.com,'0964553993',Ông Văn Công Tốt,X,male,Hotline,baobidonghai@gmail.com,https://www.yellowpages.vn/lgs/1187782368/cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-truc-vinh.html
Túi Nhựa Pefso - Công Ty TNHH Pefso,"71/43 Phố Chùa Bộc, P. Khương Thượng, Q. Đống Đa,","Móc áo, Móc Treo Quần áo Và Các Phụ Kiện,.. - Sản Xuất Và Kinh Doanh__Bao Bì Mỹ Phẩm__Màng PVC, PET, PP, PS, HIPS__Túi Nhựa PVC__Bao Bì Quà Tặng, Bao Bì Khuyến Mại__Bao Bì May Mặc__Bao Bì Thực Phẩm",www.baobipps.com,'0978800566__02462920360__0986283861__0978936166',Mr. Mai Quang Thắng,,male,,pps@pefso.com,https://www.yellowpages.vn/lgs/119311281/tui-nhua-pefso-cong-ty-tnhh-pefso.html
Túi Nhựa Vĩnh Thành PVC - Công Ty TNHH Vĩnh Thành PVC,"172/194/30/20C An Dương Vương, P. 16, Q. 8, Hồ Chí Minh","Túi Nhựa PVC__Móc áo, Móc Treo Quần áo Và Các Phụ Kiện,.. - Sản Xuất Và Kinh Doanh",www.vinhthanhpvc.com,'0949392679',Bà Châu Thục Ngân,,female,,vinhthanhpvc@gmail.com,https://www.yellowpages.vn/lgs/1187720676/tui-nhua-vinh-thanh-pvc-cong-ty-tnhh-vinh-thanh-pvc.html
Bao Bì Nhựa Đỉnh Phong - Cơ Sở Bao Bì Nhựa Đỉnh Phong,"25 Đường Số 1, KDC Nam Hưng Vương, P. An Lạc, Q. Bình Tân,","Màng Phủ Nông Nghiệp, Ngư Nghiệp__Túi Phân Hủy Sinh Học__Túi Nhựa PVC__Túi Nilon PE, Túi PP, Túi HDPE,.__Bao Bì Nhựa__Túi, Bao Zipper, Ziplock__Bao Bì May Mặc",www.baobidinhphong.bizz.vn,'0934021688__02835042846',Mr. Lam,,male,,baobinhuadinhphong@gmail.com,https://www.yellowpages.vn/lgs/1187691519/bao-bi-nhua-dinh-phong-co-so-bao-bi-nhua-dinh-phong.html
