company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Màng PE S.G - Công Ty TNHH Hóa Chất S.G,"Một Phần Lô CN17, Đường Số 8 Và Đường D1, KCN Sóng Thần 3, P. Phú Tân, TP. Thủ Dầu Một,","Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam__Xốp Hơi, Màng Xốp Hơi",www.vinalon.net__www.vinalon.trustpass.alibaba.com,'0799898006__02743717134',Hotline,X,,,sgcbm@vinalon.vn,https://www.yellowpages.vn/lgs/3749790/mang-pe-s.g-cong-ty-tnhh-hoa-chat-s.g.html
Màng Nhựa Đông Hưng - Công Ty Cổ Phần Thương Mại Kỹ Thuật Đông Hưng,"Số 30/8C, Đường Hai Bà Trưng, KP. Đông Tác, P. Tân Đông Hiệp, TX. Dĩ An,","Vật Liệu Đóng Gói__Xốp Hơi, Màng Xốp Hơi__Tấm PE Foam__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Màng PE, Màng Chít - Nhà Sản Xuất__Thanh Nẹp Giấy, Nẹp Góc",www.donghung.vn__www.mangfoam.bizz.vn,'0984022099__0933034768__02871007879',Ông Hà Xuân Nam,,male,,binhduongtinh@yahoo.com,https://www.yellowpages.vn/lgs/1187751234/mang-nhua-dong-hung-cong-ty-co-phan-thuong-mai-ky-thuat-dong-hung.html
Mốp Xốp Đạt Tới - Công Ty TNHH Đạt Tới,"246E/2 Khu Phố 1B, P. An Phú, TP. Thuận An,","Xốp Hơi, Màng Xốp Hơi__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Thùng Xốp, Khay Xốp, Hộp Xốp__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam",www.mopxopdattoi.bizz.vn__www.mopxopdattoi.com,'02743777121__0902395346',Mr. Sứ,,male,,Ctydattoi001@gmail.com,https://www.yellowpages.vn/lgs/1187769126/mop-xop-dat-toi-cong-ty-tnhh-dat-toi.html
Xốp Việt Hoàn - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Việt Hoàn,"33/3C Áp Đông 1, X. Thới Tam Thôn, H. Hóc Môn,","Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam__Xốp Hơi, Màng Xốp Hơi__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)",www.ctynhuaxopviethoan.com,'0978420498__02822533621__0938936754',Mr. Trương Công Hoàn,,male,,ctynhuaxopviethoan@yahoo.com,https://www.yellowpages.vn/lgs/1187868447/xop-viet-hoan-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-viet-hoan.html
Màng PE Foam Hưng Thịnh - Công Ty TNHH Mút Hưng Thịnh,"Thửa Đất Số 159a, 274, Tờ Bản Đồ Số B3, KP. Bình Phú, P. Bình Chuẩn, TX. Thuận An,","Xốp Hơi, Màng Xốp Hơi__EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam__Túi Khí Cách Nhiệt, Túi Khí Cách Âm",www.muthungthinh.com,'0907700948__02743800391',Mr Long,,male,Giám đốc,muthungthinh@gmail.com,https://www.yellowpages.vn/lgs/1187821800/mang-pe-foam-hung-thinh-cong-ty-tnhh-mut-hung-thinh.html
Màng PE Foam Phương Nam - Công TY TNHH Xốp Cách Nhiệt Phương Nam,"Tổ Dân Phố Bến, P. Bạch Sam, TX. Mỹ Hào,","Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam__Xốp Hơi, Màng Xốp Hơi__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)",www.mutxoppephuongnam.com,'02213993358__0983669696',Ông Nguyễn Việt Vương,,male,Giám Đốc,vuonghcmt@gmail.com,https://www.yellowpages.vn/lgs/1187707593/mang-pe-foam-phuong-nam-cong-ty-tnhh-xop-cach-nhiet-phuong-nam.html
Công Ty TNHH Korea Express Packsimex,"Đường Số 04, KCN. Biên Hòa 1, Tp. Biên Hòa,","Vật Liệu Đóng Gói__Xốp Hơi, Màng Xốp Hơi__EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Tấm Nhựa Danpla, Thùng Nhựa Danpla__Xốp Cách Nhiệt, Cách Âm (XPS, EPS, OPP, PU, PE Foam..)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam",www.packsimex.com.vn__www.korex.com.vn,'0903813672__02513836833',Mr Minh,,male,,vtminh@korex.com.vn,https://www.yellowpages.vn/lgs/1071090/cong-ty-tnhh-korea-express-packsimex.html
Mút Xốp Đại Lực Đạt - Công Ty TNHH MTV Đại Lực Đạt,"Thửa Đất Số 1273, Tờ Bản Đồ Số 5, KP. Khánh Lộc, P. Tân Phước Khánh, TX. Tân Uyên,","Xốp Hơi, Màng Xốp Hơi__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Xốp Cách Nhiệt, Cách Âm (XPS, EPS, OPP, PU, PE Foam..)__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Tấm PE Foam",www.dailucdat.com,'0908153756__02743619940',Mr. Phạm Hoàng,,male,Giám Đốc,lucdatvtng@gmail.com,https://www.yellowpages.vn/lgs/1187856375/mut-xop-dai-luc-dat-cong-ty-tnhh-mtv-dai-luc-dat.html
Công Ty TNHH Anna,"Đ 10, X. Quang Thành, TX. Kinh Môn,","Tấm PE Foam__Túi Nilon PE, Túi PP, Túi HDPE,.",www.annaplastic.com,'0985033677',Hotline,X,,,thanhtao129@gmail.com,https://www.yellowpages.vn/lgs/1187913792/cong-ty-tnhh-anna.html
Công Ty TNHH XNK Thiên Hải Đăng,"Số 594, Ấp Thuận Hòa 1, X. Hòa Khánh Nam, H. Đức Hòa,","Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__PU Foam - Sản Xuất Mút PU Thành Phẩm, Tái Sinh,.__Xốp Hơi, Màng Xốp Hơi__Tấm PE Foam",,'0975009588',Mr Tăng Thế Hải,,male,Giám Đốc,thienhaidangfoam@gmail.com,https://www.yellowpages.vn/lgs/1187830155/cong-ty-tnhh-xnk-thien-hai-dang.html
