company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bảo Hộ Lao Động Việt - Công Ty TNHH Bảo Hộ Việt,"Số 79 Nguyễn Xiển, Thanh Xuân,","Thiết Bị An Toàn Ngành Điện__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__An Toàn Sông Nước - Phao, áo phao,..__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.vietbaoho.com,'02462950101__0943067299',Bà Đặng Thị Khuyên,,female,,baohoviet12@gmail.com,https://www.yellowpages.vn/lgs/1187762466/bao-ho-lao-dong-viet-cong-ty-tnhh-bao-ho-viet.html
Công Ty TNHH Dịch Vụ Thương Mại Và Đầu Tư Bảo An,"Số 119 Đường Cầu Diễn, Q. Bắc Từ Liêm,","Thiết Bị An Toàn Ngành Điện__Quần áo Bảo Hộ Lao Động__An Toàn Sông Nước - Phao, áo phao,..__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Khẩu Trang Bảo Hộ Lao Động__An Toàn Giao Thông - Trang Thiết bị An Toàn Giao Thông__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.baoholaodongbaoan.vn,'0932277669__02462514333',Ms. Thoa,,female,,baoholaodongbaoan112@gmail.com,https://www.yellowpages.vn/lgs/1187744148/cong-ty-tnhh-dich-vu-thuong-mai-va-dau-tu-bao-an.html
Đồ Bơm Hơi INTEX - Công Ty TNHH Sản Phẩm Bơm Hơi INTEX Việt Nam,"Số 158, Đường Thanh Bình, P. Mộ Lao, Q. Hà Đông,","Gối Hơi - Sản Xuất Và Bán Buôn__Cổng Hơi, Rối Hơi, Nhà Hơi - Sản Xuất Và Kinh Doanh__Đồ Chơi Trẻ Em  - Sản Xuất và Phân Phối Đồ Chơi Trẻ Em__An Toàn Sông Nước - Phao, áo phao,..",www.intexvietnam.vn,'0936323066',Ms. Thảo,,female,,info.intexvietnam@gmail.com,https://www.yellowpages.vn/lgs/1187715687/do-bom-hoi-intex-cong-ty-tnhh-san-pham-bom-hoi-intex-viet-nam.html
Đồ Chơi Trẻ Em Phú Thái - Công Ty TNHH MTV Đầu Tư Và DV TM Phú Thái,"Số 08 (Lô R1) Thuộc Tòa Nhà Vạn Đạt Tại Lô II,1, Đường Số 8, P. Tây Thạnh, Q. Tân Phú,","áo Phao__Đồ Chơi Trẻ Em  - Sản Xuất và Phân Phối Đồ Chơi Trẻ Em__An Toàn Sông Nước - Phao, áo phao,..__Thiết Bị Mầm Non - Đồ Chơi, Đồ Dùng, Thiết Bị Giáo Dục Mầm Non",www.dochoitreemphuthai.bizz.vn,'0904632989',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187891799/do-choi-tre-em-phu-thai-cong-ty-tnhh-mtv-dau-tu-va-dv-tm-phu-thai.html
Bảo Hộ Lao Động Vĩnh Xuyên - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Vĩnh Xuyên,"Thôn Phương Chử Đông, X. Trường Thành, H. An Lão,","Thiết Bị An Toàn Ngành Điện__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__An Toàn Sông Nước - Phao, áo phao,..__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Bảo Hộ Công Trình__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.baoholaodongvinhxuyen.com,'02253911858__0905299814',Ông Đặng Đình Thiết,,male,,thietdd@vinhxuyen.vn,https://www.yellowpages.vn/lgs/1187703483/bao-ho-lao-dong-vinh-xuyen-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-vinh-xuyen.html
Công Ty TNHH Nam Thăng Long,"Cụm CN - TTCN Nhật Tân, Kim Bảng,","An Toàn Sông Nước - Phao, áo phao,..__áo Phao__Balo, Túi Xách, Cặp, Giỏ, Vali -  Công Ty May và Sản Xuất Balo, Túi Xách__Cặp Laptop__Cặp Học Sinh__Ba Lô Học Sinh, Cặp Học Sinh - Sản Xuất Và Kinh Doanh",www.namthanglonghn.com__www.capphaocuusinh.vn,'02263520072__0915040306',Hotline,X,,,capphaocuusinh@gmail.com,https://www.yellowpages.vn/lgs/1187725881/cong-ty-tnhh-nam-thang-long.html
Lapro - Công Ty Cổ Phần Thương Mại Và Bảo Hộ Lao Động,"24 Yết Kiêu, P. Cửa Nam, Q. Hoàn Kiếm,","Quần áo Bảo Hộ Lao Động__An Toàn Sông Nước - Phao, áo phao,..__Bảo Hộ Lao Động__Bình Chữa Cháy (CO2, Bột, Foam)__Dây Đai An Toàn__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.laprosafety.com__www.baoholaodonghn.com,'0913225387__02438229584',Bà Lê Thị Kim Oanh,,female,,ctybhld@gmail.com,https://www.yellowpages.vn/lgs/1187835216/lapro-cong-ty-co-phan-thuong-mai-va-bao-ho-lao-dong.html
"Khăn quàng học sinh, cờ tổ quốc - Cơ Sở Sản xuất Và Dịch Vụ Thương Mại May Mặc Đông Đô","Cầu Cốc, Thanh Tùng, Thanh Miện,","Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn__An Toàn Sông Nước - Phao, áo phao,..",www.khanquanghocsinh.bizz.vn__www.thanhphuong.bizz.vn,'0973042084__0388505032',Bà Nguyễn Thị Phượng,,female,,xuongmaythanhphuong@gmail.com,https://www.yellowpages.vn/lgs/1187824566/khan-quang-hoc-sinh-co-to-quoc-co-so-san-xuat-va-dich-vu-thuong-mai-may-mac-dong-do.html
Bảo Hộ Nam Bình - Công Ty Cổ Phần NBC ECOM Việt Nam,"Số 15, Ngách 99/3 Phố Nguyễn Chí Thanh, P. Láng Hạ, Q. Đống Đa,","Thiết Bị An Toàn Ngành Điện__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__ủng Cách Điện__Bút Thử Điện__An Toàn Sông Nước - Phao, áo phao,..__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Khẩu Trang Bảo Hộ Lao Động__Thảm Cách Điện__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.baohonambinh.vn,'0963666848__02439995658',Nguyễn Thị Thủy,,,Kinh doanh,sales@baohonambinh.com,https://www.yellowpages.vn/lgs/1187761941/bao-ho-nam-binh-cong-ty-co-phan-nbc-ecom-viet-nam.html
Thiết Bị Hàng Hải Việt Chính - Công Ty TNHH Việt Chính,"Số 12 Phạm Hồng Thái, P. Phan Bội Châu, Q. Hồng Bàng,","Hàng Hải - Thiết Bị Hàng Hải__Tàu Thuyền - Trang Thiết Bị__An Toàn Sông Nước - Phao, áo phao,..__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.vietchinh.com.vn,'02253838100__0936757536',Hotline,X,,,vietchinhqm@yahoo.com,https://www.yellowpages.vn/lgs/1187873697/thiet-bi-hang-hai-viet-chinh-cong-ty-tnhh-viet-chinh.html
