company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Quần áo Bảo Hộ Tiến Phát - Công Ty TNHH An Toàn Bảo Hộ Lao Động Tiến Phát,"Phòng Số 1, Số 46/38, Đường Số 18, KP. 1, P. Bình Hưng Hòa, Q. Bình Tân,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.tienphatsafety.com,'0823069558__0974250558__02862730002',Hotline,X,,,mailieu2013@gmail.com,https://www.yellowpages.vn/lgs/1187810250/quan-ao-bao-ho-tien-phat-cong-ty-tnhh-an-toan-bao-ho-lao-dong-tien-phat.html
Bảo Hộ Lao Động An Bảo - Công Ty Cổ Phần Sản Xuất Thương Mại Dịch Vụ An Bảo,"365-367 Tôn Đức Thắng, Q. Liên Chiểu,","Thiết Bị An Toàn Ngành Điện__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.anbaoco.com.vn,'0905303488__02363738595__02363739944',Ms. Phan Thị Hà Nam,,female,Phó Giám Đốc,anbao@anbaoco.com.vn,https://www.yellowpages.vn/lgs/119289591/bao-ho-lao-dong-an-bao-cong-ty-co-phan-san-xuat-thuong-mai-dich-vu-an-bao.html
Công Ty TNHH Nhật Minh Hương,"Thửa 1472, Tờ Bản Đồ Số 39, KP. Khánh Lộc, P. Khánh Bình, TX. Tân Uyên,","Đồng Phục Bảo Vệ (Quần áo Bảo Vệ, áo Bảo Vệ, Quần áo Bảo Vệ May Sẵn)__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__Kính Bảo Hộ Lao Động__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khăn Bông - Sản Xuất và Bán Buôn Khăn Bông__Khẩu Trang Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__áo Đồng Phục__May Đồng Phục - Công Ty May Đồng Phục__Bảo Hộ Lao Động",www.maydongphuc.pro.vn__www.nhatminhhuong.com,'02746286468__0906801551__0979429729',Ms. Lê Thị Thu Hương,,female,,lethuhuong107@gmail.com,https://www.yellowpages.vn/lgs/1187682069/cong-ty-tnhh-nhat-minh-huong.html
Bảo Hộ Lao Động Thanh Thủy - Công Ty TNHH Bảo Hộ Lao Động Và Thương Mại Thanh Thủy,"Số 18, Ngõ 677, Tổ 20, Đường Nguyễn Khoái, P. Thanh Trì, Q. Hoàng Mai,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.bhldthanhthuy.com,'02436364950__0903280685',Hotline,X,,,thanhthuy.safety@gmail.com,https://www.yellowpages.vn/lgs/1187797155/bao-ho-lao-dong-thanh-thuy-cong-ty-tnhh-bao-ho-lao-dong-va-thuong-mai-thanh-thuy.html
BEIBEI SAFETY - Công Ty TNHH BEIBEI SAFETY,"Lô C1-2-2, KCN Đại Đăng, P. Phú Tân, TP. Thủ Dầu Một,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.beibeisafety.com,'0908912607__02743896088__02743896089',Hotline,X,,,sales1-vn@beibeisafety.com.tw,https://www.yellowpages.vn/lgs/1187888988/beibei-safety-cong-ty-tnhh-beibei-safety.html
Bảo Hộ Lao Động Logiaco - Công Ty TNHH Đầu Tư và Phát Triển LOGIACO,"113/14/7 KP. 6, P. Thống Nhất, TP. Biên Hòa,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.logiaco.bizz.vn__www.https://logiaco.com/,'0974089986',Mr. Giang,,male,TP. KD,giang.phan@logiaco.com,https://www.yellowpages.vn/lgs/1187905761/bao-ho-lao-dong-logiaco-cong-ty-tnhh-dau-tu-va-phat-trien-logiaco.html
Bảo Hộ Lao Động Nhà Xanh - Công Ty Cổ Phần Đầu Tư Và Phát Triển Xây Dựng Nhà Xanh,"1048 Đường Huỳnh Văn Lũy, P. Phú Mỹ, TP. Thủ Dầu Một,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.nhaxanh.com.vn,'02743515678__0933106187',HOTLINE,X,,,ceo@nhaxanh.com.vn,https://www.yellowpages.vn/lgs/1187763261/bao-ho-lao-dong-nha-xanh-cong-ty-co-phan-dau-tu-va-phat-trien-xay-dung-nha-xanh.html
Bảo Hộ Bảo Thịnh Phát - Công ty TNHH SX-TM-DV Bảo Thịnh Phát,"110/10 Đường Tân Thới Hiệp 07, Khu Phố 4A, P. Tân Thới Hiệp, Q. 12,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.baothinhphat.com,'02862551468__0932142454',Ông Đỗ Quốc Huy,,male,Giám Đốc,bienthuykd@gmail.com,https://www.yellowpages.vn/lgs/1187704296/bao-ho-bao-thinh-phat-cong-ty-tnhh-sx-tm-dv-bao-thinh-phat.html
Bảo Hộ Lao Động Việt Nam SafeViet - Công Ty Cổ Phần Khoa Học Kỹ Thuật Bảo Hộ Lao Động Việt Nam,"Số 30 Phố Cầu Bây, Phường Sài Đồng, Quận Long Biên,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.safeviet.com,'0913740466__0903254388__02436419962',Ông Hoàng Vũ,,male,Giám Đốc,vietnam@bhld.com.vn,https://www.yellowpages.vn/lgs/119297469/bao-ho-lao-dong-viet-nam-safeviet-cong-ty-co-phan-khoa-hoc-ky-thuat-bao-ho-lao-dong-viet-nam.html
An Toàn Lao Động Phú Thành - Công Ty TNHH An Toàn Lao Động Phú Thành,"901 Hồng Bàng, P. 9, Q. 6,","Gờ Giảm Tốc__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Biển Báo An Toàn__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Quần áo Bảo Hộ Lao Động__An Toàn Giao Thông - Trang Thiết bị An Toàn Giao Thông__Bảo Hộ Lao Động__Biển Báo Giao Thông__Bịt Tai Chống ồn, Nút Tai Chống ồn__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Cao Su - Nhà Sản Xuất__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Đèn Exit, Đèn Thoát Hiểm__Khẩu Trang Bảo Hộ Lao Động__Dây Thoát Hiểm, Thang Dây Thoát Hiểm",www.phuthanhsafety.bizz.vn__www.bienbaolaodong.com,'02839608158__0901381113__0909622586',Ms. Trần Thị Ngọc Bích,,female,TP. CSKH,phuthanhsafety@gmail.com,https://www.yellowpages.vn/lgs/1187749461/an-toan-lao-dong-phu-thanh-cong-ty-tnhh-an-toan-lao-dong-phu-thanh.html
