company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Giày Bảo Hộ Tiến Phát - Công Ty TNHH An Toàn Bảo Hộ Lao Động Tiến Phát,"Phòng Số 1, Số 46/38, Đường Số 18, KP. 1, P. Bình Hưng Hòa, Q. Bình Tân,","Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động",www.tienphatsafety.com,'0823069558__0974250558__02862730002',Hotline,X,,,mailieu2013@gmail.com,https://www.yellowpages.vn/lgs/1187812047/giay-bao-ho-tien-phat-cong-ty-tnhh-an-toan-bao-ho-lao-dong-tien-phat.html
Bảo Hộ Lao Động Bắc Ninh - (Công Ty CP KCT Việt Nam),"Số Nhà 556, Đường Nguyễn Trãi, P. Võ Cường, Tp. Bắc Ninh,","Quần áo Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Bình Chữa Cháy (CO2, Bột, Foam)__Băng Keo, Băng Dính__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Khẩu Trang Bảo Hộ Lao Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.kctvietnam.vn__www.bhldbacninh.com,'0942522226__02223606668',Hotline,X,,,sales@kctvn.com,https://www.yellowpages.vn/lgs/1187828685/bao-ho-lao-dong-bac-ninh--cong-ty-cp-kct-viet-nam-.html
Giày Bảo Hộ Lao Động Liên Cơ - Công Ty CP Cơ Khí Sản Xuất - Thương Mại Bảo Hộ Lao Động Liên Cơ,"Số 116, Đường Số 1, P. Tân Kiểng, Q. 7,","Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.giaybaoholaodonglienco.com,'0903714149__02877779968',Mr. Phạm Quang Nhật,,male,,sales@lienco.vn,https://www.yellowpages.vn/lgs/706740/giay-bao-ho-lao-dong-lien-co-cong-ty-cp-co-khi-san-xuat-thuong-mai-bao-ho-lao-dong-lien-co.html
Bảo Hộ Lao Động Nhà Xanh - Công Ty Cổ Phần Đầu Tư Và Phát Triển Xây Dựng Nhà Xanh,"1048 Đường Huỳnh Văn Lũy, P. Phú Mỹ, TP. Thủ Dầu Một,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.nhaxanh.com.vn,'02743515678__0933106187',HOTLINE,X,,,ceo@nhaxanh.com.vn,https://www.yellowpages.vn/lgs/1187763261/bao-ho-lao-dong-nha-xanh-cong-ty-co-phan-dau-tu-va-phat-trien-xay-dung-nha-xanh.html
Thiết Bị Bảo Hộ Nhất Việt - Công Ty TNHH Trang Thiết Bị Bảo Hộ Nhất Việt,"98F/1 Khu Phố 1A, P An Phú, TX Thuận An,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.nhatvietnam.com.vn,'0901847838__02746532185__0975111229',HOTLINE,X,,,baohonhatviet@gmail.com,https://www.yellowpages.vn/lgs/1187779875/thiet-bi-bao-ho-nhat-viet-cong-ty-tnhh-trang-thiet-bi-bao-ho-nhat-viet.html
ủng Bảo Hộ Tứ Gia Phát - Công Ty TNHH Sản Xuất Và Thương Mại Tứ Gia Phát,"95/3A Hòa Bình, P. Hiệp Tân, Q. Tân Phú,","Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.tgpboots.com,'0909040557__02839618630__0913769899',Mr. Hải,,male,Phòng Kinh Doanh,tugiaphat@tgpboots.com,https://www.yellowpages.vn/lgs/1187757270/ung-bao-ho-tu-gia-phat-cong-ty-tnhh-san-xuat-va-thuong-mai-tu-gia-phat.html
Giày Bảo Hộ Lao Động Huy Huy - Công Ty TNHH MTV Thương Mại Huy Huy,"879/20/10/30 Hương Lộ 2, P. Bình Trị Đông A, Q. Bình Tân,","Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Giày Dép, Giày Da - Sản Xuất và Bán Buôn__Bảo Hộ Lao Động",www.apsafety.net,'02822299475__0356173797',Mr. Phát,,male,,kienphat91@gmail.com,https://www.yellowpages.vn/lgs/1187796909/giay-bao-ho-lao-dong-huy-huy-cong-ty-tnhh-mtv-thuong-mai-huy-huy.html
Bảo Hộ Lao Động Vĩnh Xuyên - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Vĩnh Xuyên,"Thôn Phương Chử Đông, X. Trường Thành, H. An Lão,","Thiết Bị An Toàn Ngành Điện__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__An Toàn Sông Nước - Phao, áo phao,..__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Bảo Hộ Công Trình__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.baoholaodongvinhxuyen.com,'02253911858__0905299814',Ông Đặng Đình Thiết,,male,,thietdd@vinhxuyen.vn,https://www.yellowpages.vn/lgs/1187703483/bao-ho-lao-dong-vinh-xuyen-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-vinh-xuyen.html
Bảo Hộ Lao Động Logiaco - Công Ty TNHH Đầu Tư và Phát Triển LOGIACO,"113/14/7 KP. 6, P. Thống Nhất, TP. Biên Hòa,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.logiaco.bizz.vn__www.https://logiaco.com/,'0974089986',Mr. Giang,,male,TP. KD,giang.phan@logiaco.com,https://www.yellowpages.vn/lgs/1187905761/bao-ho-lao-dong-logiaco-cong-ty-tnhh-dau-tu-va-phat-trien-logiaco.html
Bảo Hộ Lao Động Phương Chiến - Công Ty TNHH Phương Chiến,"15/4, Ngõ 628, Hoàng Hoa Thám, Q. Tây Hồ,","Giày Chống Tĩnh Điện, Dép Chống Tĩnh Điện__Phòng sạch - Thiết Bị Phòng Sạch, Thi Công Phòng Sạch__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__Chống Tĩnh Điện (Ghế, Giày, Quần áo, Thảm,.Chống Tĩnh Điện)__Quần áo Chống Tĩnh Điện__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Giày Phòng Sạch__Găng Tay Phòng Sạch__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo Giao Thông__Găng Tay Chống Tĩnh Điện__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Bảo Hộ Lao Động",www.bhldphuongchien.vn,'0913528908__0977320862',Ông Võ Quang Chiến,,male,,bhldphuongchien@gmail.com,https://www.yellowpages.vn/lgs/1187736069/bao-ho-lao-dong-phuong-chien-cong-ty-tnhh-phuong-chien.html
