company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thaco Parts Sản Xuất và Cung ứng Các Loại Găng Tay - Công Ty Cổ Phần Sản Xuất Găng Tay Chu Lai,"KCN Cơ Khí Ô Tô Chu Lai Trường Hải,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.thacoparts.vn,'0914035530',Ms. Thà,,female,Chuyên viên kinh doanh,nguyenthitha@thaco.com.vn,https://www.yellowpages.vn/lgs/1187925951/thaco-parts-san-xuat-va-cung-ung-cac-loai-gang-tay-cong-ty-co-phan-san-xuat-gang-tay-chu-lai.html
Găng Tay Bảo Hộ Phát Thành Nam - Công Ty TNHH MTV SX & TM Phát Thành Nam,"Thôn Môn Nha, Xã Hiển Khánh, Huyện Vụ Bản,",Găng Tay Bảo Hộ Lao Động,www.vailaucongnghiep.bizz.vn,'0862861226',Hotline/ Zalo,,,,,https://www.yellowpages.vn/lgs/1187916396/gang-tay-bao-ho-phat-thanh-nam-cong-ty-tnhh-mtv-sx---tm-phat-thanh-nam.html
Bảo Hộ Đông Giang - Công Ty TNHH MTV SX Và TM Đông Giang Nam Định,"Số 5 Ngọc Hồi, Thanh Trì,","Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__May Gia Công - Dịch Vụ Sản Xuất Theo Đơn Đặt Hàng__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn__Bảo Hộ Lao Động",www.donggiang.bizz.vn,'0862861226',Hotline,X,,,donggiang.022017.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187805639/bao-ho-dong-giang-cong-ty-tnhh-mtv-sx-va-tm-dong-giang-nam-dinh.html
Găng Tay Bảo Hộ Tiến Phát - Công Ty TNHH An Toàn Bảo Hộ Lao Động Tiến Phát,"Phòng Số 1, Số 46/38, Đường Số 18, KP. 1, P. Bình Hưng Hòa, Q. Bình Tân,",Găng Tay Bảo Hộ Lao Động,www.tienphatsafety.com,'0823069558__0974250558__02862730002',Hotline,X,,,mailieu2013@gmail.com,https://www.yellowpages.vn/lgs/1187812035/gang-tay-bao-ho-tien-phat-cong-ty-tnhh-an-toan-bao-ho-lao-dong-tien-phat.html
Găng Tay Thái Quốc Hưng - Công Ty TNHH Một Thành Viên Thái Quốc Hưng,"Tổ 5A, Khu Phố 4, P. Long Bình, Tp. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động",www.thaiquochung.com,'0797131242',Bà Phạm Thị Thanh Sương,,female,,phamsuong@thaiquochung.com,https://www.yellowpages.vn/lgs/1187716413/gang-tay-thai-quoc-hung-cong-ty-tnhh-mot-thanh-vien-thai-quoc-hung.html
Bao Tay Nam Bình - Công Ty TNHH MTV Dịch Vụ Nam Bình,"F12, Cư Xá Công Ty Bê Tông, KP. 10, P. An Bình, Tp. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Bảo Hộ Lao Động",www.baotaynambinh.com,'0912162725__0985585425',Bà Ngô Thị Thơm,,female,Kế toán,thomnambinh@yahoo.com,https://www.yellowpages.vn/lgs/1187806884/bao-tay-nam-binh-cong-ty-tnhh-mtv-dich-vu-nam-binh.html
Găng Tay Kim Long - Công Ty TNHH Một Thành Viên Găng Tay Kim Long,"Số 299, Tổ 38, KP. 8, P. Long Bình, Tp. Biên Hoà,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.gangtaykimlong.bizz.vn,'0932255568',Trần Thị Thanh Thủy,,,TP. Kinh Doanh,tranthanhthuy9999@gmail.com,https://www.yellowpages.vn/lgs/1187719125/gang-tay-kim-long-cong-ty-tnhh-mot-thanh-vien-gang-tay-kim-long.html
Công Ty TNHH Sản Xuất Và Thương Mại Đại Phát,"Thôn 13, X. Hoa Động, H. Thủy Nguyên,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Thu Mua Vải Vụn, Vải Cây, Vải Khúc,..Vải Tồn Kho__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn__Bảo Hộ Lao Động",www.gangtaydaiphat.bizz.vn,'0981861226__0862861226',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187853786/cong-ty-tnhh-san-xuat-va-thuong-mai-dai-phat.html
An Toàn Lao Động Phú Thành - Công Ty TNHH An Toàn Lao Động Phú Thành,"901 Hồng Bàng, P. 9, Q. 6,","Gờ Giảm Tốc__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Biển Báo An Toàn__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Quần áo Bảo Hộ Lao Động__An Toàn Giao Thông - Trang Thiết bị An Toàn Giao Thông__Bảo Hộ Lao Động__Biển Báo Giao Thông__Bịt Tai Chống ồn, Nút Tai Chống ồn__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Cao Su - Nhà Sản Xuất__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Đèn Exit, Đèn Thoát Hiểm__Khẩu Trang Bảo Hộ Lao Động__Dây Thoát Hiểm, Thang Dây Thoát Hiểm",www.phuthanhsafety.bizz.vn__www.bienbaolaodong.com,'02839608158__0901381113__0909622586',Ms. Trần Thị Ngọc Bích,,female,TP. CSKH,phuthanhsafety@gmail.com,https://www.yellowpages.vn/lgs/1187749461/an-toan-lao-dong-phu-thanh-cong-ty-tnhh-an-toan-lao-dong-phu-thanh.html
Găng Tay Long Thiên Ngân - Công Ty TNHH MTV Long Thiên Ngân,"17/4 KP6, P. Tân Mai, TP. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Cao Su - Nhà Sản Xuất__Găng Tay Bảo Hộ Lao Động",www.longthienngan.net,'0948637383__0912813823',Ms. Nguyễn Thị Tân,,female,,tanhongtan@gmail.com,https://www.yellowpages.vn/lgs/1187880234/gang-tay-long-thien-ngan-cong-ty-tnhh-mtv-long-thien-ngan.html
