company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Găng Tay Thái Quốc Hưng - Công Ty TNHH Một Thành Viên Thái Quốc Hưng,"Tổ 5A, Khu Phố 4, P. Long Bình, Tp. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động",www.thaiquochung.com,'0797131242',Bà Phạm Thị Thanh Sương,,female,,phamsuong@thaiquochung.com,https://www.yellowpages.vn/lgs/1187716413/gang-tay-thai-quoc-hung-cong-ty-tnhh-mot-thanh-vien-thai-quoc-hung.html
Găng Tay Kim Long - Công Ty TNHH Một Thành Viên Găng Tay Kim Long,"Số 299, Tổ 38, KP. 8, P. Long Bình, Tp. Biên Hoà,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.gangtaykimlong.bizz.vn,'0932255568',Trần Thị Thanh Thủy,,,TP. Kinh Doanh,tranthanhthuy9999@gmail.com,https://www.yellowpages.vn/lgs/1187719125/gang-tay-kim-long-cong-ty-tnhh-mot-thanh-vien-gang-tay-kim-long.html
Găng Tay Công Nghiệp LAMGROUP.VN - Công Ty TNHH LAMGROUP.VN,"B1/20N Liên ấp 2-6, X. Vĩnh Lộc A, H. Bình Chánh,","Găng Tay Y Tế - Sản Xuất Và Kinh Doanh__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Găng Tay Nilon, Găng Tay Xốp - Sản Xuất và Kinh Doanh__Găng Tay Cao Su - Nhà Sản Xuất__Bảo Hộ Lao Động",www.gangtaylamgroup.vn__www.lamgroup.vn,'0962143312',Ms Linh,,female,,gangtaylamgroup.vn@gmail.com,https://www.yellowpages.vn/lgs/1187928789/gang-tay-cong-nghiep-lamgroup.vn-cong-ty-tnhh-lamgroup.vn.html
Bảo Hộ Đông Giang - Công Ty TNHH MTV SX Và TM Đông Giang Nam Định,"Số 5 Ngọc Hồi, Thanh Trì,","Quần áo Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__May Gia Công - Dịch Vụ Sản Xuất Theo Đơn Đặt Hàng__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn__Bảo Hộ Lao Động",www.donggiang.bizz.vn,'0862861226',Hotline,X,,,donggiang.022017.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187805639/bao-ho-dong-giang-cong-ty-tnhh-mtv-sx-va-tm-dong-giang-nam-dinh.html
Găng Tay Bảo Hộ Đăng Triều Phát - Công Ty TNHH Đăng Triều Phát,"Thửa Đất Số 172, Tờ Bản Đồ Số 11, X. Hội Nghĩa, TX. Tân Uyên,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động",www.gangtaycongnghiep.bizz.vn,'0385506222__0392011567',Ms. Quy,,female,Quản Lý,anhvu31504@yahoo.com,https://www.yellowpages.vn/lgs/1187806998/gang-tay-bao-ho-dang-trieu-phat-cong-ty-tnhh-dang-trieu-phat.html
Găng Tay Tú Anh Bảo - Công Ty TNHH MTV Tú Anh Bảo,"326 Tổ 8, KP. 5A, P. Long Bình, TP. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.gangtaybaohotab.bizz.vn,'0913656766__0967856766',Bà Nguyễn Thị Ngọc Anh,,female,Giám Đốc,gangtaybaohotab@gmail.com,https://www.yellowpages.vn/lgs/1187785134/gang-tay-tu-anh-bao-cong-ty-tnhh-mtv-tu-anh-bao.html
Bao Tay Nam Bình - Công Ty TNHH MTV Dịch Vụ Nam Bình,"F12, Cư Xá Công Ty Bê Tông, KP. 10, P. An Bình, Tp. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Bảo Hộ Lao Động",www.baotaynambinh.com,'0912162725__0985585425',Bà Ngô Thị Thơm,,female,Kế toán,thomnambinh@yahoo.com,https://www.yellowpages.vn/lgs/1187806884/bao-tay-nam-binh-cong-ty-tnhh-mtv-dich-vu-nam-binh.html
Găng Tay Thành Lâm Anh - Công Ty TNHH Thành Lâm Anh,"Số 266 Đường Bùi Văn Hòa, P. An Bình, TP. Biên Hoà,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Phòng Sạch__Găng Tay Bảo Hộ Lao Động__Găng Tay Chống Tĩnh Điện__Găng Tay Cao Su - Nhà Sản Xuất",www.baotaycongnghiep.com__www.youtube.com/watch?v=sm8qBO03nWQ,'0968203564',Ms. Diệp,,female,,baotaycongnghiep@gmail.com,https://www.yellowpages.vn/lgs/1187848050/gang-tay-thanh-lam-anh-cong-ty-tnhh-thanh-lam-anh.html
Công Ty TNHH Sản Xuất Và Thương Mại Đại Phát,"Thôn 13, X. Hoa Động, H. Thủy Nguyên,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Thu Mua Vải Vụn, Vải Cây, Vải Khúc,..Vải Tồn Kho__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn__Bảo Hộ Lao Động",www.gangtaydaiphat.bizz.vn,'0981861226__0862861226',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187853786/cong-ty-tnhh-san-xuat-va-thuong-mai-dai-phat.html
Găng Tay Công Nghiệp Daison - Công Ty TNHH Daison,"Lô PC, B38, Khu Tái Định Cư Phú Chánh, P. Hòa Phú, TP. Thủ Dầu Một,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động",www.daison.bizz.vn,'0917627818',Mr. Trương Phú Phát,,male,,truongphuphat177168@gmai.com,https://www.yellowpages.vn/lgs/1187852421/gang-tay-cong-nghiep-daison-cong-ty-tnhh-daison.html
Cơ Sở Sản Xuất Bao Tay Bảo Hộ Lao Động Luận Lợi,"X. Xuân Thới Thượng, H. Hóc Môn,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Phòng Sạch__Vải Vụn, Giẻ Lau Máy",www.luanloigloves.com,'0942420555',Mr. Luận,,male,,Kimnhan95@gmail.com,https://www.yellowpages.vn/lgs/1187800203/co-so-san-xuat-bao-tay-bao-ho-lao-dong-luan-loi.html
Găng Tay Việt Huy Thái - Công Ty TNHH MTV Việt Huy Thái,"254/4 KP2, P.Tân Biên, Tp. Biên Hòa,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Bảo Hộ Lao Động",www.baohoviethuythai.bizz.vn,'02513882496__0988831683',Bà Lê Thị Thái,,female,,viethuythai88@gmail.com,https://www.yellowpages.vn/lgs/1187794008/gang-tay-viet-huy-thai-cong-ty-tnhh-mtv-viet-huy-thai.html
Găng Tay Long Doanh - Công Ty TNHH SX-DV-TM-XNK Long Doanh,"90/8E, Ấp 4, X. Xuân Thới Sơn, H. Hóc Môn,","Phụ Kiện Thời Trang__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Găng Tay Thời Trang, Giữ ấm__Khẩu Trang Bảo Hộ Lao Động__Túi Xách Thời Trang - Sản Xuất Và Kinh Doanh",www.lungying-gloves.com__www.longdoanhglove.bizz.vn,'02837183876__0903001605',Bà Trần Mỹ Linh,,female,Giám Đốc,mlinhtrn165@yahoo.com,https://www.yellowpages.vn/lgs/1066014/gang-tay-long-doanh-cong-ty-tnhh-sx-dv-tm-xnk-long-doanh.html
Găng Tay Hưng Dũng - Công Ty TNHH Sản Xuất Găng Tay Hưng Dũng,"Thôn Nội Ninh, X. Ninh Sơn, H. Việt Yên,","Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Phòng Sạch__Găng Tay Bảo Hộ Lao Động__Găng Tay Chống Tĩnh Điện",www.gangtayhungdung.com,'0363820318__0386688698',Ms. Lý,,female,,chuly231091@gmail.com,https://www.yellowpages.vn/lgs/1187850384/gang-tay-hung-dung-cong-ty-tnhh-san-xuat-gang-tay-hung-dung.html
Găng Tay Ho-Hsiang - Công Ty TNHH Công Nghiệp Ho-Hsiang,"KCN Hố Nai, Hố Nai 3,  H. Trảng Bom,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Chống Tĩnh Điện__Găng Tay Bảo Hộ Lao Động",www.ho-hsiang.com,'02513671668__0909773117',Bà Đinh Thị Ngọc Liên,,female,TP. Kinh Doanh,vnhohsiang@vnn.vn,https://www.yellowpages.vn/lgs/1187721291/gang-tay-ho-hsiang-cong-ty-tnhh-cong-nghiep-ho-hsiang.html
Công Ty TNHH Công Nghiệp Pure Rich Việt Nam,"VP1: Tổ 4, TT. Quang Minh, H. Mê Linh, Hà Nội","Bao Bì Nhựa__In ấn - Máy Móc và Thiết Bị In ấn__Cồn Công Nghiệp__Dây Đai Nhựa__Hạt Chống ẩm, Túi Chống ẩm__Vật Liệu Đóng Gói__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Băng Keo, Băng Dính__Dây Đai Niềng Thùng__Vải Vụn, Giẻ Lau Máy__In ấn - Vật Tư Ngành In ấn__Bảo Hộ Lao Động",www.purerich.bizz.vn__www.vattubaobigiare.com,'0989767196__0964198434',Ms. Quỳnh,,female,Sales,purerichvn@gmail.com,https://www.yellowpages.vn/lgs/1187819748/cong-ty-tnhh-cong-nghiep-pure-rich-viet-nam.html
