company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Khẩu Trang ECOMMED - Công Ty Cổ Phần Y Tế ECOMMED,"95B-97-99 Trần Hưng Đạo, Quận 1,",Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Y Tế - Sản Xuất Và Bán Buôn,www.ecommed.vn/khau-trang-y-te/,'0918293909__02873007866',Ms. Phạm Phương Anh,,female,Giám đốc Marketing,sales@ecommed.vn,https://www.yellowpages.vn/lgs/1187908878/khau-trang-ecommed-cong-ty-co-phan-y-te-ecommed.html
Khẩu Trang Nam Việt Toàn Cầu - Công Ty TNHH Nam Việt Toàn Cầu,"Số 28, Ngõ 75, Đường Hồng Hà, P. Phúc Xá, Q. Ba Đình,","Khẩu Trang Bảo Hộ Lao Động__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.namviettex.com,'0903485585',Mr. Nguyễn Xuân Trường,,male,,namviettoancaultd@gmail.com,https://www.yellowpages.vn/lgs/1187914038/khau-trang-nam-viet-toan-cau-cong-ty-tnhh-nam-viet-toan-cau.html
Chi Nhánh Bình Phước - Công Ty Cổ Phần Đầu Tư Và Phát Triển Xây Dựng Nhà Xanh,"Tỉnh Bình Phước,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.nhaxanh.com.vn,'0933106187',HOTLINE,X,,,,https://www.yellowpages.vn/lgs/1187917116/chi-nhanh-binh-phuoc-cong-ty-co-phan-dau-tu-va-phat-trien-xay-dung-nha-xanh.html
Bảo Hộ Lao Động Lộc An - Công Ty TNHH Sản Xuất - Thương Mại - Dịch Vụ - Bảo Hộ Lao Động Lộc An,"116 Dương Văn Dương, P. Tân Quý, Q. Tân Phú,","Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.baoholaodongvn.com,'02866766167__0908895897',Mr. An,,male,,infobaoholaodongvn.com,https://www.yellowpages.vn/lgs/1187810601/bao-ho-lao-dong-loc-an-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-bao-ho-lao-dong-loc-an.html
Bảo Hộ Lao Động An Bảo - Công Ty Cổ Phần Sản Xuất Thương Mại Dịch Vụ An Bảo,"365-367 Tôn Đức Thắng, Q. Liên Chiểu,","Thiết Bị An Toàn Ngành Điện__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.anbaoco.com.vn,'0905303488__02363738595__02363739944',Ms. Phan Thị Hà Nam,,female,Phó Giám Đốc,anbao@anbaoco.com.vn,https://www.yellowpages.vn/lgs/119289591/bao-ho-lao-dong-an-bao-cong-ty-co-phan-san-xuat-thuong-mai-dich-vu-an-bao.html
Khẩu Trang Minh Tiến Sài Gòn - Công Ty TNHH Sản Xuất Thương Mại Minh Tiến Sài Gòn,"187/10 Đường Số 1, Phường 11, Quận Gò Vấp,","Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.minhtiensaigon.com.vn,'02839969919__0906849456',Ông Trần Văn Hùng,,male,,mitimask@gmail.com,https://www.yellowpages.vn/lgs/1187793990/khau-trang-minh-tien-sai-gon-cong-ty-tnhh-san-xuat-thuong-mai-minh-tien-sai-gon.html
Bảo Hộ Lao Động Việt Nam SafeViet - Công Ty Cổ Phần Khoa Học Kỹ Thuật Bảo Hộ Lao Động Việt Nam,"Số 30 Phố Cầu Bây, Phường Sài Đồng, Quận Long Biên,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Găng Tay Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.safeviet.com,'0913740466__0903254388__02436419962',Ông Hoàng Vũ,,male,Giám Đốc,vietnam@bhld.com.vn,https://www.yellowpages.vn/lgs/119297469/bao-ho-lao-dong-viet-nam-safeviet-cong-ty-co-phan-khoa-hoc-ky-thuat-bao-ho-lao-dong-viet-nam.html
Đồ Bảo Hộ Đất Việt  -  Công Ty TNHH Thương Mại Và Dịch Vụ Kỹ Thuật Đất Việt,"Số 42Bis, Đường 30/4, Phường 9, TP.Vũng Tàu,","Bịt Tai Chống ồn, Nút Tai Chống ồn__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm",www.datvietco.com,'02543577447__0933808062',Mr Dương,,male,,datviet@datvietco.com,https://www.yellowpages.vn/lgs/1187793795/do-bao-ho-dat-viet---cong-ty-tnhh-thuong-mai-va-dich-vu-ky-thuat-dat-viet.html
Bảo Hộ Lao Động Đạt Phát - Công Ty TNHH Thiết Bị Bảo Hộ Lao Động & Thương Mại Đạt Phát,": Số 281 Lê Duẩn, Q. Hai Bà Trưng,","Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.thietbibhlddatphat.com,'02439411035__0904500183',Bà Nguyễn Thị Hoa,,female,,thangbhld@gmail.com,https://www.yellowpages.vn/lgs/1187719611/bao-ho-lao-dong-dat-phat-cong-ty-tnhh-thiet-bi-bao-ho-lao-dong---thuong-mai-dat-phat.html
Chi nhánh Đồng Nai - Công Ty TNHH Quốc Tế UNI-PRO Việt Nam,"Số 282, Ngõ 9, KP. 2, P. Trảng Dài, TP. Biên Hòa,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.uni.pro.vn,'0969769968__02836203575',Mr. Lucas,,male,,info@uni.pro.vn,https://www.yellowpages.vn/lgs/1187860068/chi-nhanh-dong-nai-cong-ty-tnhh-quoc-te-uni-pro-viet-nam.html
