company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Khẩu Trang Nam Việt Toàn Cầu - Công Ty TNHH Nam Việt Toàn Cầu,"Số 28, Ngõ 75, Đường Hồng Hà, P. Phúc Xá, Q. Ba Đình,","Khẩu Trang Bảo Hộ Lao Động__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.namviettex.com,'0903485585',Mr. Nguyễn Xuân Trường,,male,,namviettoancaultd@gmail.com,https://www.yellowpages.vn/lgs/1187914038/khau-trang-nam-viet-toan-cau-cong-ty-tnhh-nam-viet-toan-cau.html
Khẩu Trang Kháng Khuẩn Thu Hương - Công Ty TNHH SXTM Thiết Kế May Thêu Thu Hương,"Số 7, Đường Út Tịch, P. 4, Q. Tân Bình,","Khẩu Trang Y Tế - Sản Xuất Và Bán Buôn__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.thuhuongfashion.com,'0908447753',Ms. Hương,,female,,thuhuongfashion@gmail.com,https://www.yellowpages.vn/lgs/1187899644/khau-trang-khang-khuan-thu-huong-cong-ty-tnhh-sxtm-thiet-ke-may-theu-thu-huong.html
Khẩu Trang Vải Kháng Khuẩn - Công Ty TNHH May Cần Mẫn,"1028/14 Tân Kỳ Tân Quý, P. Bình Hưng Hòa, Q. Bình Tân,","Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.canmangarment.com,'0909303579',Ông Nguyễn Đắc Chín,,male,,nguyendacchin@yahoo.com,https://www.yellowpages.vn/lgs/1187896587/khau-trang-vai-khang-khuan-cong-ty-tnhh-may-can-man.html
Dony Garment Company Limited,"142/4 Bàu Cát 2, P.12, Q. Tân Bình,","Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.garment.dony.vn,'0934003179',Hotline,X,,,exportmask@dony.vn,https://www.yellowpages.vn/lgs/1187899554/dony-garment-company-limited.html
Khẩu Trang Vải Hoàng Hà - Công Ty TNHH Dệt May Thêu Hoàng Hà,"K31 Khu Camellia Đường Nguyễn Văn Linh, Ấp 3, X. Bình Hưng, H. Bình Chánh,","Khẩu Trang Y Tế - Sản Xuất Và Bán Buôn__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.hoangha-bag-apparel.com,'0903801830',Bùi Ngọc Hải,,,,bnhaihb@gmail.com,https://www.yellowpages.vn/lgs/1187908212/khau-trang-vai-hoang-ha-cong-ty-tnhh-det-may-theu-hoang-ha.html
Khẩu Trang Vải Gold Garment - Công ty Gold Garment Việt Nam,"369 / 9a Nguyễn Thái Bình, P. 12, Q. Tân Bình,","Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.clothmask.goldgarment.vn,'0968911888',Hotline,X,,,contact@goldgarment.com,https://www.yellowpages.vn/lgs/1187902992/khau-trang-vai-gold-garment-cong-ty-gold-garment-viet-nam.html
Asia Mask - Công Ty TNHH Thiết Bị An Toàn Bảo Hộ á Châu,"76 Đường Số 6, P. Bình Hưng Hòa A, Q. Bình Tân,","Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.asiamask.asia__www.asiasafevn.com,'0983777543__0914162804__02862747656',Ông Nguyễn Văn Hiệu,,male,Giám Đốc,asiasafe@gmail.com,https://www.yellowpages.vn/lgs/1187910195/asia-mask-cong-ty-tnhh-thiet-bi-an-toan-bao-ho-a-chau.html
Khẩu Trang Cosy,"354/39 quốc lộ 1A, Phường Bình hưng hòa B, Quận Bình tân, TP Hồ Chí Minh","Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.facebook.com/khautrangcosy__www.Xuongmaycosy.com,'0901359099',Ông Lê Văn Chiến,,male,,khautrangcosy@gmail.com,https://www.yellowpages.vn/lgs/1187799312/khau-trang-cosy.html
Khẩu Trang Khuyến Anh - Công Ty TNHH May Mặc Khuyến Anh,"Thôn Phúc Lai, X. Xuân Lai, H. Gia Bình,","Khẩu Trang Y Tế - Sản Xuất Và Bán Buôn__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.khautrangkhuyenanh.bizz.vn,'0379113735',Mr. Tý,X,male,Hotline,tynguyenvanty6@gmail.com,https://www.yellowpages.vn/lgs/1187809209/khau-trang-khuyen-anh-cong-ty-tnhh-may-mac-khuyen-anh.html
Khẩu Trang An Vinh - Công Ty TNHH Công Nghệ Ứng Dụng An Vinh," Số 57, Ngõ 6 Đặng Văn Ngữ, Đống Đa,","Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Khẩu Trang - Nguyên Liệu Sản Xuất (Vải Kháng Khuẩn, Thun Dẹp, Nẹp Mũi,..)__Khẩu Trang Y Tế - Sản Xuất Và Bán Buôn__Khẩu Trang Bảo Hộ Lao Động__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",www.anvinh.com.vn,'0983665576__02422163001',Ông Trịnh Quốc Đạt,,male,Giám Đốc,dattrinh6974@gmail.com,https://www.yellowpages.vn/lgs/119333256/khau-trang-an-vinh-cong-ty-tnhh-cong-nghe-ung-dung-an-vinh.html
