company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
May Mặc TISO - Công Ty TNHH TISO,"17/45 Tam Bình, KP. 7, P. Hiệp Bình Chánh, Q. Thủ Đức,","May Mặc - Các Công Ty May Mặc__Đồng Phục Sơ Mi, Đồng Phục áo Sơ Mi__May Xuất Khẩu - Dịch Vụ Sản Xuất và Gia Công (Theo đơn đặt hàng)__May Mặc - Quần áo Thời Trang__áo Khoác, áo Gió - Sản Xuất Và Bán Buôn__May Đồng Phục - Công Ty May Đồng Phục__áo Phông, áo Thun - Sản Xuất Và Bán Buôn",www.Thoitrangtiso.com,'0933985871',Hotline,X,,,congpattern@gmail.com,https://www.yellowpages.vn/lgs/1187913006/may-mac-tiso-cong-ty-tnhh-tiso.html
May Mặc Trường Phi - Công Ty TNHH Thời Trang Trường Phi,"Số 122 Ngõ 13 Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai,","May Mặc - Các Công Ty May Mặc__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__May Đồng Phục - Công Ty May Đồng Phục__áo Phông, áo Thun - Sản Xuất Và Bán Buôn",www.dongphuctruongphi.com,'0865325929',Mr. Lê Xuân Trường,,male,Giám Đốc,contact@dongphuctruongphi.com,https://www.yellowpages.vn/lgs/1187928903/may-mac-truong-phi-cong-ty-tnhh-thoi-trang-truong-phi.html
May Đồng Phục Mẫu Lạ - Công Ty May Đồng Phục Mẫu Lạ,"Số 97, Đường Số 10, P. 15, Q. Gò Vấp,","May Mặc - Các Công Ty May Mặc__Đồng Phục Nhà Hàng, Khách Sạn (áo, Nón Bếp, Tạp Dề, Đồng Phục Buồng Phòng,.)__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__Comple, Veston__May Đồng Phục - Công Ty May Đồng Phục",www.maula.vn,'0972123018__0972871518__0938545707',Mr. Nghĩa,,male,,nguyethey@gmail.com,https://www.yellowpages.vn/lgs/1187924328/may-dong-phuc-mau-la-cong-ty-may-dong-phuc-mau-la.html
May Mặc Vĩnh Tài - Công Ty TNHH Sản Xuất & Thương Mại Vĩnh Tài,"351/7 Lê Văn Sỹ, P. 13, Q. 3,",May Xuất Khẩu - Dịch Vụ Sản Xuất và Gia Công (Theo đơn đặt hàng)__May Mặc - Các Công Ty May Mặc__May Mặc - Thời Trang Nữ__May Mặc - Quần áo Thời Trang,www.vinhtai.vn,'0903373811__02836364359',Hotline,X,,,kinhdoanh@vinhtai.vn,https://www.yellowpages.vn/lgs/1187817789/may-mac-vinh-tai-cong-ty-tnhh-san-xuat---thuong-mai-vinh-tai.html
Đại Lý Việt Tiến Chính Thức tại Tp.HCM - ,"818 Cách Mạng Tháng Tám, P. 5, Q. Tân Bình,","Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__May Mặc - Các Công Ty May Mặc__May Sẵn - Quần Kaki, Quần Jean__May Mặc - Quần áo Thời Trang",www.dailyviettien.com.vn,'0908039206__0907790061',Hotline,X,,,dailyviettien@gmail.com,https://www.yellowpages.vn/lgs/1187860179/dai-ly-viet-tien-chinh-thuc-tai-tp.hcm-<br>cong-ty-tnhh-thoi-trang-tam-nhin-moi.html
May Mặc TT GLOBAL - Công Ty TNHH TT GLOBAL,"431A Hoàng Văn Thụ, P. 4, Q. Tân Bình,","May Mặc - Các Công Ty May Mặc__Mũ Lưỡi Trai, Nón Lưỡi Trai__May Xuất Khẩu -  Công Ty May Quần áo Xuất Khẩu__May Mặc - Quần áo Thời Trang__Nón, Mũ - Sản Xuất và Bán Buôn__áo Phông, áo Thun - Sản Xuất Và Bán Buôn__Khẩu Trang Vải, Khẩu Trang Than Hoạt Tính - Sản Xuất và Bán Buôn",,'0988866306__0929999333',Mr. Nguyễn Văn Thông,,male,Giám Đốc,thongnguyen09888@gmail.com,https://www.yellowpages.vn/lgs/1187906145/may-mac-tt-global-cong-ty-tnhh-tt-global.html
May Mặc Dony - Công Ty TNHH May Mặc Dony,"142/4 Bàu Cát 2, P.12, Q. Tân Bình",May Mặc - Các Công Ty May Mặc,www.dony.vn,'02862675818',Hotline,X,,,info@dony.vn,https://www.yellowpages.vn/lgs/1187834433/may-mac-dony-cong-ty-tnhh-may-mac-dony.html
Xưởng May Jeans Thuận Hải," 7 Đường 24, Linh Đông, Thủ Đức,","May Gia Công - Dịch Vụ Sản Xuất Theo Đơn Đặt Hàng__May Xuất Khẩu - Dịch Vụ Sản Xuất và Gia Công (Theo đơn đặt hàng)__May Mặc - Các Công Ty May Mặc__May Sẵn - Quần Kaki, Quần Jean",www.jeanthuanhai.com,'0976845374',Hotline/ Zalo,,,,jeanthuanhai@gmail.com,https://www.yellowpages.vn/lgs/1187860830/xuong-may-jeans-thuan-hai.html
May Mặc VOLCAMOD - Công Ty Cổ Phần VOLCAMOD,"Số 12, Ngõ 62 Nguyễn Công Hoan, P. Bắc Lý, TP. Đồng Hới,","May Mặc - Các Công Ty May Mặc__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__May Xuất Khẩu - Dịch Vụ Sản Xuất và Gia Công (Theo đơn đặt hàng)__May Mặc - Quần áo Thời Trang__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__May Gia Công - Dịch Vụ Sản Xuất Theo Đơn Đặt Hàng__Quần áo Trẻ Em - Sản Xuất và Bán Buôn Quần áo Trẻ Em__May Đồng Phục - Công Ty May Đồng Phục__áo Phông, áo Thun - Sản Xuất Và Bán Buôn",www.volcamod.com,'0911365239',Ms. Lê Thị Thu Huệ,,female,,bella.le@volcamod.com,https://www.yellowpages.vn/lgs/1187888607/may-mac-volcamod-cong-ty-co-phan-volcamod.html
May Mặc Bảo Nguyệt Safety - Công Ty TNHH Bảo Nguyệt Safety,"Số 52/41/10B Đường Số 8, Phường Bình Hưng Hòa, Quận Bình Tân,","Quần áo Bảo Hộ Lao Động__May Mặc - Các Công Ty May Mặc__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục",www.baoholaodong.bizz.vn,'0937542514',Mr Bảo,,male,,tranbao1986@yahoo.com,https://www.yellowpages.vn/lgs/1187850057/may-mac-bao-nguyet-safety-cong-ty-tnhh-bao-nguyet-safety.html
