company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Mũ Nón Bảo Hộ Tiến Phát - Công Ty TNHH An Toàn Bảo Hộ Lao Động Tiến Phát,"Phòng Số 1, Số 46/38, Đường Số 18, KP. 1, P. Bình Hưng Hòa, Q. Bình Tân,","Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động",www.tienphatsafety.com,'0823069558__0974250558__02862730002',Hotline,X,,,mailieu2013@gmail.com,https://www.yellowpages.vn/lgs/1187812050/mu-non-bao-ho-tien-phat-cong-ty-tnhh-an-toan-bao-ho-lao-dong-tien-phat.html
Bảo Hộ Lao Động An Bảo - Công Ty Cổ Phần Sản Xuất Thương Mại Dịch Vụ An Bảo,"365-367 Tôn Đức Thắng, Q. Liên Chiểu,","Thiết Bị An Toàn Ngành Điện__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.anbaoco.com.vn,'0905303488__02363738595__02363739944',Ms. Phan Thị Hà Nam,,female,Phó Giám Đốc,anbao@anbaoco.com.vn,https://www.yellowpages.vn/lgs/119289591/bao-ho-lao-dong-an-bao-cong-ty-co-phan-san-xuat-thuong-mai-dich-vu-an-bao.html
Bảo Hộ Lao Động Logiaco - Công Ty TNHH Đầu Tư và Phát Triển LOGIACO,"113/14/7 KP. 6, P. Thống Nhất, TP. Biên Hòa,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.logiaco.bizz.vn__www.https://logiaco.com/,'0974089986',Mr. Giang,,male,TP. KD,giang.phan@logiaco.com,https://www.yellowpages.vn/lgs/1187905761/bao-ho-lao-dong-logiaco-cong-ty-tnhh-dau-tu-va-phat-trien-logiaco.html
Bảo Hộ Lao Động - Siêu Thị Bảo Hộ Lao Động Bảo Ngọc,"445 Phan Bội Châu, TP. Tam Kỳ,","Quần áo Bảo Hộ Lao Động__Màng PE, Màng Chít - Nhà Sản Xuất__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Băng Dính Dán Nền, Băng Keo Cảnh Báo__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Thùng Rác__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.bhldbaongoc.bizz.vn,'0934999308',Bà Cao Thị Hòa Sương,,female,Chủ cửa hàng,caothihoasuong2312@gmail.com,https://www.yellowpages.vn/lgs/1187865273/bao-ho-lao-dong-sieu-thi-bao-ho-lao-dong-bao-ngoc.html
BEIBEI SAFETY - Công Ty TNHH BEIBEI SAFETY,"Lô C1-2-2, KCN Đại Đăng, P. Phú Tân, TP. Thủ Dầu Một,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.beibeisafety.com,'0908912607__02743896088__02743896089',Hotline,X,,,sales1-vn@beibeisafety.com.tw,https://www.yellowpages.vn/lgs/1187888988/beibei-safety-cong-ty-tnhh-beibei-safety.html
Bảo Hộ Lao Động Việt Nam SafeViet - Công Ty Cổ Phần Khoa Học Kỹ Thuật Bảo Hộ Lao Động Việt Nam,"Số 30 Phố Cầu Bây, Phường Sài Đồng, Quận Long Biên,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Găng Tay Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.safeviet.com,'0913740466__0903254388__02436419962',Ông Hoàng Vũ,,male,Giám Đốc,vietnam@bhld.com.vn,https://www.yellowpages.vn/lgs/119297469/bao-ho-lao-dong-viet-nam-safeviet-cong-ty-co-phan-khoa-hoc-ky-thuat-bao-ho-lao-dong-viet-nam.html
Bảo Hộ Lao Động Vĩnh Xuyên - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Vĩnh Xuyên,"Thôn Phương Chử Đông, X. Trường Thành, H. An Lão,","Thiết Bị An Toàn Ngành Điện__Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__An Toàn Sông Nước - Phao, áo phao,..__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Bảo Hộ Công Trình__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.baoholaodongvinhxuyen.com,'02253911858__0905299814',Ông Đặng Đình Thiết,,male,,thietdd@vinhxuyen.vn,https://www.yellowpages.vn/lgs/1187703483/bao-ho-lao-dong-vinh-xuyen-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-vinh-xuyen.html
Bảo Hộ Lao Động Nam Sơn - Công Ty TNHH Bảo Hộ Lao Động Nam Sơn,"62/37 KP. 10, P. An Bình, TP. Biên Hòa,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Thùng Rác__May Đồng Phục - Công Ty May Đồng Phục__Bảo Hộ Lao Động",www.baohonamson.vn,'0816061512__0938631534__0976146554',Mr. Thành,,male,,quangthanh.namson@gmail.com,https://www.yellowpages.vn/lgs/1187793108/bao-ho-lao-dong-nam-son-cong-ty-tnhh-bao-ho-lao-dong-nam-son.html
Công Ty TNHH Thương Mại Phương Anh Vina,"Đông Côi, Thị Trấn Hồ, H. Thuận Thành,","Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Phòng Sạch__Găng Tay Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Thu Mua Vải Vụn, Vải Cây, Vải Khúc,..Vải Tồn Kho__Vật Tư Phòng Sạch (Vải Lau, Thảm Dính Bụi,..Phòng Sạch)__Bảo Hộ Lao Động",www.phuonganhvina99.bizz.vn,'0989566583__0984153095',HOTLINE,X,,,doanhnghiepphuonganh99@gmail.com,https://www.yellowpages.vn/lgs/1187769297/cong-ty-tnhh-thuong-mai-phuong-anh-vina.html
Bảo Hộ Lao Động Bắc Ninh - (Công Ty CP KCT Việt Nam),"Số Nhà 556, Đường Nguyễn Trãi, P. Võ Cường, Tp. Bắc Ninh,","Quần áo Bảo Hộ Lao Động__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Bình Chữa Cháy (CO2, Bột, Foam)__Băng Keo, Băng Dính__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Vải Vụn, Giẻ Lau Máy__Khẩu Trang Bảo Hộ Lao Động__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.kctvietnam.vn__www.bhldbacninh.com,'0942522226__02223606668',Hotline,X,,,sales@kctvn.com,https://www.yellowpages.vn/lgs/1187828685/bao-ho-lao-dong-bac-ninh--cong-ty-cp-kct-viet-nam-.html
