company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bảo Hộ Lao Động Bảo Châu - Công Ty TNHH Đầu Tư Thương Mại Bảo Châu,"526 Quang Trung, P. La Khê, Q. Hà Đông,","Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.vienthongbaochau.com.vn__www.bhldbaochau.com,'0965883266__02485886899__0968652588',Mr. Thắng,,male,,baochau6899@gmail.com,https://www.yellowpages.vn/lgs/1187917293/bao-ho-lao-dong-bao-chau-cong-ty-tnhh-dau-tu-thuong-mai-bao-chau.html
Đồng Phục Âu Dương Phát - Công Ty TNHH Âu Dương Phát,"Thửa Đất Số 1029, Tờ Bản Đồ Số 45, KP. Khánh Lộc, P. Khánh Bình, TX. Tân Uyên,","Quần áo Bảo Hộ Lao Động__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Khăn Bông - Sản Xuất và Bán Buôn Khăn Bông__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__May Đồng Phục - Công Ty May Đồng Phục__Bảo Hộ Lao Động",www.auduongphat.com,'0979774298__0969839781__02746556581',Mr. Dương Đức Dũng,,male,,auduongphat.vn@gmail.com,https://www.yellowpages.vn/lgs/1187924679/dong-phuc-au-duong-phat-cong-ty-tnhh-au-duong-phat.html
Quần áo Bảo Hộ Lao Động Phúc Vinh - Công Ty CP Đầu Tư Và Vật Tư Công Nghiệp Phúc Vinh,"Số 908, Nhà 3, KĐT. Việt Hưng, P. Giang Biên, Q. Long Biên,","Quần áo Phòng Sạch, Quần áo Kháng Khuẩn__Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Giày Phòng Sạch__Găng Tay Phòng Sạch__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.baohophucvinh.com__www.phucvinh.com.vn,'02439845077__0915343336',Ông Nguyễn Xuân Huy,X,male,Hotline,,https://www.yellowpages.vn/lgs/1187690007/quan-ao-bao-ho-lao-dong-phuc-vinh-cong-ty-cp-dau-tu-va-vat-tu-cong-nghiep-phuc-vinh.html
Bảo Hộ Lao Động An Tín - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ An Tín,"Số 14 Lê Thánh Tôn, P. Tân An, Q. Ninh Kiều,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.antinbhld.bizz.vn,'0909696980__0918887938__02923817852',Ông Lâm Phước Nguyên,,male,,antinbaoholaodong@gmail.com,https://www.yellowpages.vn/lgs/1187753148/bao-ho-lao-dong-an-tin-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-an-tin.html
Bảo Hộ Lao Động Đông Sơn - Công Ty TNHH May Đồng Phục - Bảo Hộ Lao Động Đông Sơn,"Số 50/2/129 Dương Quảng Hàm, P. 5, Q. Gò Vấp,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.baoholaodongdongson.com,'0917978854__0917708854',Hotline,X,,,mylinh1974@yahoo.com,https://www.yellowpages.vn/lgs/1187786469/bao-ho-lao-dong-dong-son-cong-ty-tnhh-may-dong-phuc-bao-ho-lao-dong-dong-son.html
Quần áo Bảo Hộ Duy Tân - Công Ty TNHH Vật Tư Thiết Bị Duy Tân,"Số 98/45, Tổ 10, KP. Long Khánh 1, P. Tam Phước, TP.  Biên Hoà,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Vật Liệu Đóng Gói__Băng Keo, Băng Dính__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__An Toàn Giao Thông - Trang Thiết bị An Toàn Giao Thông__Bảo Hộ Lao Động",www.vattuthietbiduytan.bizz.vn,'02518836379__0967370682__0988831683',Mr. Tân,,male,Nhân viên,vattuthietbiduytan@gmail.com,https://www.yellowpages.vn/lgs/1187899986/quan-ao-bao-ho-duy-tan-cong-ty-tnhh-vat-tu-thiet-bi-duy-tan.html
Đồng Phục Hà Thành - Công Ty TNHH Đồng Phục Hà Thành,"Số 25, Đường Hồ Mễ Trì, P. Trung Văn, Q. Nam Từ Liêm,","Quần áo Bảo Hộ Lao Động__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Đồng Phục Nhà Hàng, Khách Sạn (áo, Nón Bếp, Tạp Dề, Đồng Phục Buồng Phòng,.)__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__Đồng Phục Công Nhân - May Đồng Phục, áo, Quần áo Công Nhân__May Đồng Phục - Công Ty May Đồng Phục__Đồng Phục Lớp, áo Đồng Phục Lớp",www.mayhathanh.com,'0983705222__0963266828__0825986222',Hotline,X,,,kinhdoanh.mayhathanh@gmail.com,https://www.yellowpages.vn/lgs/1187866911/dong-phuc-ha-thanh-cong-ty-tnhh-dong-phuc-ha-thanh.html
Bảo Hộ Lao Động Nhật Thịnh - Công Ty TNHH Sản Xuất & Thương Mại Nhật Thịnh,"D8/9B Ấp 4 X. Tân Kiên, H. Bình Chánh,","Quần áo Bảo Hộ Lao Động__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Bảo Hộ Lao Động",www.maymacnhatthinh.bizz.vn,'02837594185__0909104953',Ông Nguyễn Văn Phương,,male,,nhatthinhmay@gmail.com,https://www.yellowpages.vn/lgs/1187820636/bao-ho-lao-dong-nhat-thinh-cong-ty-tnhh-san-xuat---thuong-mai-nhat-thinh.html
Bảo Hộ Lao Động Thanh Thủy - Công Ty TNHH Bảo Hộ Lao Động Và Thương Mại Thanh Thủy,"Số 18, Ngõ 677, Tổ 20, Đường Nguyễn Khoái, P. Thanh Trì, Q. Hoàng Mai,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Biển Báo An Toàn__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.bhldthanhthuy.com,'02436364950__0903280685',Hotline,X,,,thanhthuy.safety@gmail.com,https://www.yellowpages.vn/lgs/1187797155/bao-ho-lao-dong-thanh-thuy-cong-ty-tnhh-bao-ho-lao-dong-va-thuong-mai-thanh-thuy.html
Đồng Phục Dũng Hoàng - Công Ty CP Sản Xuất Và Thương Mại Dũng Hoàng,"Số 21, Tổ 9, Thôn Mậu Lương, P. Kiến Hưng, Q. Hà Đông,","Đồng Phục Bảo Vệ (Quần áo Bảo Vệ, áo Bảo Vệ, Quần áo Bảo Vệ May Sẵn)__Quần áo Bảo Hộ Lao Động__Đồng Phục Mầm Non, Mẫu Giáo, Đồng Phục Giáo Viên Mầm Non__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Mũ Lưỡi Trai, Nón Lưỡi Trai__Đồng Phục Nhà Hàng, Khách Sạn (áo, Nón Bếp, Tạp Dề, Đồng Phục Buồng Phòng,.)__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__áo Thun Quảng Cáo, áo Thun Quà Tặng__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__áo Khoác, áo Gió - Sản Xuất Và Bán Buôn__May Đồng Phục - Công Ty May Đồng Phục",www.maydongphuchanoi.net,'0987775192__0982631443',Ms. Nguyễn Thị Hải Yến,,female,Giám đốc,dongphucdunghoang@gmail.com,https://www.yellowpages.vn/lgs/1187867115/dong-phuc-dung-hoang-cong-ty-cp-san-xuat-va-thuong-mai-dung-hoang.html
Công Ty TNHH Quốc Tế UNI-PRO Việt Nam,"205/1A Hoàng Văn Thụ, P. 8, Q. Phú Nhuận,","Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.uni.pro.vn,'0969769968__02836203575',Mr. Lucas,,male,,info@uni.pro.vn,https://www.yellowpages.vn/lgs/1187860008/cong-ty-tnhh-quoc-te-uni-pro-viet-nam.html
Bảo Hộ Bình Minh Anh - Công Ty TNHH Đầu Tư Thương Mại Và Sản Xuất Bình Minh Anh,"Số nhà 17, Ngõ 140, P. Ngọc Thụy, Q. Long Biên,","Quần áo Bảo Hộ Lao Động__May Đồng Phục - Công Ty May Đồng Phục__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Bảo Hộ Lao Động",www.binhminhanh.com,'0975601902',Ms. Nhung,X,female,Hotline,nhungnt.uno@gmail.com,https://www.yellowpages.vn/lgs/1187915577/bao-ho-binh-minh-anh-cong-ty-tnhh-dau-tu-thuong-mai-va-san-xuat-binh-minh-anh.html
Bảo Hộ Lao Động TNT Việt Nam - Công Ty CP Sản Xuất Thương Mại TNT Việt Nam,"Số 119A Phố Phú Viên, P. Bồ Đề, Q. Long Biên,","Quần áo Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__May Đồng Phục - Công Ty May Đồng Phục__Bảo Hộ Lao Động",www.baoholaodongtnt.com,'0968558686__02462916083__0972883579',Ông Vũ Văn Nhiên,,male,,tnt6868@gmail.com,https://www.yellowpages.vn/lgs/1187724771/bao-ho-lao-dong-tnt-viet-nam-cong-ty-cp-san-xuat-thuong-mai-tnt-viet-nam.html
Đồng Phục Việt Phục - Công Ty TNHH Thương Mại Sản Xuất Việt Phục,"82/47 Huỳnh Văn Nghệ, P. 15, Q. Tân Bình,","Đồng Phục Mầm Non, Mẫu Giáo, Đồng Phục Giáo Viên Mầm Non__Quần áo Bảo Hộ Lao Động__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__In áo Thun, áo Phông, In áo Đồng Phục__Đồng Phục Nhà Hàng, Khách Sạn (áo, Nón Bếp, Tạp Dề, Đồng Phục Buồng Phòng,.)__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__áo Thun Đồng Phục - Công Ty May áo Thun, áo Phông Đồng Phục__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Đồng Phục Bệnh Viện, Đồng Phục Y tế__Đồng Phục Thể Thao__May Đồng Phục - Công Ty May Đồng Phục__Đồng Phục Lớp, áo Đồng Phục Lớp",www.vietphuc.com.vn,'0988083119',Mr. Thông,,male,,dongphuc@vietphuc.com.vn,https://www.yellowpages.vn/lgs/1187865048/dong-phuc-viet-phuc-cong-ty-tnhh-thuong-mai-san-xuat-viet-phuc.html
BHLĐ Phước Hợp Lợi - DNTN Phước Hợp Lợi,"03-05 Lý Tự Trọng, Tp. Quảng Ngãi,","Quần áo Bảo Hộ Lao Động__An Toàn Sông Nước - Phao, áo phao,..__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Bảo Hộ Công Trình__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Bảo Hộ Lao Động",www.baoholaodongquangngai.bizz.vn,'02553820571__0913418672',Ông Lê Văn Trai,,male,,phuochoploi@gmail.com,https://www.yellowpages.vn/lgs/1187739789/bhld-phuoc-hop-loi-dntn-phuoc-hop-loi.html
Bảo Hộ Lao Động Vũ Bảo Minh - Công Ty TNHH Đầu Tư Và DV TM Vũ Bảo Minh,"Đội 3, Thôn Đồng Lệ, X. Hợp Đồng, H. Chương Mỹ,","Quần áo Bảo Hộ Lao Động__Đồng Phục Học Sinh, May Đồng Phục Học Sinh, Học Sinh Tiểu Học__Đồng Phục Công Sở, Đồng Phục Văn Phòng, Công Ty,.__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động",www.baohovubaominh.com,'02433509502__0355360441__0916319812__0947974673',Hotline,X,,CSKH,baohovubaominh@gmail.com,https://www.yellowpages.vn/lgs/1187881821/bao-ho-lao-dong-vu-bao-minh-cong-ty-tnhh-dau-tu-va-dv-tm-vu-bao-minh.html
Bảo Hộ Lao Động Nam Tin Đắk Lắk - Công Ty TNHH Nam Tin,"Số 4 Nguyễn Thái Học, P. Tân Lợi, Tp. Buôn Ma Thuật,","Thiết Bị An Toàn Ngành Điện__Quần áo Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Kính Bảo Hộ Lao Động__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Bảo Hộ Lao Động__Bình Chữa Cháy (CO2, Bột, Foam)__Dây Đai An Toàn__Găng Tay Bảo Hộ Lao Động__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Khẩu Trang Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.namtinco.com,'02626511611__0942412629__0974470470',Hotline,X,,,mynuong1984@gmail.com,https://www.yellowpages.vn/lgs/1187746692/bao-ho-lao-dong-nam-tin-dak-lak-cong-ty-tnhh-nam-tin.html
