company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cao Su Kỹ Thuật DK - Công Ty TNHH Cao Su Kỹ Thuật DK,"La Thạch, Phương Đình, Đan Phượng,","Gioăng Cao Su, Phớt Cao Su__Cao Su Tấm, Miếng, Thảm__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.caosukythuatdk.com,'0984419588__0989317266',Mr. Hoàng Văn Dũng,,male,Giám Đốc,caosukythuatdk@gmail.com,https://www.yellowpages.vn/lgs/1187909055/cao-su-ky-thuat-dk-cong-ty-tnhh-cao-su-ky-thuat-dk.html
Cao Su Nhựa Việt Nam - Công Ty TNHH Cao Su Nhựa Việt Nam,"Số 45, Ngõ 445 Lạc Long Quân, Xuân La, Quận Tây Hồ,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Trục, Rulo Cao Su__Nhựa Kỹ Thuật, Nhựa PVC, PP, PE, ABS, POM, PA,..__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su",www.rpvietnam.com,'0949000189__02462544024',Mr. Minh,,male,,info@rpvietnam.com,https://www.yellowpages.vn/lgs/1187798673/cao-su-nhua-viet-nam-cong-ty-tnhh-cao-su-nhua-viet-nam.html
Xí Nghiệp Cao Su,"P. Long Bình, TP. Biên Hòa,","Gioăng Cao Su, Phớt Cao Su__Trục, Rulo Cao Su__Cao Su - Sản Phẩm Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",,'02512814457__0908650066',Mr. Trần Văn Sơn,,male,,soncaosu80@yahoo.com.vn,https://www.yellowpages.vn/lgs/965994/xi-nghiep-cao-su.html
Cao Su Kỹ Thuật Trịnh Phát - Công Ty TNHH Kỹ Thuật Cao Su Trịnh Phát,"Thôn Triều Khúc, Xã Đội Bình, Huyện Ứng Hòa,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Nút Cao Su, Nắp Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosutrinhphat.com,'0988706321',Mr. Trịnh Văn Tâm,,male,Giám Đốc,tinhcaosu@gmail.com,https://www.yellowpages.vn/lgs/1187871414/cao-su-ky-thuat-trinh-phat-cong-ty-tnhh-ky-thuat-cao-su-trinh-phat.html
Cao Su Kỹ Thuật - Công ty TNHH Yida Sản Phẩm Cao Su Chính Xác VN,"Nhà Xưởng Số 2, Đường Số 8, KCN Nhơn Trạch 1, X. Phước Thiền, H. Nhơn Trạch,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Phụ Tùng Xe Bằng Cao Su__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.ydrb.vn,'02513686777',Hotline,X,,,wang.dong@ydrb.cn,https://www.yellowpages.vn/lgs/1187892543/cao-su-ky-thuat-cong-ty-tnhh-yida-san-pham-cao-su-chinh-xac-vn.html
Cao Su Minh Anh - Công Ty Cổ Phần Cao Su Kỹ Thuật Minh Anh,"Tổ Dân Phố Hoàng Văn Thụ, P. Dương Nội, Q. Hà Đông,","Đế Giày, Đế Dép Bằng Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Trục, Rulo Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su__Băng Tải Cao Su",www.caosuminhanh.com,'0906289277__02433581636__0974952979',Mr. Trọng,,male,,caosuminhanh@gmail.com,https://www.yellowpages.vn/lgs/1187744979/cao-su-minh-anh-cong-ty-co-phan-cao-su-ky-thuat-minh-anh.html
Hóa Chất Cao Su Sunny Tech - Công Ty TNHH Sunny Tech,"451/36/17 Tô Hiến Thành, P. 14, Q. 10,","Hóa Chất Công Nghiệp__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Hóa Chất Ngành Nhựa, Cao Su",www.sunnytech.com.vn,'0985397562__02873030060',Hotline,X,,,sunnytech451@gmail.com,https://www.yellowpages.vn/lgs/1187788278/hoa-chat-cao-su-sunny-tech-cong-ty-tnhh-sunny-tech.html
Cao Su 75 - Công Ty TNHH Một Thành Viên Cao Su 75,"Tổ Dân Phố Z175, X. Xuân Sơn, TX. Sơn Tây,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Dây Băng Tải, Dây Băng Tải Cao Su__Phụ Tùng Xe Bằng Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su__Băng Tải Cao Su",www.caosu75.com.vn,'0969822822__02433261315',HOTLINE,X,,,75rubber@gmail.com,https://www.yellowpages.vn/lgs/1187794134/cao-su-75-cong-ty-tnhh-mot-thanh-vien-cao-su-75.html
Cao Su Kỹ Thuật QC - Công Ty TNHH Cao Su Kỹ Thuật QC,"Số 393, Ngõ 68, Đường Phú Diễn, P. Phú Diễn, Q. Bắc Từ Liêm,","Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su - Sản Phẩm Cao Su",www.caosukythuatqc.vn,'0982722568__02438372717',Ms. Nguyễn Hồng Hoa,,female,,caosuktqc@gmail.com,https://www.yellowpages.vn/lgs/1187839335/cao-su-ky-thuat-qc-cong-ty-tnhh-cao-su-ky-thuat-qc.html
Cao Su Trực Quan - Công Ty Cổ Phần Trực Quan,"Lô LE9, Đường Số 3, KCN Xuyên Á, H. Đức Hòa,","Phụ Tùng Xe Bằng Cao Su__Cao Su - Sản Phẩm Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Bánh Xe Cao Su, Bánh Xe Chịu Lực",www.trucquanrubber.com,'0908353317',Hotline,X,,,tuyet.tn@trucquan.com,https://www.yellowpages.vn/lgs/1187835120/cao-su-truc-quan-cong-ty-co-phan-truc-quan.html
