company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cao Su Kỹ Thuật DK - Công Ty TNHH Cao Su Kỹ Thuật DK,"La Thạch, Phương Đình, Đan Phượng,","Gioăng Cao Su, Phớt Cao Su__Cao Su Tấm, Miếng, Thảm__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.caosukythuatdk.com,'0984419588__0989317266',Mr. Hoàng Văn Dũng,,male,Giám Đốc,caosukythuatdk@gmail.com,https://www.yellowpages.vn/lgs/1187909055/cao-su-ky-thuat-dk-cong-ty-tnhh-cao-su-ky-thuat-dk.html
Mút Xốp Thoại Tân Thành - Công Ty TNHH SX TM Thoại Tân Thành,"28/36/23 Đường Lương Thế Vinh, Phường Tân Thới Hoà, Quận Tân Phú,","EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Thảm Trải Sàn, Thảm Lót Sàn__Cao Su Tấm, Miếng, Thảm__Sàn Cao Su, Thảm Trải Sàn Cao Su__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.thoaitanthanh.com.vn,'0989373195',Ông Vũ Văn Tin,,male,,tanminhthoai1107@gmail.com,https://www.yellowpages.vn/lgs/1187721351/mut-xop-thoai-tan-thanh-cong-ty-tnhh-sx-tm-thoai-tan-thanh.html
Cao Su Chính Kiệt - Công Ty TNHH Chính Kiệt,"F6/18 Đường Lô 2 Ấp 6, Xã Lê Minh Xuân, Huyện Bình Chánh,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Trục, Rulo Cao Su__Bản In Polymer, Bản In Cao Su__Cao Su - Sản Phẩm Cao Su",www.chinhkietcompany.bizz.vn,'0976565450__0963595650__0978181543',Mr. Tuấn,,male,,chinhkietcompany@gmail.com,https://www.yellowpages.vn/lgs/1187742096/cao-su-chinh-kiet-cong-ty-tnhh-chinh-kiet.html
Cao Su Hoàng Khải Minh - Công Ty TNHH Cao Su Nhựa Hoàng Khải Minh,"Lô LB2-04, Đường Số 7, KCN Xuyên Á, X. Mỹ Hạnh Bắc, H. Đức Hoà,","Cao Su Tấm, Miếng, Thảm__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su - Sản Phẩm Cao Su__Băng Tải Cao Su",www.mirubco.com,'0933883144__0933885501',Hotline,X,,,minhvu2912@gmail.com,https://www.yellowpages.vn/lgs/1187924568/cao-su-hoang-khai-minh-cong-ty-tnhh-cao-su-nhua-hoang-khai-minh.html
Cơ Sở Cao Su Đức Hiền,"Cụm Dân Cư  Số 1, Thôn Bảo Vệ, Xã Long Xuyên, Huyện Phúc Thọ,","Gioăng Cao Su, Phớt Cao Su__Cao Su Tấm, Miếng, Thảm__Cao Su - Sản Phẩm Cao Su",www.caosuduchien.bizz.vn,'0365821412',Mr. Hiền,,male,,caosuduchien@gmail.com,https://www.yellowpages.vn/lgs/1187790186/co-so-cao-su-duc-hien.html
Cao Su Kỹ Thuật Khánh Đạt - Công Ty TNHH Cao Su Kỹ Thuật Khánh Đạt,"193 Định Công Hạ, Quận Hoàng Mai,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",,'0986781296__0913223494__02438585947',Nguyễn Trọng Đạt,,,TP. Kinh doanh và Vật tư,caosukythuatkhanhdat@gmail.com,https://www.yellowpages.vn/lgs/1187695359/cao-su-ky-thuat-khanh-dat-cong-ty-tnhh-cao-su-ky-thuat-khanh-dat.html
Cao Su Minh Anh - Công Ty Cổ Phần Cao Su Kỹ Thuật Minh Anh,"Tổ Dân Phố Hoàng Văn Thụ, P. Dương Nội, Q. Hà Đông,","Đế Giày, Đế Dép Bằng Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Trục, Rulo Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su__Băng Tải Cao Su",www.caosuminhanh.com,'0906289277__02433581636__0974952979',Mr. Trọng,,male,,caosuminhanh@gmail.com,https://www.yellowpages.vn/lgs/1187744979/cao-su-minh-anh-cong-ty-co-phan-cao-su-ky-thuat-minh-anh.html
Cao Su Kỹ Thuật Trịnh Phát - Công Ty TNHH Kỹ Thuật Cao Su Trịnh Phát,"Thôn Triều Khúc, Xã Đội Bình, Huyện Ứng Hòa,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Nút Cao Su, Nắp Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosutrinhphat.com,'0988706321',Mr. Trịnh Văn Tâm,,male,Giám Đốc,tinhcaosu@gmail.com,https://www.yellowpages.vn/lgs/1187871414/cao-su-ky-thuat-trinh-phat-cong-ty-tnhh-ky-thuat-cao-su-trinh-phat.html
Cao Su ADH Việt Nam - Công Ty TNHH Công Nghiệp ADH Việt Nam,"Số 292 Phúc Diễn, P. Xuân Phương, Q. Nam Từ Liêm,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Silicone, Silicone Công Nghiệp__Cao Su - Sản Phẩm Cao Su__Nhựa PU - Máy Và Thiết Bị Sản Xuất__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gờ Giảm Tốc",,'0888414166__0921833668',Hotline,X,,,trananh3729@gmail.com,https://www.yellowpages.vn/lgs/1187893839/cao-su-adh-viet-nam-cong-ty-tnhh-cong-nghiep-adh-viet-nam.html
Sản Phẩm Cao Su Hà Thanh - Công Ty TNHH Công Nghiệp Hà Thanh,"Phòng 24 - 7, Tầng 24, Tòa Nhà Petroland Tower, Số 12 Tân Trào, P. Tân Phú, Q. 7,","Chống Ăn Mòn - Dịch Vụ Chống Ăn Mòn__Cao Su Tấm, Miếng, Thảm__Cao Su - Sản Phẩm Cao Su",www.hathanhcorp.com__www.htic-rubber.vn,'02854138661__0909927826',Ông Phạm Văn Cường,,male,,cuong.pv@hathanhcorp.com,https://www.yellowpages.vn/lgs/1187754066/san-pham-cao-su-ha-thanh-cong-ty-tnhh-cong-nghiep-ha-thanh.html
