company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH Đầu Tư Quốc Tế Gold Loyal,"1909-1911, Tòa nhà Tập đoàn Ngoại Thương, Số 239, Đường Trung Hưng, Q. La Hồ, Thâm Quyến,",Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo),www.goldloyalint.com,'08675525882985__08618682118780',Mr. Jason Jiao,,male,,jason@goldloyalint.com,https://www.yellowpages.vn/lgs/1187809098/cong-ty-tnhh-dau-tu-quoc-te-gold-loyal.html
Công Ty TNHH Sản Xuất - Thương Mại Nguyễn Phát,"60 Hoa Bằng, P. Tân Sơn Nhì, Q. Tân Phú,","Hóa Chất Ngành Nhựa, Cao Su__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.hoachatnguyenphat.com__www.nguyenphat.znn.vn,'02838130105__0903749678',Ông Nguyễn Phú Hiền,,male,Giám Đốc,phuquy1809@gmail.com,https://www.yellowpages.vn/lgs/1187691426/cong-ty-tnhh-san-xuat-thuong-mai-nguyen-phat.html
Cao Su Kon Tum - Công Ty TNHH MTV Cao Su Kon Tum,"639 Phan Đình Phùng, P. Duy Tân,",Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo),,'02603864131',Nguyễn Hoàng Thanh Phong,,,Thư ký,karuco@gmail.com,https://www.yellowpages.vn/lgs/705732/cao-su-kon-tum-cong-ty-tnhh-mtv-cao-su-kon-tum.html
Hóa Chất Công Nghiệp Thiên Vinh - Công Ty TNHH Quốc Tế Thiên Vinh," Lầu 1, 170 - 170Bis, Bùi Thị Xuân, P. Phạm Ngũ Lão, Q. 1,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Hóa Chất Công Nghiệp__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Hóa Chất Ngành Nhựa, Cao Su__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.thienvinhinternational.bizz.vn,'0906008665__0283636280136362802',Ông Cao Duy Thắng,,male,,Duythang@thienvinhinternational.com.vn,https://www.yellowpages.vn/lgs/1187757372/hoa-chat-cong-nghiep-thien-vinh-cong-ty-tnhh-quoc-te-thien-vinh.html
Công Ty TNHH Banta Việt Nam,"Số 243B Đường Hoàng Quốc Việt, P. Nghĩa Đô, Q. Cầu Giấy,","Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.bantavietnam.com,'0968869798__02437918096',Mr. Nguyễn Thế Thốn,,male,,bantavn@gmail.com,https://www.yellowpages.vn/lgs/1187717178/cong-ty-tnhh-banta-viet-nam.html
Cao Su Việt Trung - Công Ty TNHH Quốc Tế Việt Trung,"73/491F Phan Huy ích, P. 12, Q. Gò Vấp,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Hóa Chất Ngành Nhựa, Cao Su__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.viettrungcorp.com,'0903123357__02854357537',Ông Bùi Duy Thịnh,,male,,namtiensales@gmail.com,https://www.yellowpages.vn/lgs/661677/cao-su-viet-trung-cong-ty-tnhh-quoc-te-viet-trung.html
Công Ty CP Quốc Tế An Lộc Phát,"L-34/38 Lê Đức Thọ, P. 6, Q. Gò Vấp,","Hóa Chất Ngành Nhựa, Cao Su__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.anlocphat.com.vn,'0909369266__02822174889',Mr. Nguyễn Hải Hà,,male,,sales_01@anlocphat.com.vn,https://www.yellowpages.vn/lgs/1018887/cong-ty-cp-quoc-te-an-loc-phat.html
Cao Su Orion - Công Ty TNHH Orion,"Tầng 10, Tòa Nhà Miss Áo Dài, Số 21 Nguyễn Trung Ngạn, P. Bến Nghé, Q. 1,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Hạt Nhựa, Hạt Nhựa Nguyên Sinh__Khuôn Mẫu__Nhựa Công Nghiệp - Gia Công Linh Kiện, Chi Tiết, Phụ Tùng..__Hóa Chất Ngành Nhựa, Cao Su__Cao Su - Sản Phẩm Cao Su__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.orion.com.vn,'0981323035__0938385745__0967131551',Mr. Phan Sơn Lộc,,male,GĐ KD,locps@orion.com.vn,https://www.yellowpages.vn/lgs/1187824353/cao-su-orion-cong-ty-tnhh-orion.html
Công Ty TNHH Thương Mại Tân Vinh Thái,"418 Hồng Bàng, P. 16, Q. 11,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Hạt Nhựa - Nguyên Liệu__Hóa Chất Ngành Nhựa, Cao Su__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.tanvinhthai.com.vn,'02839604761',Hotline,X,,,tanvihthaico@yahoo.com,https://www.yellowpages.vn/lgs/990285/cong-ty-tnhh-thuong-mai-tan-vinh-thai.html
Hóa Chất Tín Phú - Công Ty TNHH Thương Mại Và Dịch Vụ Tín Phú,"901 Đường 3 Tháng 2, P. 7, Q. 11,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Hóa Chất Công Nghiệp__Bột Màu, Bột Màu Công Nghiệp__Bột Đá, Bột Đá CaCO3__Hóa Chất Ngành Sơn, Mực In, Keo (Phụ Gia Ngành Sơn, Nhựa Alkyd, Titan dioxit,..)__Hóa Chất Ngành In__Hóa Chất Cơ Bản (Axit, Oxit, Muối Vô Cơ,..Khác)__Hóa Chất Ngành Gốm Sứ, Gạch Men (Thủy Tinh Lỏng, Keo Cứng Xương, Chất Trợ Chảy,.)__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Hóa Chất Ngành Nhựa, Cao Su__Hóa Chất Xây Dựng__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.tinphuco.bizz.vn__www.tinphuco.com,'0938302005__02838530686',Ông Thoòng Thương Quyền,,male,,quyen.thoong@tinphuco.vn,https://www.yellowpages.vn/lgs/1154871/hoa-chat-tin-phu-cong-ty-tnhh-thuong-mai-va-dich-vu-tin-phu.html
