company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cao Su Dầu Tiếng - Công Ty TNHH MTV Cao Su Dầu Tiếng,"KP. 2, TT. Dầu Tiếng, H. Dầu Tiếng,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô",www.caosudautieng.com.vn,'02743561491__02743522755',Hotline,X,,,vanphong@caosudautieng.com.vn,https://www.yellowpages.vn/lgs/695232/cao-su-dau-tieng-cong-ty-tnhh-mtv-cao-su-dau-tieng.html
Cao Su Thuận Lợi - Công Ty TNHH Cao Su Thuận Lợi,"A8 Litte Village, Số 5, Đường 22, P. Hiệp Bình Chánh, Q. Thủ Đức,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô",www.thuanloirubber.vn,'0919100414__02862942425',Hotline,X,,,info@thuanloirubber.com,https://www.yellowpages.vn/lgs/1187708802/cao-su-thuan-loi-cong-ty-tnhh-cao-su-thuan-loi.html
Công Ty TNHH Một Thành Viên Lợi Lợi,"Khu Công Nghiệp Hòa Bình, Tp. Kon Tum,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô",www.vanloirubber.com.vn,'0939668639__0939967385',Ông Nguyễn Hữu Trí,,male,Giám Đốc Kinh doanh,loiloi@loiloirubberband.com,https://www.yellowpages.vn/lgs/1187740989/cong-ty-tnhh-mot-thanh-vien-loi-loi.html
Cao Su Đồng Nai - Công Ty TNHH MTV Tổng Công Ty Cao Su Đồng Nai,"Ấp Trung Tâm, X. Xuân Lập, TX. Long Khánh,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô",www.donaruco.vn,'02513724444',Mr. Huân,,male,Nhân viên,dn@donaruco.vn,https://www.yellowpages.vn/lgs/696387/cao-su-dong-nai-cong-ty-tnhh-mtv-tong-cong-ty-cao-su-dong-nai.html
Cao Su Trí Đức Phát - Công Ty TNHH Cao Su Trí Đức Phát,"2/131, Thuận Giao 16, KP. Hòa Lân 1, P. Thuận Giao, TX. Thuận An,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô",www.caosulatextdp.bizz.vn,'02743824417__0934213450',Ms. Đinh Lê Thảo Hiền,,female,,thaohien2712@gmail.com,https://www.yellowpages.vn/lgs/1187884305/cao-su-tri-duc-phat-cong-ty-tnhh-cao-su-tri-duc-phat.html
Công Ty CP Cao Su Tân Biên,"Tổ 2, Ấp Thạnh Phú, X. Tân Hiệp, H. Tân Châu,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Chai Pet, Phôi Pet",www.tabiruco.vn,'02763732252__02763875193',Phòng Xuất Nhập Khẩu,,,,tbrc@tabiruco.vn,https://www.yellowpages.vn/lgs/989079/cong-ty-cp-cao-su-tan-bien.html
Công Ty TNHH SX TM XNK Hoàng Thịnh,"272 ( 6/41 Cũ) ấp Ninh Hiệp, X. Bàu Năng, H. Dương Minh Châu, TP. Tây Ninh","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Cao Su - Sản Phẩm Cao Su",www.hoangthinhrubber.vn,'0988777352__02763822838',Bà Nguyễn Thị Thu Trang,,female,Giám Đốc,hoangthinhtn@yahoo.com,https://www.yellowpages.vn/lgs/1187825832/cong-ty-tnhh-sx-tm-xnk-hoang-thinh.html
Hóa Chất Công Nghiệp Thiên Vinh - Công Ty TNHH Quốc Tế Thiên Vinh," Lầu 1, 170 - 170Bis, Bùi Thị Xuân, P. Phạm Ngũ Lão, Q. 1,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Hóa Chất Công Nghiệp__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Hóa Chất Ngành Nhựa, Cao Su__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.thienvinhinternational.bizz.vn,'0906008665__0283636280136362802',Ông Cao Duy Thắng,,male,,Duythang@thienvinhinternational.com.vn,https://www.yellowpages.vn/lgs/1187757372/hoa-chat-cong-nghiep-thien-vinh-cong-ty-tnhh-quoc-te-thien-vinh.html
Cao Su Liên Anh - Công Ty TNHH Sản Xuất Cao Su Liên Anh,"266 Đường 30/4, KP. 4, P. 2, TP. Tây Ninh,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô",www.lienanhrubber.com,'0984997870__02763816325',Mr. Hùng,,male,,duyhung@lienanhrubber.com,https://www.yellowpages.vn/lgs/1099896/cao-su-lien-anh-cong-ty-tnhh-san-xuat-cao-su-lien-anh.html
Hóa Chất Tín Phú - Công Ty TNHH Thương Mại Và Dịch Vụ Tín Phú,"901 Đường 3 Tháng 2, P. 7, Q. 11,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Hóa Chất Công Nghiệp__Bột Đá, Bột Đá CaCO3__Bột Màu, Bột Màu Công Nghiệp__Hóa Chất Ngành Sơn, Mực In, Keo (Phụ Gia Ngành Sơn, Nhựa Alkyd, Titan dioxit,..)__Hóa Chất Ngành In__Hóa Chất Cơ Bản (Axit, Oxit, Muối Vô Cơ,..Khác)__Hóa Chất Ngành Gốm Sứ, Gạch Men (Thủy Tinh Lỏng, Keo Cứng Xương, Chất Trợ Chảy,.)__Phụ Gia Ngành Nhựa (Chống oxi hóa, Kháng UV, Tăng Trắng, Trong,.)__Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất__Hóa Chất Ngành Nhựa, Cao Su__Hóa Chất Xây Dựng__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.tinphuco.bizz.vn__www.tinphuco.com,'0938302005__02838530686',Ông Thoòng Thương Quyền,,male,,quyen.thoong@tinphuco.vn,https://www.yellowpages.vn/lgs/1154871/hoa-chat-tin-phu-cong-ty-tnhh-thuong-mai-va-dich-vu-tin-phu.html
