company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Găng Tay Công Nghiệp LAMGROUP.VN - Công Ty TNHH LAMGROUP.VN,"B1/20N Liên ấp 2-6, X. Vĩnh Lộc A, H. Bình Chánh,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Nilon, Găng Tay Xốp - Sản Xuất và Kinh Doanh__Găng Tay Bảo Hộ Lao Động__Bảo Hộ Lao Động__Găng Tay Cao Su - Nhà Sản Xuất__Găng Tay Y Tế - Sản Xuất Và Kinh Doanh",www.lamgroup.vn__www.gangtaylamgroup.vn,'0962143312',Ms Linh,,female,,gangtaylamgroup.vn@gmail.com,https://www.yellowpages.vn/lgs/1187928789/gang-tay-cong-nghiep-lamgroup.vn-cong-ty-tnhh-lamgroup.vn.html
Showa Gloves Việt Nam - Công Ty TNHH Showa Gloves Việt Nam,"23 Đại Lộ Tự Do, KCN Việt Nam - Singapore, TX. Thuận An,",Găng Tay Cao Su - Nhà Sản Xuất,www.showa-gloves.com.vn,'0274378710__02743784710',Ms. Yến,,female,Nhân viên,info@showa-gloves.com.vn,https://www.yellowpages.vn/lgs/708975/showa-gloves-viet-nam-cong-ty-tnhh-showa-gloves-viet-nam.html
Cao su Nam Cường - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Nam Cường,": Số 33, đường số 18, P. Hiệp Bình Chánh, Q. Thủ Đức,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Găng Tay Cao Su - Nhà Sản Xuất__Găng Tay Y Tế - Sản Xuất Và Kinh Doanh",www.nacol.com.vn,'02837268227',Văn Phòng,,,,info@nacol.com.vn,https://www.yellowpages.vn/lgs/709629/cao-su-nam-cuong-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-nam-cuong.html
Công Ty Cổ Phần VRG Khải Hoàn,"Thửa Đất Số 233, Tờ Bản Đồ Số 37, Ấp Cầu Sắt, X. Lai Hưng, H. Bàu Bàng,",Găng Tay Cao Su - Nhà Sản Xuất,www.vgloves.com,'02743591220',Văn Phòng,,,,info@vrgkhaihoan-gloves.com,https://www.yellowpages.vn/lgs/1187721219/cong-ty-co-phan-vrg-khai-hoan.html
Công Ty TNHH Sản Xuất Duy Hàng,"118 Dương Văn Dương, P. Tân Quý, Q. Tân Phú,",Găng Tay Cao Su - Nhà Sản Xuất__Găng Tay Y Tế - Sản Xuất Và Kinh Doanh,,'02835591917',Văn phòng,,,,duyhangco@yahoo.com,https://www.yellowpages.vn/lgs/1002423/cong-ty-tnhh-san-xuat-duy-hang.html
Găng Tay Sắc Cầu Vồng - Công Ty TNHH Sản Xuất Thương Mại Dịch vụ Sắc Cầu Vồng A,"Lô A3.6, Đường Số 8, KCN Chơn Thành I, X. Thành Tâm, H. Chơn Thành,",Găng Tay Bảo Hộ Lao Động__Găng Tay Cao Su - Nhà Sản Xuất,www.saccauvong.net,'0908829277',Hotline,X,,,saccauvong999@gmail.com,https://www.yellowpages.vn/lgs/1187850351/gang-tay-sac-cau-vong-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-sac-cau-vong-a.html
Công Ty TNHH White Glove,"KCN Nhơn Trạch 1, Đường 2, H. Nhơn Trạch,",Găng Tay Cao Su - Nhà Sản Xuất__Găng Tay Bảo Hộ Lao Động,www.whiteglove.com__www.fseason.vn,'02513560421',Hotline,X,,,phuongwglove@yahoo.com.vn,https://www.yellowpages.vn/lgs/1038909/cong-ty-tnhh-white-glove.html
Công Ty TNHH Nam Long,"ấp 3, X. Long An, H. Long Thành,",Găng Tay Cao Su - Nhà Sản Xuất,www.gangtaycaosu.com​,'0983101434__02513546027',Mr. Minh,,male,Kinh doanh,namlongco.gloves@gmail.com,https://www.yellowpages.vn/lgs/710070/cong-ty-tnhh-nam-long.html
Găng Tay Thành Lâm Anh - Công Ty TNHH Thành Lâm Anh,"Số 266 Đường Bùi Văn Hòa, P. An Bình, TP. Biên Hoà,","Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Găng Tay Chống Tĩnh Điện__Găng Tay Bảo Hộ Lao Động__Găng Tay Cao Su - Nhà Sản Xuất__Găng Tay Phòng Sạch",www.youtube.com/watch?v=sm8qBO03nWQ__www.baotaycongnghiep.com,'0968203564',Ms. Diệp,,female,,baotaycongnghiep@gmail.com,https://www.yellowpages.vn/lgs/1187848050/gang-tay-thanh-lam-anh-cong-ty-tnhh-thanh-lam-anh.html
An Toàn Lao Động Phú Thành - Công Ty TNHH An Toàn Lao Động Phú Thành,"901 Hồng Bàng, P. 9, Q. 6,","Đèn Exit, Đèn Thoát Hiểm__Kính Bảo Hộ Lao Động__Bịt Tai Chống ồn, Nút Tai Chống ồn__Bảo Hộ Lao Động__Biển Báo Giao Thông__Dây Đai An Toàn__Đồ Bảo Hộ 3M (Khẩu Trang 3M, Mặt Nạ Phòng Độc 3M,..)__Găng Tay Bảo Hộ Lao Động__Mặt Nạ Phòng Độc, Mặt Nạ Chống Độc, Thoát Hiểm__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Găng Tay Công Nghiệp (Len, Sợi, Vải) -  Sản Xuất Và Kinh Doanh__Biển Báo An Toàn__Khẩu Trang Bảo Hộ Lao Động__An Toàn Giao Thông - Trang Thiết bị An Toàn Giao Thông__Giày Bảo Hộ Lao Động, ủng Bảo Hộ Lao Động__Găng Tay Cao Su - Nhà Sản Xuất__Gờ Giảm Tốc__Mũ Bảo Hộ Lao Động, Nón Bảo Hộ Lao Động__Quần áo Bảo Hộ Lao Động__Dây Thoát Hiểm, Thang Dây Thoát Hiểm",www.phuthanhsafety.bizz.vn__www.bienbaolaodong.com,'0901381113__02839608158__0909622586',Ms. Trần Thị Ngọc Bích,,female,TP. CSKH,phuthanhsafety@gmail.com,https://www.yellowpages.vn/lgs/1187749461/an-toan-lao-dong-phu-thanh-cong-ty-tnhh-an-toan-lao-dong-phu-thanh.html
