company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Vật Liệu Đóng Gói Xuân Quỳnh - Cơ Sở Xuân Quỳnh,"293B/29 KP 2, P. Tam Hiệp, Tp. Biên Hòa,","EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Xốp Hơi, Màng Xốp Hơi__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Bao Bì Giấy__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Hộp Duplex__Túi Nilon PE, Túi PP, Túi HDPE,.__Mốp Xốp - Xốp EPS (Dạng Hạt, Tấm, Block, Định Hình)",www.xuanquynh.com.vn,'0908938595__0908632632',Ông Bùi Mạnh Hùng,,male,,baobixuanquynh@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187753142/vat-lieu-dong-goi-xuan-quynh-co-so-xuan-quynh.html
Mút Xốp Thoại Tân Thành - Công Ty TNHH SX TM Thoại Tân Thành,"28/36/23 Đường Lương Thế Vinh, Phường Tân Thới Hoà, Quận Tân Phú,","EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Thảm Trải Sàn, Thảm Lót Sàn__Cao Su Tấm, Miếng, Thảm__Sàn Cao Su, Thảm Trải Sàn Cao Su__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.thoaitanthanh.com.vn,'0989373195',Ông Vũ Văn Tin,,male,,tanminhthoai1107@gmail.com,https://www.yellowpages.vn/lgs/1187721351/mut-xop-thoai-tan-thanh-cong-ty-tnhh-sx-tm-thoai-tan-thanh.html
Mút Xốp Đại Thành - Công Ty Cổ Phần Đại Thành,"Số 38A, Bát Đàn, Hoàn Kiếm,","Mút Cách Âm (Mút Gai, Hột Gà, Trứng,..)__Cao Su Non, Cao Su Đặc, Cao Su Lưu Hóa__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__PU Foam - Sản Xuất Mút PU Thành Phẩm, Tái Sinh,.__Nệm Mút, Đệm Mút (Nệm PU Trần )",www.mutdaithanh.vn,'0968204477__0243824544',Mr Nguyễn Hoàng Nam,,male,P. Giám đốc,mutdaithanh@gmail.com,https://www.yellowpages.vn/lgs/1290597/mut-xop-dai-thanh-cong-ty-co-phan-dai-thanh.html
Mút Xốp Foam Tỷ Đạt - Công Ty TNHH MTV Tỷ Đạt,"Lô I2, Đường N1, KCN Nam Tân Uyên, KP Long Bình, P. Khánh Bình, TX. Tân Uyên,","Mút Cách Âm (Mút Gai, Hột Gà, Trứng,..)__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.tydatfoam.com__www.tydatfoam.com.vn,'0908063383__02743639877',Ms. Huỳnh Thị Trang,,female,Giám Đốc,tydatfoam@hotmail.com,https://www.yellowpages.vn/lgs/1187787861/mut-xop-foam-ty-dat-cong-ty-tnhh-mtv-ty-dat.html
Mút Xốp EVA Hùng ánh - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Hùng ánh,"361/61/45 ấp 6 X. Đông Thạnh H. Hóc Môn,","EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.mutxopeva.info__www.nailsupplies.bizz.vn,'0966444006__02822535587__0349567234__0973724439',Mr. Tiến,,male,,evahunganh2017@gmail.com,https://www.yellowpages.vn/lgs/1187821935/mut-xop-eva-hung-anh-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-hung-anh.html
Mút Xốp New Edge - Công Ty TNHH New Edge,"63 Lò Lu, P. Trường Thạnh, Q. 9,","Bao Bì Đồ Điện Tử__PU Foam - Sản Xuất Mút PU Thành Phẩm, Tái Sinh,.__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.newedge.com.vn,'02873026116__02873021661__0932414986',P. Kinh doanh,,,,sales_one@newedge.com.vn,https://www.yellowpages.vn/lgs/1187716173/mut-xop-new-edge-cong-ty-tnhh-new-edge.html
Vật Liệu Đóng Gói Bảo Tam - Công Ty TNHH Bảo Tam,"Thôn An Động, X. Lạc Vệ, H. Tiên Du,","Xốp Hơi, Màng Xốp Hơi__Túi, Bao Zipper, Ziplock__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Giấy Pelure (Giấy Chống ẩm, Giấy Hút ẩm)__Túi Nilon PE, Túi PP, Túi HDPE,.__Màng PE Quấn Pallet__Tấm Nhựa Danpla, Thùng Nhựa Danpla__Vật Liệu Đóng Gói",www.baotambn.bizz.vn,'0976909994__0335298484',Nguyễn Văn Trọng,,,,kinhdoanhbt.vn@gmail.com,https://www.yellowpages.vn/lgs/1187824578/vat-lieu-dong-goi-bao-tam-cong-ty-tnhh-bao-tam.html
Bao Bì Kim Thuận Tiến - Công Ty TNHH Sản Xuất Thương Mại Kim Thuận Tiến,"19 Đường 19, KP. 3, P. Hiệp Bình Phước,TP. Thủ Đức,","Bao PP Dệt__Xốp Cách Nhiệt, Cách Âm (XPS, EPS, OPP, PU, PE Foam..)__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Băng Dính 3M, Băng Keo 3M__Vật Liệu Đóng Gói__Bao Bì Màng Ghép, Bao Bì Màng Phức Hợp",www.thuantienpack.com,'0903943975__0903848329',Phòng kinh doanh,,,,Info.kimthuanphat@gmail.com,https://www.yellowpages.vn/lgs/1187903091/bao-bi-kim-thuan-tien-cong-ty-tnhh-san-xuat-thuong-mai-kim-thuan-tien.html
Nhựa Mỹ Kiến - Công Ty TNHH Mỹ Kiến,"161 Phố Chính Kinh, Nhân Chính, Q. Thanh Xuân,","Nhựa Công Nghiệp - Thùng Nhựa, Khay Nhựa, Sóng Nhựa, Sọt Nhựa__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Bao Bì Nhựa Định Hình, Khay Nhựa Định Hình__Nhựa Kỹ Thuật, Nhựa PVC, PP, PE, ABS, POM, PA,..__Tấm Nhựa Danpla, Thùng Nhựa Danpla",www.mykien.vn,'0979706976',Ông Nguyễn Mạnh Hùng,,male,,mykien2@gmail.com,https://www.yellowpages.vn/lgs/1299516/nhua-my-kien-cong-ty-tnhh-my-kien.html
Mousse Nhựa Vina - Công Ty TNHH Mousse Nhựa Vina,"Số 95/16, KP. Tân Phước, P. Tân Bình, TX. Dĩ An,","Dây Rút Nhựa, Dây Thít Nhựa__Màng PE Foam (Cuộn, Tấm, Túi, ống,.) - Sản Xuất Và Kinh Doanh__Nông Nghiệp - Dụng Cụ Và Vật Tư__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.moussenhuavina.com,'0898415345__0987723469',Ms. Phương,,female,Phòng Kinh Doanh,moussenhuavina@gmail.com,https://www.yellowpages.vn/lgs/1187810403/mousse-nhua-vina-cong-ty-tnhh-mousse-nhua-vina.html
