company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty Cổ Phần Cao Su Sài Gòn-Kymdan,"28 Bình Thới, P. 14, Q. 11,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Cao Su, Đệm Cao Su__Đồ Nội Thất Gia Đình__Sofa, Salon - Sản Xuất Và Kinh Doanh__Nệm, Đệm - Sản Xuất Và Kinh Doanh",www.kymdan.com,'02838619999',Hotline,X,,,contactus@kymdan.com,https://www.yellowpages.vn/lgs/1011294/cong-ty-co-phan-cao-su-sai-gon-kymdan.html
Nệm Vivian - Công Ty TNHH Sản Xuất Thương Mại Nệm Vivian,"301/1, Ấp 1, Tân Thạnh Đông, H. Củ Chi,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Mút, Đệm Mút (Nệm PU Trần )__Nệm, Đệm - Sản Xuất Và Kinh Doanh__Nệm Cao Su, Đệm Cao Su",www.nemvivian.vn,'02837950655__0967295439',Ms. Châu,,female,Bộ phận Marketing,infonemvivian@gmail.com,https://www.yellowpages.vn/lgs/1187846883/nem-vivian-cong-ty-tnhh-san-xuat-thuong-mai-nem-vivian.html
Cao Su Nhựa Hải Phòng - Công Ty Cổ Phần Cao Su Nhựa Hải Phòng,"369 Đường 208, X. An Đồng, H. An Dương,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Nệm Cao Su, Đệm Cao Su__Trục, Rulo Cao Su__Gioăng, Phớt__Cao Su - Sản Phẩm Cao Su",www.caosunhuahaiphong.com.vn,'02252215676__0979028585',Anh Thụy,,,,Caosunhuahaiphong@gmail.com,https://www.yellowpages.vn/lgs/724827/cao-su-nhua-hai-phong-cong-ty-co-phan-cao-su-nhua-hai-phong.html
Chăn Ga Gối Nệm RAHANCO - Công Ty TNHH MTV Tâm Trung Kiên,"848D Tổ 40, KP. 8, P. Long Bình, Tp.Biên Hòa,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Chăn Drap__Gối Hơi - Sản Xuất Và Bán Buôn__Nệm Cao Su, Đệm Cao Su",www.facebook.com/ttk.com.vn__www.ttk.com.vn,'0901664488',Hotline,X,,,info@tamtrungkien.com.vn,https://www.yellowpages.vn/lgs/1187730711/chan-ga-goi-nem-rahanco-cong-ty-tnhh-mtv-tam-trung-kien.html
Nệm Kim Cương - Công Ty TNHH Thương Mại Sản Xuất Nệm Kim Cương,"Tỉnh Bình Dương,","Bông Gòn Công Nghiệp - Gòn Bi, Gòn Tấm, Gòn Cuộn,__Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Cao Su, Đệm Cao Su__Đồ Nội Thất Gia Đình__Nệm Mút, Đệm Mút (Nệm PU Trần )__Cao Su - Sản Phẩm Cao Su__Nệm, Đệm - Sản Xuất Và Kinh Doanh",www.nemkimcuong.vn,,Tổng Đài Tư Vấn,,,,info@nemkimcuong.vn,https://www.yellowpages.vn/lgs/1187695182/nem-kim-cuong-cong-ty-tnhh-thuong-mai-san-xuat-nem-kim-cuong.html
Nệm Havas - Công ty TNHH H.A.V.A.S,"D390 Tổ 3, KP. 4, P. Long Bình, TP. Biên Hòa,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Mút, Đệm Mút (Nệm PU Trần )__Nệm, Đệm - Sản Xuất Và Kinh Doanh__Nệm Cao Su, Đệm Cao Su",www.nemhavas.com,'0919405024__02513927832',Hotline,X,,,info@nemhavas.com,https://www.yellowpages.vn/lgs/1187743701/nem-havas-cong-ty-tnhh-h.a.v.a.s.html
Công Ty Cổ Phần Cao Su Kỹ Thuật Đồng Phú (DoruFoam),"ấp 1, X. Tân Lập, H. Đồng Phú,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Cao Su, Đệm Cao Su",www.dorufoam.com,'0908440066__02713843777',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187721225/cong-ty-co-phan-cao-su-ky-thuat-dong-phu--dorufoam-.html
Thế Giới Nệm - Công Ty TNHH Thương Mại Dịch Vụ Tam Tài Nhân,"361-363-365 Tân Sơn Nhì, P. Tân Thành, Q. Tân Phú,","Đồ Dùng Khách Sạn, Resort, Nhà Nghỉ__Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Cao Su, Đệm Cao Su__Đồ Nội Thất Gia Đình__Nệm, Đệm - Sản Xuất Và Kinh Doanh",www.thegioinem.com,'09066773250909060325__0909380325__0906677325',Ông Đinh Mộc Nhân,,male,,thegioinem.com@gmail.com,https://www.yellowpages.vn/lgs/1187842017/the-gioi-nem-cong-ty-tnhh-thuong-mai-dich-vu-tam-tai-nhan.html
"Nệm Công Trình, Khách Sạn Daafar - Công Ty Cổ Phần Nệm Daafar","46 Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Chăn Drap__Nệm, Đệm - Sản Xuất Và Kinh Doanh__Nệm Cao Su, Đệm Cao Su",www.daafar.com,'0707766888__02866895566',"Hotline (Tư vấn, đặt hàng)",,,,daafar@daafar.com,https://www.yellowpages.vn/lgs/1187855796/nem-cong-trinh-khach-san-daafar-cong-ty-co-phan-nem-daafar.html
Chăn Ga Gối Đệm Hàn Quốc - Công Ty Cổ Phần Đầu Tư Sản Xuất Và Thương Mại Tuấn Anh,"Km 15, Quốc Lộ 5, X. An Hưng, H. An Dương,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm, Đệm - Sản Xuất Và Kinh Doanh__Nệm Cao Su, Đệm Cao Su",www.tuananh.vn,'02253290555',Hotline,X,,,tuananh@tuananh.vn,https://www.yellowpages.vn/lgs/1187732034/chan-ga-goi-dem-han-quoc-cong-ty-co-phan-dau-tu-san-xuat-va-thuong-mai-tuan-anh.html
Nệm Ưu Việt - Công Ty TNHH Nệm Ưu Việt,"C5/6D Quốc Lộ 1A, ấp 3 , X. Tân Kiên, H. Bình Chánh,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Chăn Drap__Nệm Cao Su, Đệm Cao Su__Đồ Nội Thất Gia Đình__Nệm, Đệm - Sản Xuất Và Kinh Doanh",www.uuviet.com,'02837560893__0965288188',Hotline,X,,,uuviet@uuviet.com,https://www.yellowpages.vn/lgs/996135/nem-uu-viet-cong-ty-tnhh-nem-uu-viet.html
Nệm Linh Giang Vina - Công Ty TNHH MTV Nệm Linh Giang Vina,"102/20/7 Tổ 4, KP. 11, P. Tân Chánh Hiệp, Q. 12,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Sofa, Nệm Ghế (Nệm Ngồi, Nệm Gấp, Xếp,..)__Nệm Cao Su, Đệm Cao Su__Nệm Mút, Đệm Mút (Nệm PU Trần )__Nệm, Đệm - Sản Xuất Và Kinh Doanh",www.nemlinhgiang.com,'02826509439__0909598933',Mr. Thực,X,male,Hotline,linhgiangvina@gmail.com,https://www.yellowpages.vn/lgs/1187815380/nem-linh-giang-vina-cong-ty-tnhh-mtv-nem-linh-giang-vina.html
Nệm Vạn Thành - Công Ty TNHH Nệm Vạn Thành,"Số 9, Đường Bùi Cẩm Hổ, P. Tân Thới Hòa, Q. Tân Phú,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm Mút, Đệm Mút (Nệm PU Trần )__Nệm Cao Su, Đệm Cao Su__Nệm, Đệm - Sản Xuất Và Kinh Doanh",www.nemvanthanh.vn,'02873008666__02837909999',Mr. Thanh Phong,,male,Phòng Marketing,thanhphong@nemvanthanh.vn,https://www.yellowpages.vn/lgs/996483/nem-van-thanh-cong-ty-tnhh-nem-van-thanh.html
Nệm Phạm Thanh - Công Ty TNHH MTV Phạm Thanh,"41 Bác Ái, P. Tân Thành, Q. Tân Phú,","Chăn Ga Gối Đệm - Sản Xuất và Bán Buôn__Nệm, Đệm - Sản Xuất Và Kinh Doanh__Nệm Cao Su, Đệm Cao Su",www.nemphamthanh.com,'0908816577',Mr. Phạm Thanh Hiến,,male,,phamthanh1211@yahoo.com,https://www.yellowpages.vn/lgs/1187824617/nem-pham-thanh-cong-ty-tnhh-mtv-pham-thanh.html
