company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH Innovation Group Việt Nam,"Nhà Xưởng G5 Phân Khu Đông KCN Phú Thái, X. Kim Lương, H. Kim Thành,","Gioăng Cao Su, Phớt Cao Su__Phụ Tùng Xe Bằng Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tổng Hợp - Nguyên Liệu Thô (Nhân Tạo)",www.elastomer-polymer.com,'02203952018',Issara Khamla-or,,,,issarak@elastomer-polymer.com,https://www.yellowpages.vn/lgs/1187931702/cong-ty-tnhh-innovation-group-viet-nam.html
Cao Su Trực Quan - Công Ty Cổ Phần Trực Quan,"Lô LE9, Đường Số 3, KCN Xuyên Á, H. Đức Hòa,","Phụ Tùng Xe Bằng Cao Su__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Cao Su - Sản Phẩm Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.trucquanrubber.com,'0908353317',Hotline,X,,,tuyet.tn@trucquan.com,https://www.yellowpages.vn/lgs/1187835120/cao-su-truc-quan-cong-ty-co-phan-truc-quan.html
Cao Su 75 - Công Ty TNHH Một Thành Viên Cao Su 75,"Tổ Dân Phố Z175, X. Xuân Sơn, TX. Sơn Tây,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Dây Băng Tải, Dây Băng Tải Cao Su__Phụ Tùng Xe Bằng Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su__Băng Tải Cao Su",www.caosu75.com.vn,'0969822822__02433261315',HOTLINE,X,,,75rubber@gmail.com,https://www.yellowpages.vn/lgs/1187794134/cao-su-75-cong-ty-tnhh-mot-thanh-vien-cao-su-75.html
Cao Su Tương Lai - Công Ty TNHH Sản Xuất Thương Mại Cao Su-Nhựa Tương Lai,"11 Lý Chiêu Hoàng, P. 10, Q. 6,","Cao Su Y Tế__Phụ Tùng Xe Bằng Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su - Sản Phẩm Cao Su",www.tuonglai.com.vn,'02838759389',Mr. Hoa,,male,Nhân viên,sale.tuonglai@gmail.com,https://www.yellowpages.vn/lgs/995754/cong-ty-tnhh-san-xuat-thuong-mai-cao-su-nhua-tuong-lai.html
Công Ty TNHH TM XNK Trường Kỳ,"113G / 2A Lạc Long Quân, P. 3, Q. 11,","Phụ Tùng Xe Bằng Cao Su__Phụ Tùng Xe Máy, Linh Phụ Kiện Xe Máy__Xuất Nhập Khẩu - Các Công Ty Xuất Nhập Khẩu",,'02836025437__0919381347',Ông Nguyễn Hoàng Châu,,male,,honda.acura.1981@gmail.com,https://www.yellowpages.vn/lgs/1187752464/cong-ty-tnhh-tm-xnk-truong-ky.html
Phụ Tùng Cao Su Shenli VN - Công Ty TNHH Sản Xuất Thương Mại Quốc Tế Shengli VN,"Lô D9-D10, Khu công nghiệp Đình Trám, KCN Đình Trám, Huyện Việt Yên Tỉnh Bắc Giang","Phụ Tùng Xe Máy, Linh Phụ Kiện Xe Máy__Phụ Tùng Xe Bằng Cao Su__Nhựa Kỹ Thuật, Nhựa PVC, PP, PE, ABS, POM, PA,..__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.shenglivietnam.com,'0943666638',Mrs. Hoàng Thu Ngọc,,,,sit@shenglivietnam.com,https://www.yellowpages.vn/lgs/1187767308/phu-tung-cao-su-shenli-vn-cong-ty-tnhh-san-xuat-thuong-mai-quoc-te-shengli-vn.html
Cao Su Nhựa Kim Thiết - Công Ty TNHH Cao Su Nhựa Kim Thiết,"Văn phòng và xưởng: C4/21 Đường Lê Đình Chi, ấp 3, Xã Lê Minh Xuân, H. Bình Chánh,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Nút Cao Su, Nắp Cao Su__Phụ Tùng Xe Bằng Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosukythuat.vn,'02862515505',Hotline,X,,,dsdung@kimthiet.com.vn,https://www.yellowpages.vn/lgs/1187696712/cao-su-nhua-kim-thiet-cong-ty-tnhh-cao-su-nhua-kim-thiet.html
Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Xuất Nhập Khẩu Đại Hồng Phát,"975/2A2 Đường Lò Gốm, P. 8, Q. 6,","Phụ Tùng Xe Bằng Cao Su__Thiết Bị Điện - Sản Xuất và Cung Cấp Thiết Bị Điện__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su - Sản Phẩm Cao Su",www.http://slin.vn,'0909186638__02839520018',Mr. Anh,,male,,daihongphat8888@gmail.com.,https://www.yellowpages.vn/lgs/1110399/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xuat-nhap-khau-dai-hong-phat.html
Cao Su Sơn Thành - Công Ty TNHH Cao Su Sơn Thành,"Lô 2, Cụm CN Yên Nghĩa, Hà Đông,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Phụ Tùng Xe Bằng Cao Su__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosusonthanh.com,'0366804444__0888568668__0983952601__0987268668',Hotline,X,,,caosusonthanh@gmail.com,https://www.yellowpages.vn/lgs/1187745522/cao-su-son-thanh-cong-ty-tnhh-cao-su-son-thanh.html
Cao Su Kỹ Thuật - Công ty TNHH Yida Sản Phẩm Cao Su Chính Xác VN,"Nhà Xưởng Số 2, Đường Số 8, KCN Nhơn Trạch 1, X. Phước Thiền, H. Nhơn Trạch,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Phụ Tùng Xe Bằng Cao Su__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.ydrb.vn,'02513686777',Hotline,X,,,wang.dong@ydrb.cn,https://www.yellowpages.vn/lgs/1187892543/cao-su-ky-thuat-cong-ty-tnhh-yida-san-pham-cao-su-chinh-xac-vn.html
