company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH TM DV CFF Trường Thành Phát,"73/17 Đường 475, P. Phước Long B, Q. 9,","Chống Tĩnh Điện (Ghế, Giày, Quần áo, Thảm,.Chống Tĩnh Điện)__Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa",www.truongthanhphat.com,'0944991779__02822441515',Mr. Lê Sơn Hồng,,male,,hongls@truongthanhphat.com.vn,https://www.yellowpages.vn/lgs/1187883396/cong-ty-tnhh-tm-dv-cff-truong-thanh-phat.html
Công Ty TNHH Shenzhen Aolida Sports Facility Sales,"Phòng 706, Tòa Nhà Minde, Đường Minde, Huyện Longhua New, Thâm Quyến, Quảng Đông, Trung Quốc","Hạt Cao Su__Cao Su Tấm, Miếng, Thảm__Sàn Cao Su, Thảm Trải Sàn Cao Su",www.http://www.globalsources.com/aolida.co__www.epdm-granule.com,,Mr Chunhua Huang,,male,Giám đốc thương mại quốc tế,sz_aolida@126.com,https://www.yellowpages.vn/lgs/1187775681/cong-ty-tnhh-shenzhen-aolida-sports-facility-sales.html
Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ VTN,"Tầng 19, Block A, Tòa Nhà Indochina, Số 4 Nguyễn Đình Chiểu, P. Đa Kao, Q. 1,","Thảm Trải Sàn, Thảm Lót Sàn__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa__Vật Liệu Trang Trí Nội Thất__Sàn Cao Su, Thảm Trải Sàn Cao Su",www.sannhuavtn.com,'0938128599',Ms. Nguyễn Thị Phương Thanh,,female,Tp. Kinh doanh,phuongthanh.vtn@gmail.com,https://www.yellowpages.vn/lgs/1187763846/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-vtn.html
Công Ty CP Xây Dựng Quốc Tế Á Đông,"Số 20, Ngõ 132, Nguyễn Xiển, Thanh Xuân,","Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa",www.sannhua.vn,'0936229198__02466606218',Ông Lê Quang Thiều,,male,,noithatadong@gmail.com,https://www.yellowpages.vn/lgs/1187789943/cong-ty-cp-xay-dung-quoc-te-a-dong.html
Mút Xốp Thoại Tân Thành - Công Ty TNHH SX TM Thoại Tân Thành,"28/36/23 Đường Lương Thế Vinh, Phường Tân Thới Hoà, Quận Tân Phú,","EVA Foam (Cuộn, Tấm, Thảm, Túi,..) - Sản Xuất Và Kinh Doanh__Thảm Trải Sàn, Thảm Lót Sàn__Cao Su Tấm, Miếng, Thảm__Sàn Cao Su, Thảm Trải Sàn Cao Su__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu",www.thoaitanthanh.com.vn,'0989373195',Ông Vũ Văn Tin,,male,,tanminhthoai1107@gmail.com,https://www.yellowpages.vn/lgs/1187721351/mut-xop-thoai-tan-thanh-cong-ty-tnhh-sx-tm-thoai-tan-thanh.html
"Sàn Nhựa, Sàn Vinyl Thịnh Phát - Công Ty Cổ Phần Đầu Tư Phát Triển Thương Mại Thịnh Phát","Dãy 2, DM4-21, Khu Làng Nghề Vạn Phúc, Hà Đông,","Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa",www.thamthinhphat.com__www.tpfloor.vn,'0931873888__0908876388',Mr. Nguyễn Văn Khang,,male,Giám Đốc,khanght10@gmail.com,https://www.yellowpages.vn/lgs/1187804430/san-nhua-san-vinyl-thinh-phat-cong-ty-co-phan-dau-tu-phat-trien-thuong-mai-thinh-phat.html
"Thảm Interface - Công Ty TNHH Thương Mại ánh Ngọc Thanh (Antrade Co., Ltd.)","Phòng 5.03, Lầu 5, Tòa Nhà Phương, 31C Lý Tự Trọng, P. Bến Nghé, Q. 1,","Vật Liệu Xây Dựng__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa__Thảm Trải Sàn, Thảm Lót Sàn__Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nâng, Sàn Nâng Kỹ Thuật__Vật Liệu Trang Trí Nội Thất",www.antrade.vn,'02838257622__0933662138',Hotline,X,,,sales@antrade.vn,https://www.yellowpages.vn/lgs/962493/tham-interface-cong-ty-tnhh-thuong-mai-anh-ngoc-thanh--antrade-co.-ltd.-.html
Công Ty TNHH Thương Mại Xây Dựng Công Nghiệp Nhật Hoa (IC&T),"45A Huỳnh Tịnh Của, P. 8, Q. 3,","Phòng sạch - Thiết Bị Phòng Sạch, Thi Công Phòng Sạch__Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa__Sàn Nâng, Sàn Nâng Kỹ Thuật",www.nhathoa.com__www.phongsach.com,'0963978077',Hotline,X,,,,https://www.yellowpages.vn/lgs/964443/cong-ty-tnhh-thuong-mai-xay-dung-cong-nghiep-nhat-hoa--ic-t-.html
Công Ty TNHH MTV Vật Liệu Sàn Thanh Ngọc,"107/27B/2 Ngô Đức Kế, P.12, Q. Bình Thạnh,","Sàn Cao Su, Thảm Trải Sàn Cao Su__Thảm Trải Sàn, Thảm Lót Sàn__Cao Su - Sản Phẩm Cao Su__Cỏ Nhân Tạo - Cung Cấp Và Thi Công",www.khovatlieusan.com__www.santhanhngoc.com,'0932091760__0943344135',Mr. Đặng Ngọc Huấn,,male,,vatlieusan.thanhngoc@gmail.com,https://www.yellowpages.vn/lgs/1187838453/cong-ty-tnhh-mtv-vat-lieu-san-thanh-ngoc.html
WINAM - Công Ty Cổ Phần Xây Dựng WINAM,"226/4A Lê Trọng Tấn, P. Tây Thạnh, Q. Tân Phú,","Thể Dục Thể Thao - Trang Phục, Dụng Cụ và Thiết Bị__Sàn Cao Su, Thảm Trải Sàn Cao Su__Thiết Bị Vui Chơi Trẻ Em - Tư Vấn, Thiết Kế Và Lắp Đặt Khu Vui Chơi Trẻ Em__Đồ Chơi Trẻ Em  - Sản Xuất và Phân Phối Đồ Chơi Trẻ Em__Cát Công Nghiệp, Cát Phun Gốm, Cát Làm Khuôn Đúc,..",www.winam.com.vn,'02866827777__0915662662',Ms Nguyên,,female,,acc@winamgroup.net,https://www.yellowpages.vn/lgs/1187780892/winam-cong-ty-co-phan-xay-dung-winam.html
Công Ty TNHH Winqs,"Tầng 8, Tòa Nhà Sacombank, Số 130 - 132, Bạch Đằng, P. Hải châu 1, Q. Hải Châu,","Sàn Cao Su, Thảm Trải Sàn Cao Su__Đồ Chơi Ngoài Trời - Sản Xuất Và Thi Công Lắp Đặt__Thể Dục Thể Thao - Trang Phục, Dụng Cụ và Thiết Bị",www.winqs.net,'0931176176__0918950045',Nguyễn Thị Minh Trang,,,Marketing Manager,trang.ntm@winqs.net,https://www.yellowpages.vn/lgs/1187849598/cong-ty-tnhh-winqs.html
Công Ty TNHH Vinafloor,"124 Tô Hiến Thành, P. 15, Q. 10,","Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa",www.vinafloor.vn,'02862819288__0978570245',Mr. Nam,,male,Quản Lý Kinh Doanh,sannhuavinafloor@gmail.com,https://www.yellowpages.vn/lgs/1187746569/cong-ty-tnhh-vinafloor.html
Thảm Trang Trí Minh Huyền - Công Ty TNHH Minh Huyền,"257 Lý Thái Tổ, Phường 9, Quận 10,","Thảm Trải Sàn, Thảm Lót Sàn__Sàn Cao Su, Thảm Trải Sàn Cao Su__Nội Thất - Trang Trí Nội Thất__Vật Liệu Trang Trí Nội Thất__Đồ Trang Trí Nội Thất",,'0339993777',Mr. Minh,,male,,tranchauminh19@gmail.com,https://www.yellowpages.vn/lgs/1187874990/tham-trang-tri-minh-huyen-cong-ty-tnhh-minh-huyen.html
Công Ty Cổ Phần Vật Liệu Xây Dựng Homefloor,"B10, Lô B, Ngã 3 Yên Xá, Tân Triều, Thanh Trì,","Sàn Cao Su, Thảm Trải Sàn Cao Su__Sàn Nhựa, Sàn Vinyl, Gạch Nhựa__Phụ Kiện Ván Sàn",www.sannhuakorea.com__www.homefloor.vn,'0913497355__02462925686',Ông Nguyễn Anh,,male,Đại Diện Kinh Doanh,anh@homefloor.vn,https://www.yellowpages.vn/lgs/1187781867/cong-ty-co-phan-vat-lieu-xay-dung-homefloor.html
