company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH Squadroni Việt Nam,"Số 4, Tiên Phong 5, KCN Mapletree BD, P. Hòa Phú, TP. Thủ Dầu Một,","Giày - Vật Tư Và Phụ Liệu__Đế Giày, Đế Dép Bằng Cao Su",www.squadroni.it,'02743801143',Hotline,X,,,marketing@squadroni.com.vn,https://www.yellowpages.vn/lgs/1187822538/cong-ty-tnhh-squadroni-viet-nam.html
Zhurui,"Ấp Lồ, X. An Tây, H. Bến Cát,","Đế Giày, Đế Dép Bằng Cao Su",,'01656104578__01656104568',Ông Hà Văn Minh,,male,,haminh195@gmail.com,https://www.yellowpages.vn/lgs/1187793489/zhurui.html
Doanh Nghiệp Tư Nhân Thương Mại Sản Xuất Đại Toàn,"Số 61/2E ấp Đông, X. Thới Tam Thôn, H. Hóc Môn,","Giày - Máy Móc và Thiết Bị Sản Xuất Giày__Đế Giày, Đế Dép Bằng Cao Su",,'02862596040',Hotline,X,,,daitoan.inshoes0000@gmail.com,https://www.yellowpages.vn/lgs/1187760024/doanh-nghiep-tu-nhan-thuong-mai-san-xuat-dai-toan.html
Công Ty TNHH Jorn Technology,"Lô M1, M2, M3 KCN. Việt Hương, TX. Thuận An,","Đế Giày, Đế Dép Bằng Cao Su__Băng Keo, Băng Dính",,'027403753726__02743753726',Bà Lê Mỹ Thụy Như,,female,Nhân Viên Kinh Doanh,,https://www.yellowpages.vn/lgs/692652/cong-ty-tnhh-jorn-technology.html
Công Ty TNHH Thương Mại Đế Giày Phú Đại Thành,"572/15A Âu Cơ, Phường 10, Q. Tân Bình,","Giày - Vật Tư Và Phụ Liệu__Đế Giày, Đế Dép Bằng Cao Su",www.degiayphudaithanh.bizz.vn,'0908313882__02838485509',Ms. Mai,,female,,degiayphudaithanh@gmail.com,https://www.yellowpages.vn/lgs/1187730987/cong-ty-tnhh-thuong-mai-de-giay-phu-dai-thanh.html
Sườn Giày Đế Trung - Công Ty TNHH Sản Xuất Gia Công Giày Vĩnh Tường,"B7/15A Khuất Văn Bứt, ấp 2, xã Tân Kiên, huyện Bình Chánh,","Giày - Vật Tư Và Phụ Liệu__Đế Giày, Đế Dép Bằng Cao Su",,'0933460255',Ông Lý Khánh Tường,,male,,lykhanhtuong@gmail.com,https://www.yellowpages.vn/lgs/1187795466/suon-giay-de-trung-cong-ty-tnhh-san-xuat-gia-cong-giay-vinh-tuong.html
Công Ty TNHH Giày Gia Định,"Số 552 Quốc Lộ 13, P. Hiệp Bình Phước, Q. Thủ Đức,","Giày Dép - Sản Xuất Và Gia Công Theo Yêu Cầu, Đơn Đặt Hàng__Đế Giày, Đế Dép Bằng Cao Su__Giày Dép, Giày Da - Sản Xuất và Bán Buôn",www.giadinhgroup.com.vn,'02837269110',Hotline,X,,,giadinh@giadinhgroup.com.vn,https://www.yellowpages.vn/lgs/698829/cong-ty-tnhh-giay-gia-dinh.html
Công Ty CP Công Nghiệp & Xuất Nhập Khẩu Cao Su,"64 Trương Định, P. 7, Q. 3,","Cao Su Tự Nhiên - Mủ, Nguyên Liệu Thô__Đế Giày, Đế Dép Bằng Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Đồ Gỗ Ngoài Trời__Đồ Gỗ Nội Thất - Sản Xuất và Kinh Doanh Đồ Gỗ Nội Thất__Cao Su - Sản Phẩm Cao Su",www.rubico.com.vn,'02839321214__02839327173',Hotline,X,,,honggiang2608@gmail.com,https://www.yellowpages.vn/lgs/715671/cong-ty-cp-cong-nghiep---xuat-nhap-khau-cao-su.html
Hạt Nhựa Hưng Việt Phúc - Công Ty TNHH MTV Hưng Việt Phúc,"220/10 - Huỳnh Văn Lũy, Tổ 64, KP. 7, P. Phú Lợi, TP. Thủ Dầu Một,","Đế Giày, Đế Dép Bằng Cao Su__Hạt Nhựa, Hạt Nhựa Nguyên Sinh",,'0971726459',Ms. Thái Thị Hòa Hưng,,female,,hvp.mtv2016@gmail.com,https://www.yellowpages.vn/lgs/1187848158/hat-nhua-hung-viet-phuc-cong-ty-tnhh-mtv-hung-viet-phuc.html
Keo Dán Đỉnh Vàng - Chi Nhánh Công Ty TNHH Đỉnh Vàng Chi Nhánh Hà Nội,"Phòng E106, Khu Golden Westlake, 151 Thụy Khuê, P. Thụy Khuê, Tây Hồ,","Đế Giày, Đế Dép Bằng Cao Su__Mút Xốp EVA, PU, PE,..Định Hình - Sản Xuất Và Gia Công Theo yêu Cầu__Keo Dán Giày, Keo Dán Dép__Keo Dán Giấy Và Bao Bì (Keo Dán Gáy Sách, Keo Bồi Giấy, Cán Màng,.)__Keo Dán và Chất Dính__Keo dán gỗ (Keo Ghép Ngang, Ghép Dọc, Dán Veneer)__Keo Dán Công Nghiệp (Keo PU, UF, EVA,,.)__Băng Keo, Băng Dính__Giày Dép, Giày Da - Sản Xuất và Bán Buôn",www.dinhvang.vn,'02437323555__0903404611',Ms. Hoa,,female,,dinhvangcnhn@gmail.com,https://www.yellowpages.vn/lgs/743112/keo-dan-dinh-vang-chi-nhanh-cong-ty-tnhh-dinh-vang-chi-nhanh-ha-noi.html
