company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bánh Xe Đẩy Hoàng Phát - Công Ty TNHH Sản Xuất Và Thương Mại Kim Khí Hoàng Phát,"Thôn Xâm Thị, Xã Hồng Vân, Huyện Thường Tín,","Xe Nâng Hàng__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực",,'0982593896',Ông Nguyễn Văn Tá,,male,Giám Đốc,,https://www.yellowpages.vn/lgs/1187929845/banh-xe-day-hoang-phat-cong-ty-tnhh-san-xuat-va-thuong-mai-kim-khi-hoang-phat.html
Bánh Xe Công Nghiệp -  Bánh Xe Tá Chỉnh,"Hồng Vân, Thị Trấn Thường Tín,","Xe Nâng Hàng__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực",www.banhxecongnghiephn.com,'02433603522__0983566796',Ms. Nguyễn Thị Chỉnh,,female,,banhxetachinh@gmail.com,https://www.yellowpages.vn/lgs/1187758242/banh-xe-cong-nghiep--banh-xe-ta-chinh.html
Bánh Xe Đẩy Masters - Công Ty TNHH SX TM DV Hiện Đại,"Số 51/2N, Ấp Nam Lân, X. Bà Điểm, H. Hóc Môn,","Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Xe Đẩy Hàng, Xe Kéo Hàng",www.banhxeday.net,'02837129446__0947363679__0903168446',Hotline,X,,,banhxeday78@gmail.com,https://www.yellowpages.vn/lgs/1187837640/banh-xe-day-masters-cong-ty-tnhh-sx-tm-dv-hien-dai.html
Bánh Xe Đẩy Thành Công - Công Ty TNHH Đầu Tư Sản Xuất Và Thương Mại Thành Công,"Số 162 Đê La Thành, P. Ô chợ Dừa, Q. Đống Đa,","Cơ Khí -  Gia Công và Chế Tạo__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Xe Đẩy Hàng, Xe Kéo Hàng",www.cokhithanhcong.vn,'0902550588__02435990999__0901818688',Ngô Lan Phương,,,,cokhithanhcong.vn@gmail.com,https://www.yellowpages.vn/lgs/1187822637/banh-xe-day-thanh-cong-cong-ty-tnhh-dau-tu-san-xuat-va-thuong-mai-thanh-cong.html
Bánh Xe Đẩy Đặng Phát - Công Ty TNHH Cơ Khí Công Nghiệp Đặng Phát,"147/9 Lê Đình Thám, P. Tân Quý, Q. Tân Phú,","Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Xe Đẩy Hàng, Xe Kéo Hàng",www.banhxecongnghiep.com,'09021745650985730350__0902174565__02862750323',Mr. Đặng Quang Luật,,male,Giám đốc,quangluat1802@gmail.com,https://www.yellowpages.vn/lgs/1187872383/banh-xe-day-dang-phat-cong-ty-tnhh-co-khi-cong-nghiep-dang-phat.html
Bánh Xe Đẩy Ukai Nhật Bản - Công Ty TNHH Ukai Việt Nam,"KCN Đồng Văn II, X. Bạch Thượng, H. Duy Tiên,","Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực",www.ukai.vn,'02263533568__0973123488',Mr Nguyễn Trần Tiệp,,male,Trưởng phòng kinh doanh,tiep.nguyen@ukai.vn,https://www.yellowpages.vn/lgs/1187844168/banh-xe-day-ukai-nhat-ban-cong-ty-tnhh-ukai-viet-nam.html
Bánh Xe Đẩy VINAWHEEL - Công Ty TNHH VINAWHEEL,"47/14 Đường Ao Đôi, Phường Bình Trị Đông A, Quận Bình Tân,","Bi Thép, Hạt Mài,.. Hạt Phun Bi__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực",www.xedayhangcn.com__www.vinawheel.com,'0909514158',Mr Hà Dân Kiên,,male,Sale Miền Nam,,https://www.yellowpages.vn/lgs/1187773794/banh-xe-day-vinawheel-cong-ty-tnhh-vinawheel.html
Thiết Bị Nâng Hàng Sutech - Công Ty TNHH Sutech Việt Nam," 35/21 Phan Văn Hớn, P. Tân Thới Nhất, Q. 12,","Xe Nâng Hàng__Lồng Trữ Hàng, Lồng Thép__Thiết Bị Nâng Hàng( Xe Nâng, Lồng Thép, Thùng Nhựa,..)__Xe Nâng Hàng - Phụ Tùng Xe Nâng Hàng__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Xe Đẩy Hàng, Xe Kéo Hàng",www.bannanghang.com__www.sutech.com.vn,'0909205159',Hotline,X,,,hailong.sutech@gmail.com,https://www.yellowpages.vn/lgs/1187757156/thiet-bi-nang-hang-sutech-cong-ty-tnhh-sutech-viet-nam.html
Bánh Xe Đẩy HANIKO - Công Ty TNHH HANIKO Việt Nam,"Số 943-945 Nguyễn Đức Thuận, TT. Trâu Qùy , H. Gia Lâm,","Xe Nâng Tay__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Xe Đẩy Hàng, Xe Kéo Hàng",www.haniko.vn,'0982858008__0988773669__02439936267',Hotline,X,,,info@haniko.vn,https://www.yellowpages.vn/lgs/1187874204/banh-xe-day-haniko-cong-ty-tnhh-haniko-viet-nam.html
Vạn Thắng Lợi,"144D, Đường Tạ Uyên, P. 6, Q. 11,","Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp__Săm, Lốp Xe/ Vỏ, Ruột Xe - Sản Xuất Và Bán Buôn__Dây Curoa Và Đai Truyền (Bando, Mitsuboshi, Răng,.)__Vòng Bi, Bạc Đạn__Xe Cải Tiến, Xe Rùa__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Bi Thép, Hạt Mài,.. Hạt Phun Bi__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Xe Nâng Tay__Xe Đẩy Hàng, Xe Kéo Hàng",www.banhxeday.bizz.vn,'02839562969__0982735228',Hotline,X,,,vanthangloibanhxe@gmail.com,https://www.yellowpages.vn/lgs/1187841120/van-thang-loi.html
