company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Chi Nhánh Nghệ An - Công Ty TNHH Cơ Khí Xây Dựng 777,"Quốc Lộ 1A, Xóm 14, Xã Diễn An, Huyện Diễn Châu,","Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Cơ Khí Môi Trường (Bồn Nước Thải, Bể Lắng, Lò Đốt Chất Thải,.)",www.cokhixaydung777.com,'0977572797__0946348777',Ông Nguyễn Văn Thế,,male,,cokhixaydung777@gmail.com,https://www.yellowpages.vn/lgs/1187924967/chi-nhanh-nghe-an-cong-ty-tnhh-co-khi-xay-dung-777.html
Bồn Bể Công Nghiệp Hoàng Anh - Công Ty CP Công Nghiệp Hoàng Anh,"Km 31, QL 5A, P. Dị Sử, Tx. Mỹ Hào,","Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__áp Lực - Thiết Bị áp Lực",www.bonbecongnghiep.vn,'0913742188__02213944196',Ms. Nguyễn Thị Ngân,,female,,congnghiephoanganh@gmail.com,https://www.yellowpages.vn/lgs/1187692419/bon-be-cong-nghiep-hoang-anh-cong-ty-cp-cong-nghiep-hoang-anh.html
Bồn Chứa Long Phan - Công Ty TNHH Sản Xuất - Thương Mại - Dịch Vụ Long Phan,"205 Nguyễn Xí, P. 26, Q. Bình Thạnh,","Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Thiết Bị Trao Đổi Nhiệt (Dạng ống, Tấm, Chùm)",www.longphanvn.com,'02854452841__0903306938',Ông Phan Văn Quế,,male,,quephan@longphanvn.com,https://www.yellowpages.vn/lgs/1187856129/bon-chua-long-phan-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-long-phan.html
Bồn Chứa An Vạn Phúc - Công Ty TNHH Cơ Khí An Vạn Phúc,"149 Phan Đăng Lưu, Phường Long Bình, Biên Hòa,","Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__ống Dẫn Công Nghiệp, ống Dẫn Khí - Thầu Thiết Kế Và Thi Công",www.anvanphuc.vn,'0908473640__0973844526',Ông Bùi Mạnh Thắng,,male,,congtyanvanphuc@gmail.com,https://www.yellowpages.vn/lgs/1187868969/bon-chua-an-van-phuc-cong-ty-tnhh-co-khi-an-van-phuc.html
Bồn Chứa Long Phát - Công Ty Cơ Khí Kỹ Thuật & Xây Dựng Long Phát,"Số 434, Tổ 1, Khu Phố Tân Ba, Phường Thái Hòa, TX. Tân Uyên,","Inox - Sản Xuất Và Gia Công Inox__Phòng sạch - Thiết Bị Phòng Sạch, Thi Công Phòng Sạch__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__ống Dẫn Công Nghiệp, ống Dẫn Khí - Thầu Thiết Kế Và Thi Công__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",www.thietbiphongsachlongphat.com,'0975286414',Mr. Thìn,,male,,longphatcomany@gmail.com,https://www.yellowpages.vn/lgs/1187804307/bon-chua-long-phat-cong-ty-co-khi-ky-thuat---xay-dung-long-phat.html
Bồn Chứa Đức Mạnh - Công Ty TNHH Sản Xuất Và Thương Mại Đức Mạnh,"NM1: Km3, Quốc Lộ 3, Thôn Lộc Hà, X. Mai Lâm, H. Đông Anh,","Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.",www.ducmanh.com.vn,'0972706868__02439610480',Ông Lê Xuân Mạnh,,male,,lxmanh2712@gmail.com,https://www.yellowpages.vn/lgs/1187900703/bon-chua-duc-manh-cong-ty-tnhh-san-xuat-va-thuong-mai-duc-manh.html
Bồn Chứa VIETTANK - Công Ty TNHH LEXFAS,"Số 13/367 Hoàng Quốc Việt, Cầu Giấy,","Xử Lý Bụi, Xử Lý Khí Thải - Thiết Bị Và Hệ Thống Xử Lý__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.",www.bonbecongnghiep.bizz.vn__www.viettank.com,'0982178034__02439503568__0944012188',Ông Lê Xuân Chanh,,male,,lxchanh@gmail.com,https://www.yellowpages.vn/lgs/1187732952/bon-chua-viettank-cong-ty-tnhh-lexfas.html
Công Ty TNHH Cơ Khí Xây Dựng 777,"Số 118/17, KP. Tân Phú 1, P. Tân Bình , Tx. Dĩ An,","Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Song Chắn Rác, Nắp Hố Ga, Nắp Bể Cáp__Thép - Sản xuất Và Gia Công Sản Phẩm Thép__Tấm Sàn Grating, Sàn Thép Grating",www.cokhixaydung777.com,'0977572797__0946348777',Ông Nguyễn Văn Thế,,male,,cokhixaydung777@gmail.com,https://www.yellowpages.vn/lgs/1187876682/cong-ty-tnhh-co-khi-xay-dung-777.html
Thiết bị khí công nghiệp CNCD - Công Ty TNHH Thiết Bị Khí CNCD Việt Nam,"Số 8C Cù Chính Lan, Khương Mai,","Khí Công Nghiệp - Sản Xuất Và Phân Phối (Khí Nito, Hydro,..Và Thiết Bị)__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Khí Nén - Thiết Bị Khí Nén__Trạm Chiết Nạp - Thiết Kế, Lắp Đặt Trạm Chiết Nạp Gas, LPG__áp Lực - Thiết Bị áp Lực",www.cncdgas.vn,'0888618787',Mr. Thường,,male,Phụ trách kinh doanh,Info@cncdgas.vn,https://www.yellowpages.vn/lgs/1187854875/thiet-bi-khi-cong-nghiep-cncd-cong-ty-tnhh-thiet-bi-khi-cncd-viet-nam.html
Bồn Chứa Công Nghiệp AQUATANK - Công Ty CP Nước Lành (Goodwater),"21 Đoàn Kết, P. Tân Sơn Nhì, Q. Tân Phú,","Xử Lý Nước Nhiễm Phèn__Xử Lý Nước, Xử Lý Nước Thải - Hệ Thống Xử Lý Nước, Nước Thải__Cơ Khí Môi Trường (Bồn Nước Thải, Bể Lắng, Lò Đốt Chất Thải,.)__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Xử Lý Nước Thải Sinh Hoạt (Khu Dân Cư, Đô Thị, Gia Đình,.)__Xử Lý Nước Cấp, Nước Sạch (Nước Giếng Khoan, Nhiễm Mặn, Phèn,..)",www.goodwater.vn,'02838129050__0913726283',Hotline,X,,,info@goodwater.vn,https://www.yellowpages.vn/lgs/1187901402/bon-chua-cong-nghiep-aquatank-cong-ty-cp-nuoc-lanh--goodwater-.html
